,家具制造业,石油加工、炼焦及核燃料加工业,非金属矿物制造业,通用设备制造业,农业,建筑安装业,金属制品业,邮政业,其他制造业,燃气生产和供应业,生态保护和环境治理业,住宿业,黑色金属矿采选业,专用设备制造业,黑色金属加工,机动车、电子产品和日用品服务业,公共设施管理业,卫生业,计算机、通信和其他电子设备制造业,畜牧业,餐饮业,煤炭开采和洗选业,研究和试验发展,道路运输业,仪器仪表制造业,建筑装饰和其他安装业,电力、热力生产和供应业,农、林、牧、渔服务业,林业,航空运输业,专业技术服务业,仓储业,农副食品加工业,铁路、船舶、航空航天和其他运输模式设备制造业,石油和天然气开采业,电信、广播电视和卫星传输服务,零售业,文化艺术业,房屋建筑业,电气机械及器材制造业,酒、饮料和精制茶制造业,化学原料及化学制品制造业,教育业,土木工程建筑业,纺织服装、服饰业,文教、工美、体育和娱乐用品制造业,有色金属加工,装卸搬运及其他运输代理,食品制造业,商务服务业,货币金融服务,纺织业,木材加工及木、竹、藤、棕、草制品业,铁路运输业,租赁业,皮革、毛皮、羽毛及其,科技推广和应用服务业,广播、电视、电影和影视录音制作业,资本市场服务,有色金属矿采选业,橡胶和塑料制造业,非金属矿采选业,废弃资源综合利用业,水上运输业,汽车制造业,开采辅助活动,综合,水的生产和供应业,印刷和记录媒介复制业,化学纤维制造业,渔业,体育业,新闻和出版业,医药制造业,批发业,互联网和相关服务,软件和信息技术服务业,造纸及纸制品业,其他金融业
家具制造业,1.0,0.6011979364510076,0.5979818684268379,0.6433929245864629,0.5128761368423476,,0.6533059755174945,0.533795562967944,0.44672714113773065,0.49501167633294596,0.5977346432044166,0.44307359373517,0.47795458654785444,0.6601191352964793,0.5495103742472269,,0.6013286427055997,0.6283384072526448,0.6823424769377129,0.5519497450622376,0.377103802187635,0.5237132639785385,0.2570135920515573,0.6461092992233687,0.5925577297560815,0.5626154066743716,0.5202160799149016,0.46924408860148864,0.482174697109679,0.43439691255059626,0.5555368209351302,0.4862656888178618,0.410592110483463,0.510011915884836,0.38747509352182335,0.5823746818206197,0.5978387491450139,0.6416948492609683,0.4270472031873505,0.67585485331996,0.17494944600641277,0.61353039843975,0.5703149983734779,0.6652851788901506,0.5047107161517449,0.4705797789288804,0.5192016457089534,0.36059628369151653,0.467812645892766,0.5709598443694825,0.3440681840893158,0.6426830380381862,0.6410800775900654,0.5463585276500214,0.478057648833379,0.2662222184275789,0.25808126407564164,0.412069533264194,0.5709143516148382,0.3884163497960424,0.6732400949915229,,0.3879884313693246,0.5749244338349971,0.5146684061788616,0.40057517435287526,0.6067764550120056,0.6546319395056885,0.6067905808268368,0.4932048646749224,0.5471303843795979,,0.5988517872373139,0.4772300691283126,0.5934118775774021,0.627139754116391,0.6058980658155957,0.6684892832420736,0.45189146047939577
石油加工、炼焦及核燃料加工业,0.6011979364510076,1.0,0.7571259675088043,0.8113485348714125,0.7242713240458132,,0.8287063072542177,0.7056847939510623,0.5605359819636956,0.6744319878107768,0.6400209050686478,0.5931764017507398,0.7615599967000807,0.8061133517436764,0.8084894501185715,,0.6942490261398713,0.6949513028993923,0.7936185472947304,0.6331494961859669,0.5102299571183037,0.8752450209253465,0.3458722570713601,0.8264556140152256,0.6307432612075043,0.5714880087011734,0.7020068182658159,0.6140785278921415,0.4589802489405019,0.7079238219408239,0.6696681631085263,0.7345163716440749,0.5016765574564916,0.6434066574997425,0.6304425676313387,0.7105227782742566,0.720943524228378,0.6785074573611888,0.3963629874124134,0.8247130046559598,0.28872179288374855,0.8233815277349651,0.7005876162468446,0.7677326511761573,0.6075445606934239,0.5840322179938988,0.7763426569074748,0.4857937606792958,0.5820695094844599,0.6133130590743657,0.5511362858110335,0.7377392999896765,0.7365968043235035,0.7090761179868239,0.582789884614085,0.32540980540685893,0.3300725204993505,0.44511980129414264,0.7447155999562584,0.6014268567669687,0.8112864419379353,,0.4472251168166177,0.7681810124686076,0.7154539244609393,0.541396236998407,0.805269652824017,0.8090448189749471,0.7178730925182881,0.6734755668888572,0.5865726901426298,,0.7528883673521506,0.5095723077413135,0.8094187043804216,0.7741891432386071,0.7445847221190596,0.7734855125138216,0.6036731276748785
非金属矿物制造业,0.5979818684268379,0.7571259675088043,1.0,0.7813870099830842,0.6437668940082121,,0.7708212411179882,0.6094429749210664,0.5047618458157177,0.6035454437554569,0.660159245789304,0.5263046120156263,0.6572323812782143,0.8205116732991098,0.7658341267890677,,0.6424008525884984,0.6316787282556454,0.7271015115835733,0.5845106793525902,0.4911671395442949,0.7964693934663702,0.2702668321422789,0.8273785260270914,0.6098328495366275,0.6343026057723479,0.6688963245634237,0.5218189002096727,0.4032693141704597,0.7004773188368794,0.6134569703258146,0.6727727838320499,0.5025555853709079,0.5759627750963041,0.6048570702962921,0.6811801242634372,0.6881881662272985,0.6471329151754707,0.36841547601657143,0.7986656848822483,0.2898312883748596,0.7440905539379478,0.627827641896674,0.8323154448248627,0.594456952137825,0.5105333976335336,0.6996847587698816,0.41208812037800996,0.5039327358545976,0.5937232903036245,0.5735916894830633,0.6928113937164371,0.6898878626422733,0.7082584038601595,0.6131558588669485,0.2692615816898261,0.34697885199499445,0.46254546265172325,0.767235072788947,0.5515225287789453,0.7959719974635856,,0.39520367803388623,0.7727625217540538,0.6833547662305668,0.5441145452488468,0.7462606083635481,0.7591882370899524,0.639767036248661,0.5729857072397229,0.4833086457774943,,0.6821272993434392,0.5287127810480352,0.7355903070959836,0.6962614742490761,0.6941587343700855,0.7496331007552344,0.6623995284093511
通用设备制造业,0.6433929245864629,0.8113485348714125,0.7813870099830842,1.0,0.7208621689393291,,0.8366152941415244,0.7019840474402119,0.5326336460982563,0.6842739780859105,0.7286274425125984,0.602998490776896,0.7225542456733933,0.8262340967799761,0.802487043460013,,0.7460245321852174,0.7582293722518996,0.8342327943817008,0.6917456185883383,0.5599724799218114,0.7880344734802823,0.32178046289210815,0.8484800056610484,0.7108318825322528,0.6185519666514449,0.7388752588297838,0.6127962209422908,0.47173511451918576,0.6825342390036494,0.7239913395481562,0.7552404320247164,0.5384042502457091,0.6569423707108114,0.6205716726446994,0.7588242304059184,0.7868248120452709,0.714844165934773,0.4076387123851646,0.8443564732143933,0.3118862752996408,0.7812220575038394,0.7237925549810926,0.8405447273400092,0.7071463681748167,0.5707190658137872,0.7453785582227388,0.5201510614109167,0.5804027350988852,0.6888408654700076,0.5636888107870405,0.8035683770394458,0.7764432758142793,0.7462118988650742,0.6200340162122844,0.2977934819556415,0.33178083067843855,0.49931295493483063,0.7377550562260535,0.5429387197461211,0.8568367029743648,,0.44140138179803445,0.8089091290312238,0.7473444035691132,0.5577191033920752,0.8223249729611032,0.8455222535387179,0.7621733101907021,0.6762909779543159,0.6210265797118983,,0.7604596868642933,0.5584270915294479,0.7988223111106662,0.8105340315145474,0.7887400477054185,0.8146047075329151,0.6418806389549842
农业,0.5128761368423476,0.7242713240458132,0.6437668940082121,0.7208621689393291,1.0,,0.7506557836484554,0.6467715998665339,0.49216027156605024,0.6139601467523583,0.6527274504688103,0.5559258047204038,0.6093706879263976,0.7066916247851898,0.6935379224831859,,0.6855988215007474,0.6497601542418255,0.7107329326914784,0.6508659321816781,0.46724279514734657,0.646774078906025,0.22648417996909187,0.7136607280110153,0.6284150302988355,0.5683516667979504,0.6643415576481372,0.8342776199110621,0.4417312565909628,0.5786365562510225,0.5834748610294903,0.6551735033627951,0.4983412236306312,0.5901092634136326,0.47404868929482147,0.6656828628103297,0.6986245714424192,0.6708684312227462,0.3062668301157351,0.7192188749101874,0.2489185508096978,0.7323827283816563,0.6372531174463963,0.7326603193224226,0.6090999888634767,0.48652511718971175,0.6271072968893248,0.42116229925728804,0.5181300861000884,0.6291696922220051,0.43813845036838556,0.6741151449114836,0.7165290506395648,0.5199886729409813,0.5117602918140651,0.421333808720481,0.283993658284145,0.4211445574487252,0.5768988973204133,0.49448604723338235,0.7423663707739332,,0.454067746022366,0.6962312553548207,0.6172037972310946,0.4326296506743466,0.7130571918006694,0.7426561423985956,0.6454022524911751,0.4870445348098704,0.5671633513588398,,0.6687977482131278,0.5434162455653468,0.7068877411113748,0.6657007953730208,0.6914561274784902,0.724881081122071,0.5014303751564582
建筑安装业,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
金属制品业,0.6533059755174945,0.8287063072542177,0.7708212411179882,0.8366152941415244,0.7506557836484554,,1.0,0.722671699610359,0.5671522719581754,0.6523246961234415,0.7005644126187096,0.5768867970046381,0.6942825794341821,0.8202148055908093,0.7985346792155692,,0.7468327322829876,0.7679185031751712,0.8291623143175018,0.6799246016124428,0.5320379971469378,0.8209301399642381,0.3273160558663777,0.8199029459422796,0.6718750625951385,0.6215859263551883,0.7430045922804799,0.6391497646636445,0.5112490134264805,0.7001073363918722,0.6978226725134744,0.7358079740291513,0.5737844259171409,0.6441126046622198,0.6114671486421952,0.7446087129177803,0.7825801137145831,0.7266082261807135,0.35875260264553827,0.8548989219395141,0.3379016361987747,0.8032876212693989,0.7125613355703273,0.815052546763458,0.6948797720997903,0.5665778293014795,0.7386517039777447,0.45907191130493513,0.5350843786610976,0.6374148034539588,0.5846652335146473,0.79966574392631,0.7709776909247195,0.7008338221309539,0.6089764421469606,0.36142959909118544,0.3016637832770366,0.49095305989192345,0.7137139662331902,0.5777035944215074,0.8385238131686639,,0.49141085208738544,0.7914778194403677,0.7038008019090427,0.5746850623271264,0.7860983032336282,0.8269797110838422,0.7327741684691332,0.6614139808531659,0.600024604870716,,0.7660838149914787,0.5869012821836002,0.8031964636882771,0.7863825365648422,0.7921238027088957,0.7971358095277001,0.6300488161604618
邮政业,0.533795562967944,0.7056847939510623,0.6094429749210664,0.7019840474402119,0.6467715998665339,,0.722671699610359,1.0,0.47248292667854347,0.6173303082153413,0.6436775948626394,0.5827691258065558,0.6599176925942151,0.6884243026615914,0.6708151641234891,,0.7269019791609607,0.6461133578970182,0.7411663263214907,0.5872881317994902,0.513530401002536,0.6556387506795776,0.229905800956736,0.7242634908703516,0.6525677443739477,0.5405295025100183,0.6406040767920504,0.565408762012922,0.3937690460766224,0.556126969567457,0.6545542606350294,0.6238048465243878,0.4907599783776713,0.5563569204701196,0.5176392276172738,0.6415272900527001,0.705210362074115,0.6645101209180253,0.35801841518666844,0.7599264696821078,0.23667385506332556,0.7217448104708102,0.6293989492984501,0.6923692962092285,0.6722882114321742,0.47674799955117647,0.6408387510548907,0.5159232751756407,0.5252663362089798,0.632707503819722,0.4491349711317321,0.7421471463828415,0.6612252161875287,0.5580010962391477,0.5460167318193027,0.25833095637407044,0.3195782549808575,0.37382998369919795,0.5972289899795415,0.48769318141516316,0.760159627079177,,0.4205412308106218,0.6789983816661701,0.614649847637058,0.45911770435796007,0.7044500626782798,0.7285122387671559,0.6855958079754834,0.518193701115998,0.5639835745990399,,0.6931909204258271,0.5771720676130911,0.7588565105760893,0.717680722752286,0.6993921422958627,0.7042079873102869,0.5186183686826423
其他制造业,0.44672714113773065,0.5605359819636956,0.5047618458157177,0.5326336460982563,0.49216027156605024,,0.5671522719581754,0.47248292667854347,1.0,0.4131224024988471,0.4831439273390625,0.48176402912968774,0.5456318426779462,0.5130465101439903,0.5755472819763597,,0.506526405259509,0.5279350673088681,0.5954615935572398,0.5121221068656681,0.31815731330539554,0.5358733112294717,0.19752384672511453,0.5808881371968648,0.49401761222600543,0.39132743080766424,0.48933422778262187,0.45090255031594934,0.3187117632311663,0.47211824864127294,0.48432797783558573,0.4502241655582786,0.3901045084748024,0.4639344942503757,0.47084958519144043,0.5393588838193474,0.5661973864585709,0.5261069801494415,0.2823537641458152,0.602759165493586,0.23716199820510245,0.5881493335695158,0.5005394378485344,0.5567917844948078,0.49578721871083425,0.40320705943372426,0.6088860103698953,0.3860511375623435,0.3907480017916782,0.4534557156087774,0.3650645498660841,0.5604548477392076,0.5196601651848386,0.45915648292266387,0.3948906486118352,0.22824681222447252,0.3022546932304538,0.295176953335925,0.4799527721861136,0.6584116205652476,0.593458913639901,,0.3506004091290946,0.5256990879149324,0.5568316685733561,0.3633480153212618,0.5506953068307686,0.5536359580521467,0.48769033138627194,0.46228713867486204,0.4421144555338287,,0.519573341089742,0.36341343835588624,0.5472947014296181,0.5593135929070627,0.5589054239113044,0.5669729391344467,0.4137289951018225
燃气生产和供应业,0.49501167633294596,0.6744319878107768,0.6035454437554569,0.6842739780859105,0.6139601467523583,,0.6523246961234415,0.6173303082153413,0.4131224024988471,1.0,0.6229554169632302,0.5592330826893787,0.5685083784269188,0.6665972423327726,0.6368050307980089,,0.6674165284616517,0.6370212673018764,0.6977148523833147,0.5885118620764239,0.42690708206062183,0.6123972396926443,0.26480260568676783,0.6923192659987216,0.5876009908889677,0.5232236598728486,0.6429835102525924,0.5379854270587122,0.429336430690335,0.5452022939148649,0.6523695933267466,0.5988860240955048,0.45049243879356027,0.5353073230481707,0.4754498470647964,0.6458083025495646,0.6555524325321237,0.6120879409021481,0.3392588747872056,0.7467209615612782,0.20101822356400795,0.6575684075247177,0.61919713078139,0.6597572233141411,0.5832857207481096,0.504937141914445,0.5774664558443594,0.45069129579493517,0.48048508924452993,0.5918058636596369,0.34553776537092556,0.7053202649416744,0.6437577238174552,0.5531675781798971,0.5181322101849611,0.22760364504149783,0.35269943607554455,0.3909415591647167,0.5810999985678622,0.41860801885279425,0.7094142104054453,,0.39482695520830874,0.6345787364641071,0.6202793412460398,0.4703592123244335,0.6780260548025588,0.6969033664888807,0.6400814431450826,0.6010669517028213,0.4793915254667001,,0.643224143423716,0.5265127239898622,0.6560783988928497,0.7109333534054028,0.6774287622275099,0.7213469931269211,0.4684245139569459
