代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year
601698.SH,中国卫通,2019-06-28,3.26,3.92,15680000000.0,电信、广播电视和卫星传输服务,2019-06,2019
601698.SH,中国卫通,2019-07-01,4.31,4.31,17240000000.0,电信、广播电视和卫星传输服务,2019-07,2019
601698.SH,中国卫通,2019-07-02,4.73,4.73,18960000000.0,电信、广播电视和卫星传输服务,2019-07,2019
601698.SH,中国卫通,2019-07-03,5.2,5.2,20840000000.0,电信、广播电视和卫星传输服务,2019-07,2019
601698.SH,中国卫通,2019-07-04,5.72,5.72,22920000000.0,电信、广播电视和卫星传输服务,2019-07,2019
601698.SH,中国卫通,2019-07-05,6.29,6.29,25200000000.0,电信、广播电视和卫星传输服务,2019-07,2019
601698.SH,中国卫通,2019-07-08,6.92,6.92,27720000000.0,电信、广播电视和卫星传输服务,2019-07,2019
601698.SH,中国卫通,2019-07-09,7.61,7.61,30480000000.0,电信、广播电视和卫星传输服务,2019-07,2019
601698.SH,中国卫通,2019-07-10,8.37,8.37,33520000000.0,电信、广播电视和卫星传输服务,2019-07,2019
601698.SH,中国卫通,2019-07-11,9.21,9.21,36880000000.0,电信、广播电视和卫星传输服务,2019-07,2019
601698.SH,中国卫通,2019-07-12,10.13,10.13,40560000000.0,电信、广播电视和卫星传输服务,2019-07,2019
601698.SH,中国卫通,2019-07-15,10.99,11.14,44600000000.0,电信、广播电视和卫星传输服务,2019-07,2019
601698.SH,中国卫通,2019-07-16,12.26,12.26,49080000000.0,电信、广播电视和卫星传输服务,2019-07,2019
601698.SH,中国卫通,2019-07-17,12.87,11.72,46920000000.0,电信、广播电视和卫星传输服务,2019-07,2019
601698.SH,中国卫通,2019-07-18,11.63,12.89,51600000000.0,电信、广播电视和卫星传输服务,2019-07,2019
601698.SH,中国卫通,2019-07-19,12.19,12.35,49440000000.0,电信、广播电视和卫星传输服务,2019-07,2019
601698.SH,中国卫通,2019-07-22,12.34,11.13,44560000000.0,电信、广播电视和卫星传输服务,2019-07,2019
601698.SH,中国卫通,2019-07-23,10.82,10.8,43240000000.0,电信、广播电视和卫星传输服务,2019-07,2019
601698.SH,中国卫通,2019-07-24,10.64,11.09,44400000000.0,电信、广播电视和卫星传输服务,2019-07,2019
601698.SH,中国卫通,2019-07-25,10.96,10.72,42920000000.0,电信、广播电视和卫星传输服务,2019-07,2019
601698.SH,中国卫通,2019-07-26,10.52,10.55,42240000000.0,电信、广播电视和卫星传输服务,2019-07,2019
