代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year
000713.SZ,丰乐种业,2010-01-04,9.59,9.78,3521250000,农、林、牧、渔服务业,2010-01,2010
000713.SZ,丰乐种业,2010-01-05,9.56,10.11,3640500000,农、林、牧、渔服务业,2010-01,2010
000713.SZ,丰乐种业,2010-01-06,9.97,9.86,3548250000,农、林、牧、渔服务业,2010-01,2010
000713.SZ,丰乐种业,2010-01-07,9.85,9.72,3498750000,农、林、牧、渔服务业,2010-01,2010
000713.SZ,丰乐种业,2010-01-08,9.67,9.85,3546000000,农、林、牧、渔服务业,2010-01,2010
000713.SZ,丰乐种业,2010-01-11,9.91,9.77,3519000000,农、林、牧、渔服务业,2010-01,2010
000713.SZ,丰乐种业,2010-01-12,9.69,10.47,3768750000,农、林、牧、渔服务业,2010-01,2010
000713.SZ,丰乐种业,2010-01-13,10.22,10.44,3757500000,农、林、牧、渔服务业,2010-01,2010
000713.SZ,丰乐种业,2010-01-14,10.44,10.64,3831750000,农、林、牧、渔服务业,2010-01,2010
000713.SZ,丰乐种业,2010-01-15,10.64,10.55,3798000000,农、林、牧、渔服务业,2010-01,2010
000713.SZ,丰乐种业,2010-01-18,10.38,10.75,3872250000,农、林、牧、渔服务业,2010-01,2010
000713.SZ,丰乐种业,2010-01-19,10.78,10.75,3872250000,农、林、牧、渔服务业,2010-01,2010
000713.SZ,丰乐种业,2010-01-20,10.67,10.09,3631500000,农、林、牧、渔服务业,2010-01,2010
000713.SZ,丰乐种业,2010-01-21,10.09,10.11,3638250000,农、林、牧、渔服务业,2010-01,2010
000713.SZ,丰乐种业,2010-01-22,10.11,10.11,3638250000,农、林、牧、渔服务业,2010-01,2010
000713.SZ,丰乐种业,2010-01-25,9.87,9.78,3521250000,农、林、牧、渔服务业,2010-01,2010
000713.SZ,丰乐种业,2010-01-26,9.84,9.31,3350250000,农、林、牧、渔服务业,2010-01,2010
000713.SZ,丰乐种业,2010-01-27,9.5,9.75,3510000000,农、林、牧、渔服务业,2010-01,2010
000713.SZ,丰乐种业,2010-01-28,9.66,9.82,3537000000,农、林、牧、渔服务业,2010-01,2010
000713.SZ,丰乐种业,2010-01-29,9.69,10.29,3705750000,农、林、牧、渔服务业,2010-01,2010
000713.SZ,丰乐种业,2010-02-01,10.57,10.09,3631500000,农、林、牧、渔服务业,2010-02,2010
000713.SZ,丰乐种业,2010-02-02,10.09,10.22,3678750000,农、林、牧、渔服务业,2010-02,2010
000713.SZ,丰乐种业,2010-02-03,10.22,9.94,3577500000,农、林、牧、渔服务业,2010-02,2010
