代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year
002292.SZ,奥飞娱乐,2010-01-04,5.43,5.5,6964800000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010
002292.SZ,奥飞娱乐,2010-01-05,5.51,5.8,7344000000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010
002292.SZ,奥飞娱乐,2010-01-06,5.73,5.66,7171200000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010
002292.SZ,奥飞娱乐,2010-01-07,5.63,5.49,6944000000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010
002292.SZ,奥飞娱乐,2010-01-08,5.44,5.56,7036800000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010
002292.SZ,奥飞娱乐,2010-01-11,5.52,5.61,7102400000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010
002292.SZ,奥飞娱乐,2010-01-12,5.59,5.68,7188800000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010
002292.SZ,奥飞娱乐,2010-01-13,5.52,6.25,7907200000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010
002292.SZ,奥飞娱乐,2010-01-14,6.45,6.53,8264000000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010
002292.SZ,奥飞娱乐,2010-01-15,6.5,6.51,8240000000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010
002292.SZ,奥飞娱乐,2010-01-18,6.45,6.58,8336000000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010
002292.SZ,奥飞娱乐,2010-01-19,6.6,6.34,8027200000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010
002292.SZ,奥飞娱乐,2010-01-20,6.34,5.82,7363200000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010
002292.SZ,奥飞娱乐,2010-01-21,5.83,5.82,7366400000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010
002292.SZ,奥飞娱乐,2010-01-22,5.69,5.58,7059200000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010
002292.SZ,奥飞娱乐,2010-01-25,5.55,5.6,7088000000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010
002292.SZ,奥飞娱乐,2010-01-26,5.62,5.43,6880000000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010
002292.SZ,奥飞娱乐,2010-01-27,5.43,5.43,6870400000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010
002292.SZ,奥飞娱乐,2010-01-28,5.4,5.48,6937600000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010
002292.SZ,奥飞娱乐,2010-01-29,5.43,5.5,6960000000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010
002292.SZ,奥飞娱乐,2010-02-01,5.51,5.25,6651200000.0,文教、工美、体育和娱乐用品制造业,2010-02,2010
002292.SZ,奥飞娱乐,2010-02-02,5.31,5.15,6520000000.0,文教、工美、体育和娱乐用品制造业,2010-02,2010
002292.SZ,奥飞娱乐,2010-02-03,5.18,5.26,6657600000.0,文教、工美、体育和娱乐用品制造业,2010-02,2010
002292.SZ,奥飞娱乐,2010-02-04,5.23,5.27,6668800000.0,文教、工美、体育和娱乐用品制造业,2010-02,2010
002292.SZ,奥飞娱乐,2010-02-05,5.19,5.31,6728000000.0,文教、工美、体育和娱乐用品制造业,2010-02,2010
002292.SZ,奥飞娱乐,2010-02-08,5.35,5.28,6681600000.0,文教、工美、体育和娱乐用品制造业,2010-02,2010
002292.SZ,奥飞娱乐,2010-02-09,5.28,5.15,6521600000.0,文教、工美、体育和娱乐用品制造业,2010-02,2010
002292.SZ,奥飞娱乐,2010-02-10,5.18,5.31,6720000000.0,文教、工美、体育和娱乐用品制造业,2010-02,2010
002292.SZ,奥飞娱乐,2010-02-11,5.31,5.36,6784000000.0,文教、工美、体育和娱乐用品制造业,2010-02,2010
002292.SZ,奥飞娱乐,2010-02-12,5.36,5.39,6820800000.0,文教、工美、体育和娱乐用品制造业,2010-02,2010
002292.SZ,奥飞娱乐,2010-02-22,5.33,5.29,6700800000.0,文教、工美、体育和娱乐用品制造业,2010-02,2010
002292.SZ,奥飞娱乐,2010-02-23,5.29,5.26,6659200000.0,文教、工美、体育和娱乐用品制造业,2010-02,2010
002292.SZ,奥飞娱乐,2010-02-24,5.25,5.47,6929600000.0,文教、工美、体育和娱乐用品制造业,2010-02,2010
002292.SZ,奥飞娱乐,2010-02-25,5.51,5.54,7008000000.0,文教、工美、体育和娱乐用品制造业,2010-02,2010
002292.SZ,奥飞娱乐,2010-02-26,5.56,5.56,7033600000.0,文教、工美、体育和娱乐用品制造业,2010-02,2010
002292.SZ,奥飞娱乐,2010-03-01,5.58,5.6,7088000000.0,文教、工美、体育和娱乐用品制造业,2010-03,2010
002292.SZ,奥飞娱乐,2010-03-02,5.66,5.6,7088000000.0,文教、工美、体育和娱乐用品制造业,2010-03,2010
002292.SZ,奥飞娱乐,2010-03-03,5.6,5.58,7070400000.0,文教、工美、体育和娱乐用品制造业,2010-03,2010
002292.SZ,奥飞娱乐,2010-03-04,5.59,5.45,6904000000.0,文教、工美、体育和娱乐用品制造业,2010-03,2010
002292.SZ,奥飞娱乐,2010-03-05,5.46,5.47,6928000000.0,文教、工美、体育和娱乐用品制造业,2010-03,2010
002292.SZ,奥飞娱乐,2010-03-08,5.47,5.6,7089600000.0,文教、工美、体育和娱乐用品制造业,2010-03,2010
002292.SZ,奥飞娱乐,2010-03-09,5.6,5.54,7016000000.0,文教、工美、体育和娱乐用品制造业,2010-03,2010
002292.SZ,奥飞娱乐,2010-03-10,5.54,5.79,7334400000.0,文教、工美、体育和娱乐用品制造业,2010-03,2010
002292.SZ,奥飞娱乐,2010-03-11,5.88,5.98,7569600000.0,文教、工美、体育和娱乐用品制造业,2010-03,2010
002292.SZ,奥飞娱乐,2010-03-12,5.9,5.83,7384000000.0,文教、工美、体育和娱乐用品制造业,2010-03,2010
002292.SZ,奥飞娱乐,2010-03-15,5.81,5.74,7272000000.0,文教、工美、体育和娱乐用品制造业,2010-03,2010
002292.SZ,奥飞娱乐,2010-03-16,5.74,5.83,7374400000.0,文教、工美、体育和娱乐用品制造业,2010-03,2010
002292.SZ,奥飞娱乐,2010-03-17,5.9,5.87,7428800000.0,文教、工美、体育和娱乐用品制造业,2010-03,2010
002292.SZ,奥飞娱乐,2010-03-18,5.89,5.94,7520000000.0,文教、工美、体育和娱乐用品制造业,2010-03,2010
002292.SZ,奥飞娱乐,2010-03-19,5.92,6.03,7640000000.0,文教、工美、体育和娱乐用品制造业,2010-03,2010
002292.SZ,奥飞娱乐,2010-03-22,6.04,6.0,7595200000.0,文教、工美、体育和娱乐用品制造业,2010-03,2010
002292.SZ,奥飞娱乐,2010-03-23,6.0,5.88,7443200000.0,文教、工美、体育和娱乐用品制造业,2010-03,2010
002292.SZ,奥飞娱乐,2010-03-24,5.91,6.05,7664000000.0,文教、工美、体育和娱乐用品制造业,2010-03,2010
002292.SZ,奥飞娱乐,2010-03-25,6.06,6.06,7668800000.0,文教、工美、体育和娱乐用品制造业,2010-03,2010
002292.SZ,奥飞娱乐,2010-03-26,6.03,6.03,7635200000.0,文教、工美、体育和娱乐用品制造业,2010-03,2010
002292.SZ,奥飞娱乐,2010-03-29,6.07,6.06,7672000000.0,文教、工美、体育和娱乐用品制造业,2010-03,2010
002292.SZ,奥飞娱乐,2010-03-30,5.96,6.12,7748800000.0,文教、工美、体育和娱乐用品制造业,2010-03,2010
002292.SZ,奥飞娱乐,2010-03-31,6.07,6.07,7680000000.0,文教、工美、体育和娱乐用品制造业,2010-03,2010
002292.SZ,奥飞娱乐,2010-04-01,6.07,6.03,7633600000.0,文教、工美、体育和娱乐用品制造业,2010-04,2010
002292.SZ,奥飞娱乐,2010-04-02,6.0,5.92,7500800000.0,文教、工美、体育和娱乐用品制造业,2010-04,2010
002292.SZ,奥飞娱乐,2010-04-06,5.92,5.99,7577600000.0,文教、工美、体育和娱乐用品制造业,2010-04,2010
002292.SZ,奥飞娱乐,2010-04-07,5.98,6.38,8080000000.0,文教、工美、体育和娱乐用品制造业,2010-04,2010
002292.SZ,奥飞娱乐,2010-04-08,6.32,6.32,8000000000.0,文教、工美、体育和娱乐用品制造业,2010-04,2010
002292.SZ,奥飞娱乐,2010-04-09,6.33,6.47,8196800000.0,文教、工美、体育和娱乐用品制造业,2010-04,2010
002292.SZ,奥飞娱乐,2010-04-12,6.47,6.57,8313600000.0,文教、工美、体育和娱乐用品制造业,2010-04,2010
002292.SZ,奥飞娱乐,2010-04-13,6.64,6.2,7852800000.0,文教、工美、体育和娱乐用品制造业,2010-04,2010
002292.SZ,奥飞娱乐,2010-04-14,6.12,6.12,7744000000.0,文教、工美、体育和娱乐用品制造业,2010-04,2010
002292.SZ,奥飞娱乐,2010-04-15,6.08,5.87,7428800000.0,文教、工美、体育和娱乐用品制造业,2010-04,2010
002292.SZ,奥飞娱乐,2010-04-16,5.81,5.94,7518400000.0,文教、工美、体育和娱乐用品制造业,2010-04,2010
002292.SZ,奥飞娱乐,2010-04-19,5.94,5.79,7328000000.0,文教、工美、体育和娱乐用品制造业,2010-04,2010
002292.SZ,奥飞娱乐,2010-04-20,5.69,5.89,7456000000.0,文教、工美、体育和娱乐用品制造业,2010-04,2010
002292.SZ,奥飞娱乐,2010-04-21,5.89,5.89,7456000000.0,文教、工美、体育和娱乐用品制造业,2010-04,2010
002292.SZ,奥飞娱乐,2010-04-22,6.02,6.14,7769600000.0,文教、工美、体育和娱乐用品制造业,2010-04,2010
002292.SZ,奥飞娱乐,2010-04-23,6.12,6.32,8000000000.0,文教、工美、体育和娱乐用品制造业,2010-04,2010
002292.SZ,奥飞娱乐,2010-04-26,6.32,6.3,7980800000.0,文教、工美、体育和娱乐用品制造业,2010-04,2010
002292.SZ,奥飞娱乐,2010-04-27,6.38,6.03,7632000000.0,文教、工美、体育和娱乐用品制造业,2010-04,2010
002292.SZ,奥飞娱乐,2010-04-28,5.95,5.96,7542400000.0,文教、工美、体育和娱乐用品制造业,2010-04,2010
002292.SZ,奥飞娱乐,2010-04-29,5.98,5.96,7540800000.0,文教、工美、体育和娱乐用品制造业,2010-04,2010
002292.SZ,奥飞娱乐,2010-04-30,5.89,5.76,7296000000.0,文教、工美、体育和娱乐用品制造业,2010-04,2010
002292.SZ,奥飞娱乐,2010-05-04,5.54,5.66,7168000000.0,文教、工美、体育和娱乐用品制造业,2010-05,2010
002292.SZ,奥飞娱乐,2010-05-05,5.63,5.89,7452160000.0,文教、工美、体育和娱乐用品制造业,2010-05,2010
002292.SZ,奥飞娱乐,2010-05-06,5.89,5.84,7398400000.0,文教、工美、体育和娱乐用品制造业,2010-05,2010
002292.SZ,奥飞娱乐,2010-05-07,5.66,5.94,7521280000.0,文教、工美、体育和娱乐用品制造业,2010-05,2010
002292.SZ,奥飞娱乐,2010-05-10,5.94,5.35,6768640000.0,文教、工美、体育和娱乐用品制造业,2010-05,2010
002292.SZ,奥飞娱乐,2010-05-11,5.45,5.05,6397440000.0,文教、工美、体育和娱乐用品制造业,2010-05,2010
002292.SZ,奥飞娱乐,2010-05-12,5.05,4.95,6266880000.0,文教、工美、体育和娱乐用品制造业,2010-05,2010
002292.SZ,奥飞娱乐,2010-05-13,4.93,5.11,6474240000.0,文教、工美、体育和娱乐用品制造业,2010-05,2010
002292.SZ,奥飞娱乐,2010-05-14,5.06,5.18,6556160000.0,文教、工美、体育和娱乐用品制造业,2010-05,2010
002292.SZ,奥飞娱乐,2010-05-17,5.06,4.98,6300160000.0,文教、工美、体育和娱乐用品制造业,2010-05,2010
002292.SZ,奥飞娱乐,2010-05-18,4.96,5.11,6471680000.0,文教、工美、体育和娱乐用品制造业,2010-05,2010
002292.SZ,奥飞娱乐,2010-05-19,5.1,5.19,6566400000.0,文教、工美、体育和娱乐用品制造业,2010-05,2010
002292.SZ,奥飞娱乐,2010-05-20,5.19,5.16,6530560000.0,文教、工美、体育和娱乐用品制造业,2010-05,2010
002292.SZ,奥飞娱乐,2010-05-21,5.03,5.29,6696960000.0,文教、工美、体育和娱乐用品制造业,2010-05,2010
002292.SZ,奥飞娱乐,2010-05-24,5.36,5.56,7034880000.0,文教、工美、体育和娱乐用品制造业,2010-05,2010
002292.SZ,奥飞娱乐,2010-05-25,5.54,5.56,7037440000.0,文教、工美、体育和娱乐用品制造业,2010-05,2010
002292.SZ,奥飞娱乐,2010-05-26,5.52,5.41,6853120000.0,文教、工美、体育和娱乐用品制造业,2010-05,2010
002292.SZ,奥飞娱乐,2010-05-27,5.41,5.54,7009280000.0,文教、工美、体育和娱乐用品制造业,2010-05,2010
002292.SZ,奥飞娱乐,2010-05-28,5.58,5.67,7183360000.0,文教、工美、体育和娱乐用品制造业,2010-05,2010
002292.SZ,奥飞娱乐,2010-05-31,5.68,5.48,6937600000.0,文教、工美、体育和娱乐用品制造业,2010-05,2010
002292.SZ,奥飞娱乐,2010-06-01,5.47,5.22,6604800000.0,文教、工美、体育和娱乐用品制造业,2010-06,2010
002292.SZ,奥飞娱乐,2010-06-02,5.18,5.37,6796800000.0,文教、工美、体育和娱乐用品制造业,2010-06,2010
002292.SZ,奥飞娱乐,2010-06-03,5.32,5.38,6817280000.0,文教、工美、体育和娱乐用品制造业,2010-06,2010
002292.SZ,奥飞娱乐,2010-06-04,5.35,5.34,6755840000.0,文教、工美、体育和娱乐用品制造业,2010-06,2010
002292.SZ,奥飞娱乐,2010-06-07,5.17,5.72,7239680000.0,文教、工美、体育和娱乐用品制造业,2010-06,2010
002292.SZ,奥飞娱乐,2010-06-08,5.7,5.77,7298560000.0,文教、工美、体育和娱乐用品制造业,2010-06,2010
002292.SZ,奥飞娱乐,2010-06-09,5.85,5.8,7347200000.0,文教、工美、体育和娱乐用品制造业,2010-06,2010
002292.SZ,奥飞娱乐,2010-06-10,5.76,5.98,7564800000.0,文教、工美、体育和娱乐用品制造业,2010-06,2010
002292.SZ,奥飞娱乐,2010-06-11,6.0,5.86,7421440000.0,文教、工美、体育和娱乐用品制造业,2010-06,2010
002292.SZ,奥飞娱乐,2010-06-17,5.93,5.83,7377920000.0,文教、工美、体育和娱乐用品制造业,2010-06,2010
002292.SZ,奥飞娱乐,2010-06-18,5.82,5.46,6909440000.0,文教、工美、体育和娱乐用品制造业,2010-06,2010
002292.SZ,奥飞娱乐,2010-06-21,5.37,5.64,7139840000.0,文教、工美、体育和娱乐用品制造业,2010-06,2010
002292.SZ,奥飞娱乐,2010-06-22,5.6,5.64,7137280000.0,文教、工美、体育和娱乐用品制造业,2010-06,2010
002292.SZ,奥飞娱乐,2010-06-23,5.58,5.68,7193600000.0,文教、工美、体育和娱乐用品制造业,2010-06,2010
002292.SZ,奥飞娱乐,2010-06-24,5.76,5.66,7168000000.0,文教、工美、体育和娱乐用品制造业,2010-06,2010
002292.SZ,奥飞娱乐,2010-06-25,5.57,5.66,7165440000.0,文教、工美、体育和娱乐用品制造业,2010-06,2010
002292.SZ,奥飞娱乐,2010-06-28,5.66,5.66,7165440000.0,文教、工美、体育和娱乐用品制造业,2010-06,2010
002292.SZ,奥飞娱乐,2010-06-29,5.52,5.09,6448640000.0,文教、工美、体育和娱乐用品制造业,2010-06,2010
002292.SZ,奥飞娱乐,2010-06-30,4.89,5.01,6343680000.0,文教、工美、体育和娱乐用品制造业,2010-06,2010
002292.SZ,奥飞娱乐,2010-07-01,4.97,5.01,6348800000.0,文教、工美、体育和娱乐用品制造业,2010-07,2010
002292.SZ,奥飞娱乐,2010-07-02,4.99,4.87,6169600000.0,文教、工美、体育和娱乐用品制造业,2010-07,2010
002292.SZ,奥飞娱乐,2010-07-05,4.81,4.75,6016000000.0,文教、工美、体育和娱乐用品制造业,2010-07,2010
002292.SZ,奥飞娱乐,2010-07-06,4.71,4.89,6184960000.0,文教、工美、体育和娱乐用品制造业,2010-07,2010
002292.SZ,奥飞娱乐,2010-07-07,4.9,4.98,6310400000.0,文教、工美、体育和娱乐用品制造业,2010-07,2010
002292.SZ,奥飞娱乐,2010-07-08,5.03,4.95,6261760000.0,文教、工美、体育和娱乐用品制造业,2010-07,2010
002292.SZ,奥飞娱乐,2010-07-09,4.97,5.21,6594560000.0,文教、工美、体育和娱乐用品制造业,2010-07,2010
002292.SZ,奥飞娱乐,2010-07-12,5.19,5.21,6592000000.0,文教、工美、体育和娱乐用品制造业,2010-07,2010
002292.SZ,奥飞娱乐,2010-07-13,5.13,5.1,6461440000.0,文教、工美、体育和娱乐用品制造业,2010-07,2010
002292.SZ,奥飞娱乐,2010-07-14,5.12,5.2,6579200000.0,文教、工美、体育和娱乐用品制造业,2010-07,2010
002292.SZ,奥飞娱乐,2010-07-15,5.2,5.06,6402560000.0,文教、工美、体育和娱乐用品制造业,2010-07,2010
