代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year
000059.SZ,华锦股份,2010-01-04,10.33,10.49,14213995385.0,石油加工、炼焦及核燃料加工业,2010-01,2010
000059.SZ,华锦股份,2010-01-05,10.5,10.75,14562142232.0,石油加工、炼焦及核燃料加工业,2010-01,2010
000059.SZ,华锦股份,2010-01-06,10.62,10.79,14622167550.0,石油加工、炼焦及核燃料加工业,2010-01,2010
000059.SZ,华锦股份,2010-01-07,10.79,10.37,14045924494.0,石油加工、炼焦及核燃料加工业,2010-01,2010
000059.SZ,华锦股份,2010-01-08,10.37,10.37,14045924494.0,石油加工、炼焦及核燃料加工业,2010-01,2010
000059.SZ,华锦股份,2010-01-11,10.63,10.64,14406076404.0,石油加工、炼焦及核燃料加工业,2010-01,2010
000059.SZ,华锦股份,2010-01-12,10.7,11.15,15102370097.0,石油加工、炼焦及核燃料加工业,2010-01,2010
000059.SZ,华锦股份,2010-01-13,10.9,10.86,14706202996.0,石油加工、炼焦及核燃料加工业,2010-01,2010
000059.SZ,华锦股份,2010-01-14,10.94,11.07,14994324524.0,石油加工、炼焦及核燃料加工业,2010-01,2010
000059.SZ,华锦股份,2010-01-15,11.1,11.24,15222420734.0,石油加工、炼焦及核燃料加工业,2010-01,2010
000059.SZ,华锦股份,2010-01-18,11.24,11.52,15606582771.0,石油加工、炼焦及核燃料加工业,2010-01,2010
000059.SZ,华锦股份,2010-01-19,11.56,11.5,15582572644.0,石油加工、炼焦及核燃料加工业,2010-01,2010
000059.SZ,华锦股份,2010-01-20,11.5,10.86,14706202996.0,石油加工、炼焦及核燃料加工业,2010-01,2010
000059.SZ,华锦股份,2010-01-21,10.85,10.8,14634172614.0,石油加工、炼焦及核燃料加工业,2010-01,2010
000059.SZ,华锦股份,2010-01-22,10.64,10.48,14201990322.0,石油加工、炼焦及核燃料加工业,2010-01,2010
000059.SZ,华锦股份,2010-01-25,10.35,10.46,14165975131.0,石油加工、炼焦及核燃料加工业,2010-01,2010
000059.SZ,华锦股份,2010-01-26,10.5,10.02,13577727011.0,石油加工、炼焦及核燃料加工业,2010-01,2010
000059.SZ,华锦股份,2010-01-27,10.01,9.75,13205570037.0,石油加工、炼焦及核燃料加工业,2010-01,2010
000059.SZ,华锦股份,2010-01-28,9.7,9.93,13445671310.0,石油加工、炼焦及核燃料加工业,2010-01,2010
000059.SZ,华锦股份,2010-01-29,9.89,9.97,13505696629.0,石油加工、炼焦及核燃料加工业,2010-01,2010
000059.SZ,华锦股份,2010-02-01,9.94,9.99,13529706756.0,石油加工、炼焦及核燃料加工业,2010-02,2010
000059.SZ,华锦股份,2010-02-02,10.0,9.98,13517701692.0,石油加工、炼焦及核燃料加工业,2010-02,2010
000059.SZ,华锦股份,2010-02-03,10.09,10.01,13565721947.0,石油加工、炼焦及核燃料加工业,2010-02,2010
