代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year
002607.SZ,中公教育,2011-08-10,3.64,3.9,2831840000.0,教育业,2011-08,2011
002607.SZ,中公教育,2011-08-11,3.78,3.98,2886400000.0,教育业,2011-08,2011
002607.SZ,中公教育,2011-08-12,3.9,3.82,2772880000.0,教育业,2011-08,2011
002607.SZ,中公教育,2011-08-15,3.86,3.86,2797520000.0,教育业,2011-08,2011
002607.SZ,中公教育,2011-08-16,3.93,4.05,2940960000.0,教育业,2011-08,2011
002607.SZ,中公教育,2011-08-17,4.1,4.1,2976160000.0,教育业,2011-08,2011
002607.SZ,中公教育,2011-08-18,4.11,4.15,3014000000.0,教育业,2011-08,2011
002607.SZ,中公教育,2011-08-19,4.02,3.91,2838000000.0,教育业,2011-08,2011
002607.SZ,中公教育,2011-08-22,3.89,3.92,2845040000.0,教育业,2011-08,2011
002607.SZ,中公教育,2011-08-23,3.91,4.07,2952400000.0,教育业,2011-08,2011
002607.SZ,中公教育,2011-08-24,4.03,4.04,2933040000.0,教育业,2011-08,2011
002607.SZ,中公教育,2011-08-25,4.09,4.03,2925120000.0,教育业,2011-08,2011
002607.SZ,中公教育,2011-08-26,4.01,4.14,3002560000.0,教育业,2011-08,2011
002607.SZ,中公教育,2011-08-29,4.19,4.13,2992880000.0,教育业,2011-08,2011
002607.SZ,中公教育,2011-08-30,4.06,3.99,2892560000.0,教育业,2011-08,2011
002607.SZ,中公教育,2011-08-31,3.95,3.88,2816000000.0,教育业,2011-08,2011
002607.SZ,中公教育,2011-09-01,3.89,3.79,2747360000.0,教育业,2011-09,2011
002607.SZ,中公教育,2011-09-02,3.76,3.77,2737680000.0,教育业,2011-09,2011
002607.SZ,中公教育,2011-09-05,3.71,3.74,2710400000.0,教育业,2011-09,2011
002607.SZ,中公教育,2011-09-06,3.68,3.67,2660240000.0,教育业,2011-09,2011
002607.SZ,中公教育,2011-09-07,3.68,3.75,2723600000.0,教育业,2011-09,2011
002607.SZ,中公教育,2011-09-08,3.77,3.84,2786960000.0,教育业,2011-09,2011
002607.SZ,中公教育,2011-09-09,3.87,3.8,2756160000.0,教育业,2011-09,2011
002607.SZ,中公教育,2011-09-13,3.73,3.64,2640000000.0,教育业,2011-09,2011
002607.SZ,中公教育,2011-09-14,3.66,3.69,2679600000.0,教育业,2011-09,2011
002607.SZ,中公教育,2011-09-15,3.68,3.74,2715680000.0,教育业,2011-09,2011
