代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year
600757.SH,长江传媒,2010-01-04,5.48,5.41,3257816139.0,新闻和出版业,2010-01,2010
600757.SH,长江传媒,2010-01-05,5.4,5.23,3147381694.0,新闻和出版业,2010-01,2010
600757.SH,长江传媒,2010-01-06,5.21,5.22,3141859972.0,新闻和出版业,2010-01,2010
600757.SH,长江传媒,2010-01-07,5.26,5.13,3086642749.0,新闻和出版业,2010-01,2010
600757.SH,长江传媒,2010-01-08,5.13,5.14,3097686193.0,新闻和出版业,2010-01,2010
600757.SH,长江传媒,2010-01-11,5.12,5.16,3108729638.0,新闻和出版业,2010-01,2010
600757.SH,长江传媒,2010-01-12,5.15,5.24,3152903416.0,新闻和出版业,2010-01,2010
600757.SH,长江传媒,2010-01-13,5.21,5.25,3163946861.0,新闻和出版业,2010-01,2010
600757.SH,长江传媒,2010-01-14,5.25,5.24,3158425138.0,新闻和出版业,2010-01,2010
600757.SH,长江传媒,2010-01-15,5.22,5.41,3257816139.0,新闻和出版业,2010-01,2010
600757.SH,长江传媒,2010-01-18,5.39,5.46,3285424751.0,新闻和出版业,2010-01,2010
600757.SH,长江传媒,2010-01-19,5.46,5.36,3230207528.0,新闻和出版业,2010-01,2010
600757.SH,长江传媒,2010-01-20,5.35,5.57,3357207140.0,新闻和出版业,2010-01,2010
600757.SH,长江传媒,2010-01-21,5.56,5.57,3357207140.0,新闻和出版业,2010-01,2010
600757.SH,长江传媒,2010-01-22,5.51,5.43,3268859584.0,新闻和出版业,2010-01,2010
600757.SH,长江传媒,2010-01-25,5.41,5.4,3252294417.0,新闻和出版业,2010-01,2010
600757.SH,长江传媒,2010-01-26,5.36,5.13,3092164471.0,新闻和出版业,2010-01,2010
600757.SH,长江传媒,2010-01-27,5.12,5.05,3042468971.0,新闻和出版业,2010-01,2010
600757.SH,长江传媒,2010-01-28,5.09,5.06,3047990693.0,新闻和出版业,2010-01,2010
600757.SH,长江传媒,2010-01-29,5.04,5.07,3053512415.0,新闻和出版业,2010-01,2010
600757.SH,长江传媒,2010-02-01,5.09,5.08,3059034138.0,新闻和出版业,2010-02,2010
600757.SH,长江传媒,2010-02-02,5.09,5.1,3070077582.0,新闻和出版业,2010-02,2010
600757.SH,长江传媒,2010-02-03,5.05,5.17,3114251360.0,新闻和出版业,2010-02,2010
600757.SH,长江传媒,2010-02-04,5.13,5.23,3147381694.0,新闻和出版业,2010-02,2010
600757.SH,长江传媒,2010-02-05,5.15,5.19,3125294805.0,新闻和出版业,2010-02,2010
600757.SH,长江传媒,2010-02-08,5.19,5.14,3097686193.0,新闻和出版业,2010-02,2010
600757.SH,长江传媒,2010-02-09,5.14,5.09,3064555860.0,新闻和出版业,2010-02,2010
600757.SH,长江传媒,2010-02-10,5.1,5.11,3075599304.0,新闻和出版业,2010-02,2010
600757.SH,长江传媒,2010-02-11,5.12,5.13,3092164471.0,新闻和出版业,2010-02,2010
600757.SH,长江传媒,2010-02-12,5.19,5.39,3246772695.0,新闻和出版业,2010-02,2010
600757.SH,长江传媒,2010-02-22,5.46,5.29,3186033750.0,新闻和出版业,2010-02,2010
600757.SH,长江传媒,2010-02-23,5.29,5.56,3346163696.0,新闻和出版业,2010-02,2010
600757.SH,长江传媒,2010-02-24,5.58,5.79,3484206752.0,新闻和出版业,2010-02,2010
600757.SH,长江传媒,2010-02-25,5.78,5.79,3484206752.0,新闻和出版业,2010-02,2010
600757.SH,长江传媒,2010-02-26,5.8,5.74,3456598141.0,新闻和出版业,2010-02,2010
600757.SH,长江传媒,2010-03-01,5.75,5.94,3578076031.0,新闻和出版业,2010-03,2010
600757.SH,长江传媒,2010-03-02,5.98,5.91,3561510864.0,新闻和出版业,2010-03,2010
600757.SH,长江传媒,2010-03-03,5.93,5.92,3567032586.0,新闻和出版业,2010-03,2010
600757.SH,长江传媒,2010-03-04,5.92,5.79,3489728475.0,新闻和出版业,2010-03,2010
600757.SH,长江传媒,2010-03-05,5.82,6.09,3666423587.0,新闻和出版业,2010-03,2010
600757.SH,长江传媒,2010-03-08,6.1,6.39,3848640422.0,新闻和出版业,2010-03,2010
600757.SH,长江传媒,2010-03-09,6.56,6.26,3771336310.0,新闻和出版业,2010-03,2010
600757.SH,长江传媒,2010-03-10,6.23,6.5,3914901089.0,新闻和出版业,2010-03,2010
600757.SH,长江传媒,2010-03-11,6.5,6.5,3914901089.0,新闻和出版业,2010-03,2010
600757.SH,长江传媒,2010-03-12,6.32,6.19,3727162532.0,新闻和出版业,2010-03,2010
600757.SH,长江传媒,2010-03-15,6.15,6.27,3776858033.0,新闻和出版业,2010-03,2010
600757.SH,长江传媒,2010-03-16,6.31,6.33,3809988366.0,新闻和出版业,2010-03,2010
600757.SH,长江传媒,2010-03-17,6.31,6.34,3815510089.0,新闻和出版业,2010-03,2010
600757.SH,长江传媒,2010-03-18,6.34,6.24,3760292866.0,新闻和出版业,2010-03,2010
600757.SH,长江传媒,2010-03-19,6.26,6.4,3854162144.0,新闻和出版业,2010-03,2010
600757.SH,长江传媒,2010-03-22,6.44,6.43,3870727311.0,新闻和出版业,2010-03,2010
