代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year
688202.SH,美迪西,2019-11-05,66.66,71.0,4402000000.0,研究和试验发展,2019-11,2019
688202.SH,美迪西,2019-11-06,68.2,66.38,4115560000.0,研究和试验发展,2019-11,2019
688202.SH,美迪西,2019-11-07,68.47,69.19,4289780000.0,研究和试验发展,2019-11,2019
688202.SH,美迪西,2019-11-08,69.58,68.2,4228400000.0,研究和试验发展,2019-11,2019
688202.SH,美迪西,2019-11-11,68.8,64.46,3996520000.0,研究和试验发展,2019-11,2019
688202.SH,美迪西,2019-11-12,65.0,57.49,3564380000.0,研究和试验发展,2019-11,2019
688202.SH,美迪西,2019-11-13,57.13,57.43,3560660000.0,研究和试验发展,2019-11,2019
688202.SH,美迪西,2019-11-14,57.0,57.21,3547020000.0,研究和试验发展,2019-11,2019
688202.SH,美迪西,2019-11-15,57.0,55.61,3447820000.0,研究和试验发展,2019-11,2019
688202.SH,美迪西,2019-11-18,55.95,56.88,3526560000.0,研究和试验发展,2019-11,2019
688202.SH,美迪西,2019-11-19,56.61,59.04,3660480000.0,研究和试验发展,2019-11,2019
688202.SH,美迪西,2019-11-20,58.71,60.29,3737980000.0,研究和试验发展,2019-11,2019
688202.SH,美迪西,2019-11-21,59.8,61.75,3828500000.0,研究和试验发展,2019-11,2019
688202.SH,美迪西,2019-11-22,61.41,58.3,3614600000.0,研究和试验发展,2019-11,2019
688202.SH,美迪西,2019-11-25,57.89,58.5,3627000000.0,研究和试验发展,2019-11,2019
688202.SH,美迪西,2019-11-26,58.55,58.45,3623900000.0,研究和试验发展,2019-11,2019
688202.SH,美迪西,2019-11-27,58.28,58.84,3648080000.0,研究和试验发展,2019-11,2019
688202.SH,美迪西,2019-11-28,58.83,60.73,3765260000.0,研究和试验发展,2019-11,2019
688202.SH,美迪西,2019-11-29,61.06,60.35,3741700000.0,研究和试验发展,2019-11,2019
688202.SH,美迪西,2019-12-02,60.6,58.31,3615220000.0,研究和试验发展,2019-12,2019
688202.SH,美迪西,2019-12-03,58.22,57.11,3540820000.0,研究和试验发展,2019-12,2019
688202.SH,美迪西,2019-12-04,57.0,57.08,3538960000.0,研究和试验发展,2019-12,2019
688202.SH,美迪西,2019-12-05,57.13,56.83,3523460000.0,研究和试验发展,2019-12,2019
688202.SH,美迪西,2019-12-06,57.0,55.44,3437280000.0,研究和试验发展,2019-12,2019
688202.SH,美迪西,2019-12-09,55.59,56.18,3483160000.0,研究和试验发展,2019-12,2019
688202.SH,美迪西,2019-12-10,56.3,57.88,3588560000.0,研究和试验发展,2019-12,2019
688202.SH,美迪西,2019-12-11,57.13,56.22,3485640000.0,研究和试验发展,2019-12,2019
688202.SH,美迪西,2019-12-12,56.56,56.69,3514780000.0,研究和试验发展,2019-12,2019
688202.SH,美迪西,2019-12-13,56.58,57.28,3551360000.0,研究和试验发展,2019-12,2019
688202.SH,美迪西,2019-12-16,57.0,57.45,3561900000.0,研究和试验发展,2019-12,2019
688202.SH,美迪西,2019-12-17,57.45,57.68,3576160000.0,研究和试验发展,2019-12,2019
688202.SH,美迪西,2019-12-18,57.72,59.5,3689000000.0,研究和试验发展,2019-12,2019
688202.SH,美迪西,2019-12-19,60.1,60.12,3727440000.0,研究和试验发展,2019-12,2019
688202.SH,美迪西,2019-12-20,60.12,59.1,3664200000.0,研究和试验发展,2019-12,2019
688202.SH,美迪西,2019-12-23,58.89,56.75,3518500000.0,研究和试验发展,2019-12,2019
688202.SH,美迪西,2019-12-24,56.76,57.42,3560040000.0,研究和试验发展,2019-12,2019
688202.SH,美迪西,2019-12-25,57.45,58.2,3608400000.0,研究和试验发展,2019-12,2019
688202.SH,美迪西,2019-12-26,58.2,58.55,3630100000.0,研究和试验发展,2019-12,2019
688202.SH,美迪西,2019-12-27,58.66,58.09,3601580000.0,研究和试验发展,2019-12,2019
688202.SH,美迪西,2019-12-30,57.92,57.4,3558800000.0,研究和试验发展,2019-12,2019
688202.SH,美迪西,2019-12-31,57.02,58.35,3617700000.0,研究和试验发展,2019-12,2019
688202.SH,美迪西,2020-01-02,58.58,58.88,3650560000.0,研究和试验发展,2020-01,2020
688202.SH,美迪西,2020-01-03,58.9,59.42,3684040000.0,研究和试验发展,2020-01,2020
688202.SH,美迪西,2020-01-06,58.89,59.66,3698920000.0,研究和试验发展,2020-01,2020
688202.SH,美迪西,2020-01-07,59.69,62.2,3856400000.0,研究和试验发展,2020-01,2020
688202.SH,美迪西,2020-01-08,62.0,62.87,3897940000.0,研究和试验发展,2020-01,2020
688202.SH,美迪西,2020-01-09,63.0,63.7,3949400000.0,研究和试验发展,2020-01,2020
688202.SH,美迪西,2020-01-10,63.75,63.0,3906000000.0,研究和试验发展,2020-01,2020
688202.SH,美迪西,2020-01-13,63.08,65.83,4081460000.0,研究和试验发展,2020-01,2020
688202.SH,美迪西,2020-01-14,65.4,65.33,4050460000.0,研究和试验发展,2020-01,2020
688202.SH,美迪西,2020-01-15,65.32,65.3,4048600000.0,研究和试验发展,2020-01,2020
688202.SH,美迪西,2020-01-16,65.5,66.62,4130440000.0,研究和试验发展,2020-01,2020
688202.SH,美迪西,2020-01-17,66.88,68.0,4216000000.0,研究和试验发展,2020-01,2020
688202.SH,美迪西,2020-01-20,67.68,69.58,4313960000.0,研究和试验发展,2020-01,2020
688202.SH,美迪西,2020-01-21,70.48,66.88,4146560000.0,研究和试验发展,2020-01,2020
688202.SH,美迪西,2020-01-22,66.88,69.51,4309620000.0,研究和试验发展,2020-01,2020
688202.SH,美迪西,2020-01-23,69.0,65.3,4048600000.0,研究和试验发展,2020-01,2020
688202.SH,美迪西,2020-02-03,60.03,66.45,4119900000.0,研究和试验发展,2020-02,2020
688202.SH,美迪西,2020-02-04,64.5,74.89,4643180000.0,研究和试验发展,2020-02,2020
688202.SH,美迪西,2020-02-05,79.75,77.8,4823600000.0,研究和试验发展,2020-02,2020
688202.SH,美迪西,2020-02-06,77.0,78.02,4837240000.0,研究和试验发展,2020-02,2020
688202.SH,美迪西,2020-02-07,78.97,80.32,4979840000.0,研究和试验发展,2020-02,2020
688202.SH,美迪西,2020-02-10,78.5,74.11,4594820000.0,研究和试验发展,2020-02,2020
688202.SH,美迪西,2020-02-11,72.3,70.3,4358600000.0,研究和试验发展,2020-02,2020
688202.SH,美迪西,2020-02-12,73.0,73.72,4570640000.0,研究和试验发展,2020-02,2020
688202.SH,美迪西,2020-02-13,74.3,76.5,4743000000.0,研究和试验发展,2020-02,2020
688202.SH,美迪西,2020-02-14,75.0,73.05,4529100000.0,研究和试验发展,2020-02,2020
688202.SH,美迪西,2020-02-17,72.0,74.66,4628920000.0,研究和试验发展,2020-02,2020
688202.SH,美迪西,2020-02-18,74.15,76.95,4770900000.0,研究和试验发展,2020-02,2020
688202.SH,美迪西,2020-02-19,76.25,76.25,4727500000.0,研究和试验发展,2020-02,2020
688202.SH,美迪西,2020-02-20,76.01,73.8,4575600000.0,研究和试验发展,2020-02,2020
688202.SH,美迪西,2020-02-21,73.2,71.95,4460900000.0,研究和试验发展,2020-02,2020
688202.SH,美迪西,2020-02-24,71.03,72.5,4495000000.0,研究和试验发展,2020-02,2020
688202.SH,美迪西,2020-02-25,71.31,72.98,4524760000.0,研究和试验发展,2020-02,2020
688202.SH,美迪西,2020-02-26,73.0,72.39,4488180000.0,研究和试验发展,2020-02,2020
688202.SH,美迪西,2020-02-27,71.93,73.95,4584900000.0,研究和试验发展,2020-02,2020
688202.SH,美迪西,2020-02-28,72.51,68.78,4264360000.0,研究和试验发展,2020-02,2020
688202.SH,美迪西,2020-03-02,69.0,70.99,4401380000.0,研究和试验发展,2020-03,2020
688202.SH,美迪西,2020-03-03,71.6,71.96,4461520000.0,研究和试验发展,2020-03,2020
688202.SH,美迪西,2020-03-04,71.32,72.69,4506780000.0,研究和试验发展,2020-03,2020
688202.SH,美迪西,2020-03-05,73.4,74.18,4599160000.0,研究和试验发展,2020-03,2020
688202.SH,美迪西,2020-03-06,74.0,76.25,4727500000.0,研究和试验发展,2020-03,2020
688202.SH,美迪西,2020-03-09,75.0,79.8,4947600000.0,研究和试验发展,2020-03,2020
688202.SH,美迪西,2020-03-10,78.0,79.14,4906680000.0,研究和试验发展,2020-03,2020
688202.SH,美迪西,2020-03-11,79.0,83.51,5177620000.0,研究和试验发展,2020-03,2020
688202.SH,美迪西,2020-03-12,83.93,78.8,4885600000.0,研究和试验发展,2020-03,2020
688202.SH,美迪西,2020-03-13,74.5,77.11,4780820000.0,研究和试验发展,2020-03,2020
688202.SH,美迪西,2020-03-16,78.5,71.0,4402000000.0,研究和试验发展,2020-03,2020
688202.SH,美迪西,2020-03-17,71.0,71.84,4454080000.0,研究和试验发展,2020-03,2020
688202.SH,美迪西,2020-03-18,72.97,69.12,4285440000.0,研究和试验发展,2020-03,2020
688202.SH,美迪西,2020-03-19,70.25,67.02,4155240000.0,研究和试验发展,2020-03,2020
688202.SH,美迪西,2020-03-20,67.29,68.24,4230880000.0,研究和试验发展,2020-03,2020
688202.SH,美迪西,2020-03-23,68.24,65.09,4035580000.0,研究和试验发展,2020-03,2020
688202.SH,美迪西,2020-03-24,65.68,65.9,4085800000.0,研究和试验发展,2020-03,2020
688202.SH,美迪西,2020-03-25,67.47,68.07,4220340000.0,研究和试验发展,2020-03,2020
688202.SH,美迪西,2020-03-26,68.3,70.31,4359220000.0,研究和试验发展,2020-03,2020
688202.SH,美迪西,2020-03-27,70.91,70.15,4349300000.0,研究和试验发展,2020-03,2020
688202.SH,美迪西,2020-03-30,68.86,66.98,4152760000.0,研究和试验发展,2020-03,2020
688202.SH,美迪西,2020-03-31,67.58,64.99,4029380000.0,研究和试验发展,2020-03,2020
688202.SH,美迪西,2020-04-01,64.8,64.9,4023800000.0,研究和试验发展,2020-04,2020
688202.SH,美迪西,2020-04-02,65.48,66.7,4135400000.0,研究和试验发展,2020-04,2020
688202.SH,美迪西,2020-04-03,66.05,67.59,4190580000.0,研究和试验发展,2020-04,2020
688202.SH,美迪西,2020-04-07,68.88,68.3,4234600000.0,研究和试验发展,2020-04,2020
688202.SH,美迪西,2020-04-08,67.66,67.9,4209800000.0,研究和试验发展,2020-04,2020
688202.SH,美迪西,2020-04-09,68.55,70.97,4400140000.0,研究和试验发展,2020-04,2020
688202.SH,美迪西,2020-04-10,70.11,69.85,4330700000.0,研究和试验发展,2020-04,2020
688202.SH,美迪西,2020-04-13,69.8,73.5,4557000000.0,研究和试验发展,2020-04,2020
688202.SH,美迪西,2020-04-14,73.51,79.75,4944500000.0,研究和试验发展,2020-04,2020
688202.SH,美迪西,2020-04-15,78.97,79.9,4953800000.0,研究和试验发展,2020-04,2020
688202.SH,美迪西,2020-04-16,76.99,79.87,4951940000.0,研究和试验发展,2020-04,2020
688202.SH,美迪西,2020-04-17,80.3,77.0,4774000000.0,研究和试验发展,2020-04,2020
688202.SH,美迪西,2020-04-20,77.85,79.41,4923420000.0,研究和试验发展,2020-04,2020
688202.SH,美迪西,2020-04-21,78.5,77.78,4822360000.0,研究和试验发展,2020-04,2020
688202.SH,美迪西,2020-04-22,77.2,78.23,4850260000.0,研究和试验发展,2020-04,2020
688202.SH,美迪西,2020-04-23,78.26,78.3,4854600000.0,研究和试验发展,2020-04,2020
688202.SH,美迪西,2020-04-24,80.8,88.99,5517380000.0,研究和试验发展,2020-04,2020
688202.SH,美迪西,2020-04-27,88.01,87.15,5403300000.0,研究和试验发展,2020-04,2020
688202.SH,美迪西,2020-04-28,87.1,88.79,5504980000.0,研究和试验发展,2020-04,2020
688202.SH,美迪西,2020-04-29,88.02,87.1,5400200000.0,研究和试验发展,2020-04,2020
688202.SH,美迪西,2020-04-30,88.16,86.31,5351220000.0,研究和试验发展,2020-04,2020
688202.SH,美迪西,2020-05-06,85.2,89.88,5572560000.0,研究和试验发展,2020-05,2020
688202.SH,美迪西,2020-05-07,89.0,88.66,5496920000.0,研究和试验发展,2020-05,2020
688202.SH,美迪西,2020-05-08,89.33,89.0,5518000000.0,研究和试验发展,2020-05,2020
688202.SH,美迪西,2020-05-11,89.32,96.17,5962540000.0,研究和试验发展,2020-05,2020
688202.SH,美迪西,2020-05-12,94.5,100.36,6222320000.0,研究和试验发展,2020-05,2020
688202.SH,美迪西,2020-05-13,99.99,102.35,6345700000.0,研究和试验发展,2020-05,2020
688202.SH,美迪西,2020-05-14,102.0,103.0,6386000000.0,研究和试验发展,2020-05,2020
688202.SH,美迪西,2020-05-15,103.0,100.36,6222320000.0,研究和试验发展,2020-05,2020
688202.SH,美迪西,2020-05-18,99.8,101.11,6268820000.0,研究和试验发展,2020-05,2020
688202.SH,美迪西,2020-05-19,101.11,105.51,6541620000.0,研究和试验发展,2020-05,2020
688202.SH,美迪西,2020-05-20,105.52,101.5,6293000000.0,研究和试验发展,2020-05,2020
688202.SH,美迪西,2020-05-21,101.95,99.91,6194420000.0,研究和试验发展,2020-05,2020
688202.SH,美迪西,2020-05-22,99.53,96.46,5980520000.0,研究和试验发展,2020-05,2020
688202.SH,美迪西,2020-05-25,96.0,99.3,6156600000.0,研究和试验发展,2020-05,2020
688202.SH,美迪西,2020-05-26,100.0,105.01,6510620000.0,研究和试验发展,2020-05,2020
688202.SH,美迪西,2020-05-27,104.88,103.83,6437460000.0,研究和试验发展,2020-05,2020
688202.SH,美迪西,2020-05-28,104.05,104.42,6474040000.0,研究和试验发展,2020-05,2020
688202.SH,美迪西,2020-05-29,104.0,115.27,7146740000.0,研究和试验发展,2020-05,2020
688202.SH,美迪西,2020-06-01,116.11,116.51,7223620000.0,研究和试验发展,2020-06,2020
688202.SH,美迪西,2020-06-02,116.5,117.67,7295540000.0,研究和试验发展,2020-06,2020
688202.SH,美迪西,2020-06-03,117.64,124.29,7705980000.0,研究和试验发展,2020-06,2020
688202.SH,美迪西,2020-06-04,123.0,124.9,7743800000.0,研究和试验发展,2020-06,2020
688202.SH,美迪西,2020-06-05,125.38,120.67,7481540000.0,研究和试验发展,2020-06,2020
688202.SH,美迪西,2020-06-08,121.3,110.7,6863400000.0,研究和试验发展,2020-06,2020
688202.SH,美迪西,2020-06-09,111.2,117.96,7313520000.0,研究和试验发展,2020-06,2020
688202.SH,美迪西,2020-06-10,117.27,118.19,7327780000.0,研究和试验发展,2020-06,2020
688202.SH,美迪西,2020-06-11,118.97,115.81,7180220000.0,研究和试验发展,2020-06,2020
688202.SH,美迪西,2020-06-12,113.69,117.51,7285620000.0,研究和试验发展,2020-06,2020
688202.SH,美迪西,2020-06-15,118.72,114.0,7068000000.0,研究和试验发展,2020-06,2020
688202.SH,美迪西,2020-06-16,114.49,119.4,7402800000.0,研究和试验发展,2020-06,2020
688202.SH,美迪西,2020-06-17,119.21,122.5,7595000000.0,研究和试验发展,2020-06,2020
688202.SH,美迪西,2020-06-18,123.38,116.3,7210600000.0,研究和试验发展,2020-06,2020
688202.SH,美迪西,2020-06-19,115.89,118.97,7376140000.0,研究和试验发展,2020-06,2020
688202.SH,美迪西,2020-06-22,118.97,119.05,7381100000.0,研究和试验发展,2020-06,2020
688202.SH,美迪西,2020-06-23,118.8,129.98,8058760000.0,研究和试验发展,2020-06,2020
688202.SH,美迪西,2020-06-24,128.4,127.19,7885780000.0,研究和试验发展,2020-06,2020
688202.SH,美迪西,2020-06-29,127.19,130.25,8075500000.0,研究和试验发展,2020-06,2020
688202.SH,美迪西,2020-06-30,130.25,138.3,8574600000.0,研究和试验发展,2020-06,2020
688202.SH,美迪西,2020-07-01,137.98,133.67,8287540000.0,研究和试验发展,2020-07,2020
688202.SH,美迪西,2020-07-02,133.49,127.5,7905000000.0,研究和试验发展,2020-07,2020
688202.SH,美迪西,2020-07-03,126.26,124.76,7735120000.0,研究和试验发展,2020-07,2020
688202.SH,美迪西,2020-07-06,123.74,125.88,7804560000.0,研究和试验发展,2020-07,2020
688202.SH,美迪西,2020-07-07,125.01,126.84,7864080000.0,研究和试验发展,2020-07,2020
688202.SH,美迪西,2020-07-08,126.18,124.15,7697300000.0,研究和试验发展,2020-07,2020
688202.SH,美迪西,2020-07-09,125.0,127.16,7883920000.0,研究和试验发展,2020-07,2020
688202.SH,美迪西,2020-07-10,127.16,128.32,7955840000.0,研究和试验发展,2020-07,2020
688202.SH,美迪西,2020-07-13,130.0,137.3,8512600000.0,研究和试验发展,2020-07,2020
688202.SH,美迪西,2020-07-14,136.78,132.7,8227400000.0,研究和试验发展,2020-07,2020
688202.SH,美迪西,2020-07-15,133.1,145.0,8990000000.0,研究和试验发展,2020-07,2020
688202.SH,美迪西,2020-07-16,144.0,128.01,7936620000.0,研究和试验发展,2020-07,2020
688202.SH,美迪西,2020-07-17,128.5,134.88,8362560000.0,研究和试验发展,2020-07,2020
688202.SH,美迪西,2020-07-20,136.0,132.66,8224920000.0,研究和试验发展,2020-07,2020
688202.SH,美迪西,2020-07-21,130.0,137.2,8506400000.0,研究和试验发展,2020-07,2020
688202.SH,美迪西,2020-07-22,136.02,143.01,8866620000.0,研究和试验发展,2020-07,2020
688202.SH,美迪西,2020-07-23,142.72,146.51,9083620000.0,研究和试验发展,2020-07,2020
688202.SH,美迪西,2020-07-24,145.33,135.01,8370620000.0,研究和试验发展,2020-07,2020
688202.SH,美迪西,2020-07-27,133.11,135.18,8381160000.0,研究和试验发展,2020-07,2020
688202.SH,美迪西,2020-07-28,134.48,140.6,8717200000.0,研究和试验发展,2020-07,2020
688202.SH,美迪西,2020-07-29,140.8,143.51,8897620000.0,研究和试验发展,2020-07,2020
688202.SH,美迪西,2020-07-30,144.7,141.66,8782920000.0,研究和试验发展,2020-07,2020
688202.SH,美迪西,2020-07-31,140.37,139.6,8655200000.0,研究和试验发展,2020-07,2020
688202.SH,美迪西,2020-08-03,139.58,143.72,8910640000.0,研究和试验发展,2020-08,2020
688202.SH,美迪西,2020-08-04,142.02,140.02,8681240000.0,研究和试验发展,2020-08,2020
688202.SH,美迪西,2020-08-05,139.17,147.23,9128260000.0,研究和试验发展,2020-08,2020
688202.SH,美迪西,2020-08-06,146.49,152.25,9439500000.0,研究和试验发展,2020-08,2020
688202.SH,美迪西,2020-08-07,151.64,155.9,9665800000.0,研究和试验发展,2020-08,2020
688202.SH,美迪西,2020-08-10,155.8,160.85,9972700000.0,研究和试验发展,2020-08,2020
688202.SH,美迪西,2020-08-11,163.0,151.9,9417800000.0,研究和试验发展,2020-08,2020
688202.SH,美迪西,2020-08-12,148.12,141.8,8791600000.0,研究和试验发展,2020-08,2020
688202.SH,美迪西,2020-08-13,141.8,140.51,8711620000.0,研究和试验发展,2020-08,2020
688202.SH,美迪西,2020-08-14,138.0,140.0,8680000000.0,研究和试验发展,2020-08,2020
688202.SH,美迪西,2020-08-17,138.38,139.1,8624200000.0,研究和试验发展,2020-08,2020
688202.SH,美迪西,2020-08-18,145.0,139.0,8618000000.0,研究和试验发展,2020-08,2020
688202.SH,美迪西,2020-08-19,138.51,136.33,8452460000.0,研究和试验发展,2020-08,2020
688202.SH,美迪西,2020-08-20,135.8,132.69,8226780000.0,研究和试验发展,2020-08,2020
688202.SH,美迪西,2020-08-21,130.88,141.0,8742000000.0,研究和试验发展,2020-08,2020
688202.SH,美迪西,2020-08-24,140.39,151.0,9362000000.0,研究和试验发展,2020-08,2020
688202.SH,美迪西,2020-08-25,150.42,151.02,9363240000.0,研究和试验发展,2020-08,2020
688202.SH,美迪西,2020-08-26,148.18,152.17,9434540000.0,研究和试验发展,2020-08,2020
688202.SH,美迪西,2020-08-27,152.69,161.64,10021680000.0,研究和试验发展,2020-08,2020
688202.SH,美迪西,2020-08-28,163.28,161.38,10005560000.0,研究和试验发展,2020-08,2020
688202.SH,美迪西,2020-08-31,160.9,167.87,10407940000.0,研究和试验发展,2020-08,2020
688202.SH,美迪西,2020-09-01,168.93,170.0,10540000000.0,研究和试验发展,2020-09,2020
688202.SH,美迪西,2020-09-02,170.0,163.25,10121500000.0,研究和试验发展,2020-09,2020
688202.SH,美迪西,2020-09-03,162.67,171.16,10611920000.0,研究和试验发展,2020-09,2020
688202.SH,美迪西,2020-09-04,167.16,175.0,10850000000.0,研究和试验发展,2020-09,2020
688202.SH,美迪西,2020-09-07,171.2,170.5,10571000000.0,研究和试验发展,2020-09,2020
688202.SH,美迪西,2020-09-08,169.9,170.48,10569760000.0,研究和试验发展,2020-09,2020
688202.SH,美迪西,2020-09-09,167.68,164.88,10222560000.0,研究和试验发展,2020-09,2020
688202.SH,美迪西,2020-09-10,161.0,153.0,9486000000.0,研究和试验发展,2020-09,2020
688202.SH,美迪西,2020-09-11,153.0,155.79,9658980000.0,研究和试验发展,2020-09,2020
688202.SH,美迪西,2020-09-14,154.8,158.69,9838780000.0,研究和试验发展,2020-09,2020
688202.SH,美迪西,2020-09-15,156.28,167.99,10415380000.0,研究和试验发展,2020-09,2020
688202.SH,美迪西,2020-09-16,163.5,169.18,10489160000.0,研究和试验发展,2020-09,2020
688202.SH,美迪西,2020-09-17,167.58,166.71,10336020000.0,研究和试验发展,2020-09,2020
688202.SH,美迪西,2020-09-18,163.13,167.96,10413520000.0,研究和试验发展,2020-09,2020
688202.SH,美迪西,2020-09-21,163.0,165.4,10254800000.0,研究和试验发展,2020-09,2020
688202.SH,美迪西,2020-09-22,165.4,162.21,10057020000.0,研究和试验发展,2020-09,2020
688202.SH,美迪西,2020-09-23,161.12,167.0,10354000000.0,研究和试验发展,2020-09,2020
688202.SH,美迪西,2020-09-24,167.92,164.13,10176060000.0,研究和试验发展,2020-09,2020
688202.SH,美迪西,2020-09-25,164.99,171.48,10631760000.0,研究和试验发展,2020-09,2020
688202.SH,美迪西,2020-09-28,172.08,172.5,10695000000.0,研究和试验发展,2020-09,2020
688202.SH,美迪西,2020-09-29,172.48,172.28,10681360000.0,研究和试验发展,2020-09,2020
688202.SH,美迪西,2020-09-30,172.79,174.9,10843800000.0,研究和试验发展,2020-09,2020
