代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year
600673.SH,东阳光,2010-01-04,3.04,3.02,6743854322.0,综合,2010-01,2010
600673.SH,东阳光,2010-01-05,3.04,3.13,6992094359.0,综合,2010-01,2010
600673.SH,东阳光,2010-01-06,3.15,3.27,7306531738.0,综合,2010-01,2010
600673.SH,东阳光,2010-01-07,3.33,3.34,7472025096.0,综合,2010-01,2010
600673.SH,东阳光,2010-01-08,3.28,3.4,7596145114.0,综合,2010-01,2010
600673.SH,东阳光,2010-01-11,3.41,3.42,7645793121.0,综合,2010-01,2010
600673.SH,东阳光,2010-01-12,3.42,3.38,7546497107.0,综合,2010-01,2010
600673.SH,东阳光,2010-01-13,3.3,3.15,7033467698.0,综合,2010-01,2010
600673.SH,东阳光,2010-01-14,3.18,3.2,7157587716.0,综合,2010-01,2010
600673.SH,东阳光,2010-01-15,3.21,3.25,7273433067.0,综合,2010-01,2010
600673.SH,东阳光,2010-01-18,3.25,3.39,7579595778.0,综合,2010-01,2010
600673.SH,东阳光,2010-01-19,3.33,3.59,8034702511.0,综合,2010-01,2010
600673.SH,东阳光,2010-01-20,3.6,3.65,8167097198.0,综合,2010-01,2010
600673.SH,东阳光,2010-01-21,3.65,3.64,8125723858.0,综合,2010-01,2010
600673.SH,东阳光,2010-01-22,3.55,3.35,7488574431.0,综合,2010-01,2010
600673.SH,东阳光,2010-01-25,3.31,3.25,7256883731.0,综合,2010-01,2010
600673.SH,东阳光,2010-01-26,3.26,3.07,6851425005.0,综合,2010-01,2010
600673.SH,东阳光,2010-01-27,3.02,3.04,6785227662.0,综合,2010-01,2010
600673.SH,东阳光,2010-01-28,3.0,3.1,6934171683.0,综合,2010-01,2010
600673.SH,东阳光,2010-01-29,3.06,3.14,7025193030.0,综合,2010-01,2010
600673.SH,东阳光,2010-02-01,3.1,3.0,6710755651.0,综合,2010-02,2010
600673.SH,东阳光,2010-02-02,3.04,3.04,6793502329.0,综合,2010-02,2010
600673.SH,东阳光,2010-02-03,3.05,3.13,6992094359.0,综合,2010-02,2010
600673.SH,东阳光,2010-02-04,3.08,3.14,7008643694.0,综合,2010-02,2010
600673.SH,东阳光,2010-02-05,3.04,3.07,6859699673.0,综合,2010-02,2010
600673.SH,东阳光,2010-02-08,3.06,3.1,6934171683.0,综合,2010-02,2010
600673.SH,东阳光,2010-02-09,3.1,3.18,7116214377.0,综合,2010-02,2010
600673.SH,东阳光,2010-02-10,3.22,3.17,7074841037.0,综合,2010-02,2010
600673.SH,东阳光,2010-02-11,3.17,3.09,6909347680.0,综合,2010-02,2010
600673.SH,东阳光,2010-02-12,3.12,3.19,7124489045.0,综合,2010-02,2010
600673.SH,东阳光,2010-02-22,3.21,3.27,7306531738.0,综合,2010-02,2010
600673.SH,东阳光,2010-02-23,3.27,3.35,7496849099.0,综合,2010-02,2010
600673.SH,东阳光,2010-02-24,3.34,3.37,7521673103.0,综合,2010-02,2010
600673.SH,东阳光,2010-02-25,3.37,3.38,7563046442.0,综合,2010-02,2010
600673.SH,东阳光,2010-02-26,3.37,3.3,7372729081.0,综合,2010-02,2010
600673.SH,东阳光,2010-03-01,3.34,3.41,7620969117.0,综合,2010-03,2010
600673.SH,东阳光,2010-03-02,3.38,3.35,7480299764.0,综合,2010-03,2010
600673.SH,东阳光,2010-03-03,3.34,3.38,7554771774.0,综合,2010-03,2010
600673.SH,东阳光,2010-03-04,3.39,3.26,7289982402.0,综合,2010-03,2010
600673.SH,东阳光,2010-03-05,3.25,3.26,7281707734.0,综合,2010-03,2010
600673.SH,东阳光,2010-03-08,3.26,3.32,7414102420.0,综合,2010-03,2010
600673.SH,东阳光,2010-03-09,3.32,3.33,7438926424.0,综合,2010-03,2010
600673.SH,东阳光,2010-03-10,3.32,3.39,7571321110.0,综合,2010-03,2010
600673.SH,东阳光,2010-03-11,3.38,3.34,7472025096.0,综合,2010-03,2010
600673.SH,东阳光,2010-03-12,3.33,3.21,7174137052.0,综合,2010-03,2010
600673.SH,东阳光,2010-03-15,3.19,3.12,6975545023.0,综合,2010-03,2010
600673.SH,东阳光,2010-03-16,3.12,3.15,7033467698.0,综合,2010-03,2010
600673.SH,东阳光,2010-03-17,3.16,3.22,7198961056.0,综合,2010-03,2010
600673.SH,东阳光,2010-03-18,3.23,3.22,7207235723.0,综合,2010-03,2010
600673.SH,东阳光,2010-03-19,3.22,3.34,7472025096.0,综合,2010-03,2010
600673.SH,东阳光,2010-03-22,3.3,3.32,7414102420.0,综合,2010-03,2010
600673.SH,东阳光,2010-03-23,3.3,3.32,7422377088.0,综合,2010-03,2010
600673.SH,东阳光,2010-03-24,3.32,3.34,7472025096.0,综合,2010-03,2010
600673.SH,东阳光,2010-03-25,3.32,3.28,7323081074.0,综合,2010-03,2010
600673.SH,东阳光,2010-03-26,3.29,3.32,7430651756.0,综合,2010-03,2010
600673.SH,东阳光,2010-03-29,3.34,3.4,7604419782.0,综合,2010-03,2010
600673.SH,东阳光,2010-03-30,3.41,3.4,7596145114.0,综合,2010-03,2010
600673.SH,东阳光,2010-03-31,3.4,3.59,8018153176.0,综合,2010-03,2010
600673.SH,东阳光,2010-04-01,3.61,3.62,8100899855.0,综合,2010-04,2010
600673.SH,东阳光,2010-04-02,3.61,3.56,7960230501.0,综合,2010-04,2010
600673.SH,东阳光,2010-04-06,3.55,3.52,7877483822.0,综合,2010-04,2010
600673.SH,东阳光,2010-04-07,3.54,3.58,8001603840.0,综合,2010-04,2010
600673.SH,东阳光,2010-04-08,3.54,3.58,7993329172.0,综合,2010-04,2010
600673.SH,东阳光,2010-04-09,3.55,3.55,7935406497.0,综合,2010-04,2010
600673.SH,东阳光,2010-04-12,3.54,3.64,8142273194.0,综合,2010-04,2010
600673.SH,东阳光,2010-04-13,3.63,3.58,7993329172.0,综合,2010-04,2010
600673.SH,东阳光,2010-04-14,3.59,3.72,8316041219.0,综合,2010-04,2010
600673.SH,东阳光,2010-04-15,3.7,3.7,8266393212.0,综合,2010-04,2010
600673.SH,东阳光,2010-04-16,3.68,3.61,8076075851.0,综合,2010-04,2010
600673.SH,东阳光,2010-04-19,3.57,3.39,7579595778.0,综合,2010-04,2010
600673.SH,东阳光,2010-04-20,3.39,3.43,7670617125.0,综合,2010-04,2010
600673.SH,东阳光,2010-04-21,3.41,3.47,7761638471.0,综合,2010-04,2010
600673.SH,东阳光,2010-04-22,3.46,3.55,7943681165.0,综合,2010-04,2010
600673.SH,东阳光,2010-04-23,3.52,3.52,7877483822.0,综合,2010-04,2010
600673.SH,东阳光,2010-04-26,3.54,3.57,7968505168.0,综合,2010-04,2010
600673.SH,东阳光,2010-04-27,3.57,3.47,7761638471.0,综合,2010-04,2010
600673.SH,东阳光,2010-04-28,3.43,3.48,7778187807.0,综合,2010-04,2010
600673.SH,东阳光,2010-04-29,3.49,3.32,7422377088.0,综合,2010-04,2010
600673.SH,东阳光,2010-04-30,3.31,3.16,7066566370.0,综合,2010-04,2010
600673.SH,东阳光,2010-05-04,3.16,3.16,7066566370.0,综合,2010-05,2010
600673.SH,东阳光,2010-05-05,3.12,3.21,7182411720.0,综合,2010-05,2010
600673.SH,东阳光,2010-05-06,3.19,3.11,6942446351.0,综合,2010-05,2010
600673.SH,东阳光,2010-05-07,3.02,3.03,6776952994.0,综合,2010-05,2010
600673.SH,东阳光,2010-05-10,3.05,3.1,6917622348.0,综合,2010-05,2010
600673.SH,东阳光,2010-05-11,3.16,3.07,6867974340.0,综合,2010-05,2010
600673.SH,东阳光,2010-05-12,3.02,3.03,6768678326.0,综合,2010-05,2010
600673.SH,东阳光,2010-05-13,3.03,3.05,6826601001.0,综合,2010-05,2010
600673.SH,东阳光,2010-05-14,3.03,3.09,6901073012.0,综合,2010-05,2010
600673.SH,东阳光,2010-05-17,3.07,3.04,6785227662.0,综合,2010-05,2010
600673.SH,东阳光,2010-05-18,3.02,3.17,7083115705.0,综合,2010-05,2010
600673.SH,东阳光,2010-05-19,3.14,3.2,7141038380.0,综合,2010-05,2010
600673.SH,东阳光,2010-05-20,3.17,3.21,7165862384.0,综合,2010-05,2010
600673.SH,东阳光,2010-05-21,3.15,3.32,7422377088.0,综合,2010-05,2010
600673.SH,东阳光,2010-05-24,3.37,3.52,7869209154.0,综合,2010-05,2010
600673.SH,东阳光,2010-05-25,3.54,3.67,8200195869.0,综合,2010-05,2010
600673.SH,东阳光,2010-05-26,3.69,3.66,8175371865.0,综合,2010-05,2010
600673.SH,东阳光,2010-05-27,3.65,4.02,8994563986.0,综合,2010-05,2010
600673.SH,东阳光,2010-05-28,4.11,4.08,9110409336.0,综合,2010-05,2010
600673.SH,东阳光,2010-05-31,4.03,3.95,8837345296.0,综合,2010-05,2010
600673.SH,东阳光,2010-06-01,3.91,4.22,9424846715.0,综合,2010-06,2010
600673.SH,东阳光,2010-06-02,4.15,4.22,9433121383.0,综合,2010-06,2010
600673.SH,东阳光,2010-06-03,4.22,4.15,9284177361.0,综合,2010-06,2010
600673.SH,东阳光,2010-06-04,4.08,4.14,9251078690.0,综合,2010-06,2010
600673.SH,东阳光,2010-06-07,4.04,4.39,9805481438.0,综合,2010-06,2010
600673.SH,东阳光,2010-06-08,4.36,4.49,10037172138.0,综合,2010-06,2010
600673.SH,东阳光,2010-06-09,4.48,4.47,9987524131.0,综合,2010-06,2010
600673.SH,东阳光,2010-06-10,4.41,4.38,9797206770.0,综合,2010-06,2010
600673.SH,东阳光,2010-06-11,4.37,4.38,9797206770.0,综合,2010-06,2010
600673.SH,东阳光,2010-06-17,4.38,4.3,9615164077.0,综合,2010-06,2010
600673.SH,东阳光,2010-06-18,4.25,4.01,8961465314.0,综合,2010-06,2010
600673.SH,东阳光,2010-06-21,3.97,4.18,9333825369.0,综合,2010-06,2010
600673.SH,东阳光,2010-06-22,4.15,4.09,9135233340.0,综合,2010-06,2010
600673.SH,东阳光,2010-06-23,4.04,4.29,9590340073.0,综合,2010-06,2010
600673.SH,东阳光,2010-06-24,4.29,4.29,9590340073.0,综合,2010-06,2010
600673.SH,东阳光,2010-06-25,4.25,4.46,9979249463.0,综合,2010-06,2010
600673.SH,东阳光,2010-06-28,4.49,4.45,9937876124.0,综合,2010-06,2010
600673.SH,东阳光,2010-06-29,4.45,4.0,8944915978.0,综合,2010-06,2010
600673.SH,东阳光,2010-06-30,3.85,3.9,8713225278.0,综合,2010-06,2010
600673.SH,东阳光,2010-07-01,3.85,3.99,8911817307.0,综合,2010-07,2010
600673.SH,东阳光,2010-07-02,3.97,3.88,8671851938.0,综合,2010-07,2010
600673.SH,东阳光,2010-07-05,3.79,3.62,8092625187.0,综合,2010-07,2010
