代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year
603505.SH,金石资源,2017-05-03,4.36,5.24,1293600000,非金属矿采选业,2017-05,2017
603505.SH,金石资源,2017-05-04,5.76,5.76,1423200000,非金属矿采选业,2017-05,2017
603505.SH,金石资源,2017-05-05,6.33,6.33,1564800000,非金属矿采选业,2017-05,2017
603505.SH,金石资源,2017-05-08,6.97,6.97,1720800000,非金属矿采选业,2017-05,2017
603505.SH,金石资源,2017-05-09,7.67,7.67,1893600000,非金属矿采选业,2017-05,2017
603505.SH,金石资源,2017-05-10,8.43,8.43,2083200000,非金属矿采选业,2017-05,2017
603505.SH,金石资源,2017-05-11,9.28,9.28,2292000000,非金属矿采选业,2017-05,2017
603505.SH,金石资源,2017-05-12,10.21,10.21,2522400000,非金属矿采选业,2017-05,2017
603505.SH,金石资源,2017-05-15,11.23,11.23,2774400000,非金属矿采选业,2017-05,2017
603505.SH,金石资源,2017-05-16,12.36,12.36,3052800000,非金属矿采选业,2017-05,2017
603505.SH,金石资源,2017-05-17,13.59,13.59,3357600000,非金属矿采选业,2017-05,2017
603505.SH,金石资源,2017-05-18,14.95,14.95,3693600000,非金属矿采选业,2017-05,2017
603505.SH,金石资源,2017-05-19,16.45,16.45,4063200000,非金属矿采选业,2017-05,2017
603505.SH,金石资源,2017-05-22,18.09,18.09,4468800000,非金属矿采选业,2017-05,2017
603505.SH,金石资源,2017-05-23,19.9,19.9,4915200000,非金属矿采选业,2017-05,2017
603505.SH,金石资源,2017-05-24,19.9,21.89,5407200000,非金属矿采选业,2017-05,2017
603505.SH,金石资源,2017-05-25,24.08,22.62,5587200000,非金属矿采选业,2017-05,2017
603505.SH,金石资源,2017-05-26,23.32,23.29,5752800000,非金属矿采选业,2017-05,2017
603505.SH,金石资源,2017-05-31,24.41,22.08,5455200000,非金属矿采选业,2017-05,2017
603505.SH,金石资源,2017-06-01,21.96,21.57,5328000000,非金属矿采选业,2017-06,2017
603505.SH,金石资源,2017-06-02,19.83,19.57,4833600000,非金属矿采选业,2017-06,2017
603505.SH,金石资源,2017-06-05,20.51,20.81,5140800000,非金属矿采选业,2017-06,2017
603505.SH,金石资源,2017-06-06,19.45,19.7,4867200000,非金属矿采选业,2017-06,2017
603505.SH,金石资源,2017-06-07,19.55,20.4,5040000000,非金属矿采选业,2017-06,2017
603505.SH,金石资源,2017-06-08,20.22,19.26,4756800000,非金属矿采选业,2017-06,2017
603505.SH,金石资源,2017-06-09,19.04,19.32,4771200000,非金属矿采选业,2017-06,2017
603505.SH,金石资源,2017-06-12,18.46,17.5,4322400000,非金属矿采选业,2017-06,2017
603505.SH,金石资源,2017-06-13,17.2,18.16,4485600000,非金属矿采选业,2017-06,2017
603505.SH,金石资源,2017-06-14,17.94,17.44,4308000000,非金属矿采选业,2017-06,2017
603505.SH,金石资源,2017-06-15,17.4,18.08,4466400000,非金属矿采选业,2017-06,2017
603505.SH,金石资源,2017-06-16,18.27,18.37,4538400000,非金属矿采选业,2017-06,2017
603505.SH,金石资源,2017-06-19,18.06,18.43,4552800000,非金属矿采选业,2017-06,2017
603505.SH,金石资源,2017-06-20,18.26,18.4,4545600000,非金属矿采选业,2017-06,2017
603505.SH,金石资源,2017-06-21,18.6,19.11,4720800000,非金属矿采选业,2017-06,2017
603505.SH,金石资源,2017-06-22,18.7,17.95,4432800000,非金属矿采选业,2017-06,2017
603505.SH,金石资源,2017-06-23,17.5,18.21,4497600000,非金属矿采选业,2017-06,2017
603505.SH,金石资源,2017-06-26,18.13,18.62,4598400000,非金属矿采选业,2017-06,2017
603505.SH,金石资源,2017-06-27,18.54,18.66,4610400000,非金属矿采选业,2017-06,2017
603505.SH,金石资源,2017-06-28,18.65,19.06,4708800000,非金属矿采选业,2017-06,2017
603505.SH,金石资源,2017-06-29,18.87,19.44,4802400000,非金属矿采选业,2017-06,2017
603505.SH,金石资源,2017-06-30,19.29,20.02,4946400000,非金属矿采选业,2017-06,2017
603505.SH,金石资源,2017-07-03,20.12,21.71,5361600000,非金属矿采选业,2017-07,2017
603505.SH,金石资源,2017-07-04,21.47,21.44,5296800000,非金属矿采选业,2017-07,2017
603505.SH,金石资源,2017-07-05,21.52,22.85,5644800000,非金属矿采选业,2017-07,2017
603505.SH,金石资源,2017-07-06,22.63,24.59,6074400000,非金属矿采选业,2017-07,2017
603505.SH,金石资源,2017-07-07,24.03,24.52,6057600000,非金属矿采选业,2017-07,2017
603505.SH,金石资源,2017-07-10,22.85,22.07,5452800000,非金属矿采选业,2017-07,2017
603505.SH,金石资源,2017-07-11,21.61,20.74,5124000000,非金属矿采选业,2017-07,2017
603505.SH,金石资源,2017-07-12,20.81,21.39,5282400000,非金属矿采选业,2017-07,2017
603505.SH,金石资源,2017-07-13,21.22,20.53,5071200000,非金属矿采选业,2017-07,2017
603505.SH,金石资源,2017-07-14,20.48,20.85,5150400000,非金属矿采选业,2017-07,2017
603505.SH,金石资源,2017-07-17,20.36,18.76,4634400000,非金属矿采选业,2017-07,2017
603505.SH,金石资源,2017-07-18,17.98,18.37,4538400000,非金属矿采选业,2017-07,2017
603505.SH,金石资源,2017-07-19,18.34,19.51,4819200000,非金属矿采选业,2017-07,2017
603505.SH,金石资源,2017-07-20,19.24,19.38,4788000000,非金属矿采选业,2017-07,2017
603505.SH,金石资源,2017-07-21,19.1,19.01,4696800000,非金属矿采选业,2017-07,2017
603505.SH,金石资源,2017-07-24,18.76,19.53,4824000000,非金属矿采选业,2017-07,2017
603505.SH,金石资源,2017-07-25,19.58,19.04,4704000000,非金属矿采选业,2017-07,2017
603505.SH,金石资源,2017-07-26,19.09,19.17,4735200000,非金属矿采选业,2017-07,2017
603505.SH,金石资源,2017-07-27,18.95,19.1,4718400000,非金属矿采选业,2017-07,2017
603505.SH,金石资源,2017-07-28,18.85,19.83,4898400000,非金属矿采选业,2017-07,2017
603505.SH,金石资源,2017-07-31,19.9,21.58,5330400000,非金属矿采选业,2017-07,2017
603505.SH,金石资源,2017-08-01,21.47,23.74,5863200000,非金属矿采选业,2017-08,2017
603505.SH,金石资源,2017-08-02,22.84,23.93,5911200000,非金属矿采选业,2017-08,2017
603505.SH,金石资源,2017-08-03,23.27,22.46,5548800000,非金属矿采选业,2017-08,2017
603505.SH,金石资源,2017-08-04,22.26,21.4,5287200000,非金属矿采选业,2017-08,2017
603505.SH,金石资源,2017-08-07,21.08,21.5,5311200000,非金属矿采选业,2017-08,2017
603505.SH,金石资源,2017-08-08,21.3,20.73,5121600000,非金属矿采选业,2017-08,2017
603505.SH,金石资源,2017-08-09,20.58,20.92,5167200000,非金属矿采选业,2017-08,2017
