代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,weight
002207.SZ,准油股份,2010-01-04,11.38,11.26,2264674349.0,开采辅助活动,0.01512758853665111
﻿600339.SH,中油工程,2010-01-04,8.39,8.72,5334790986.0,开采辅助活动,0.0356353764508697
﻿600583.SH,海油工程,2010-01-04,8.57,8.21,35944908000.0,开采辅助活动,0.24010506342860455
﻿600871.SH,石化油服,2010-01-04,3.88,3.82,34640000000.0,开采辅助活动,0.23138852927838519
﻿601808.SH,中海油服,2010-01-04,14.35,13.99,71520541200.0,开采辅助活动,0.47774344230548943
002207.SZ,准油股份,2010-01-05,11.26,11.32,2276609391.0,开采辅助活动,0.014957583003085898
600339.SH,中油工程,2010-01-05,8.81,8.92,5455677875.0,开采辅助活动,0.035844425036640724
600583.SH,海油工程,2010-01-05,8.21,8.32,36463500000.0,开采辅助活动,0.23956934816712377
600871.SH,石化油服,2010-01-05,3.84,3.82,34600000000.0,开采辅助活动,0.22732594091577832
601808.SH,中海油服,2010-01-05,14.06,14.36,73408575600.0,开采辅助活动,0.48230270287737126
002207.SZ,准油股份,2010-01-06,11.32,11.11,2234836742.0,开采辅助活动,0.014542325854705988
600339.SH,中油工程,2010-01-06,8.85,9.0,5502981440.0,开采辅助活动,0.035808499014233226
600583.SH,海油工程,2010-01-06,8.32,8.69,38051688000.0,开采辅助活动,0.24760647425296609
600871.SH,石化油服,2010-01-06,3.82,3.8,34480000000.0,开采辅助活动,0.22436511179851656
601808.SH,中海油服,2010-01-06,14.35,14.36,73408575600.0,开采辅助活动,0.47767758907957814
002207.SZ,准油股份,2010-01-07,11.22,10.86,2184112810.0,开采辅助活动,0.01441092407274525
600339.SH,中油工程,2010-01-07,8.94,8.69,5313767179.0,开采辅助活动,0.03506059531641807
600583.SH,海油工程,2010-01-07,8.66,8.66,37922040000.0,开采辅助活动,0.2502121852962385
600871.SH,石化油服,2010-01-07,3.78,3.72,33720000000.0,开采辅助活动,0.22248684111374714
