代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,weight
000655.SZ,金岭矿业,2010-01-04,18.4,18.02,11091188485.0,黑色金属矿采选业,0.546019288811183
﻿000762.SZ,西藏矿业,2010-01-04,14.82,14.81,6161922938.0,黑色金属矿采选业,0.3033515105136251
﻿000923.SZ,河钢资源,2010-01-04,8.72,8.6,1716660000.0,黑色金属矿采选业,0.08451118413488988
﻿600532.SH,未来股份,2010-01-04,8.74,8.72,1343043000.0,黑色金属矿采选业,0.06611801654030205
000655.SZ,金岭矿业,2010-01-05,18.02,18.45,11353138186.0,黑色金属矿采选业,0.5475482056103271
000762.SZ,西藏矿业,2010-01-05,14.9,15.2,6321829662.0,黑色金属矿采选业,0.304894244295446
000923.SZ,河钢资源,2010-01-05,8.64,8.53,1702800000.0,黑色金属矿采选业,0.08212399684018652
600532.SH,未来股份,2010-01-05,8.7,8.8,1356732000.0,黑色金属矿采选业,0.06543355325404038
000655.SZ,金岭矿业,2010-01-06,18.45,18.62,11460299428.0,黑色金属矿采选业,0.5495540411627204
000762.SZ,西藏矿业,2010-01-06,15.15,15.17,6310801612.0,黑色金属矿采选业,0.302620935049692
000923.SZ,河钢资源,2010-01-06,8.53,8.76,1750320000.0,黑色金属矿采选业,0.08393283573183205
600532.SH,未来股份,2010-01-06,8.76,8.65,1332396000.0,黑色金属矿采选业,0.06389218805575557
000655.SZ,金岭矿业,2010-01-07,18.66,18.57,11430532416.0,黑色金属矿采选业,0.5517774827720996
000762.SZ,西藏矿业,2010-01-07,15.3,15.18,6313558625.0,黑色金属矿采选业,0.304769660646801
000923.SZ,河钢资源,2010-01-07,8.63,8.44,1684980000.0,黑色金属矿采选业,0.08133777055038381
600532.SH,未来股份,2010-01-07,8.58,8.35,1286766000.0,黑色金属矿采选业,0.062115086030715604
000655.SZ,金岭矿业,2010-01-08,18.38,18.22,11216209933.0,黑色金属矿采选业,0.5462486367887085
000762.SZ,西藏矿业,2010-01-08,15.16,15.24,6338371738.0,黑色金属矿采选业,0.3086895610928092
000923.SZ,河钢资源,2010-01-08,8.38,8.39,1675080000.0,黑色金属矿采选业,0.08157926536484611
600532.SH,未来股份,2010-01-08,8.35,8.46,1303497000.0,黑色金属矿采选业,0.06348253675363613
000655.SZ,金岭矿业,2010-01-11,18.38,18.0,11079281680.0,黑色金属矿采选业,0.528309584414153
000762.SZ,西藏矿业,2010-01-11,15.61,16.56,6887017225.0,黑色金属矿采选业,0.3284037100131625
000923.SZ,河钢资源,2010-01-11,8.4,8.4,1677060000.0,黑色金属矿采选业,0.07996970356273128
600532.SH,未来股份,2010-01-11,8.52,8.62,1327833000.0,黑色金属矿采选业,0.06331700200995323
000655.SZ,金岭矿业,2010-01-12,17.99,18.16,11180489519.0,黑色金属矿采选业,0.5295577256443372
000762.SZ,西藏矿业,2010-01-12,16.54,16.44,6837391000.0,黑色金属矿采选业,0.3238492573288428
000923.SZ,河钢资源,2010-01-12,8.37,8.64,1724580000.0,黑色金属矿采选业,0.08168378146052722
600532.SH,未来股份,2010-01-12,8.65,8.89,1370421000.0,黑色金属矿采选业,0.06490923556629276
000655.SZ,金岭矿业,2010-01-13,17.8,17.42,10722077542.0,黑色金属矿采选业,0.5222267431389886
000762.SZ,西藏矿业,2010-01-13,15.94,16.21,6740895562.0,黑色金属矿采选业,0.3283203205156714
000923.SZ,河钢资源,2010-01-13,8.51,8.46,1688940000.0,黑色金属矿采选业,0.08226107599970231
600532.SH,未来股份,2010-01-13,8.78,8.95,1379547000.0,黑色金属矿采选业,0.06719186034563769
000655.SZ,金岭矿业,2010-01-14,17.43,17.97,11061421473.0,黑色金属矿采选业,0.5260583089804745
000762.SZ,西藏矿业,2010-01-14,16.17,16.44,6837391000.0,黑色金属矿采选业,0.3251721630965752
000923.SZ,河钢资源,2010-01-14,8.48,8.7,1736460000.0,黑色金属矿采选业,0.08258244326391148
600532.SH,未来股份,2010-01-14,8.99,9.03,1391715000.0,黑色金属矿采选业,0.06618708465903883
000655.SZ,金岭矿业,2010-01-15,17.9,17.83,10972120439.0,黑色金属矿采选业,0.5214206914420172
000762.SZ,西藏矿业,2010-01-15,16.57,16.61,6909073325.0,黑色金属矿采选业,0.32833523933441544
000923.SZ,河钢资源,2010-01-15,8.7,8.92,1782000000.0,黑色金属矿采选业,0.08468478607352575
600532.SH,未来股份,2010-01-15,9.07,8.95,1379547000.0,黑色金属矿采选业,0.06555928315004166
000655.SZ,金岭矿业,2010-01-18,17.87,18.28,11251930347.0,黑色金属矿采选业,0.5231610270058821
000762.SZ,西藏矿业,2010-01-18,16.55,16.88,7019353825.0,黑色金属矿采选业,0.3263664316037795
