代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
000695.SZ,滨海能源,2010-01-04,8.26,8.15,1810502443
000695.SZ,滨海能源,2010-01-05,8.15,8.17,1814945394
000695.SZ,滨海能源,2010-01-06,8.17,8.21,1823831295
000695.SZ,滨海能源,2010-01-07,8.16,8.24,1830495721
000695.SZ,滨海能源,2010-01-08,8.25,8.73,1939348015
000695.SZ,滨海能源,2010-01-11,9.00,8.89,1974891622
000695.SZ,滨海能源,2010-01-12,8.79,8.82,1959341294
000695.SZ,滨海能源,2010-01-13,8.65,8.52,1892697032
000695.SZ,滨海能源,2010-01-14,8.53,8.58,1906025885
000695.SZ,滨海能源,2010-01-15,8.65,8.61,1912690311
000695.SZ,滨海能源,2010-01-18,8.57,8.64,1919354737
000695.SZ,滨海能源,2010-01-19,8.69,8.79,1952676868
000695.SZ,滨海能源,2010-01-20,8.82,8.89,1974891622
000695.SZ,滨海能源,2010-01-21,8.89,8.64,1919354737
000695.SZ,滨海能源,2010-01-22,8.58,8.22,1826052771
000695.SZ,滨海能源,2010-01-25,8.22,8.15,1810502443
000695.SZ,滨海能源,2010-01-26,8.14,7.78,1728307853
000695.SZ,滨海能源,2010-01-27,7.80,7.80,1732750804
000695.SZ,滨海能源,2010-01-28,7.80,7.80,1732750804
000695.SZ,滨海能源,2010-01-29,7.86,7.88,1750522607
000695.SZ,滨海能源,2010-02-01,7.79,7.50,1666106542
000695.SZ,滨海能源,2010-02-02,7.63,7.44,1652777690
000695.SZ,滨海能源,2010-02-03,7.50,7.83,1739415230
000695.SZ,滨海能源,2010-02-04,7.78,7.88,1750522607
000695.SZ,滨海能源,2010-02-05,7.65,8.67,1926019163
000695.SZ,滨海能源,2010-02-08,9.26,9.54,2119287522
000695.SZ,滨海能源,2010-02-09,9.54,9.57,2125951948
000695.SZ,滨海能源,2010-02-10,9.41,9.48,2105958670
000695.SZ,滨海能源,2010-02-11,9.35,9.03,2005992277
000695.SZ,滨海能源,2010-02-12,9.03,9.10,2021542605
000695.SZ,滨海能源,2010-02-22,9.05,10.01,2223696865
000695.SZ,滨海能源,2010-02-23,9.71,10.28,2283676701
000695.SZ,滨海能源,2010-02-24,10.02,10.18,2261461947
000695.SZ,滨海能源,2010-02-25,10.10,10.80,2399193421
000695.SZ,滨海能源,2010-02-26,10.69,10.76,2390307520
000695.SZ,滨海能源,2010-03-01,10.65,11.24,2496938338
000695.SZ,滨海能源,2010-03-02,11.23,11.02,2448065880
000695.SZ,滨海能源,2010-03-03,10.99,10.80,2399193421
000695.SZ,滨海能源,2010-03-04,10.79,10.37,2303669979
000695.SZ,滨海能源,2010-03-05,10.30,10.16,2257018996
000695.SZ,滨海能源,2010-03-08,10.27,10.45,2321441783
000695.SZ,滨海能源,2010-03-09,10.47,10.34,2297005553
000695.SZ,滨海能源,2010-03-10,10.35,10.57,2348099487
000695.SZ,滨海能源,2010-03-11,10.47,10.22,2270347849
000695.SZ,滨海能源,2010-03-12,10.26,9.89,2197039161
000695.SZ,滨海能源,2010-03-15,9.80,9.84,2185931784
000695.SZ,滨海能源,2010-03-16,9.85,10.05,2232582767
000695.SZ,滨海能源,2010-03-17,10.15,10.27,2281455226
000695.SZ,滨海能源,2010-03-18,10.30,10.32,2292562602
000695.SZ,滨海能源,2010-03-19,10.26,10.42,2314777356
000695.SZ,滨海能源,2010-03-22,10.43,10.18,2261461947
000695.SZ,滨海能源,2010-03-23,10.16,10.09,2241468669
000695.SZ,滨海能源,2010-03-24,10.12,10.12,2248133095
000695.SZ,滨海能源,2010-03-25,10.08,9.75,2165938505
000695.SZ,滨海能源,2010-03-26,9.74,9.84,2185931784
000695.SZ,滨海能源,2010-03-29,10.00,10.42,2314777356
