代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
000592.SZ,平潭发展,2010-01-04,2.82,2.78,4180752299
000592.SZ,平潭发展,2010-01-05,2.79,2.77,4163380752
000592.SZ,平潭发展,2010-01-06,2.76,2.73,4099685080
000592.SZ,平潭发展,2010-01-07,2.73,2.62,3943341158
000592.SZ,平潭发展,2010-01-08,2.62,2.63,3960712705
000592.SZ,平潭发展,2010-01-11,2.64,2.60,3908598064
000592.SZ,平潭发展,2010-01-12,2.60,2.71,4076523018
000592.SZ,平潭发展,2010-01-13,2.66,2.67,4007036830
000592.SZ,平潭发展,2010-01-14,2.67,2.75,4140218690
000592.SZ,平潭发展,2010-01-15,2.75,2.82,4232866940
000592.SZ,平潭发展,2010-01-18,2.79,2.82,4238657456
000592.SZ,平潭发展,2010-01-19,2.81,2.77,4163380752
000592.SZ,平潭发展,2010-01-20,2.77,2.90,4354467769
000592.SZ,平潭发展,2010-01-21,2.84,2.92,4389210863
000592.SZ,平潭发展,2010-01-22,2.85,2.75,4128637658
000592.SZ,平潭发展,2010-01-25,2.73,2.73,4111266112
000592.SZ,平潭发展,2010-01-26,2.72,2.56,3850692907
000592.SZ,平潭发展,2010-01-27,2.55,2.51,3775416204
000592.SZ,平潭发展,2010-01-28,2.52,2.55,3833321360
000592.SZ,平潭发展,2010-01-29,2.55,2.57,3862273939
000592.SZ,平潭发展,2010-02-01,2.58,2.58,3885436001
000592.SZ,平潭发展,2010-02-02,2.60,2.60,3902807548
000592.SZ,平潭发展,2010-02-03,2.60,2.75,4140218690
000592.SZ,平潭发展,2010-02-04,2.73,2.77,4157590237
000592.SZ,平潭发展,2010-02-05,2.71,2.71,4076523018
000592.SZ,平潭发展,2010-02-08,2.72,2.60,3914388579
000592.SZ,平潭发展,2010-02-09,2.58,2.56,3844902392
000592.SZ,平潭发展,2010-02-10,2.45,2.59,3891226517
000592.SZ,平潭发展,2010-02-11,2.56,2.55,3827530845
000592.SZ,平潭发展,2010-02-12,2.55,2.56,3850692907
000592.SZ,平潭发展,2010-02-22,2.57,2.82,4238657456
000592.SZ,平潭发展,2010-02-23,2.87,3.10,4661365098
000592.SZ,平潭发展,2010-02-24,3.10,3.10,4661365098
000592.SZ,平潭发展,2010-02-25,3.10,3.10,4661365098
000592.SZ,平潭发展,2010-02-26,3.10,3.10,4661365098
000592.SZ,平潭发展,2010-03-01,3.10,3.10,4661365098
000592.SZ,平潭发展,2010-03-02,3.10,3.10,4661365098
000592.SZ,平潭发展,2010-03-03,3.41,3.16,4754013349
000592.SZ,平潭发展,2010-03-04,3.08,2.99,4499230660
000592.SZ,平潭发展,2010-03-05,2.98,2.96,4452906535
000592.SZ,平潭发展,2010-03-08,2.95,2.97,4464487566
000592.SZ,平潭发展,2010-03-09,2.97,2.91,4371839316
000592.SZ,平潭发展,2010-03-10,2.90,2.92,4383420347
000592.SZ,平潭发展,2010-03-11,2.91,2.85,4279191065
000592.SZ,平潭发展,2010-03-12,2.85,2.80,4209704878
000592.SZ,平潭发展,2010-03-15,2.80,2.83,4256029003
000592.SZ,平潭发展,2010-03-16,2.83,2.83,4250238487
000592.SZ,平潭发展,2010-03-17,2.83,2.90,4360258284
000592.SZ,平潭发展,2010-03-18,2.90,2.95,4435534988
000592.SZ,平潭发展,2010-03-19,2.96,2.93,4400791894
000592.SZ,平潭发展,2010-03-22,2.92,2.90,4354467769
000592.SZ,平潭发展,2010-03-23,2.89,2.92,4389210863
000592.SZ,平潭发展,2010-03-24,2.90,2.91,4371839316
000592.SZ,平潭发展,2010-03-25,2.90,2.78,4174961784
000592.SZ,平潭发展,2010-03-26,2.78,2.80,4215495393
000592.SZ,平潭发展,2010-03-29,2.81,2.82,4238657456
000592.SZ,平潭发展,2010-03-30,2.82,2.88,4325515191
000592.SZ,平潭发展,2010-03-31,2.87,2.83,4256029003
000592.SZ,平潭发展,2010-04-01,2.83,2.90,4360258284
000592.SZ,平潭发展,2010-04-02,2.89,2.93,4406582410
000592.SZ,平潭发展,2010-04-06,2.93,2.91,4377629831
000592.SZ,平潭发展,2010-04-07,2.90,2.88,4337096222
000592.SZ,平潭发展,2010-04-08,2.88,2.92,4383420347
000592.SZ,平潭发展,2010-04-09,2.92,3.00,4505021176
000592.SZ,平潭发展,2010-04-12,3.00,3.01,4522392723
000592.SZ,平潭发展,2010-04-13,3.00,2.87,4313934159
000592.SZ,平潭发展,2010-04-14,2.83,2.89,4342886738
000592.SZ,平潭发展,2010-04-15,2.88,2.83,4261819518
000592.SZ,平潭发展,2010-04-16,2.81,2.84,4273400550
000592.SZ,平潭发展,2010-04-19,2.84,2.75,4134428174
