代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
000059.SZ,华锦股份,2010-01-04,10.33,10.49,14213995385
000059.SZ,华锦股份,2010-01-05,10.50,10.75,14562142232
000059.SZ,华锦股份,2010-01-06,10.62,10.79,14622167550
000059.SZ,华锦股份,2010-01-07,10.79,10.37,14045924494
000059.SZ,华锦股份,2010-01-08,10.37,10.37,14045924494
000059.SZ,华锦股份,2010-01-11,10.63,10.64,14406076404
000059.SZ,华锦股份,2010-01-12,10.70,11.15,15102370097
000059.SZ,华锦股份,2010-01-13,10.90,10.86,14706202996
000059.SZ,华锦股份,2010-01-14,10.94,11.07,14994324524
000059.SZ,华锦股份,2010-01-15,11.10,11.24,15222420734
000059.SZ,华锦股份,2010-01-18,11.24,11.52,15606582771
000059.SZ,华锦股份,2010-01-19,11.56,11.50,15582572644
000059.SZ,华锦股份,2010-01-20,11.50,10.86,14706202996
000059.SZ,华锦股份,2010-01-21,10.85,10.80,14634172614
000059.SZ,华锦股份,2010-01-22,10.64,10.48,14201990322
000059.SZ,华锦股份,2010-01-25,10.35,10.46,14165975131
000059.SZ,华锦股份,2010-01-26,10.50,10.02,13577727011
000059.SZ,华锦股份,2010-01-27,10.01,9.75,13205570037
000059.SZ,华锦股份,2010-01-28,9.70,9.93,13445671310
000059.SZ,华锦股份,2010-01-29,9.89,9.97,13505696629
000059.SZ,华锦股份,2010-02-01,9.94,9.99,13529706756
000059.SZ,华锦股份,2010-02-02,10.00,9.98,13517701692
000059.SZ,华锦股份,2010-02-03,10.09,10.01,13565721947
000059.SZ,华锦股份,2010-02-04,9.97,10.04,13601737138
000059.SZ,华锦股份,2010-02-05,9.90,10.00,13541711820
000059.SZ,华锦股份,2010-02-08,10.10,10.17,13781813093
000059.SZ,华锦股份,2010-02-09,10.06,10.00,13541711820
000059.SZ,华锦股份,2010-02-10,10.07,10.17,13769808029
000059.SZ,华锦股份,2010-02-11,10.28,10.23,13853843475
000059.SZ,华锦股份,2010-02-12,10.21,10.40,14081939685
000059.SZ,华锦股份,2010-02-22,10.47,11.03,14946304269
000059.SZ,华锦股份,2010-02-23,11.06,11.26,15246430861
000059.SZ,华锦股份,2010-02-24,11.24,11.53,15618587835
000059.SZ,华锦股份,2010-02-25,11.54,11.61,15726633408
000059.SZ,华锦股份,2010-02-26,11.63,11.65,15786658726
000059.SZ,华锦股份,2010-03-01,11.65,11.56,15654603026
000059.SZ,华锦股份,2010-03-02,11.52,11.69,15834678981
000059.SZ,华锦股份,2010-03-03,11.69,11.79,15966734681
000059.SZ,华锦股份,2010-03-04,11.82,11.42,15462522007
000059.SZ,华锦股份,2010-03-05,11.42,11.42,15462522007
000059.SZ,华锦股份,2010-03-08,11.34,11.53,15618587835
000059.SZ,华锦股份,2010-03-09,11.53,11.83,16026759999
000059.SZ,华锦股份,2010-03-10,11.86,11.68,15822673917
000059.SZ,华锦股份,2010-03-11,11.73,11.42,15462522007
000059.SZ,华锦股份,2010-03-12,11.42,10.95,14838258696
000059.SZ,华锦股份,2010-03-15,10.88,10.95,14826253632
000059.SZ,华锦股份,2010-03-16,10.95,11.01,14910289078
000059.SZ,华锦股份,2010-03-17,11.06,11.30,15306456179
000059.SZ,华锦股份,2010-03-18,11.20,11.33,15342471370
000059.SZ,华锦股份,2010-03-19,11.46,11.49,15570567580
000059.SZ,华锦股份,2010-03-22,11.53,11.67,15810668853
000059.SZ,华锦股份,2010-03-23,11.70,11.35,15378486561
000059.SZ,华锦股份,2010-03-24,11.35,11.39,15426506816
000059.SZ,华锦股份,2010-03-25,11.39,11.08,15006329588
000059.SZ,华锦股份,2010-03-26,11.17,11.17,15126380224
000059.SZ,华锦股份,2010-03-29,11.17,11.25,15234425797
000059.SZ,华锦股份,2010-03-30,11.21,11.12,15066354906
000059.SZ,华锦股份,2010-03-31,11.08,11.16,15114375161
000059.SZ,华锦股份,2010-04-01,11.16,11.26,15246430861
000059.SZ,华锦股份,2010-04-02,11.26,11.67,15810668853
000059.SZ,华锦股份,2010-04-06,11.58,11.50,15582572644
000059.SZ,华锦股份,2010-04-07,11.58,11.72,15870694172
000059.SZ,华锦股份,2010-04-08,11.72,11.72,15870694172
000059.SZ,华锦股份,2010-04-09,11.51,11.56,15654603026
000059.SZ,华锦股份,2010-04-12,11.56,11.56,15654603026
000059.SZ,华锦股份,2010-04-13,11.48,11.17,15126380224
000059.SZ,华锦股份,2010-04-14,11.14,11.25,15234425797
000059.SZ,华锦股份,2010-04-15,11.17,11.29,15294451116
000059.SZ,华锦股份,2010-04-16,11.22,11.21,15186405543
000059.SZ,华锦股份,2010-04-19,11.02,10.64,14418081468
000059.SZ,华锦股份,2010-04-20,10.68,10.95,14838258696
000059.SZ,华锦股份,2010-04-21,10.99,11.21,15186405543
000059.SZ,华锦股份,2010-04-22,11.13,11.10,15030339715
000059.SZ,华锦股份,2010-04-23,11.10,10.78,14598157423
000059.SZ,华锦股份,2010-04-26,10.79,10.79,14610162486
000059.SZ,华锦股份,2010-04-27,10.76,10.33,13985899176
000059.SZ,华锦股份,2010-04-28,10.19,10.28,13925873857
000059.SZ,华锦股份,2010-04-29,10.49,10.17,13721787775
000059.SZ,华锦股份,2010-04-30,10.18,9.82,13253590292
000059.SZ,华锦股份,2010-05-04,9.53,9.78,13205570037
000059.SZ,华锦股份,2010-05-05,9.62,10.13,13673767520
000059.SZ,华锦股份,2010-05-06,10.14,9.94,13421661183
000059.SZ,华锦股份,2010-05-07,9.79,9.91,13373640928
000059.SZ,华锦股份,2010-05-10,9.94,9.90,13361635865
000059.SZ,华锦股份,2010-05-11,10.08,9.82,13253590292
000059.SZ,华锦股份,2010-05-12,9.69,9.05,12221154816
000059.SZ,华锦股份,2010-05-13,9.00,9.22,12449251026
000059.SZ,华锦股份,2010-05-14,9.20,9.23,12461256089
000059.SZ,华锦股份,2010-05-17,9.14,8.63,11644911760
000059.SZ,华锦股份,2010-05-18,8.58,8.45,11404810486
000059.SZ,华锦股份,2010-05-19,8.45,8.39,11320775041
000059.SZ,华锦股份,2010-05-20,8.28,8.34,11260749722
000059.SZ,华锦股份,2010-05-21,8.08,8.46,11416815550
000059.SZ,华锦股份,2010-05-24,8.50,8.81,11897018097
000059.SZ,华锦股份,2010-05-25,8.78,8.60,11608896569
000059.SZ,华锦股份,2010-05-26,8.50,8.64,11668921887
000059.SZ,华锦股份,2010-05-27,8.66,8.88,11981053543
000059.SZ,华锦股份,2010-05-28,8.91,8.78,11848997842
000059.SZ,华锦股份,2010-05-31,8.76,8.54,11524861123
000059.SZ,华锦股份,2010-06-01,8.51,8.17,11032653513
000059.SZ,华锦股份,2010-06-02,8.10,8.21,11080673767
000059.SZ,华锦股份,2010-06-03,8.25,8.15,10996638322
000059.SZ,华锦股份,2010-06-04,8.15,8.16,11008643385
000059.SZ,华锦股份,2010-06-07,8.00,7.91,10672501603
000059.SZ,华锦股份,2010-06-08,7.95,8.00,10804557303
000059.SZ,华锦股份,2010-06-09,8.05,8.13,10972628194
000059.SZ,华锦股份,2010-06-10,8.05,8.03,10840572494
000059.SZ,华锦股份,2010-06-11,8.14,8.34,11260749722
000059.SZ,华锦股份,2010-06-17,8.40,8.19,11056663640
000059.SZ,华锦股份,2010-06-18,8.20,7.91,10672501603
000059.SZ,华锦股份,2010-06-21,8.12,8.40,11344785168
000059.SZ,华锦股份,2010-06-22,8.38,8.34,11260749722
000059.SZ,华锦股份,2010-06-23,8.23,8.14,10984633258
000059.SZ,华锦股份,2010-06-24,8.14,8.11,10948618067
000059.SZ,华锦股份,2010-06-25,8.09,7.93,10708516794
000059.SZ,华锦股份,2010-06-28,7.93,7.87,10624481348
000059.SZ,华锦股份,2010-06-29,7.87,7.22,9748111700
000059.SZ,华锦股份,2010-06-30,7.19,6.87,9279914217
000059.SZ,华锦股份,2010-07-01,6.89,6.59,8895752179
000059.SZ,华锦股份,2010-07-02,6.63,6.70,9039812944
000059.SZ,华锦股份,2010-07-05,6.56,6.54,8823721797
000059.SZ,华锦股份,2010-07-06,6.53,6.77,9135853453
000059.SZ,华锦股份,2010-07-07,6.82,6.86,9255904090
000059.SZ,华锦股份,2010-07-08,6.87,6.83,9219888899
000059.SZ,华锦股份,2010-07-09,6.87,7.01,9459990172
000059.SZ,华锦股份,2010-07-12,7.10,7.21,9736106636
000059.SZ,华锦股份,2010-07-13,7.16,7.03,9484000299
000059.SZ,华锦股份,2010-07-14,7.05,7.04,9508010427
000059.SZ,华锦股份,2010-07-15,7.05,6.84,9231893962
000059.SZ,华锦股份,2010-07-16,6.79,6.74,9099838262
000059.SZ,华锦股份,2010-07-19,6.67,6.98,9423974981
000059.SZ,华锦股份,2010-07-20,6.96,7.47,10084253483
000059.SZ,华锦股份,2010-07-21,7.43,7.33,9892172464
000059.SZ,华锦股份,2010-07-22,7.30,7.44,10048238292
000059.SZ,华锦股份,2010-07-23,7.47,7.54,10180293992
000059.SZ,华锦股份,2010-07-26,7.58,7.54,10180293992
000059.SZ,华锦股份,2010-07-27,7.47,7.46,10072248419
000059.SZ,华锦股份,2010-07-28,7.47,7.72,10420395266
000059.SZ,华锦股份,2010-07-29,7.72,8.03,10840572494
000059.SZ,华锦股份,2010-07-30,8.00,8.62,11632906696
000059.SZ,华锦股份,2010-08-02,8.54,8.83,11921028224
000059.SZ,华锦股份,2010-08-03,8.79,8.60,11608896569
000059.SZ,华锦股份,2010-08-04,8.61,8.80,11885013033
000059.SZ,华锦股份,2010-08-05,8.77,8.66,11692932015
000059.SZ,华锦股份,2010-08-06,8.69,8.66,11692932015
000059.SZ,华锦股份,2010-08-09,8.61,8.95,12077094052
000059.SZ,华锦股份,2010-08-10,8.94,8.63,11644911760
000059.SZ,华锦股份,2010-08-11,8.62,8.49,11464835805
000059.SZ,华锦股份,2010-08-12,8.40,8.37,11296764913
000059.SZ,华锦股份,2010-08-13,8.38,8.49,11464835805
000059.SZ,华锦股份,2010-08-16,8.49,9.26,12497271280
000059.SZ,华锦股份,2010-08-17,9.23,9.36,12629326981
000059.SZ,华锦股份,2010-08-18,9.52,9.27,12509276344
000059.SZ,华锦股份,2010-08-19,9.22,9.52,12845418127
000059.SZ,华锦股份,2010-08-20,9.48,9.25,12485266217
000059.SZ,华锦股份,2010-08-23,9.16,9.25,12485266217
000059.SZ,华锦股份,2010-08-24,9.25,9.25,12485266217
000059.SZ,华锦股份,2010-08-25,9.28,9.04,12209149752
000059.SZ,华锦股份,2010-08-26,9.09,8.90,12017068734
000059.SZ,华锦股份,2010-08-27,8.92,9.04,12197144689
000059.SZ,华锦股份,2010-08-30,9.04,9.30,12557296599
000059.SZ,华锦股份,2010-08-31,9.42,9.22,12449251026
000059.SZ,华锦股份,2010-09-01,9.26,8.94,12065088988
000059.SZ,华锦股份,2010-09-02,9.04,9.35,12617321917
000059.SZ,华锦股份,2010-09-03,9.36,9.28,12533286471
000059.SZ,华锦股份,2010-09-06,9.36,9.13,12329200389
