代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year
300240.SZ,飞力达,2011-07-06,6.7,9.13,3483920000.0,仓储业,2011-07,2011
300240.SZ,飞力达,2011-07-07,8.22,8.22,3135100000.0,仓储业,2011-07,2011
300240.SZ,飞力达,2011-07-08,7.4,7.8,2975670000.0,仓储业,2011-07,2011
300240.SZ,飞力达,2011-07-11,7.99,8.22,3138310000.0,仓储业,2011-07,2011
300240.SZ,飞力达,2011-07-12,8.22,8.4,3204650000.0,仓储业,2011-07,2011
300240.SZ,飞力达,2011-07-13,8.55,8.62,3288110000.0,仓储业,2011-07,2011
300240.SZ,飞力达,2011-07-14,8.55,9.0,3434700000.0,仓储业,2011-07,2011
300240.SZ,飞力达,2011-07-15,8.91,8.78,3351240000.0,仓储业,2011-07,2011
300240.SZ,飞力达,2011-07-18,8.83,8.68,3311650000.0,仓储业,2011-07,2011
300240.SZ,飞力达,2011-07-19,8.51,8.68,3312720000.0,仓储业,2011-07,2011
300240.SZ,飞力达,2011-07-20,8.69,8.34,3182180000.0,仓储业,2011-07,2011
300240.SZ,飞力达,2011-07-21,8.27,7.99,3049500000.0,仓储业,2011-07,2011
300240.SZ,飞力达,2011-07-22,8.02,8.16,3112630000.0,仓储业,2011-07,2011
300240.SZ,飞力达,2011-07-25,8.0,7.98,3044150000.0,仓储业,2011-07,2011
300240.SZ,飞力达,2011-07-26,7.98,7.74,2952130000.0,仓储业,2011-07,2011
300240.SZ,飞力达,2011-07-27,7.76,8.21,3134030000.0,仓储业,2011-07,2011
300240.SZ,飞力达,2011-07-28,8.08,8.06,3075180000.0,仓储业,2011-07,2011
300240.SZ,飞力达,2011-07-29,8.0,8.27,3156500000.0,仓储业,2011-07,2011
300240.SZ,飞力达,2011-08-01,8.28,8.88,3389760000.0,仓储业,2011-08,2011
300240.SZ,飞力达,2011-08-02,8.72,9.24,3526720000.0,仓储业,2011-08,2011
300240.SZ,飞力达,2011-08-03,9.1,8.64,3295600000.0,仓储业,2011-08,2011
300240.SZ,飞力达,2011-08-04,8.48,8.1,3091230000.0,仓储业,2011-08,2011
300240.SZ,飞力达,2011-08-05,7.57,7.71,2942500000.0,仓储业,2011-08,2011
300240.SZ,飞力达,2011-08-08,7.63,7.23,2760600000.0,仓储业,2011-08,2011
300240.SZ,飞力达,2011-08-09,7.0,7.09,2706030000.0,仓储业,2011-08,2011
300240.SZ,飞力达,2011-08-10,7.29,7.28,2776650000.0,仓储业,2011-08,2011
