代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year
200613.SZ,大东海B,2010-01-04,2.95,3.05,977677497.0,住宿业,2010-01,2010
200613.SZ,大东海B,2010-01-05,3.1,3.2,1025643485.0,住宿业,2010-01,2010
200613.SZ,大东海B,2010-01-06,3.29,3.25,1041633664.0,住宿业,2010-01,2010
200613.SZ,大东海B,2010-01-07,3.2,3.41,1093174823.0,住宿业,2010-01,2010
200613.SZ,大东海B,2010-01-08,3.36,3.58,1147529892.0,住宿业,2010-01,2010
200613.SZ,大东海B,2010-01-11,3.61,3.58,1147516857.0,住宿业,2010-01,2010
200613.SZ,大东海B,2010-01-12,3.58,3.42,1096293449.0,住宿业,2010-01,2010
200613.SZ,大东海B,2010-01-13,3.35,3.26,1044969257.0,住宿业,2010-01,2010
200613.SZ,大东海B,2010-01-14,3.27,3.3,1057682828.0,住宿业,2010-01,2010
200613.SZ,大东海B,2010-01-15,3.3,3.24,1038051139.0,住宿业,2010-01,2010
200613.SZ,大东海B,2010-01-18,3.25,3.4,1089077715.0,住宿业,2010-01,2010
200613.SZ,大东海B,2010-01-19,3.53,3.57,1143063659.0,住宿业,2010-01,2010
200613.SZ,大东海B,2010-01-20,3.66,3.75,1200860966.0,住宿业,2010-01,2010
200613.SZ,大东海B,2010-01-21,3.75,3.66,1171227413.0,住宿业,2010-01,2010
200613.SZ,大东海B,2010-01-22,3.6,3.51,1122651194.0,住宿业,2010-01,2010
200613.SZ,大东海B,2010-01-25,3.44,3.65,1167269828.0,住宿业,2010-01,2010
200613.SZ,大东海B,2010-01-26,3.7,3.62,1158387573.0,住宿业,2010-01,2010
200613.SZ,大东海B,2010-01-27,3.56,3.47,1109276272.0,住宿业,2010-01,2010
200613.SZ,大东海B,2010-01-28,3.4,3.64,1163621219.0,住宿业,2010-01,2010
200613.SZ,大东海B,2010-01-29,3.62,3.72,1189669370.0,住宿业,2010-01,2010
200613.SZ,大东海B,2010-02-01,3.81,3.91,1251400122.0,住宿业,2010-02,2010
200613.SZ,大东海B,2010-02-02,4.02,4.0,1280015396.0,住宿业,2010-02,2010
200613.SZ,大东海B,2010-02-03,3.99,4.2,1344199672.0,住宿业,2010-02,2010
200613.SZ,大东海B,2010-02-04,4.38,4.41,1411393599.0,住宿业,2010-02,2010
200613.SZ,大东海B,2010-02-05,4.58,4.2,1343572692.0,住宿业,2010-02,2010
200613.SZ,大东海B,2010-02-08,4.03,4.37,1397859929.0,住宿业,2010-02,2010
200613.SZ,大东海B,2010-02-09,4.31,4.15,1327487118.0,住宿业,2010-02,2010
200613.SZ,大东海B,2010-02-10,4.05,4.1,1311821716.0,住宿业,2010-02,2010
200613.SZ,大东海B,2010-02-11,4.16,4.21,1346878975.0,住宿业,2010-02,2010
200613.SZ,大东海B,2010-02-12,4.2,4.42,1414159521.0,住宿业,2010-02,2010
200613.SZ,大东海B,2010-02-22,4.21,4.2,1344398471.0,住宿业,2010-02,2010
200613.SZ,大东海B,2010-02-23,4.2,4.18,1338422716.0,住宿业,2010-02,2010
200613.SZ,大东海B,2010-02-24,4.18,3.98,1274383352.0,住宿业,2010-02,2010
200613.SZ,大东海B,2010-02-25,3.97,4.1,1312538264.0,住宿业,2010-02,2010
200613.SZ,大东海B,2010-02-26,4.08,3.99,1277410989.0,住宿业,2010-02,2010
