代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year,weight
002858.SZ,力盛赛车,2017-03-24,6.36,7.63,970137600.0,体育业,2017-03,2017,1.0
002858.SZ,力盛赛车,2017-03-27,8.4,8.4,1067404000.0,体育业,2017-03,2017,1.0
002858.SZ,力盛赛车,2017-03-28,9.24,9.24,1174144400.0,体育业,2017-03,2017,1.0
002858.SZ,力盛赛车,2017-03-29,10.16,10.16,1291622000.0,体育业,2017-03,2017,1.0
002858.SZ,力盛赛车,2017-03-30,11.18,11.18,1421100000.0,体育业,2017-03,2017,1.0
002858.SZ,力盛赛车,2017-03-31,12.3,12.3,1563210000.0,体育业,2017-03,2017,1.0
002858.SZ,力盛赛车,2017-04-05,13.53,13.53,1719846800.0,体育业,2017-04,2017,1.0
002858.SZ,力盛赛车,2017-04-06,14.88,14.88,1891642000.0,体育业,2017-04,2017,1.0
002858.SZ,力盛赛车,2017-04-07,16.38,16.38,2081122000.0,体育业,2017-04,2017,1.0
002858.SZ,力盛赛车,2017-04-10,18.02,18.02,2289550000.0,体育业,2017-04,2017,1.0
002858.SZ,力盛赛车,2017-04-11,18.02,18.02,2289550000.0,体育业,2017-04,2017,1.0
002858.SZ,力盛赛车,2017-04-12,18.02,18.02,2289550000.0,体育业,2017-04,2017,1.0
002858.SZ,力盛赛车,2017-04-13,18.02,18.02,2289550000.0,体育业,2017-04,2017,1.0
002858.SZ,力盛赛车,2017-04-14,19.82,19.82,2518820800.0,体育业,2017-04,2017,1.0
002858.SZ,力盛赛车,2017-04-17,21.8,21.8,2770829200.0,体育业,2017-04,2017,1.0
002858.SZ,力盛赛车,2017-04-18,23.98,23.98,3048101600.0,体育业,2017-04,2017,1.0
002858.SZ,力盛赛车,2017-04-19,26.39,26.39,3353164400.0,体育业,2017-04,2017,1.0
002858.SZ,力盛赛车,2017-04-20,26.39,26.39,3353164400.0,体育业,2017-04,2017,1.0
002858.SZ,力盛赛车,2017-04-21,26.39,26.39,3353164400.0,体育业,2017-04,2017,1.0
002858.SZ,力盛赛车,2017-04-24,26.39,26.39,3353164400.0,体育业,2017-04,2017,1.0
002858.SZ,力盛赛车,2017-04-25,26.39,26.39,3353164400.0,体育业,2017-04,2017,1.0
002858.SZ,力盛赛车,2017-04-26,26.39,26.39,3353164400.0,体育业,2017-04,2017,1.0
002858.SZ,力盛赛车,2017-04-27,29.02,29.02,3688544000.0,体育业,2017-04,2017,1.0
002858.SZ,力盛赛车,2017-04-28,31.93,31.93,4057398400.0,体育业,2017-04,2017,1.0
002858.SZ,力盛赛车,2017-05-02,35.12,35.12,4462885600.0,体育业,2017-05,2017,1.0
002858.SZ,力盛赛车,2017-05-03,38.2,38.63,4909426800.0,体育业,2017-05,2017,1.0
002858.SZ,力盛赛车,2017-05-04,39.26,38.84,4935322400.0,体育业,2017-05,2017,1.0
002858.SZ,力盛赛车,2017-05-05,39.76,35.42,4500781600.0,体育业,2017-05,2017,1.0
002858.SZ,力盛赛车,2017-05-08,34.71,35.42,4500781600.0,体育业,2017-05,2017,1.0
002858.SZ,力盛赛车,2017-05-09,35.29,33.57,4266458000.0,体育业,2017-05,2017,1.0
002858.SZ,力盛赛车,2017-05-10,32.85,32.65,4149612000.0,体育业,2017-05,2017,1.0
002858.SZ,力盛赛车,2017-05-11,32.1,31.25,3971500800.0,体育业,2017-05,2017,1.0
002858.SZ,力盛赛车,2017-05-12,31.71,31.64,4021397200.0,体育业,2017-05,2017,1.0
002858.SZ,力盛赛车,2017-05-15,31.54,34.81,4423726400.0,体育业,2017-05,2017,1.0
002858.SZ,力盛赛车,2017-05-16,33.56,35.19,4471728000.0,体育业,2017-05,2017,1.0
002858.SZ,力盛赛车,2017-05-17,34.45,33.35,4238036000.0,体育业,2017-05,2017,1.0
002858.SZ,力盛赛车,2017-05-18,32.41,31.56,4011291600.0,体育业,2017-05,2017,1.0
002858.SZ,力盛赛车,2017-05-19,31.66,30.17,3833812000.0,体育业,2017-05,2017,1.0
002858.SZ,力盛赛车,2017-05-22,29.72,27.15,3450430800.0,体育业,2017-05,2017,1.0
002858.SZ,力盛赛车,2017-05-23,26.34,26.19,3327900400.0,体育业,2017-05,2017,1.0
002858.SZ,力盛赛车,2017-05-24,26.4,26.75,3399271200.0,体育业,2017-05,2017,1.0
002858.SZ,力盛赛车,2017-05-25,26.74,26.02,3307057600.0,体育业,2017-05,2017,1.0
002858.SZ,力盛赛车,2017-05-26,26.03,26.75,3399271200.0,体育业,2017-05,2017,1.0
002858.SZ,力盛赛车,2017-05-31,27.63,25.99,3303268000.0,体育业,2017-05,2017,1.0
002858.SZ,力盛赛车,2017-06-01,25.5,23.39,2972941200.0,体育业,2017-06,2017,1.0
002858.SZ,力盛赛车,2017-06-02,22.73,23.46,2981152000.0,体育业,2017-06,2017,1.0
002858.SZ,力盛赛车,2017-06-05,24.09,23.46,2981152000.0,体育业,2017-06,2017,1.0
002858.SZ,力盛赛车,2017-06-06,23.15,24.0,3050628000.0,体育业,2017-06,2017,1.0
002858.SZ,力盛赛车,2017-06-07,24.1,24.83,3155473600.0,体育业,2017-06,2017,1.0
002858.SZ,力盛赛车,2017-06-08,24.68,24.76,3145999600.0,体育业,2017-06,2017,1.0
002858.SZ,力盛赛车,2017-06-09,24.46,24.68,3136525600.0,体育业,2017-06,2017,1.0
002858.SZ,力盛赛车,2017-06-12,24.25,23.01,2924308000.0,体育业,2017-06,2017,1.0
002858.SZ,力盛赛车,2017-06-13,23.15,23.85,3031048400.0,体育业,2017-06,2017,1.0
002858.SZ,力盛赛车,2017-06-14,23.84,23.65,3005784400.0,体育业,2017-06,2017,1.0
002858.SZ,力盛赛车,2017-06-15,23.5,24.28,3085997600.0,体育业,2017-06,2017,1.0
002858.SZ,力盛赛车,2017-06-16,24.45,24.46,3108103600.0,体育业,2017-06,2017,1.0
002858.SZ,力盛赛车,2017-06-19,24.51,24.05,3056944000.0,体育业,2017-06,2017,1.0
002858.SZ,力盛赛车,2017-06-20,24.18,23.83,3028522000.0,体育业,2017-06,2017,1.0
002858.SZ,力盛赛车,2017-06-21,24.09,24.4,3100524400.0,体育业,2017-06,2017,1.0
002858.SZ,力盛赛车,2017-06-22,24.44,23.95,3043048800.0,体育业,2017-06,2017,1.0
002858.SZ,力盛赛车,2017-06-23,23.69,23.58,2996942000.0,体育业,2017-06,2017,1.0
002858.SZ,力盛赛车,2017-06-26,23.57,25.1,3190211600.0,体育业,2017-06,2017,1.0
002858.SZ,力盛赛车,2017-06-27,25.11,26.02,3307057600.0,体育业,2017-06,2017,1.0
002858.SZ,力盛赛车,2017-06-28,25.55,25.1,3189580000.0,体育业,2017-06,2017,1.0
002858.SZ,力盛赛车,2017-06-29,25.14,25.27,3211054400.0,体育业,2017-06,2017,1.0
002858.SZ,力盛赛车,2017-06-30,25.35,25.68,3263477200.0,体育业,2017-06,2017,1.0
002858.SZ,力盛赛车,2017-07-03,25.46,25.37,3224318000.0,体育业,2017-07,2017,1.0
002858.SZ,力盛赛车,2017-07-04,25.44,25.08,3187685200.0,体育业,2017-07,2017,1.0
002858.SZ,力盛赛车,2017-07-05,25.0,25.84,3284320000.0,体育业,2017-07,2017,1.0
002858.SZ,力盛赛车,2017-07-06,25.88,25.54,3245792400.0,体育业,2017-07,2017,1.0
002858.SZ,力盛赛车,2017-07-07,25.63,25.94,3296952000.0,体育业,2017-07,2017,1.0
002858.SZ,力盛赛车,2017-07-10,25.73,24.1,3063260000.0,体育业,2017-07,2017,1.0
002858.SZ,力盛赛车,2017-07-11,23.86,22.82,2899675600.0,体育业,2017-07,2017,1.0
002858.SZ,力盛赛车,2017-07-12,22.82,23.18,2945782400.0,体育业,2017-07,2017,1.0
002858.SZ,力盛赛车,2017-07-13,22.96,22.73,2888306800.0,体育业,2017-07,2017,1.0
002858.SZ,力盛赛车,2017-07-14,22.68,22.54,2864306000.0,体育业,2017-07,2017,1.0
002858.SZ,力盛赛车,2017-07-17,22.26,20.29,2578191200.0,体育业,2017-07,2017,1.0
002858.SZ,力盛赛车,2017-07-18,19.87,19.94,2533979200.0,体育业,2017-07,2017,1.0
002858.SZ,力盛赛车,2017-07-19,19.94,19.92,2531452800.0,体育业,2017-07,2017,1.0
002858.SZ,力盛赛车,2017-07-20,19.97,19.93,2532716000.0,体育业,2017-07,2017,1.0
002858.SZ,力盛赛车,2017-07-21,19.83,19.63,2494188400.0,体育业,2017-07,2017,1.0
002858.SZ,力盛赛车,2017-07-24,19.54,19.93,2532716000.0,体育业,2017-07,2017,1.0
002858.SZ,力盛赛车,2017-07-25,19.87,19.94,2534610800.0,体育业,2017-07,2017,1.0
002858.SZ,力盛赛车,2017-07-26,19.97,19.92,2532084400.0,体育业,2017-07,2017,1.0
002858.SZ,力盛赛车,2017-07-27,19.88,20.63,2621140000.0,体育业,2017-07,2017,1.0
002858.SZ,力盛赛车,2017-07-28,20.51,20.04,2546611200.0,体育业,2017-07,2017,1.0
002858.SZ,力盛赛车,2017-07-31,20.18,20.08,2551664000.0,体育业,2017-07,2017,1.0
002858.SZ,力盛赛车,2017-08-01,20.12,20.65,2624298000.0,体育业,2017-08,2017,1.0
002858.SZ,力盛赛车,2017-08-02,20.43,20.02,2544716400.0,体育业,2017-08,2017,1.0
002858.SZ,力盛赛车,2017-08-03,19.88,20.25,2573770000.0,体育业,2017-08,2017,1.0
002858.SZ,力盛赛车,2017-08-04,20.22,19.98,2539032000.0,体育业,2017-08,2017,1.0
002858.SZ,力盛赛车,2017-08-07,19.98,20.22,2569980400.0,体育业,2017-08,2017,1.0
002858.SZ,力盛赛车,2017-08-08,20.22,20.06,2549769200.0,体育业,2017-08,2017,1.0
002858.SZ,力盛赛车,2017-08-09,20.03,19.92,2531452800.0,体育业,2017-08,2017,1.0
002858.SZ,力盛赛车,2017-08-10,19.88,19.52,2480924800.0,体育业,2017-08,2017,1.0
002858.SZ,力盛赛车,2017-08-11,19.36,19.24,2444923600.0,体育业,2017-08,2017,1.0
002858.SZ,力盛赛车,2017-08-14,19.24,19.67,2499872800.0,体育业,2017-08,2017,1.0
002858.SZ,力盛赛车,2017-08-15,19.76,19.98,2539032000.0,体育业,2017-08,2017,1.0
002858.SZ,力盛赛车,2017-08-16,20.04,20.41,2593349600.0,体育业,2017-08,2017,1.0
002858.SZ,力盛赛车,2017-08-17,20.35,20.43,2596507600.0,体育业,2017-08,2017,1.0
002858.SZ,力盛赛车,2017-08-18,20.37,20.22,2569980400.0,体育业,2017-08,2017,1.0
002858.SZ,力盛赛车,2017-08-21,20.25,20.61,2619245200.0,体育业,2017-08,2017,1.0
