代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year,weight
002731.SZ,萃华珠宝,2014-11-04,9.12,9.95,2585668800.0,其他制造业,2014-11,2014,0.03315519700446819
000587.SZ,*ST金洲,2014-11-04,5.61,5.62,6317907884.0,其他制造业,2014-11,2014,0.0810124949297848
002345.SZ,潮宏基,2014-11-04,8.75,8.59,7732767480.0,其他制造业,2014-11,2014,0.09915478316060626
600086.SH,退市金钰,2014-11-04,8.14,8.05,8518170829.0,其他制造业,2014-11,2014,0.10922575696980567
600612.SH,老凤祥,2014-11-04,25.83,25.99,15510441703.0,其他制造业,2014-11,2014,0.19888539100184988
002721.SZ,金一文化,2014-11-04,8.91,8.62,4371915000.0,其他制造业,2014-11,2014,0.05605965586613008
300163.SZ,先锋新材,2014-11-04,4.35,4.39,2102980000.0,其他制造业,2014-11,2014,0.02696583421529335
900905.SH,老凤祥B,2014-11-04,2.19,2.2,9168918569.0,其他制造业,2014-11,2014,0.11757008533850952
600891.SH,*ST秋林,2014-11-04,7.33,7.27,2405658904.0,其他制造业,2014-11,2014,0.03084698817098037
002574.SZ,明牌珠宝,2014-11-04,10.6,10.32,5654880000.0,其他制造业,2014-11,2014,0.07251070223557907
002718.SZ,友邦吊顶,2014-11-04,30.49,30.44,3974748000.0,其他制造业,2014-11,2014,0.05096691153295268
600687.SH,退市刚泰,2014-11-04,6.69,6.71,7348775473.0,其他制造业,2014-11,2014,0.09423097751302056
002098.SZ,浔兴股份,2014-11-04,7.38,7.28,2294000000.0,其他制造业,2014-11,2014,0.029415222061019576
002731.SZ,萃华珠宝,2014-11-05,10.94,10.94,2844838400.0,其他制造业,2014-11,2014,0.03648850596064744
000587.SZ,*ST金洲,2014-11-05,5.61,5.6,6295622494.0,其他制造业,2014-11,2014,0.08074900103229242
002345.SZ,潮宏基,2014-11-05,8.55,8.6,7741218592.0,其他制造业,2014-11,2014,0.09929052586497243
600086.SH,退市金钰,2014-11-05,8.05,8.06,8528739279.0,其他制造业,2014-11,2014,0.10939143468346021
600612.SH,老凤祥,2014-11-05,25.8,25.42,15175646334.0,其他制造业,2014-11,2014,0.19464608665112104
002721.SZ,金一文化,2014-11-05,8.65,8.7,4410382500.0,其他制造业,2014-11,2014,0.05656850952939371
300163.SZ,先锋新材,2014-11-05,4.37,4.41,2115620000.0,其他制造业,2014-11,2014,0.027135394748772003
900905.SH,老凤祥B,2014-11-05,2.19,2.19,9146872556.0,其他制造业,2014-11,2014,0.11731974434150232
600891.SH,*ST秋林,2014-11-05,7.26,7.23,2392637746.0,其他制造业,2014-11,2014,0.030688483625850613
002574.SZ,明牌珠宝,2014-11-05,10.29,10.35,5670720000.0,其他制造业,2014-11,2014,0.07273386794876034
002718.SZ,友邦吊顶,2014-11-05,30.34,30.03,3921600000.0,其他制造业,2014-11,2014,0.050299280611255465
600687.SH,退市刚泰,2014-11-05,6.71,6.81,7461531868.0,其他制造业,2014-11,2014,0.09570320410504823
002098.SZ,浔兴股份,2014-11-05,7.28,7.17,2259900000.0,其他制造业,2014-11,2014,0.02898596089692376
002731.SZ,萃华珠宝,2014-11-06,12.04,12.04,3129623600.0,其他制造业,2014-11,2014,0.03999436735774299
000587.SZ,*ST金洲,2014-11-06,5.54,5.54,6234337673.0,其他制造业,2014-11,2014,0.0796704086479213
002345.SZ,潮宏基,2014-11-06,8.6,8.45,7614451912.0,其他制造业,2014-11,2014,0.09730728864531712
600086.SH,退市金钰,2014-11-06,8.05,8.09,8567490263.0,其他制造业,2014-11,2014,0.10948644204763414
600612.SH,老凤祥,2014-11-06,25.3,24.97,14903625096.0,其他制造业,2014-11,2014,0.19045774611729718
002721.SZ,金一文化,2014-11-06,8.66,8.96,4544182500.0,其他制造业,2014-11,2014,0.058071425664615685
300163.SZ,先锋新材,2014-11-06,4.39,4.44,2131420000.0,其他制造业,2014-11,2014,0.027238034143671642
900905.SH,老凤祥B,2014-11-06,2.19,2.19,9149652194.0,其他制造业,2014-11,2014,0.11692605815038432
600891.SH,*ST秋林,2014-11-06,7.24,7.52,2490296429.0,其他制造业,2014-11,2014,0.03182422007908604
002574.SZ,明牌珠宝,2014-11-06,10.33,10.36,5676000000.0,其他制造业,2014-11,2014,0.0725352496455322
002718.SZ,友邦吊顶,2014-11-06,30.0,31.02,4050600000.0,其他制造业,2014-11,2014,0.051763791792493435
600687.SH,退市刚泰,2014-11-06,6.77,6.81,7456629416.0,其他制造业,2014-11,2014,0.09529042921137755
002098.SZ,浔兴股份,2014-11-06,7.17,7.31,2303300000.0,其他制造业,2014-11,2014,0.029434538496926413
002731.SZ,萃华珠宝,2014-11-07,13.25,13.25,3443038000.0,其他制造业,2014-11,2014,0.04379821563114883
000587.SZ,*ST金洲,2014-11-07,5.54,5.51,6200909589.0,其他制造业,2014-11,2014,0.07888056283093026
002345.SZ,潮宏基,2014-11-07,8.45,8.51,7665158584.0,其他制造业,2014-11,2014,0.09750698903380776
600086.SH,退市金钰,2014-11-07,8.12,8.37,8863406868.0,其他制造业,2014-11,2014,0.11274967201386377
600612.SH,老凤祥,2014-11-07,25.01,24.99,14914087452.0,其他制造业,2014-11,2014,0.1897192009395502
002721.SZ,金一文化,2014-11-07,8.94,8.67,4395330000.0,其他制造业,2014-11,2014,0.05591213663922889
300163.SZ,先锋新材,2014-11-07,4.46,4.31,2066640000.0,其他制造业,2014-11,2014,0.02628932482068377
900905.SH,老凤祥B,2014-11-07,2.17,2.17,9061698260.0,其他制造业,2014-11,2014,0.1152720981807015
600891.SH,*ST秋林,2014-11-07,7.5,7.28,2408914193.0,其他制造业,2014-11,2014,0.030643328148556265
