代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,weight
000998.SZ,隆平高科,2010-01-04,5.97,6.0,5286204000.0,农业,2010-01-04,0.0786946538402468
﻿002041.SZ,登海种业,2010-01-04,6.97,6.85,6274400000.0,农业,2010-01-04,0.09340572858240895
﻿600108.SH,亚盛集团,2010-01-04,5.89,5.75,10091918994.0,农业,2010-01-04,0.15023636466103876
﻿600313.SH,农发种业,2010-01-04,3.0,3.04,2345382000.0,农业,2010-01-04,0.03491522926719168
﻿600354.SH,*ST敦种,2010-01-04,8.47,8.72,3566835552.0,农业,2010-01-04,0.05309876218733246
﻿600359.SH,新农开发,2010-01-04,20.73,20.73,6699270000.0,农业,2010-01-04,0.09973068266611546
﻿600371.SH,万向德农,2010-01-04,6.15,6.03,2005700000.0,农业,2010-01-04,0.029858451775108
﻿600506.SH,香梨股份,2010-01-04,11.86,12.08,1784299026.0,农业,2010-01-04,0.02656250008485475
﻿600540.SH,新赛股份,2010-01-04,8.22,7.85,3110911698.0,农业,2010-01-04,0.04631151563611325
﻿600598.SH,北大荒,2010-01-04,12.68,12.29,26008688906.0,农业,2010-01-04,0.3871861112995899
000998.SZ,隆平高科,2010-01-05,6.03,6.08,5363820000.0,农业,2010-01-05,0.07882152753321396
002041.SZ,登海种业,2010-01-05,6.76,7.21,6603520000.0,农业,2010-01-05,0.09703896355510234
600108.SH,亚盛集团,2010-01-05,5.72,5.8,10178768555.0,农业,2010-01-05,0.14957736947029263
600313.SH,农发种业,2010-01-05,3.04,2.96,2290626000.0,农业,2010-01-05,0.03366083133425353
600354.SH,*ST敦种,2010-01-05,8.64,8.93,3652380096.0,农业,2010-01-05,0.05367185668024405
600359.SH,新农开发,2010-01-05,20.73,20.73,6699270000.0,农业,2010-01-05,0.09844601324381398
600371.SH,万向德农,2010-01-05,6.04,6.15,2044450000.0,农业,2010-01-05,0.030043266173227154
600506.SH,香梨股份,2010-01-05,12.0,12.13,1791684369.0,农业,2010-01-05,0.02632886614799948
600540.SH,新赛股份,2010-01-05,7.76,7.97,3159810759.0,农业,2010-01-05,0.04643353258317098
600598.SH,北大荒,2010-01-05,12.31,12.42,26265861176.0,农业,2010-01-05,0.3859777732786819
000998.SZ,隆平高科,2010-01-06,6.06,5.94,5233536000.0,农业,2010-01-06,0.07851256097095438
002041.SZ,登海种业,2010-01-06,7.17,7.01,6425760000.0,农业,2010-01-06,0.0963980898927073
600108.SH,亚盛集团,2010-01-06,5.74,5.68,9970329609.0,农业,2010-01-06,0.1495730823915464
600313.SH,农发种业,2010-01-06,2.95,2.97,2296710000.0,农业,2010-01-06,0.03445482822848656
600354.SH,*ST敦种,2010-01-06,8.82,8.7,3561256560.0,农业,2010-01-06,0.0534253271211302
