代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year
002044.SZ,美年健康,2010-01-04,1.54,1.52,1301625000.0,卫生业,2010-01,2010
002044.SZ,美年健康,2010-01-05,1.53,1.63,1400750000.0,卫生业,2010-01,2010
002044.SZ,美年健康,2010-01-06,1.63,1.69,1451125000.0,卫生业,2010-01,2010
002044.SZ,美年健康,2010-01-07,1.7,1.67,1433250000.0,卫生业,2010-01,2010
002044.SZ,美年健康,2010-01-08,1.67,1.71,1469000000.0,卫生业,2010-01,2010
002044.SZ,美年健康,2010-01-11,1.72,1.78,1527500000.0,卫生业,2010-01,2010
002044.SZ,美年健康,2010-01-12,1.76,1.76,1506375000.0,卫生业,2010-01,2010
002044.SZ,美年健康,2010-01-13,1.73,1.71,1465750000.0,卫生业,2010-01,2010
002044.SZ,美年健康,2010-01-14,1.71,1.77,1514500000.0,卫生业,2010-01,2010
002044.SZ,美年健康,2010-01-15,1.78,1.81,1553500000.0,卫生业,2010-01,2010
002044.SZ,美年健康,2010-01-18,1.87,1.84,1577875000.0,卫生业,2010-01,2010
002044.SZ,美年健康,2010-01-19,1.85,1.83,1573000000.0,卫生业,2010-01,2010
002044.SZ,美年健康,2010-01-20,1.83,1.75,1504750000.0,卫生业,2010-01,2010
002044.SZ,美年健康,2010-01-21,1.76,1.73,1480375000.0,卫生业,2010-01,2010
002044.SZ,美年健康,2010-01-22,1.72,1.73,1482000000.0,卫生业,2010-01,2010
002044.SZ,美年健康,2010-01-25,1.74,1.72,1478750000.0,卫生业,2010-01,2010
002044.SZ,美年健康,2010-01-26,1.71,1.66,1423500000.0,卫生业,2010-01,2010
002044.SZ,美年健康,2010-01-27,1.66,1.65,1413750000.0,卫生业,2010-01,2010
002044.SZ,美年健康,2010-01-28,1.66,1.67,1430000000.0,卫生业,2010-01,2010
002044.SZ,美年健康,2010-01-29,1.66,1.72,1478750000.0,卫生业,2010-01,2010
002044.SZ,美年健康,2010-02-01,1.72,1.71,1469000000.0,卫生业,2010-02,2010
002044.SZ,美年健康,2010-02-02,1.72,1.7,1460875000.0,卫生业,2010-02,2010
002044.SZ,美年健康,2010-02-03,1.71,1.71,1464125000.0,卫生业,2010-02,2010
002044.SZ,美年健康,2010-02-04,1.71,1.73,1482000000.0,卫生业,2010-02,2010
002044.SZ,美年健康,2010-02-05,1.7,1.7,1457625000.0,卫生业,2010-02,2010
002044.SZ,美年健康,2010-02-08,1.71,1.7,1456000000.0,卫生业,2010-02,2010
002044.SZ,美年健康,2010-02-09,1.7,1.68,1443000000.0,卫生业,2010-02,2010
002044.SZ,美年健康,2010-02-10,1.69,1.7,1454375000.0,卫生业,2010-02,2010
002044.SZ,美年健康,2010-02-11,1.7,1.69,1446250000.0,卫生业,2010-02,2010
002044.SZ,美年健康,2010-02-12,1.69,1.7,1456000000.0,卫生业,2010-02,2010
002044.SZ,美年健康,2010-02-22,1.7,1.71,1464125000.0,卫生业,2010-02,2010
002044.SZ,美年健康,2010-02-23,1.71,1.71,1462500000.0,卫生业,2010-02,2010
002044.SZ,美年健康,2010-02-24,1.7,1.77,1517750000.0,卫生业,2010-02,2010
002044.SZ,美年健康,2010-02-25,1.78,1.79,1532375000.0,卫生业,2010-02,2010
002044.SZ,美年健康,2010-02-26,1.79,1.77,1519375000.0,卫生业,2010-02,2010
002044.SZ,美年健康,2010-03-01,1.79,1.79,1537250000.0,卫生业,2010-03,2010
002044.SZ,美年健康,2010-03-02,1.8,1.81,1556750000.0,卫生业,2010-03,2010
002044.SZ,美年健康,2010-03-03,1.82,1.82,1561625000.0,卫生业,2010-03,2010
002044.SZ,美年健康,2010-03-04,1.82,1.75,1503125000.0,卫生业,2010-03,2010
002044.SZ,美年健康,2010-03-05,1.75,1.73,1483625000.0,卫生业,2010-03,2010
002044.SZ,美年健康,2010-03-08,1.74,1.73,1482000000.0,卫生业,2010-03,2010
002044.SZ,美年健康,2010-03-09,1.74,1.74,1488500000.0,卫生业,2010-03,2010
002044.SZ,美年健康,2010-03-10,1.74,1.72,1472250000.0,卫生业,2010-03,2010
002044.SZ,美年健康,2010-03-11,1.72,1.73,1486875000.0,卫生业,2010-03,2010
002044.SZ,美年健康,2010-03-12,1.74,1.75,1501500000.0,卫生业,2010-03,2010
002044.SZ,美年健康,2010-03-15,1.76,1.71,1462500000.0,卫生业,2010-03,2010
002044.SZ,美年健康,2010-03-16,1.72,1.71,1469000000.0,卫生业,2010-03,2010
002044.SZ,美年健康,2010-03-17,1.71,1.74,1493375000.0,卫生业,2010-03,2010
002044.SZ,美年健康,2010-03-18,1.74,1.74,1496625000.0,卫生业,2010-03,2010
002044.SZ,美年健康,2010-03-19,1.75,1.76,1512875000.0,卫生业,2010-03,2010
002044.SZ,美年健康,2010-03-22,1.77,1.76,1512875000.0,卫生业,2010-03,2010
002044.SZ,美年健康,2010-03-23,1.78,1.78,1529125000.0,卫生业,2010-03,2010
002044.SZ,美年健康,2010-03-24,1.8,1.88,1612000000.0,卫生业,2010-03,2010
002044.SZ,美年健康,2010-03-25,1.87,1.89,1625000000.0,卫生业,2010-03,2010
002044.SZ,美年健康,2010-03-26,1.89,1.9,1633125000.0,卫生业,2010-03,2010
002044.SZ,美年健康,2010-03-29,1.88,1.83,1568125000.0,卫生业,2010-03,2010
002044.SZ,美年健康,2010-03-30,1.79,1.76,1506375000.0,卫生业,2010-03,2010
002044.SZ,美年健康,2010-03-31,1.74,1.75,1501500000.0,卫生业,2010-03,2010
002044.SZ,美年健康,2010-04-01,1.74,1.74,1491750000.0,卫生业,2010-04,2010
002044.SZ,美年健康,2010-04-02,1.73,1.71,1467375000.0,卫生业,2010-04,2010
002044.SZ,美年健康,2010-04-06,1.71,1.74,1491750000.0,卫生业,2010-04,2010
002044.SZ,美年健康,2010-04-07,1.74,1.78,1527500000.0,卫生业,2010-04,2010
002044.SZ,美年健康,2010-04-08,1.79,1.75,1498250000.0,卫生业,2010-04,2010
002044.SZ,美年健康,2010-04-09,1.76,1.74,1496625000.0,卫生业,2010-04,2010
002044.SZ,美年健康,2010-04-12,1.74,1.84,1576250000.0,卫生业,2010-04,2010
002044.SZ,美年健康,2010-04-13,1.83,1.76,1508000000.0,卫生业,2010-04,2010
002044.SZ,美年健康,2010-04-14,1.76,1.76,1506375000.0,卫生业,2010-04,2010
002044.SZ,美年健康,2010-04-15,1.77,1.76,1508000000.0,卫生业,2010-04,2010
002044.SZ,美年健康,2010-04-16,1.76,1.75,1504750000.0,卫生业,2010-04,2010
002044.SZ,美年健康,2010-04-19,1.74,1.68,1443000000.0,卫生业,2010-04,2010
002044.SZ,美年健康,2010-04-20,1.7,1.66,1423500000.0,卫生业,2010-04,2010
002044.SZ,美年健康,2010-04-21,1.65,1.71,1462500000.0,卫生业,2010-04,2010
002044.SZ,美年健康,2010-04-22,1.7,1.69,1452750000.0,卫生业,2010-04,2010
002044.SZ,美年健康,2010-04-23,1.7,1.67,1434875000.0,卫生业,2010-04,2010
002044.SZ,美年健康,2010-04-26,1.7,1.68,1444625000.0,卫生业,2010-04,2010
002044.SZ,美年健康,2010-04-27,1.69,1.66,1420250000.0,卫生业,2010-04,2010
002044.SZ,美年健康,2010-04-28,1.66,1.66,1420250000.0,卫生业,2010-04,2010
002044.SZ,美年健康,2010-04-29,1.67,1.57,1343875000.0,卫生业,2010-04,2010
002044.SZ,美年健康,2010-04-30,1.57,1.53,1316250000.0,卫生业,2010-04,2010
002044.SZ,美年健康,2010-05-04,1.53,1.52,1304875000.0,卫生业,2010-05,2010
002044.SZ,美年健康,2010-05-05,1.51,1.55,1332500000.0,卫生业,2010-05,2010
002044.SZ,美年健康,2010-05-06,1.55,1.5,1288625000.0,卫生业,2010-05,2010
002044.SZ,美年健康,2010-05-07,1.49,1.46,1252875000.0,卫生业,2010-05,2010
002044.SZ,美年健康,2010-05-10,1.49,1.47,1259375000.0,卫生业,2010-05,2010
002044.SZ,美年健康,2010-05-11,1.5,1.49,1278875000.0,卫生业,2010-05,2010
002044.SZ,美年健康,2010-05-12,1.49,1.47,1264250000.0,卫生业,2010-05,2010
002044.SZ,美年健康,2010-05-13,1.5,1.59,1361750000.0,卫生业,2010-05,2010
002044.SZ,美年健康,2010-05-14,1.52,1.53,1316250000.0,卫生业,2010-05,2010
