代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year
000695.SZ,滨海能源,2010-01-04,8.26,8.15,1810502443.0,印刷和记录媒介复制业,2010-01,2010
000695.SZ,滨海能源,2010-01-05,8.15,8.17,1814945394.0,印刷和记录媒介复制业,2010-01,2010
000695.SZ,滨海能源,2010-01-06,8.17,8.21,1823831295.0,印刷和记录媒介复制业,2010-01,2010
000695.SZ,滨海能源,2010-01-07,8.16,8.24,1830495721.0,印刷和记录媒介复制业,2010-01,2010
000695.SZ,滨海能源,2010-01-08,8.25,8.73,1939348015.0,印刷和记录媒介复制业,2010-01,2010
000695.SZ,滨海能源,2010-01-11,9.0,8.89,1974891622.0,印刷和记录媒介复制业,2010-01,2010
000695.SZ,滨海能源,2010-01-12,8.79,8.82,1959341294.0,印刷和记录媒介复制业,2010-01,2010
000695.SZ,滨海能源,2010-01-13,8.65,8.52,1892697032.0,印刷和记录媒介复制业,2010-01,2010
000695.SZ,滨海能源,2010-01-14,8.53,8.58,1906025885.0,印刷和记录媒介复制业,2010-01,2010
000695.SZ,滨海能源,2010-01-15,8.65,8.61,1912690311.0,印刷和记录媒介复制业,2010-01,2010
000695.SZ,滨海能源,2010-01-18,8.57,8.64,1919354737.0,印刷和记录媒介复制业,2010-01,2010
000695.SZ,滨海能源,2010-01-19,8.69,8.79,1952676868.0,印刷和记录媒介复制业,2010-01,2010
000695.SZ,滨海能源,2010-01-20,8.82,8.89,1974891622.0,印刷和记录媒介复制业,2010-01,2010
000695.SZ,滨海能源,2010-01-21,8.89,8.64,1919354737.0,印刷和记录媒介复制业,2010-01,2010
000695.SZ,滨海能源,2010-01-22,8.58,8.22,1826052771.0,印刷和记录媒介复制业,2010-01,2010
000695.SZ,滨海能源,2010-01-25,8.22,8.15,1810502443.0,印刷和记录媒介复制业,2010-01,2010
000695.SZ,滨海能源,2010-01-26,8.14,7.78,1728307853.0,印刷和记录媒介复制业,2010-01,2010
000695.SZ,滨海能源,2010-01-27,7.8,7.8,1732750804.0,印刷和记录媒介复制业,2010-01,2010
