代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year
000663.SZ,*ST永林,2010-01-04,9.36,9.4,1905946632.0,家具制造业,2010-01,2010
000663.SZ,*ST永林,2010-01-05,9.4,9.4,1905946632.0,家具制造业,2010-01,2010
000663.SZ,*ST永林,2010-01-06,9.33,9.35,1895808618.0,家具制造业,2010-01,2010
000663.SZ,*ST永林,2010-01-07,9.3,8.81,1786318067.0,家具制造业,2010-01,2010
000663.SZ,*ST永林,2010-01-08,8.83,8.74,1772124847.0,家具制造业,2010-01,2010
000663.SZ,*ST永林,2010-01-11,8.8,8.87,1798483684.0,家具制造业,2010-01,2010
000663.SZ,*ST永林,2010-01-12,8.81,9.05,1834980534.0,家具制造业,2010-01,2010
000663.SZ,*ST永林,2010-01-13,8.83,9.02,1828897726.0,家具制造业,2010-01,2010
000663.SZ,*ST永林,2010-01-14,9.02,9.29,1883643001.0,家具制造业,2010-01,2010
000663.SZ,*ST永林,2010-01-15,9.29,9.54,1934333071.0,家具制造业,2010-01,2010
000663.SZ,*ST永林,2010-01-18,9.49,9.61,1948526291.0,家具制造业,2010-01,2010
000663.SZ,*ST永林,2010-01-19,9.59,9.52,1930277866.0,家具制造业,2010-01,2010
000663.SZ,*ST永林,2010-01-20,9.52,9.39,1903919029.0,家具制造业,2010-01,2010
000663.SZ,*ST永林,2010-01-21,9.38,9.56,1938388277.0,家具制造业,2010-01,2010
000663.SZ,*ST永林,2010-01-22,9.35,8.97,1818759712.0,家具制造业,2010-01,2010
000663.SZ,*ST永林,2010-01-25,8.86,8.96,1816732109.0,家具制造业,2010-01,2010
000663.SZ,*ST永林,2010-01-26,8.88,8.43,1709269160.0,家具制造业,2010-01,2010
000663.SZ,*ST永林,2010-01-27,8.48,8.17,1656551488.0,家具制造业,2010-01,2010
000663.SZ,*ST永林,2010-01-28,8.18,8.23,1668717104.0,家具制造业,2010-01,2010
000663.SZ,*ST永林,2010-01-29,8.29,8.35,1693048338.0,家具制造业,2010-01,2010
000663.SZ,*ST永林,2010-02-01,8.47,8.43,1709269160.0,家具制造业,2010-02,2010
000663.SZ,*ST永林,2010-02-02,8.42,8.41,1705213955.0,家具制造业,2010-02,2010
000663.SZ,*ST永林,2010-02-03,8.4,8.63,1749821216.0,家具制造业,2010-02,2010
000663.SZ,*ST永林,2010-02-04,8.53,8.86,1796456081.0,家具制造业,2010-02,2010
