代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year,weight
600217.SH,中再资环,2010-01-04,5.78,5.78,3819424000.0,废弃资源综合利用业,2010-01,2010,0.31271076765397227
900907.SH,*ST鹏起B,2010-01-04,0.28,0.28,2216089113.0,废弃资源综合利用业,2010-01,2010,0.1814396431807101
600614.SH,*ST鹏起,2010-01-04,3.9,3.88,4442762327.0,废弃资源综合利用业,2010-01,2010,0.3637458469602532
000820.SZ,*ST节能,2010-01-04,5.89,6.03,1735643603.0,废弃资源综合利用业,2010-01,2010,0.1421037422050645
600217.SH,中再资环,2010-01-05,5.78,5.78,3819424000.0,废弃资源综合利用业,2010-01,2010,0.3135966238309967
900907.SH,*ST鹏起B,2010-01-05,0.28,0.28,2200495301.0,废弃资源综合利用业,2010-01,2010,0.18067328925764012
600614.SH,*ST鹏起,2010-01-05,3.87,3.81,4357651937.0,废弃资源综合利用业,2010-01,2010,0.35778822546902445
000820.SZ,*ST节能,2010-01-05,6.05,6.26,1801845598.0,废弃资源综合利用业,2010-01,2010,0.14794186144233876
600217.SH,中再资环,2010-01-06,5.78,5.78,3819424000.0,废弃资源综合利用业,2010-01,2010,0.3156973033241908
900907.SH,*ST鹏起B,2010-01-06,0.28,0.28,2196589018.0,废弃资源综合利用业,2010-01,2010,0.18156068283964608
600614.SH,*ST鹏起,2010-01-06,3.81,3.77,4317933756.0,废弃资源综合利用业,2010-01,2010,0.35690199430639136
000820.SZ,*ST节能,2010-01-06,6.23,6.13,1764427079.0,废弃资源综合利用业,2010-01,2010,0.14584001952977177
600217.SH,中再资环,2010-01-07,5.78,5.78,3819424000.0,废弃资源综合利用业,2010-01,2010,0.32048698819097315
900907.SH,*ST鹏起B,2010-01-07,0.27,0.27,2150068870.0,废弃资源综合利用业,2010-01,2010,0.18041178370075409
600614.SH,*ST鹏起,2010-01-07,3.78,3.71,4249845444.0,废弃资源综合利用业,2010-01,2010,0.35660355242693376
000820.SZ,*ST节能,2010-01-07,6.13,5.9,1698225084.0,废弃资源综合利用业,2010-01,2010,0.14249767568133898
600217.SH,中再资环,2010-01-08,5.78,5.78,3819424000.0,废弃资源综合利用业,2010-01,2010,0.31782357670211187
900907.SH,*ST鹏起B,2010-01-08,0.27,0.27,2161785847.0,废弃资源综合利用业,2010-01,2010,0.1798874673138003
600614.SH,*ST鹏起,2010-01-08,3.71,3.78,4323607782.0,废弃资源综合利用业,2010-01,2010,0.3597779375980055
000820.SZ,*ST节能,2010-01-08,5.83,5.95,1712616822.0,废弃资源综合利用业,2010-01,2010,0.14251101838608232
600217.SH,中再资环,2010-01-11,5.78,5.78,3819424000.0,废弃资源综合利用业,2010-01,2010,0.3178049695064158
900907.SH,*ST鹏起B,2010-01-11,0.28,0.27,2165533144.0,废弃资源综合利用业,2010-01,2010,0.18018873913816658
600614.SH,*ST鹏起,2010-01-11,3.81,3.79,4334955833.0,废弃资源综合利用业,2010-01,2010,0.36070111784348224
000820.SZ,*ST节能,2010-01-11,5.98,5.9,1698225084.0,废弃资源综合利用业,2010-01,2010,0.14130517351193542
600217.SH,中再资环,2010-01-12,5.78,5.78,3819424000.0,废弃资源综合利用业,2010-01,2010,0.31549686443473696
900907.SH,*ST鹏起B,2010-01-12,0.27,0.28,2184870849.0,废弃资源综合利用业,2010-01,2010,0.18047744949352615
600614.SH,*ST鹏起,2010-01-12,3.76,3.82,4368999989.0,废弃资源综合利用业,2010-01,2010,0.36089363140748454
000820.SZ,*ST节能,2010-01-12,5.89,6.02,1732765255.0,废弃资源综合利用业,2010-01,2010,0.14313205466425236
600217.SH,中再资环,2010-01-13,5.78,5.78,3819424000.0,废弃资源综合利用业,2010-01,2010,0.32087702529985473
900907.SH,*ST鹏起B,2010-01-13,0.27,0.27,2149974398.0,废弃资源综合利用业,2010-01,2010,0.1806234105721402
600614.SH,*ST鹏起,2010-01-13,3.73,3.71,4249845444.0,废弃资源综合利用业,2010-01,2010,0.3570375438953257
000820.SZ,*ST节能,2010-01-13,5.9,5.85,1683833346.0,废弃资源综合利用业,2010-01,2010,0.14146202023267934
600217.SH,中再资环,2010-01-14,5.78,5.78,3819424000.0,废弃资源综合利用业,2010-01,2010,0.31532266122415525
900907.SH,*ST鹏起B,2010-01-14,0.27,0.28,2188680617.0,废弃资源综合利用业,2010-01,2010,0.18069232342944017
600614.SH,*ST鹏起,2010-01-14,3.73,3.82,4368999989.0,废弃资源综合利用业,2010-01,2010,0.36069436213936573
000820.SZ,*ST节能,2010-01-14,5.85,6.03,1735643603.0,废弃资源综合利用业,2010-01,2010,0.14329065320703885
600217.SH,中再资环,2010-01-15,5.78,5.78,3819424000.0,废弃资源综合利用业,2010-01,2010,0.31174007030299866
900907.SH,*ST鹏起B,2010-01-15,0.28,0.28,2231259416.0,废弃资源综合利用业,2010-01,2010,0.18211462440621093
600614.SH,*ST鹏起,2010-01-15,3.87,3.89,4454110379.0,废弃资源综合利用业,2010-01,2010,0.363542953777003
000820.SZ,*ST节能,2010-01-15,6.0,6.07,1747156993.0,废弃资源综合利用业,2010-01,2010,0.14260235151378736
600217.SH,中再资环,2010-01-18,5.78,5.78,3819424000.0,废弃资源综合利用业,2010-01,2010,0.31000117908386937
900907.SH,*ST鹏起B,2010-01-18,0.28,0.28,2242913411.0,废弃资源综合利用业,2010-01,2010,0.18204467532094454
600614.SH,*ST鹏起,2010-01-18,3.86,3.92,4488154534.0,废弃资源综合利用业,2010-01,2010,0.3642782779420704
000820.SZ,*ST节能,2010-01-18,6.06,6.15,1770183774.0,废弃资源综合利用业,2010-01,2010,0.14367586765311569
600217.SH,中再资环,2010-01-19,5.78,5.78,3819424000.0,废弃资源综合利用业,2010-01,2010,0.30929064226050634
900907.SH,*ST鹏起B,2010-01-19,0.28,0.28,2242847706.0,废弃资源综合利用业,2010-01,2010,0.18162209995047507
600614.SH,*ST鹏起,2010-01-19,3.93,3.95,4516524664.0,废弃资源综合利用业,2010-01,2010,0.3657407017691614
000820.SZ,*ST节能,2010-01-19,6.18,6.15,1770183774.0,废弃资源综合利用业,2010-01,2010,0.14334655601985719
600217.SH,中再资环,2010-01-20,5.78,5.78,3819424000.0,废弃资源综合利用业,2010-01,2010,0.31739238427081173
900907.SH,*ST鹏起B,2010-01-20,0.28,0.28,2192586503.0,废弃资源综合利用业,2010-01,2010,0.18220293371649005
600614.SH,*ST鹏起,2010-01-20,3.94,3.78,4329281807.0,废弃资源综合利用业,2010-01,2010,0.3597613344064388
000820.SZ,*ST节能,2010-01-20,6.16,5.88,1692468389.0,废弃资源综合利用业,2010-01,2010,0.1406433476062594
600217.SH,中再资环,2010-01-21,5.78,5.78,3819424000.0,废弃资源综合利用业,2010-01,2010,0.3073184863248029
900907.SH,*ST鹏起B,2010-01-21,0.27,0.29,2277777350.0,废弃资源综合利用业,2010-01,2010,0.183274516625261
600614.SH,*ST鹏起,2010-01-21,3.79,4.05,4635679209.0,废弃资源综合利用业,2010-01,2010,0.372996011335018
000820.SZ,*ST节能,2010-01-21,5.88,5.89,1695346736.0,废弃资源综合利用业,2010-01,2010,0.13641098571491808
600217.SH,中再资环,2010-01-22,5.78,5.78,3819424000.0,废弃资源综合利用业,2010-01,2010,0.218079407542937
900907.SH,*ST鹏起B,2010-01-22,0.28,0.28,2219638273.0,废弃资源综合利用业,2010-01,2010,0.1267357066236867
600614.SH,*ST鹏起,2010-01-22,3.97,3.97,4544894794.0,废弃资源综合利用业,2010-01,2010,0.25950194689578815
002340.SZ,格林美,2010-01-22,2.19,2.38,5292177200.0,废弃资源综合利用业,2010-01,2010,0.30216987388366395
000820.SZ,*ST节能,2010-01-22,5.79,5.69,1637779784.0,废弃资源综合利用业,2010-01,2010,0.09351306505392419
600217.SH,中再资环,2010-01-25,5.78,5.78,3819424000.0,废弃资源综合利用业,2010-01,2010,0.2239013520660889
900907.SH,*ST鹏起B,2010-01-25,0.28,0.28,2196363815.0,废弃资源综合利用业,2010-01,2010,0.1287547095602722
600614.SH,*ST鹏起,2010-01-25,3.93,3.8,4346303885.0,废弃资源综合利用业,2010-01,2010,0.2547879775436283
002340.SZ,格林美,2010-01-25,2.35,2.27,5067276000.0,废弃资源综合利用业,2010-01,2010,0.29705263089199907
000820.SZ,*ST节能,2010-01-25,5.6,5.66,1629144742.0,废弃资源综合利用业,2010-01,2010,0.09550332993801149
600217.SH,中再资环,2010-01-26,5.78,5.78,3819424000.0,废弃资源综合利用业,2010-01,2010,0.2244749874937468
900907.SH,*ST鹏起B,2010-01-26,0.28,0.27,2142101233.0,废弃资源综合利用业,2010-01,2010,0.12589546159002368
600614.SH,*ST鹏起,2010-01-26,3.83,3.58,4096646743.0,废弃资源综合利用业,2010-01,2010,0.2407679080409045
002340.SZ,格林美,2010-01-26,2.31,2.44,5431224000.0,废弃资源综合利用业,2010-01,2010,0.31920361276353126
000820.SZ,*ST节能,2010-01-26,5.66,5.3,1525524228.0,废弃资源综合利用业,2010-01,2010,0.08965803011179375
600217.SH,中再资环,2010-01-27,5.78,5.78,3819424000.0,废弃资源综合利用业,2010-01,2010,0.22181499780235475
900907.SH,*ST鹏起B,2010-01-27,0.27,0.27,2134385295.0,废弃资源综合利用业,2010-01,2010,0.12395551515616053
600614.SH,*ST鹏起,2010-01-27,3.59,3.58,4096646743.0,废弃资源综合利用业,2010-01,2010,0.23791485006523724
002340.SZ,格林美,2010-01-27,2.48,2.53,5645860000.0,废弃资源综合利用业,2010-01,2010,0.3278862005088732
000820.SZ,*ST节能,2010-01-27,5.3,5.29,1522645880.0,废弃资源综合利用业,2010-01,2010,0.08842843646737426
600217.SH,中再资环,2010-01-28,5.78,5.78,3819424000.0,废弃资源综合利用业,2010-01,2010,0.22068267263295677
900907.SH,*ST鹏起B,2010-01-28,0.27,0.27,2134416559.0,废弃资源综合利用业,2010-01,2010,0.12332455122870858
600614.SH,*ST鹏起,2010-01-28,3.59,3.63,4159061029.0,废弃资源综合利用业,2010-01,2010,0.2403065759452984
002340.SZ,格林美,2010-01-28,2.47,2.53,5645860000.0,废弃资源综合利用业,2010-01,2010,0.32621240116611966
000820.SZ,*ST节能,2010-01-28,5.29,5.38,1548551009.0,废弃资源综合利用业,2010-01,2010,0.0894737990269166
600217.SH,中再资环,2010-01-29,5.78,5.78,3819424000.0,废弃资源综合利用业,2010-01,2010,0.21619670500759247
900907.SH,*ST鹏起B,2010-01-29,0.27,0.27,2115017007.0,废弃资源综合利用业,2010-01,2010,0.1197195461798481
600614.SH,*ST鹏起,2010-01-29,3.59,3.72,4261193496.0,废弃资源综合利用业,2010-01,2010,0.24120286023101487
