代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year,weight
603929.SH,亚翔集成,2016-12-30,6.79,6.79,1516989600.0,建筑安装业,2016-12,2016,1.0
603929.SH,亚翔集成,2017-01-03,7.47,7.47,1668475200.0,建筑安装业,2017-01,2017,1.0
603929.SH,亚翔集成,2017-01-04,8.22,8.22,1834896000.0,建筑安装业,2017-01,2017,1.0
603929.SH,亚翔集成,2017-01-05,9.04,9.04,2018385600.0,建筑安装业,2017-01,2017,1.0
603929.SH,亚翔集成,2017-01-06,9.95,9.95,2221077600.0,建筑安装业,2017-01,2017,1.0
603929.SH,亚翔集成,2017-01-09,10.94,10.94,2442972000.0,建筑安装业,2017-01,2017,1.0
603929.SH,亚翔集成,2017-01-10,12.04,12.04,2688336000.0,建筑安装业,2017-01,2017,1.0
603929.SH,亚翔集成,2017-01-11,13.24,13.24,2957169600.0,建筑安装业,2017-01,2017,1.0
603929.SH,亚翔集成,2017-01-12,14.57,14.57,3253740000.0,建筑安装业,2017-01,2017,1.0
603929.SH,亚翔集成,2017-01-13,16.03,16.03,3580180800.0,建筑安装业,2017-01,2017,1.0
603929.SH,亚翔集成,2017-01-16,17.64,17.64,3938625600.0,建筑安装业,2017-01,2017,1.0
603929.SH,亚翔集成,2017-01-17,19.4,19.4,4333341600.0,建筑安装业,2017-01,2017,1.0
603929.SH,亚翔集成,2017-01-18,21.34,21.34,4766462400.0,建筑安装业,2017-01,2017,1.0
603929.SH,亚翔集成,2017-01-19,23.47,23.47,5242255200.0,建筑安装业,2017-01,2017,1.0
603929.SH,亚翔集成,2017-01-20,24.28,25.82,5767120800.0,建筑安装业,2017-01,2017,1.0
603929.SH,亚翔集成,2017-01-23,26.6,25.12,5609234400.0,建筑安装业,2017-01,2017,1.0
603929.SH,亚翔集成,2017-01-24,25.01,25.07,5598566400.0,建筑安装业,2017-01,2017,1.0
603929.SH,亚翔集成,2017-01-25,24.74,25.71,5741517600.0,建筑安装业,2017-01,2017,1.0
603929.SH,亚翔集成,2017-01-26,25.49,25.95,5794857600.0,建筑安装业,2017-01,2017,1.0
603929.SH,亚翔集成,2017-02-03,25.75,25.32,5654040000.0,建筑安装业,2017-02,2017,1.0
603929.SH,亚翔集成,2017-02-06,25.7,27.85,6219444000.0,建筑安装业,2017-02,2017,1.0
603929.SH,亚翔集成,2017-02-07,28.62,28.45,6353860800.0,建筑安装业,2017-02,2017,1.0
603929.SH,亚翔集成,2017-02-08,27.99,29.2,6520281600.0,建筑安装业,2017-02,2017,1.0
603929.SH,亚翔集成,2017-02-09,28.81,28.9,6454140000.0,建筑安装业,2017-02,2017,1.0
603929.SH,亚翔集成,2017-02-10,28.95,28.4,6343192800.0,建筑安装业,2017-02,2017,1.0
