代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year
002207.SZ,准油股份,2010-01-04,11.38,11.26,2264674349.0,开采辅助活动,2010-01,2010
002207.SZ,准油股份,2010-01-05,11.26,11.32,2276609391.0,开采辅助活动,2010-01,2010
002207.SZ,准油股份,2010-01-06,11.32,11.11,2234836742.0,开采辅助活动,2010-01,2010
002207.SZ,准油股份,2010-01-07,11.22,10.86,2184112810.0,开采辅助活动,2010-01,2010
002207.SZ,准油股份,2010-01-08,10.69,10.93,2198037027.0,开采辅助活动,2010-01,2010
002207.SZ,准油股份,2010-01-11,10.94,10.83,2177150702.0,开采辅助活动,2010-01,2010
002207.SZ,准油股份,2010-01-12,10.79,10.88,2188091158.0,开采辅助活动,2010-01,2010
002207.SZ,准油股份,2010-01-13,10.63,10.4,2090621643.0,开采辅助活动,2010-01,2010
002207.SZ,准油股份,2010-01-14,10.38,10.64,2138361814.0,开采辅助活动,2010-01,2010
002207.SZ,准油股份,2010-01-15,10.54,10.76,2164221073.0,开采辅助活动,2010-01,2010
002207.SZ,准油股份,2010-01-18,10.66,11.15,2242793437.0,开采辅助活动,2010-01,2010
002207.SZ,准油股份,2010-01-19,11.38,10.98,2206988309.0,开采辅助活动,2010-01,2010
002207.SZ,准油股份,2010-01-20,10.88,10.48,2106535033.0,开采辅助活动,2010-01,2010
002207.SZ,准油股份,2010-01-21,10.25,10.38,2086643295.0,开采辅助活动,2010-01,2010
002207.SZ,准油股份,2010-01-22,10.2,9.97,2004092583.0,开采辅助活动,2010-01,2010
002207.SZ,准油股份,2010-01-25,10.03,9.8,1970276629.0,开采辅助活动,2010-01,2010
002207.SZ,准油股份,2010-01-26,10.18,9.86,1982211672.0,开采辅助活动,2010-01,2010
002207.SZ,准油股份,2010-01-27,10.38,9.98,2007076344.0,开采辅助活动,2010-01,2010
002207.SZ,准油股份,2010-01-28,9.99,9.83,1976244150.0,开采辅助活动,2010-01,2010
002207.SZ,准油股份,2010-01-29,9.82,9.81,1973260390.0,开采辅助活动,2010-01,2010
002207.SZ,准油股份,2010-02-01,9.79,9.38,1886731330.0,开采辅助活动,2010-02,2010
002207.SZ,准油股份,2010-02-02,9.4,9.65,1939444436.0,开采辅助活动,2010-02,2010
002207.SZ,准油股份,2010-02-03,10.12,9.91,1992157541.0,开采辅助活动,2010-02,2010
002207.SZ,准油股份,2010-02-04,9.96,9.75,1960330760.0,开采辅助活动,2010-02,2010
002207.SZ,准油股份,2010-02-05,9.54,10.27,2064762384.0,开采辅助活动,2010-02,2010
002207.SZ,准油股份,2010-02-08,10.19,10.28,2066751557.0,开采辅助活动,2010-02,2010
002207.SZ,准油股份,2010-02-09,10.19,9.86,1983206259.0,开采辅助活动,2010-02,2010
002207.SZ,准油股份,2010-02-10,9.94,9.96,2002103410.0,开采辅助活动,2010-02,2010
002207.SZ,准油股份,2010-02-11,9.96,9.74,1958341586.0,开采辅助活动,2010-02,2010
002207.SZ,准油股份,2010-02-12,9.82,9.86,1982211672.0,开采辅助活动,2010-02,2010
002207.SZ,准油股份,2010-02-22,9.84,9.96,2003097996.0,开采辅助活动,2010-02,2010
002207.SZ,准油股份,2010-02-23,9.96,10.18,2046859820.0,开采辅助活动,2010-02,2010
002207.SZ,准油股份,2010-02-24,10.15,10.29,2068740731.0,开采辅助活动,2010-02,2010
002207.SZ,准油股份,2010-02-25,10.29,10.54,2118470076.0,开采辅助活动,2010-02,2010
002207.SZ,准油股份,2010-02-26,10.53,10.55,2121453836.0,开采辅助活动,2010-02,2010
002207.SZ,准油股份,2010-03-01,10.55,10.57,2124437597.0,开采辅助活动,2010-03,2010
002207.SZ,准油股份,2010-03-02,10.57,10.38,2087637882.0,开采辅助活动,2010-03,2010
002207.SZ,准油股份,2010-03-03,10.39,10.49,2108524207.0,开采辅助活动,2010-03,2010
002207.SZ,准油股份,2010-03-04,10.41,9.95,2001108823.0,开采辅助活动,2010-03,2010
002207.SZ,准油股份,2010-03-05,9.9,10.65,2141345574.0,开采辅助活动,2010-03,2010
002207.SZ,准油股份,2010-03-08,10.73,10.64,2138361814.0,开采辅助活动,2010-03,2010
002207.SZ,准油股份,2010-03-09,10.64,10.76,2163226486.0,开采辅助活动,2010-03,2010
002207.SZ,准油股份,2010-03-10,11.03,10.44,2099572925.0,开采辅助活动,2010-03,2010
002207.SZ,准油股份,2010-03-11,10.48,10.32,2074708253.0,开采辅助活动,2010-03,2010
002207.SZ,准油股份,2010-03-12,10.63,10.27,2064762384.0,开采辅助活动,2010-03,2010
002207.SZ,准油股份,2010-03-15,10.15,9.94,1999119649.0,开采辅助活动,2010-03,2010
002207.SZ,准油股份,2010-03-16,9.9,9.96,2003097996.0,开采辅助活动,2010-03,2010
002207.SZ,准油股份,2010-03-17,9.96,10.14,2038903124.0,开采辅助活动,2010-03,2010
002207.SZ,准油股份,2010-03-18,10.39,10.19,2049843580.0,开采辅助活动,2010-03,2010
002207.SZ,准油股份,2010-03-19,10.24,10.49,2109518794.0,开采辅助活动,2010-03,2010
002207.SZ,准油股份,2010-03-22,10.41,10.33,2077692013.0,开采辅助活动,2010-03,2010
002207.SZ,准油股份,2010-03-23,10.33,10.46,2102556685.0,开采辅助活动,2010-03,2010
002207.SZ,准油股份,2010-03-24,10.47,10.47,2104545859.0,开采辅助活动,2010-03,2010
002207.SZ,准油股份,2010-03-25,10.45,10.14,2038903124.0,开采辅助活动,2010-03,2010
002207.SZ,准油股份,2010-03-26,10.16,10.21,2053821928.0,开采辅助活动,2010-03,2010
002207.SZ,准油股份,2010-03-29,10.2,10.56,2123443010.0,开采辅助活动,2010-03,2010
002207.SZ,准油股份,2010-03-30,10.43,10.61,2133388879.0,开采辅助活动,2010-03,2010
002207.SZ,准油股份,2010-03-31,10.62,10.9,2192069506.0,开采辅助活动,2010-03,2010
002207.SZ,准油股份,2010-04-01,10.88,11.07,2224890873.0,开采辅助活动,2010-04,2010
002207.SZ,准油股份,2010-04-02,11.07,11.4,2291528195.0,开采辅助活动,2010-04,2010
002207.SZ,准油股份,2010-04-06,11.43,12.12,2436737880.0,开采辅助活动,2010-04,2010
002207.SZ,准油股份,2010-04-07,12.0,13.33,2680411669.0,开采辅助活动,2010-04,2010
002207.SZ,准油股份,2010-04-08,13.79,14.6,2935025912.0,开采辅助活动,2010-04,2010
002207.SZ,准油股份,2010-04-09,14.6,14.6,2935025912.0,开采辅助活动,2010-04,2010
002207.SZ,准油股份,2010-04-12,14.6,14.6,2935025912.0,开采辅助活动,2010-04,2010
002207.SZ,准油股份,2010-04-13,14.6,14.6,2935025912.0,开采辅助活动,2010-04,2010
002207.SZ,准油股份,2010-04-14,14.09,13.54,2723178905.0,开采辅助活动,2010-04,2010
002207.SZ,准油股份,2010-04-15,13.5,13.05,2623720216.0,开采辅助活动,2010-04,2010
002207.SZ,准油股份,2010-04-16,13.03,12.99,2612779760.0,开采辅助活动,2010-04,2010
002207.SZ,准油股份,2010-04-19,12.82,12.33,2479505117.0,开采辅助活动,2010-04,2010
002207.SZ,准油股份,2010-04-20,12.33,12.54,2522272353.0,开采辅助活动,2010-04,2010
002207.SZ,准油股份,2010-04-21,12.47,13.2,2653557823.0,开采辅助活动,2010-04,2010
002207.SZ,准油股份,2010-04-22,13.07,13.16,2645601127.0,开采辅助活动,2010-04,2010
002207.SZ,准油股份,2010-04-23,13.16,13.16,2645601127.0,开采辅助活动,2010-04,2010
002207.SZ,准油股份,2010-04-26,13.34,13.21,2655546996.0,开采辅助活动,2010-04,2010
002207.SZ,准油股份,2010-04-27,12.97,12.67,2547137025.0,开采辅助活动,2010-04,2010
002207.SZ,准油股份,2010-04-28,12.37,12.56,2526250701.0,开采辅助活动,2010-04,2010
002207.SZ,准油股份,2010-04-29,12.63,13.49,2713233036.0,开采辅助活动,2010-04,2010
002207.SZ,准油股份,2010-04-30,13.4,12.83,2579958393.0,开采辅助活动,2010-04,2010
002207.SZ,准油股份,2010-05-04,12.61,12.6,2534207396.0,开采辅助活动,2010-05,2010
002207.SZ,准油股份,2010-05-05,12.44,13.29,2671460387.0,开采辅助活动,2010-05,2010
002207.SZ,准油股份,2010-05-06,13.28,12.51,2515310245.0,开采辅助活动,2010-05,2010
002207.SZ,准油股份,2010-05-07,12.17,13.0,2613774347.0,开采辅助活动,2010-05,2010
002207.SZ,准油股份,2010-05-10,12.81,13.85,2784843292.0,开采辅助活动,2010-05,2010
002207.SZ,准油股份,2010-05-11,13.94,12.59,2531223635.0,开采辅助活动,2010-05,2010
002207.SZ,准油股份,2010-05-12,12.37,11.44,2300479477.0,开采辅助活动,2010-05,2010
002207.SZ,准油股份,2010-05-13,11.35,12.22,2457624205.0,开采辅助活动,2010-05,2010
002207.SZ,准油股份,2010-05-14,11.96,12.4,2493429333.0,开采辅助活动,2010-05,2010
002207.SZ,准油股份,2010-05-17,12.05,11.91,2394965231.0,开采辅助活动,2010-05,2010
002207.SZ,准油股份,2010-05-18,11.87,12.5,2512326484.0,开采辅助活动,2010-05,2010
002207.SZ,准油股份,2010-05-19,12.61,12.84,2581947566.0,开采辅助活动,2010-05,2010
002207.SZ,准油股份,2010-05-20,12.85,12.34,2481494291.0,开采辅助活动,2010-05,2010
002207.SZ,准油股份,2010-05-21,12.32,12.84,2580952980.0,开采辅助活动,2010-05,2010
002207.SZ,准油股份,2010-05-24,13.0,13.36,2685384603.0,开采辅助活动,2010-05,2010
002207.SZ,准油股份,2010-05-25,13.11,12.96,2604823065.0,开采辅助活动,2010-05,2010
002207.SZ,准油股份,2010-05-26,12.96,12.96,2604823065.0,开采辅助活动,2010-05,2010
002207.SZ,准油股份,2010-05-27,12.96,13.23,2660519931.0,开采辅助活动,2010-05,2010
002207.SZ,准油股份,2010-05-28,13.45,13.21,2655546996.0,开采辅助活动,2010-05,2010
002207.SZ,准油股份,2010-05-31,13.2,12.56,2526250701.0,开采辅助活动,2010-05,2010
002207.SZ,准油股份,2010-06-01,12.12,12.1,2432759533.0,开采辅助活动,2010-06,2010
002207.SZ,准油股份,2010-06-02,12.09,12.11,2435743294.0,开采辅助活动,2010-06,2010
002207.SZ,准油股份,2010-06-03,12.11,11.99,2409884034.0,开采辅助活动,2010-06,2010
002207.SZ,准油股份,2010-06-04,11.84,11.87,2386013949.0,开采辅助活动,2010-06,2010
002207.SZ,准油股份,2010-06-07,11.6,11.43,2297495716.0,开采辅助活动,2010-06,2010
002207.SZ,准油股份,2010-06-08,11.42,12.1,2433754120.0,开采辅助活动,2010-06,2010
002207.SZ,准油股份,2010-06-09,12.17,12.13,2438727054.0,开采辅助活动,2010-06,2010
002207.SZ,准油股份,2010-06-10,12.16,12.48,2509342723.0,开采辅助活动,2010-06,2010
002207.SZ,准油股份,2010-06-11,12.54,12.24,2461602553.0,开采辅助活动,2010-06,2010
002207.SZ,准油股份,2010-06-17,12.32,12.38,2488456399.0,开采辅助活动,2010-06,2010
002207.SZ,准油股份,2010-06-18,12.36,12.07,2426792012.0,开采辅助活动,2010-06,2010
002207.SZ,准油股份,2010-06-21,12.07,12.16,2444694576.0,开采辅助活动,2010-06,2010
002207.SZ,准油股份,2010-06-22,12.14,12.31,2475526769.0,开采辅助活动,2010-06,2010
002207.SZ,准油股份,2010-06-23,12.32,12.36,2484478051.0,开采辅助活动,2010-06,2010
002207.SZ,准油股份,2010-06-24,12.28,12.28,2469559248.0,开采辅助活动,2010-06,2010
002207.SZ,准油股份,2010-06-25,12.17,12.01,2414856969.0,开采辅助活动,2010-06,2010
002207.SZ,准油股份,2010-06-28,12.18,12.25,2462597140.0,开采辅助活动,2010-06,2010
002207.SZ,准油股份,2010-06-29,12.31,11.69,2350208821.0,开采辅助活动,2010-06,2010
002207.SZ,准油股份,2010-06-30,11.48,11.57,2326338736.0,开采辅助活动,2010-06,2010
002207.SZ,准油股份,2010-07-01,11.58,10.41,2093605403.0,开采辅助活动,2010-07,2010
002207.SZ,准油股份,2010-07-02,10.14,9.73,1956352413.0,开采辅助活动,2010-07,2010
002207.SZ,准油股份,2010-07-05,9.49,9.43,1895682612.0,开采辅助活动,2010-07,2010
002207.SZ,准油股份,2010-07-06,9.42,9.71,1952374065.0,开采辅助活动,2010-07,2010
002207.SZ,准油股份,2010-07-07,9.74,9.98,2006081757.0,开采辅助活动,2010-07,2010
002207.SZ,准油股份,2010-07-08,9.98,9.87,1984200846.0,开采辅助活动,2010-07,2010
002207.SZ,准油股份,2010-07-09,9.87,10.16,2042881472.0,开采辅助活动,2010-07,2010
002207.SZ,准油股份,2010-07-12,10.14,10.33,2076697426.0,开采辅助活动,2010-07,2010
002207.SZ,准油股份,2010-07-13,10.32,10.09,2028957256.0,开采辅助活动,2010-07,2010
002207.SZ,准油股份,2010-07-14,10.24,10.18,2046859820.0,开采辅助活动,2010-07,2010
002207.SZ,准油股份,2010-07-15,10.31,9.84,1979227911.0,开采辅助活动,2010-07,2010
002207.SZ,准油股份,2010-07-16,9.84,9.91,1993152128.0,开采辅助活动,2010-07,2010
