代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year,weight
002607.SZ,中公教育,2011-08-10,3.64,3.9,2831840000.0,教育业,2011-08,2011,0.35967633954355194
600661.SH,昂立教育,2011-08-10,8.25,8.3,1458885330.0,教育业,2011-08,2011,0.18529526219990777
600730.SH,中国高科,2011-08-10,3.73,3.95,2396489768.0,教育业,2011-08,2011,0.3043818391956523
000526.SZ,紫光学大,2011-08-10,12.24,12.33,1186085669.0,教育业,2011-08,2011,0.15064655906088797
002607.SZ,中公教育,2011-08-11,3.78,3.98,2886400000.0,教育业,2011-08,2011,0.36388688001306785
600661.SH,昂立教育,2011-08-11,8.1,8.45,1486673622.0,教育业,2011-08,2011,0.18742413591577986
600730.SH,中国高科,2011-08-11,3.78,3.91,2370090248.0,教育业,2011-08,2011,0.29879599005478047
000526.SZ,紫光学大,2011-08-11,12.09,12.36,1188971523.0,教育业,2011-08,2011,0.1498929940163718
002607.SZ,中公教育,2011-08-12,3.9,3.82,2772880000.0,教育业,2011-08,2011,0.3487136877228676
600661.SH,昂立教育,2011-08-12,8.49,8.64,1519672219.0,教育业,2011-08,2011,0.19111194989234417
600730.SH,中国高科,2011-08-12,3.94,4.01,2434622408.0,教育业,2011-08,2011,0.3061748644392862
000526.SZ,紫光学大,2011-08-12,12.5,12.73,1224563712.0,教育业,2011-08,2011,0.153999497945502
002607.SZ,中公教育,2011-08-15,3.86,3.86,2797520000.0,教育业,2011-08,2011,0.3501754313921182
600661.SH,昂立教育,2011-08-15,8.65,8.69,1528356060.0,教育业,2011-08,2011,0.19130971096945082
600730.SH,中国高科,2011-08-15,3.99,4.01,2434622408.0,教育业,2011-08,2011,0.3047502616597263
000526.SZ,紫光学大,2011-08-15,12.7,12.77,1228411516.0,教育业,2011-08,2011,0.15376459597870468
002607.SZ,中公教育,2011-08-16,3.93,4.05,2940960000.0,教育业,2011-08,2011,0.35462066466574477
600661.SH,昂立教育,2011-08-16,8.69,8.62,1516198682.0,教育业,2011-08,2011,0.18282308646706047
600730.SH,中国高科,2011-08-16,4.01,4.3,2607685929.0,教育业,2011-08,2011,0.31443451028966396
000526.SZ,紫光学大,2011-08-16,12.82,12.77,1228411516.0,教育业,2011-08,2011,0.14812173857753086
002607.SZ,中公教育,2011-08-17,4.1,4.1,2976160000.0,教育业,2011-08,2011,0.35675882747697657
600661.SH,昂立教育,2011-08-17,8.62,9.06,1592616485.0,教育业,2011-08,2011,0.19091043149867742
600730.SH,中国高科,2011-08-17,4.23,4.19,2540220489.0,教育业,2011-08,2011,0.30450180204983335
