代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year,weight
300413.SZ,芒果超媒,2015-01-21,6.9,7.6,5233050000.0,文化艺术业,2015-01,2015,0.10094268557279054
002699.SZ,美盛文化,2015-01-21,8.23,8.28,6208026000.0,文化艺术业,2015-01,2015,0.11974944182564826
600576.SH,祥源文化,2015-01-21,9.41,9.3,4464365552.0,文化艺术业,2015-01,2015,0.08611518105073207
000673.SZ,*ST当代,2015-01-21,7.36,7.43,3089988000.0,文化艺术业,2015-01,2015,0.05960418629818097
300144.SZ,宋城演艺,2015-01-21,6.77,6.77,16800183000.0,文化艺术业,2015-01,2015,0.3240663838744787
000681.SZ,视觉中国,2015-01-21,23.82,23.81,16046182327.0,文化艺术业,2015-01,2015,0.3095221213781694
300413.SZ,芒果超媒,2015-01-22,8.36,8.36,5758360000.0,文化艺术业,2015-01,2015,0.10948755518054654
002699.SZ,美盛文化,2015-01-22,8.27,8.38,6284135000.0,文化艺术业,2015-01,2015,0.11948446737864667
600576.SH,祥源文化,2015-01-22,9.29,9.05,4342233422.0,文化艺术业,2015-01,2015,0.08256179214186651
000673.SZ,*ST当代,2015-01-22,7.41,7.57,3148250400.0,文化艺术业,2015-01,2015,0.05985979330784767
300144.SZ,宋城演艺,2015-01-22,6.77,6.77,16800183000.0,文化艺术业,2015-01,2015,0.3194331308316569
000681.SZ,视觉中国,2015-01-22,23.66,24.13,16260578083.0,文化艺术业,2015-01,2015,0.3091732611594357
300413.SZ,芒果超媒,2015-01-23,9.2,9.2,6335800000.0,文化艺术业,2015-01,2015,0.11953745328434422
002699.SZ,美盛文化,2015-01-23,8.45,8.39,6286192000.0,文化艺术业,2015-01,2015,0.11860149981634811
600576.SH,祥源文化,2015-01-23,9.05,8.93,4285529218.0,文化艺术业,2015-01,2015,0.0808550220485759
000673.SZ,*ST当代,2015-01-23,7.57,7.57,3148250400.0,文化艺术业,2015-01,2015,0.059397997903566715
300144.SZ,宋城演艺,2015-01-23,6.77,6.77,16800183000.0,文化艺术业,2015-01,2015,0.31696882643564095
000681.SZ,视觉中国,2015-01-23,24.13,23.96,16146680338.0,文化艺术业,2015-01,2015,0.3046392005115241
300413.SZ,芒果超媒,2015-01-26,10.12,10.12,6969380000.0,文化艺术业,2015-01,2015,0.12851508817541732
002699.SZ,美盛文化,2015-01-26,8.42,9.11,6829240000.0,文化艺术业,2015-01,2015,0.1259309121860319
600576.SH,祥源文化,2015-01-26,8.85,8.98,4309519458.0,文化艺术业,2015-01,2015,0.07946736627053579
000673.SZ,*ST当代,2015-01-26,7.57,7.57,3148250400.0,文化艺术业,2015-01,2015,0.058053611333331354
300144.SZ,宋城演艺,2015-01-26,6.77,6.77,16800183000.0,文化艺术业,2015-01,2015,0.3097947019115254
000681.SZ,视觉中国,2015-01-26,23.97,24.0,16173479807.0,文化艺术业,2015-01,2015,0.2982383201231582
300413.SZ,芒果超媒,2015-01-27,11.13,11.13,7667120000.0,文化艺术业,2015-01,2015,0.13910068155121635
002699.SZ,美盛文化,2015-01-27,9.22,9.3,6973230000.0,文化艺术业,2015-01,2015,0.12651178612221908
600576.SH,祥源文化,2015-01-27,8.99,8.88,4259358048.0,文化艺术业,2015-01,2015,0.07727537947070849
000673.SZ,*ST当代,2015-01-27,7.7,7.88,3279340800.0,文化艺术业,2015-01,2015,0.05949542205139754
300144.SZ,宋城演艺,2015-01-27,6.77,6.77,16800183000.0,文化艺术业,2015-01,2015,0.30479722574906337
000681.SZ,视觉中国,2015-01-27,23.96,23.95,16139980470.0,文化艺术业,2015-01,2015,0.29281950505539517
300413.SZ,芒果超媒,2015-01-28,12.24,12.24,8433030000.0,文化艺术业,2015-01,2015,0.14839445810150462
002699.SZ,美盛文化,2015-01-28,9.28,9.09,6816898000.0,文化艺术业,2015-01,2015,0.11995568433211203
600576.SH,祥源文化,2015-01-28,8.93,9.53,4573412097.0,文化艺术业,2015-01,2015,0.08047748078794702
000673.SZ,*ST当代,2015-01-28,7.83,7.53,3133684800.0,文化艺术业,2015-01,2015,0.055142867718592475
300144.SZ,宋城演艺,2015-01-28,6.77,6.77,16800183000.0,文化艺术业,2015-01,2015,0.29562969090482427
000681.SZ,视觉中国,2015-01-28,24.09,25.33,17071262033.0,文化艺术业,2015-01,2015,0.3003998181550196
300413.SZ,芒果超媒,2015-01-29,13.47,13.47,9275130000.0,文化艺术业,2015-01,2015,0.16083118781933614
002699.SZ,美盛文化,2015-01-29,9.09,9.3,6973230000.0,文化艺术业,2015-01,2015,0.12091613420377173
600576.SH,祥源文化,2015-01-29,9.53,9.53,4573412097.0,文化艺术业,2015-01,2015,0.07930317957245138
000673.SZ,*ST当代,2015-01-29,7.35,7.33,3050452800.0,文化艺术业,2015-01,2015,0.052894994162973434
300144.SZ,宋城演艺,2015-01-29,6.77,6.77,16800183000.0,文化艺术业,2015-01,2015,0.2913159586412501
000681.SZ,视觉中国,2015-01-29,25.04,25.22,16997563492.0,文化艺术业,2015-01,2015,0.2947385456002172
300413.SZ,芒果超媒,2015-01-30,14.81,14.81,10201440000.0,文化艺术业,2015-01,2015,0.176077709688847
002699.SZ,美盛文化,2015-01-30,9.33,8.88,6656452000.0,文化艺术业,2015-01,2015,0.11489091959701228
600576.SH,祥源文化,2015-01-30,9.53,9.53,4573412097.0,文化艺术业,2015-01,2015,0.07893747622914285
000673.SZ,*ST当代,2015-01-30,7.35,7.43,3089988000.0,文化艺术业,2015-01,2015,0.05333345194462948
300144.SZ,宋城演艺,2015-01-30,6.77,6.77,16800183000.0,文化艺术业,2015-01,2015,0.28997256710753605
000681.SZ,视觉中国,2015-01-30,25.05,24.66,16615671053.0,文化艺术业,2015-01,2015,0.2867878754328323
300413.SZ,芒果超媒,2015-02-02,16.29,16.29,11219980000.0,文化艺术业,2015-02,2015,0.18979363625329237
002699.SZ,美盛文化,2015-02-02,8.61,9.14,6847753000.0,文化艺术业,2015-02,2015,0.11583442591113279
600576.SH,祥源文化,2015-02-02,9.53,9.53,4573412097.0,文化艺术业,2015-02,2015,0.07736239387008044
000673.SZ,*ST当代,2015-02-02,7.39,7.47,3106634400.0,文化艺术业,2015-02,2015,0.05255084583801087
300144.SZ,宋城演艺,2015-02-02,6.77,6.77,16800183000.0,文化艺术业,2015-02,2015,0.28418658690039966
000681.SZ,视觉中国,2015-02-02,24.66,24.59,16568771981.0,文化艺术业,2015-02,2015,0.2802721112270839
300413.SZ,芒果超媒,2015-02-03,17.92,17.92,12342780000.0,文化艺术业,2015-02,2015,0.2027833799457063
002699.SZ,美盛文化,2015-02-03,9.16,9.22,6909463000.0,文化艺术业,2015-02,2015,0.11351772135206167
600576.SH,祥源文化,2015-02-03,9.53,9.53,4573412097.0,文化艺术业,2015-02,2015,0.07513801290424364
000673.SZ,*ST当代,2015-02-03,7.48,7.52,3129523200.0,文化艺术业,2015-02,2015,0.05141591214576478
300144.SZ,宋城演艺,2015-02-03,6.77,6.77,16800183000.0,文化艺术业,2015-02,2015,0.2760154432345384
000681.SZ,视觉中国,2015-02-03,24.77,25.39,17111461237.0,文化艺术业,2015-02,2015,0.2811295304176852
300413.SZ,芒果超媒,2015-02-04,19.71,19.71,13577860000.0,文化艺术业,2015-02,2015,0.21853621272065235
002699.SZ,美盛文化,2015-02-04,9.39,9.23,6917691000.0,文化艺术业,2015-02,2015,0.11134051992815822
600576.SH,祥源文化,2015-02-04,9.53,9.53,4573412097.0,文化艺术业,2015-02,2015,0.07360925498489429
000673.SZ,*ST当代,2015-02-04,7.52,7.57,3150331200.0,文化艺术业,2015-02,2015,0.05070470967175299
300144.SZ,宋城演艺,2015-02-04,6.77,6.77,16800183000.0,文化艺术业,2015-02,2015,0.2703996333615082
000681.SZ,视觉中国,2015-02-04,25.4,25.39,17111461237.0,文化艺术业,2015-02,2015,0.275409669333034
300413.SZ,芒果超媒,2015-02-05,21.69,21.69,14937250000.0,文化艺术业,2015-02,2015,0.23322337152928269
002699.SZ,美盛文化,2015-02-05,9.0,8.89,6664680000.0,文化艺术业,2015-02,2015,0.10405925721024818
600576.SH,祥源文化,2015-02-05,9.53,9.53,4573412097.0,文化艺术业,2015-02,2015,0.07140715919296703
000673.SZ,*ST当代,2015-02-05,7.57,7.97,3316795200.0,文化艺术业,2015-02,2015,0.05178691922650699
300144.SZ,宋城演艺,2015-02-05,6.77,6.77,16800183000.0,文化艺术业,2015-02,2015,0.2623103530816542
000681.SZ,视觉中国,2015-02-05,25.11,26.35,17754648504.0,文化艺术业,2015-02,2015,0.2772129397593409
300413.SZ,芒果超媒,2015-02-06,23.86,20.4,14055050000.0,文化艺术业,2015-02,2015,0.2262327869746711
002699.SZ,美盛文化,2015-02-06,8.92,8.88,6658509000.0,文化艺术业,2015-02,2015,0.10717664100561225
600576.SH,祥源文化,2015-02-06,8.58,8.58,4115416608.0,文化艺术业,2015-02,2015,0.06624253693794668
000673.SZ,*ST当代,2015-02-06,7.97,7.98,3318876000.0,文化艺术业,2015-02,2015,0.053421266171472075
300144.SZ,宋城演艺,2015-02-06,6.77,6.77,16800183000.0,文化艺术业,2015-02,2015,0.27041897551232413
000681.SZ,视觉中国,2015-02-06,26.38,25.49,17178459911.0,文化艺术业,2015-02,2015,0.27650779339797377
300413.SZ,芒果超媒,2015-02-09,19.02,18.4,12671600000.0,文化艺术业,2015-02,2015,0.21574789661867047
002699.SZ,美盛文化,2015-02-09,8.81,8.47,6347902000.0,文化艺术业,2015-02,2015,0.1080799981408387
600576.SH,祥源文化,2015-02-09,7.72,7.72,3703220668.0,文化艺术业,2015-02,2015,0.06305139602226931
000673.SZ,*ST当代,2015-02-09,7.98,7.85,3264775200.0,文化艺术业,2015-02,2015,0.05558638075166508
