代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year,weight
002292.SZ,奥飞娱乐,2010-01-04,5.43,5.5,6964800000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.6150766556039282
﻿002301.SZ,齐心集团,2010-01-04,7.32,7.28,4358666655.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.3849233443960718
002292.SZ,奥飞娱乐,2010-01-05,5.51,5.8,7344000000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.62788335660548
002301.SZ,齐心集团,2010-01-05,7.36,7.27,4352439988.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.37211664339452
002292.SZ,奥飞娱乐,2010-01-06,5.73,5.66,7171200000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.6216315870403115
002301.SZ,齐心集团,2010-01-06,7.15,7.29,4364893322.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.3783684129596884
002292.SZ,奥飞娱乐,2010-01-07,5.63,5.49,6944000000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.6006686251108494
002301.SZ,齐心集团,2010-01-07,7.19,7.71,4616450654.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.3993313748891506
002292.SZ,奥飞娱乐,2010-01-08,5.44,5.56,7036800000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.6088587711472434
002301.SZ,齐心集团,2010-01-08,7.66,7.55,4520559988.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.3911412288527566
002292.SZ,奥飞娱乐,2010-01-11,5.52,5.61,7102400000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.6042682663234464
002301.SZ,齐心集团,2010-01-11,7.5,7.76,4651319988.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.3957317336765535
002292.SZ,奥飞娱乐,2010-01-12,5.59,5.68,7188800000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.6046123057143762
002301.SZ,齐心集团,2010-01-12,7.79,7.85,4701133321.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.3953876942856238
002292.SZ,奥飞娱乐,2010-01-13,5.52,6.25,7907200000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.6256576617202604
002301.SZ,齐心集团,2010-01-13,7.68,7.9,4731021321.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.3743423382797396
002292.SZ,奥飞娱乐,2010-01-14,6.45,6.53,8264000000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.6313376970126775
002301.SZ,齐心集团,2010-01-14,7.9,8.05,4825666654.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.3686623029873225
002292.SZ,奥飞娱乐,2010-01-15,6.5,6.51,8240000000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.6339232655400207
002301.SZ,齐心集团,2010-01-15,8.05,7.94,4758418654.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.36607673445997935
002292.SZ,奥飞娱乐,2010-01-18,6.45,6.58,8336000000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.6347357629325557
002301.SZ,齐心集团,2010-01-18,7.91,8.01,4797023987.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.36526423706744426
002292.SZ,奥飞娱乐,2010-01-19,6.6,6.34,8027200000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.6351301546170107
002301.SZ,齐心集团,2010-01-19,7.98,7.7,4611469321.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.3648698453829893
002292.SZ,奥飞娱乐,2010-01-20,6.34,5.82,7363200000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.6281593381596099
002301.SZ,齐心集团,2010-01-20,7.71,7.28,4358666655.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.3718406618403901
002292.SZ,奥飞娱乐,2010-01-21,5.83,5.82,7366400000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.641200324668038
002301.SZ,齐心集团,2010-01-21,7.07,6.88,4122053322.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.358799675331962
002292.SZ,奥飞娱乐,2010-01-22,5.69,5.58,7059200000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.6355186053502145
002301.SZ,齐心集团,2010-01-22,6.85,6.76,4048578656.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.3644813946497855
002292.SZ,奥飞娱乐,2010-01-25,5.55,5.6,7088000000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.6339092819381018
002301.SZ,齐心集团,2010-01-25,6.86,6.83,4093410656.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.3660907180618982
002292.SZ,奥飞娱乐,2010-01-26,5.62,5.43,6880000000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.6332220701288259
002301.SZ,齐心集团,2010-01-26,6.8,6.65,3985066656.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.3667779298711741
002292.SZ,奥飞娱乐,2010-01-27,5.43,5.43,6870400000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.6285711503589532
002301.SZ,齐心集团,2010-01-27,6.65,6.78,4059786656.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.3714288496410468
002292.SZ,奥飞娱乐,2010-01-28,5.4,5.48,6937600000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.6336391366020265
002301.SZ,齐心集团,2010-01-28,6.74,6.7,4011218656.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.3663608633979735
002292.SZ,奥飞娱乐,2010-01-29,5.43,5.5,6960000000.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.6344591545548647
002301.SZ,齐心集团,2010-01-29,6.69,6.69,4009973323.0,文教、工美、体育和娱乐用品制造业,2010-01,2010,0.36554084544513527
002292.SZ,奥飞娱乐,2010-02-01,5.51,5.25,6651200000.0,文教、工美、体育和娱乐用品制造业,2010-02,2010,0.6256984928450583
002301.SZ,齐心集团,2010-02-01,6.61,6.64,3978839989.0,文教、工美、体育和娱乐用品制造业,2010-02,2010,0.3743015071549417
002292.SZ,奥飞娱乐,2010-02-02,5.31,5.15,6520000000.0,文教、工美、体育和娱乐用品制造业,2010-02,2010,0.6246515881220154
002301.SZ,齐心集团,2010-02-02,6.69,6.54,3917818656.0,文教、工美、体育和娱乐用品制造业,2010-02,2010,0.3753484118779846
002292.SZ,奥飞娱乐,2010-02-03,5.18,5.26,6657600000.0,文教、工美、体育和娱乐用品制造业,2010-02,2010,0.48221170766395666
002301.SZ,齐心集团,2010-02-03,6.54,6.6,3956423989.0,文教、工美、体育和娱乐用品制造业,2010-02,2010,0.28656482335651484
﻿002348.SZ,高乐股份,2010-02-03,3.06,3.14,3192360000.0,文教、工美、体育和娱乐用品制造业,2010-02,2010,0.23122346897952847
002292.SZ,奥飞娱乐,2010-02-04,5.23,5.27,6668800000.0,文教、工美、体育和娱乐用品制造业,2010-02,2010,0.4785446185093853
002301.SZ,齐心集团,2010-02-04,6.65,6.62,3966386656.0,文教、工美、体育和娱乐用品制造业,2010-02,2010,0.28462286905533773
002348.SZ,高乐股份,2010-02-04,3.05,3.25,3300400000.0,文教、工美、体育和娱乐用品制造业,2010-02,2010,0.23683251243527698
