代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year,weight
300736.SZ,百邦科技,2018-01-09,9.34,11.2,1500006294.0,机动车、电子产品和日用品服务业,2018-01,2018,1.0
300736.SZ,百邦科技,2018-01-10,12.32,12.32,1649898306.0,机动车、电子产品和日用品服务业,2018-01,2018,1.0
300736.SZ,百邦科技,2018-01-11,13.56,13.56,1814996754.0,机动车、电子产品和日用品服务业,2018-01,2018,1.0
300736.SZ,百邦科技,2018-01-12,14.91,14.91,1996387812.0,机动车、电子产品和日用品服务业,2018-01,2018,1.0
300736.SZ,百邦科技,2018-01-15,16.4,16.4,2196243828.0,机动车、电子产品和日用品服务业,2018-01,2018,1.0
300736.SZ,百邦科技,2018-01-16,18.04,18.04,2415650976.0,机动车、电子产品和日用品服务业,2018-01,2018,1.0
300736.SZ,百邦科技,2018-01-17,19.85,19.85,2657324691.0,机动车、电子产品和日用品服务业,2018-01,2018,1.0
300736.SZ,百邦科技,2018-01-18,21.83,21.83,2922894234.0,机动车、电子产品和日用品服务业,2018-01,2018,1.0
300736.SZ,百邦科技,2018-01-19,24.01,24.01,3215075040.0,机动车、电子产品和日用品服务业,2018-01,2018,1.0
300736.SZ,百邦科技,2018-01-22,24.01,21.61,2893567536.0,机动车、电子产品和日用品服务业,2018-01,2018,1.0
300736.SZ,百邦科技,2018-01-23,20.28,20.82,2787665571.0,机动车、电子产品和日用品服务业,2018-01,2018,1.0
300736.SZ,百邦科技,2018-01-24,20.91,20.55,2751821829.0,机动车、电子产品和日用品服务业,2018-01,2018,1.0
300736.SZ,百邦科技,2018-01-25,19.91,20.26,2713262652.0,机动车、电子产品和日用品服务业,2018-01,2018,1.0
300736.SZ,百邦科技,2018-01-26,19.96,19.27,2579663250.0,机动车、电子产品和日用品服务业,2018-01,2018,1.0
300736.SZ,百邦科技,2018-01-29,19.46,19.74,2643204429.0,机动车、电子产品和日用品服务业,2018-01,2018,1.0
300736.SZ,百邦科技,2018-01-30,19.51,19.98,2675789649.0,机动车、电子产品和日用品服务业,2018-01,2018,1.0
300736.SZ,百邦科技,2018-01-31,18.66,17.98,2408047758.0,机动车、电子产品和日用品服务业,2018-01,2018,1.0
300736.SZ,百邦科技,2018-02-01,18.03,17.52,2346135840.0,机动车、电子产品和日用品服务业,2018-02,2018,1.0
300736.SZ,百邦科技,2018-02-02,17.56,17.82,2386324278.0,机动车、电子产品和日用品服务业,2018-02,2018,1.0
300736.SZ,百邦科技,2018-02-05,17.07,16.17,2164744782.0,机动车、电子产品和日用品服务业,2018-02,2018,1.0
300736.SZ,百邦科技,2018-02-06,15.39,14.99,2006706465.0,机动车、电子产品和日用品服务业,2018-02,2018,1.0
300736.SZ,百邦科技,2018-02-07,15.41,15.56,2083824819.0,机动车、电子产品和日用品服务业,2018-02,2018,1.0
300736.SZ,百邦科技,2018-02-08,15.51,15.62,2091428037.0,机动车、电子产品和日用品服务业,2018-02,2018,1.0
300736.SZ,百邦科技,2018-02-09,15.01,15.62,2091428037.0,机动车、电子产品和日用品服务业,2018-02,2018,1.0
300736.SZ,百邦科技,2018-02-12,16.08,16.02,2145193650.0,机动车、电子产品和日用品服务业,2018-02,2018,1.0
300736.SZ,百邦科技,2018-02-13,15.9,15.25,2042007120.0,机动车、电子产品和日用品服务业,2018-02,2018,1.0
300736.SZ,百邦科技,2018-02-14,15.21,14.99,2006706465.0,机动车、电子产品和日用品服务业,2018-02,2018,1.0
300736.SZ,百邦科技,2018-02-22,15.21,15.31,2050153425.0,机动车、电子产品和日用品服务业,2018-02,2018,1.0
300736.SZ,百邦科技,2018-02-23,15.27,15.66,2097401994.0,机动车、电子产品和日用品服务业,2018-02,2018,1.0
300736.SZ,百邦科技,2018-02-26,16.19,16.34,2188097523.0,机动车、电子产品和日用品服务业,2018-02,2018,1.0
300736.SZ,百邦科技,2018-02-27,16.38,16.78,2246750919.0,机动车、电子产品和日用品服务业,2018-02,2018,1.0
300736.SZ,百邦科技,2018-02-28,16.14,15.73,2106634473.0,机动车、电子产品和日用品服务业,2018-02,2018,1.0
300736.SZ,百邦科技,2018-03-01,15.77,16.05,2148452172.0,机动车、电子产品和日用品服务业,2018-03,2018,1.0
300736.SZ,百邦科技,2018-03-02,16.04,16.24,2174520348.0,机动车、电子产品和日用品服务业,2018-03,2018,1.0
300736.SZ,百邦科技,2018-03-05,16.39,16.67,2231544483.0,机动车、电子产品和日用品服务业,2018-03,2018,1.0
300736.SZ,百邦科技,2018-03-06,16.67,16.58,2220139656.0,机动车、电子产品和日用品服务业,2018-03,2018,1.0
300736.SZ,百邦科技,2018-03-07,16.61,17.08,2286396270.0,机动车、电子产品和日用品服务业,2018-03,2018,1.0
300736.SZ,百邦科技,2018-03-08,17.07,17.72,2372747103.0,机动车、电子产品和日用品服务业,2018-03,2018,1.0
300736.SZ,百邦科技,2018-03-09,17.72,18.18,2434659021.0,机动车、电子产品和日用品服务业,2018-03,2018,1.0
300736.SZ,百邦科技,2018-03-12,18.22,18.04,2415107889.0,机动车、电子产品和日用品服务业,2018-03,2018,1.0
300736.SZ,百邦科技,2018-03-13,18.02,17.62,2359169928.0,机动车、电子产品和日用品服务业,2018-03,2018,1.0
300736.SZ,百邦科技,2018-03-14,17.5,17.44,2335274100.0,机动车、电子产品和日用品服务业,2018-03,2018,1.0
300736.SZ,百邦科技,2018-03-15,17.24,16.41,2197873089.0,机动车、电子产品和日用品服务业,2018-03,2018,1.0
300736.SZ,百邦科技,2018-03-16,16.27,16.42,2198959263.0,机动车、电子产品和日用品服务业,2018-03,2018,1.0
300736.SZ,百邦科技,2018-03-19,16.68,17.21,2303775054.0,机动车、电子产品和日用品服务业,2018-03,2018,1.0
300736.SZ,百邦科技,2018-03-20,16.83,18.04,2416194063.0,机动车、电子产品和日用品服务业,2018-03,2018,1.0
300736.SZ,百邦科技,2018-03-21,17.96,17.6,2356454493.0,机动车、电子产品和日用品服务业,2018-03,2018,1.0
300736.SZ,百邦科技,2018-03-22,17.33,18.41,2465614980.0,机动车、电子产品和日用品服务业,2018-03,2018,1.0
300736.SZ,百邦科技,2018-03-23,17.44,16.57,2219053482.0,机动车、电子产品和日用品服务业,2018-03,2018,1.0
