代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year
000592.SZ,平潭发展,2010-01-04,2.82,2.78,4180752299.0,林业,2010-01,2010
000592.SZ,平潭发展,2010-01-05,2.79,2.77,4163380752.0,林业,2010-01,2010
000592.SZ,平潭发展,2010-01-06,2.76,2.73,4099685080.0,林业,2010-01,2010
000592.SZ,平潭发展,2010-01-07,2.73,2.62,3943341158.0,林业,2010-01,2010
000592.SZ,平潭发展,2010-01-08,2.62,2.63,3960712705.0,林业,2010-01,2010
000592.SZ,平潭发展,2010-01-11,2.64,2.6,3908598064.0,林业,2010-01,2010
000592.SZ,平潭发展,2010-01-12,2.6,2.71,4076523018.0,林业,2010-01,2010
000592.SZ,平潭发展,2010-01-13,2.66,2.67,4007036830.0,林业,2010-01,2010
000592.SZ,平潭发展,2010-01-14,2.67,2.75,4140218690.0,林业,2010-01,2010
000592.SZ,平潭发展,2010-01-15,2.75,2.82,4232866940.0,林业,2010-01,2010
000592.SZ,平潭发展,2010-01-18,2.79,2.82,4238657456.0,林业,2010-01,2010
000592.SZ,平潭发展,2010-01-19,2.81,2.77,4163380752.0,林业,2010-01,2010
000592.SZ,平潭发展,2010-01-20,2.77,2.9,4354467769.0,林业,2010-01,2010
000592.SZ,平潭发展,2010-01-21,2.84,2.92,4389210863.0,林业,2010-01,2010
000592.SZ,平潭发展,2010-01-22,2.85,2.75,4128637658.0,林业,2010-01,2010
000592.SZ,平潭发展,2010-01-25,2.73,2.73,4111266112.0,林业,2010-01,2010
000592.SZ,平潭发展,2010-01-26,2.72,2.56,3850692907.0,林业,2010-01,2010
000592.SZ,平潭发展,2010-01-27,2.55,2.51,3775416204.0,林业,2010-01,2010
000592.SZ,平潭发展,2010-01-28,2.52,2.55,3833321360.0,林业,2010-01,2010
000592.SZ,平潭发展,2010-01-29,2.55,2.57,3862273939.0,林业,2010-01,2010
000592.SZ,平潭发展,2010-02-01,2.58,2.58,3885436001.0,林业,2010-02,2010
000592.SZ,平潭发展,2010-02-02,2.6,2.6,3902807548.0,林业,2010-02,2010
000592.SZ,平潭发展,2010-02-03,2.6,2.75,4140218690.0,林业,2010-02,2010
000592.SZ,平潭发展,2010-02-04,2.73,2.77,4157590237.0,林业,2010-02,2010
000592.SZ,平潭发展,2010-02-05,2.71,2.71,4076523018.0,林业,2010-02,2010
000592.SZ,平潭发展,2010-02-08,2.72,2.6,3914388579.0,林业,2010-02,2010
000592.SZ,平潭发展,2010-02-09,2.58,2.56,3844902392.0,林业,2010-02,2010
000592.SZ,平潭发展,2010-02-10,2.45,2.59,3891226517.0,林业,2010-02,2010
000592.SZ,平潭发展,2010-02-11,2.56,2.55,3827530845.0,林业,2010-02,2010
000592.SZ,平潭发展,2010-02-12,2.55,2.56,3850692907.0,林业,2010-02,2010
000592.SZ,平潭发展,2010-02-22,2.57,2.82,4238657456.0,林业,2010-02,2010
000592.SZ,平潭发展,2010-02-23,2.87,3.1,4661365098.0,林业,2010-02,2010
000592.SZ,平潭发展,2010-02-24,3.1,3.1,4661365098.0,林业,2010-02,2010
000592.SZ,平潭发展,2010-02-25,3.1,3.1,4661365098.0,林业,2010-02,2010
000592.SZ,平潭发展,2010-02-26,3.1,3.1,4661365098.0,林业,2010-02,2010
000592.SZ,平潭发展,2010-03-01,3.1,3.1,4661365098.0,林业,2010-03,2010
000592.SZ,平潭发展,2010-03-02,3.1,3.1,4661365098.0,林业,2010-03,2010
000592.SZ,平潭发展,2010-03-03,3.41,3.16,4754013349.0,林业,2010-03,2010
000592.SZ,平潭发展,2010-03-04,3.08,2.99,4499230660.0,林业,2010-03,2010
000592.SZ,平潭发展,2010-03-05,2.98,2.96,4452906535.0,林业,2010-03,2010
000592.SZ,平潭发展,2010-03-08,2.95,2.97,4464487566.0,林业,2010-03,2010
000592.SZ,平潭发展,2010-03-09,2.97,2.91,4371839316.0,林业,2010-03,2010
000592.SZ,平潭发展,2010-03-10,2.9,2.92,4383420347.0,林业,2010-03,2010
000592.SZ,平潭发展,2010-03-11,2.91,2.85,4279191065.0,林业,2010-03,2010
000592.SZ,平潭发展,2010-03-12,2.85,2.8,4209704878.0,林业,2010-03,2010
000592.SZ,平潭发展,2010-03-15,2.8,2.83,4256029003.0,林业,2010-03,2010
000592.SZ,平潭发展,2010-03-16,2.83,2.83,4250238487.0,林业,2010-03,2010
000592.SZ,平潭发展,2010-03-17,2.83,2.9,4360258284.0,林业,2010-03,2010
000592.SZ,平潭发展,2010-03-18,2.9,2.95,4435534988.0,林业,2010-03,2010
000592.SZ,平潭发展,2010-03-19,2.96,2.93,4400791894.0,林业,2010-03,2010
000592.SZ,平潭发展,2010-03-22,2.92,2.9,4354467769.0,林业,2010-03,2010
000592.SZ,平潭发展,2010-03-23,2.89,2.92,4389210863.0,林业,2010-03,2010
000592.SZ,平潭发展,2010-03-24,2.9,2.91,4371839316.0,林业,2010-03,2010
000592.SZ,平潭发展,2010-03-25,2.9,2.78,4174961784.0,林业,2010-03,2010
000592.SZ,平潭发展,2010-03-26,2.78,2.8,4215495393.0,林业,2010-03,2010
000592.SZ,平潭发展,2010-03-29,2.81,2.82,4238657456.0,林业,2010-03,2010
000592.SZ,平潭发展,2010-03-30,2.82,2.88,4325515191.0,林业,2010-03,2010
000592.SZ,平潭发展,2010-03-31,2.87,2.83,4256029003.0,林业,2010-03,2010
000592.SZ,平潭发展,2010-04-01,2.83,2.9,4360258284.0,林业,2010-04,2010
000592.SZ,平潭发展,2010-04-02,2.89,2.93,4406582410.0,林业,2010-04,2010
000592.SZ,平潭发展,2010-04-06,2.93,2.91,4377629831.0,林业,2010-04,2010
000592.SZ,平潭发展,2010-04-07,2.9,2.88,4337096222.0,林业,2010-04,2010
000592.SZ,平潭发展,2010-04-08,2.88,2.92,4383420347.0,林业,2010-04,2010
000592.SZ,平潭发展,2010-04-09,2.92,3.0,4505021176.0,林业,2010-04,2010
