代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year
600874.SH,创业环保,2010-01-04,6.82,6.79,10775574646.0,水的生产和供应业,2010-01,2010
600874.SH,创业环保,2010-01-05,6.75,6.83,10832663784.0,水的生产和供应业,2010-01,2010
600874.SH,创业环保,2010-01-06,6.82,6.76,10718485509.0,水的生产和供应业,2010-01,2010
600874.SH,创业环保,2010-01-07,6.73,6.51,10318861549.0,水的生产和供应业,2010-01,2010
600874.SH,创业环保,2010-01-08,6.43,6.57,10418767539.0,水的生产和供应业,2010-01,2010
600874.SH,创业环保,2010-01-11,6.62,6.58,10433039823.0,水的生产和供应业,2010-01,2010
600874.SH,创业环保,2010-01-12,6.58,6.73,10675668656.0,水的生产和供应业,2010-01,2010
600874.SH,创业环保,2010-01-13,6.57,6.78,10747030078.0,水的生产和供应业,2010-01,2010
600874.SH,创业环保,2010-01-14,6.75,7.01,11118109470.0,水的生产和供应业,2010-01,2010
600874.SH,创业环保,2010-01-15,6.94,6.97,11061020332.0,水的生产和供应业,2010-01,2010
600874.SH,创业环保,2010-01-18,6.93,7.04,11160926323.0,水的生产和供应业,2010-01,2010
600874.SH,创业环保,2010-01-19,7.15,7.0,11103837185.0,水的生产和供应业,2010-01,2010
600874.SH,创业环保,2010-01-20,6.99,6.69,10618579519.0,水的生产和供应业,2010-01,2010
600874.SH,创业环保,2010-01-21,6.69,6.8,10789846931.0,水的生产和供应业,2010-01,2010
600874.SH,创业环保,2010-01-22,6.73,6.55,10390222970.0,水的生产和供应业,2010-01,2010
600874.SH,创业环保,2010-01-25,6.56,6.52,10347406118.0,水的生产和供应业,2010-01,2010
600874.SH,创业环保,2010-01-26,6.6,6.34,10061960432.0,水的生产和供应业,2010-01,2010
600874.SH,创业环保,2010-01-27,6.34,6.31,10004871294.0,水的生产和供应业,2010-01,2010
600874.SH,创业环保,2010-01-28,6.4,6.49,10290316980.0,水的生产和供应业,2010-01,2010
600874.SH,创业环保,2010-01-29,6.4,6.4,10147594137.0,水的生产和供应业,2010-01,2010
600874.SH,创业环保,2010-02-01,6.39,6.22,9862148451.0,水的生产和供应业,2010-02,2010
600874.SH,创业环保,2010-02-02,6.21,6.15,9762242461.0,水的生产和供应业,2010-02,2010
600874.SH,创业环保,2010-02-03,6.17,6.4,10147594137.0,水的生产和供应业,2010-02,2010
600874.SH,创业环保,2010-02-04,6.33,6.46,10247500127.0,水的生产和供应业,2010-02,2010
600874.SH,创业环保,2010-02-05,6.29,6.74,10689940941.0,水的生产和供应业,2010-02,2010
