代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,weight
000735.SZ,罗牛山,2010-01-04,6.2,6.14,5465619720.0,畜牧业,0.22726458510917288
﻿002234.SZ,民和股份,2010-01-04,7.91,8.33,1913500000.0,畜牧业,0.07956477140462351
﻿002299.SZ,圣农发展,2010-01-04,10.32,10.48,10557500000.0,畜牧业,0.4389888027720474
﻿002321.SZ,华英农业,2010-01-04,13.06,13.44,4070430000.0,畜牧业,0.16925154558062278
﻿600975.SH,新五丰,2010-01-04,4.21,4.07,2042538637.0,畜牧业,0.08493029513353345
000735.SZ,罗牛山,2010-01-05,6.27,6.38,5685652720.0,畜牧业,0.23206893506374704
002234.SZ,民和股份,2010-01-05,8.2,8.42,1933925000.0,畜牧业,0.07893621670990081
002299.SZ,圣农发展,2010-01-05,10.45,10.68,10762500000.0,畜牧业,0.43928851033018734
002321.SZ,华英农业,2010-01-05,13.38,13.39,4057200000.0,畜牧业,0.16560105404057013
600975.SH,新五丰,2010-01-05,4.07,4.11,2060566339.0,畜牧业,0.08410528385559468
000735.SZ,罗牛山,2010-01-06,6.42,6.25,5571235560.0,畜牧业,0.23070781369187707
002234.SZ,民和股份,2010-01-06,8.36,8.22,1888775000.0,畜牧业,0.0782151725793973
002299.SZ,圣农发展,2010-01-06,10.76,10.62,10701000000.0,畜牧业,0.44313407461033233
002321.SZ,华英农业,2010-01-06,13.33,13.11,3971940000.0,畜牧业,0.16448013795979474
600975.SH,新五丰,2010-01-06,4.1,4.02,2015497084.0,畜牧业,0.08346280115859857
000735.SZ,罗牛山,2010-01-07,6.28,6.6,5879281760.0,畜牧业,0.24546203611908768
002234.SZ,民和股份,2010-01-07,8.21,8.02,1841475000.0,畜牧业,0.07688221476944439
002299.SZ,圣农发展,2010-01-07,10.62,10.38,10459100000.0,畜牧业,0.4366710232259986
002321.SZ,华英农业,2010-01-07,13.05,12.52,3792600000.0,畜牧业,0.15834235476158773
600975.SH,新五丰,2010-01-07,3.99,3.95,1979441680.0,畜牧业,0.08264237112388156
000735.SZ,罗牛山,2010-01-08,6.5,6.58,5861679120.0,畜牧业,0.2424521461396554
002234.SZ,民和股份,2010-01-08,8.0,8.09,1857600000.0,畜牧业,0.07683448674840186
002299.SZ,圣农发展,2010-01-08,10.41,10.58,10660000000.0,畜牧业,0.44092141943258173
002321.SZ,华英农业,2010-01-08,12.44,12.6,3816120000.0,畜牧业,0.15784325019934933
600975.SH,新五丰,2010-01-08,3.94,3.95,1981244450.0,畜牧业,0.0819486974800117
000735.SZ,罗牛山,2010-01-11,6.62,6.61,5888083080.0,畜牧业,0.24353345958491696
002234.SZ,民和股份,2010-01-11,8.09,7.96,1827500000.0,畜牧业,0.07558612732608314
002299.SZ,圣农发展,2010-01-11,10.58,10.6,10684600000.0,畜牧业,0.44191930836020127
002321.SZ,华英农业,2010-01-11,12.6,12.6,3816120000.0,畜牧业,0.15783624197625848
600975.SH,新五丰,2010-01-11,3.96,3.91,1961413978.0,畜牧业,0.0811248627525402
000735.SZ,罗牛山,2010-01-12,6.52,6.56,5844076480.0,畜牧业,0.23606542459623886
002234.SZ,民和股份,2010-01-12,7.96,7.96,1827500000.0,畜牧业,0.07381997222760961
002299.SZ,圣农发展,2010-01-12,10.58,11.02,11111000000.0,畜牧业,0.44881735235073617
002321.SZ,华英农业,2010-01-12,12.66,13.02,3945480000.0,畜牧业,0.1593735835975864
600975.SH,新五丰,2010-01-12,3.89,4.05,2028116475.0,畜牧业,0.081923667227829
000735.SZ,罗牛山,2010-01-13,6.37,6.23,5553632920.0,畜牧业,0.22130791571762054
002234.SZ,民和股份,2010-01-13,8.0,8.33,1912425000.0,畜牧业,0.0762086361869719
002299.SZ,圣农发展,2010-01-13,10.78,11.63,11726000000.0,畜牧业,0.4672719023901239
002321.SZ,华英农业,2010-01-13,12.67,12.96,3924900000.0,畜牧业,0.15640418639698084
600975.SH,新五丰,2010-01-13,3.98,3.94,1977638909.0,畜牧业,0.07880735930830284
000735.SZ,罗牛山,2010-01-14,6.22,6.31,5624043480.0,畜牧业,0.22063625059328237
002234.SZ,民和股份,2010-01-14,8.22,8.33,1913500000.0,畜牧业,0.07506831464081175
002299.SZ,圣农发展,2010-01-14,11.49,11.8,11890000000.0,畜牧业,0.46645532327110095
002321.SZ,华英农业,2010-01-14,12.96,13.2,3998400000.0,畜牧业,0.15686080442112446
600975.SH,新五丰,2010-01-14,3.95,4.12,2064171879.0,畜牧业,0.08097930707368048
000735.SZ,罗牛山,2010-01-15,6.32,6.34,5650447440.0,畜牧业,0.2245134548426322
002234.SZ,民和股份,2010-01-15,8.33,8.38,1924250000.0,畜牧业,0.07645766464840083
002299.SZ,圣农发展,2010-01-15,11.78,11.44,11529200000.0,畜牧业,0.4580983277975018
002321.SZ,华英农业,2010-01-15,13.2,13.13,3977820000.0,畜牧业,0.1580536975921537
600975.SH,新五丰,2010-01-15,4.12,4.16,2085805121.0,畜牧业,0.08287685511931148
000735.SZ,罗牛山,2010-01-18,6.43,6.98,6213731920.0,畜牧业,0.23935321737835114
002234.SZ,民和股份,2010-01-18,8.43,8.59,1971550000.0,畜牧业,0.07594418970721997
002299.SZ,圣农发展,2010-01-18,11.34,11.57,11656300000.0,畜牧业,0.4490011708981604
002321.SZ,华英农业,2010-01-18,13.11,13.22,4004280000.0,畜牧业,0.154245035611994
600975.SH,新五丰,2010-01-18,4.13,4.22,2114649445.0,畜牧业,0.08145638640427451
000735.SZ,罗牛山,2010-01-19,7.02,7.38,6574586040.0,畜牧业,0.25398846204936976
