代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year
002494.SZ,华斯股份,2010-11-02,12.02,10.48,3212050000.0,皮革、毛皮、羽毛及其,2010-11,2010
002494.SZ,华斯股份,2010-11-03,10.25,10.89,3340305000.0,皮革、毛皮、羽毛及其,2010-11,2010
002494.SZ,华斯股份,2010-11-04,10.74,10.8,3311930000.0,皮革、毛皮、羽毛及其,2010-11,2010
002494.SZ,华斯股份,2010-11-05,10.81,10.96,3359600000.0,皮革、毛皮、羽毛及其,2010-11,2010
002494.SZ,华斯股份,2010-11-08,10.9,11.18,3427700000.0,皮革、毛皮、羽毛及其,2010-11,2010
002494.SZ,华斯股份,2010-11-09,11.21,11.83,3627460000.0,皮革、毛皮、羽毛及其,2010-11,2010
002494.SZ,华斯股份,2010-11-10,11.72,11.91,3652430000.0,皮革、毛皮、羽毛及其,2010-11,2010
002494.SZ,华斯股份,2010-11-11,11.85,11.98,3671725000.0,皮革、毛皮、羽毛及其,2010-11,2010
002494.SZ,华斯股份,2010-11-12,11.92,11.77,3609300000.0,皮革、毛皮、羽毛及其,2010-11,2010
002494.SZ,华斯股份,2010-11-15,11.59,12.75,3910075000.0,皮革、毛皮、羽毛及其,2010-11,2010
002494.SZ,华斯股份,2010-11-16,12.75,12.46,3819275000.0,皮革、毛皮、羽毛及其,2010-11,2010
002494.SZ,华斯股份,2010-11-17,12.26,11.27,3454940000.0,皮革、毛皮、羽毛及其,2010-11,2010
002494.SZ,华斯股份,2010-11-18,11.27,11.31,3467425000.0,皮革、毛皮、羽毛及其,2010-11,2010
002494.SZ,华斯股份,2010-11-19,11.29,11.63,3565035000.0,皮革、毛皮、羽毛及其,2010-11,2010
002494.SZ,华斯股份,2010-11-22,11.5,12.21,3743230000.0,皮革、毛皮、羽毛及其,2010-11,2010
002494.SZ,华斯股份,2010-11-23,12.14,12.29,3768200000.0,皮革、毛皮、羽毛及其,2010-11,2010
002494.SZ,华斯股份,2010-11-24,12.1,12.47,3823815000.0,皮革、毛皮、羽毛及其,2010-11,2010
002494.SZ,华斯股份,2010-11-25,12.55,12.14,3722800000.0,皮革、毛皮、羽毛及其,2010-11,2010
002494.SZ,华斯股份,2010-11-26,12.16,12.29,3768200000.0,皮革、毛皮、羽毛及其,2010-11,2010
002494.SZ,华斯股份,2010-11-29,12.4,12.01,3683075000.0,皮革、毛皮、羽毛及其,2010-11,2010
002494.SZ,华斯股份,2010-11-30,12.01,11.59,3554820000.0,皮革、毛皮、羽毛及其,2010-11,2010
