代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,weight
000968.SZ,蓝焰控股,2010-01-04,20.99,20.84,10989048330.0,石油和天然气开采业,0.002939312693758368
﻿600028.SH,中国石化,2010-01-04,6.48,6.32,1198227706980.0,石油和天然气开采业,0.32049780867050714
﻿600256.SH,广汇能源,2010-01-04,3.77,4.01,23445143976.0,石油和天然气开采业,0.006271026136769146
﻿600759.SH,洲际油气,2010-01-04,4.18,4.29,7048525325.0,石油和天然气开采业,0.0018853152100068913
﻿600777.SH,新潮能源,2010-01-04,1.83,1.83,4359200255.0,石油和天然气开采业,0.0011659838285701866
﻿601857.SH,中国石油,2010-01-04,10.37,10.21,2494575927659.0,石油和天然气开采业,0.6672405534603882
000968.SZ,蓝焰控股,2010-01-05,21.12,21.67,11425733280.0,石油和天然气开采业,0.003010679298296955
600028.SH,中国石化,2010-01-05,6.33,6.35,1205163902100.0,石油和天然气开采业,0.31756053832084974
600256.SH,广汇能源,2010-01-05,4.0,4.23,24721718251.0,石油和天然气开采业,0.006514169684575002
600759.SH,洲际油气,2010-01-05,4.38,4.45,7311319877.0,石油和天然气开采业,0.0019265318783033012
600777.SH,新潮能源,2010-01-05,1.83,1.8,4284149461.0,石油和天然气开采业,0.0011288728501671062
601857.SH,中国石油,2010-01-05,10.25,10.4,2542161381892.0,石油和天然气开采业,0.6698592079678078
000968.SZ,蓝焰控股,2010-01-06,21.7,21.71,11451420630.0,石油和天然气开采业,0.003067051615957904
600028.SH,中国石化,2010-01-06,6.33,6.22,1179153170400.0,石油和天然气开采业,0.31581440884834616
600256.SH,广汇能源,2010-01-06,4.21,4.16,24331124630.0,石油和天然气开采业,0.006516642565640753
600759.SH,洲际油气,2010-01-06,4.46,4.34,7132995002.0,石油和天然气开采业,0.0019104410321100704
600777.SH,新潮能源,2010-01-06,1.8,1.78,4234115599.0,石油和天然气开采业,0.0011340296989916366
601857.SH,中国石油,2010-01-06,10.39,10.26,2507387396107.0,石油和天然气开采业,0.6715574262389535
000968.SZ,蓝焰控股,2010-01-07,21.71,21.71,11451420630.0,石油和天然气开采业,0.003106565390326857
600028.SH,中国石化,2010-01-07,6.22,6.05,1147940292360.0,石油和天然气开采业,0.311415648558468
600256.SH,广汇能源,2010-01-07,4.2,4.13,24140591156.0,石油和天然气开采业,0.006548910166725769
600759.SH,洲际油气,2010-01-07,4.36,4.64,7611656509.0,石油和天然气开采业,0.0020649061315561462
600777.SH,新潮能源,2010-01-07,1.76,1.74,4140302107.0,石油和天然气开采业,0.0011231898335310353
601857.SH,中国石油,2010-01-07,10.28,10.19,2490915508103.0,石油和天然气开采业,0.6757407799193922
000968.SZ,蓝焰控股,2010-01-08,21.14,21.05,11102072670.0,石油和天然气开采业,0.0030454629525826157
600028.SH,中国石化,2010-01-08,5.98,5.99,1135801950900.0,石油和天然气开采业,0.31156729610354905
600256.SH,广汇能源,2010-01-08,4.14,4.28,25064678505.0,石油和天然气开采业,0.006875612516178146
600759.SH,洲际油气,2010-01-08,4.52,4.65,7630427549.0,石油和天然气开采业,0.00209313928160815
600777.SH,新潮能源,2010-01-08,1.73,1.77,4215352900.0,石油和天然气开采业,0.0011563337288992626
