代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year,weight
688202.SH,美迪西,2019-11-05,66.66,71.0,4402000000.0,研究和试验发展,2019-11,2019,0.019342197255916974
600645.SH,中源协和,2019-11-05,17.32,17.16,8030483432.0,研究和试验发展,2019-11,2019,0.03528559622946777
603259.SH,药明康德,2019-11-05,68.93,67.99,156351693009.0,研究和试验发展,2019-11,2019,0.687002564170071
603127.SH,昭衍新药,2019-11-05,47.8,45.66,10367499386.0,研究和试验发展,2019-11,2019,0.0455543430655634
300759.SZ,康龙化成,2019-11-05,56.91,55.29,36338975248.0,研究和试验发展,2019-11,2019,0.15967188262714685
300149.SZ,睿智医药,2019-11-05,14.77,14.79,7391700233.0,研究和试验发展,2019-11,2019,0.03247881053232472
600721.SH,ST百花,2019-11-05,5.71,5.62,2250171534.0,研究和试验发展,2019-11,2019,0.009887156217691342
300404.SZ,博济医药,2019-11-05,11.04,10.88,2452789300.0,研究和试验发展,2019-11,2019,0.010777449901817926
688202.SH,美迪西,2019-11-06,68.2,66.38,4115560000.0,研究和试验发展,2019-11,2019,0.01820212500147347
600645.SH,中源协和,2019-11-06,17.15,17.22,8058562046.0,研究和试验发展,2019-11,2019,0.03564106796971051
603259.SH,药明康德,2019-11-06,68.23,67.47,155156168384.0,研究和试验发展,2019-11,2019,0.6862181505494354
603127.SH,昭衍新药,2019-11-06,45.59,43.45,9864489665.0,研究和试验发展,2019-11,2019,0.04362824839343204
300759.SZ,康龙化成,2019-11-06,55.51,55.94,36765566072.0,研究和试验发展,2019-11,2019,0.1626051933132978
300149.SZ,睿智医药,2019-11-06,14.77,14.93,7461668998.0,研究和试验发展,2019-11,2019,0.03300115459894044
600721.SH,ST百花,2019-11-06,5.6,5.7,2282202446.0,研究和试验发展,2019-11,2019,0.010093628619376344
300404.SZ,博济医药,2019-11-06,10.89,10.64,2399053280.0,研究和试验发展,2019-11,2019,0.010610431554334023
688202.SH,美迪西,2019-11-07,68.47,69.19,4289780000.0,研究和试验发展,2019-11,2019,0.018900407852250344
600645.SH,中源协和,2019-11-07,17.17,17.56,8217551268.0,研究和试验发展,2019-11,2019,0.036205835849851736
