代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year,weight
600673.SH,东阳光,2010-01-04,3.04,3.02,6743854322.0,综合,2010-01,2010,0.09861021399345009
600805.SH,悦达投资,2010-01-04,7.01,7.45,6916244984.0,综合,2010-01,2010,0.10113095054240494
000409.SZ,ST地矿,2010-01-04,8.12,7.73,1430974136.0,综合,2010-01,2010,0.020924038247641785
600624.SH,复旦复华,2010-01-04,5.83,5.84,3506775156.0,综合,2010-01,2010,0.05127688589475944
600620.SH,天宸股份,2010-01-04,3.8,3.73,2683322871.0,综合,2010-01,2010,0.03923617413555821
000833.SZ,粤桂股份,2010-01-04,10.76,10.79,3369252474.0,综合,2010-01,2010,0.04926599709831352
600455.SH,博通股份,2010-01-04,15.62,15.79,986211820.0,综合,2010-01,2010,0.014420619718284282
000551.SZ,创元科技,2010-01-04,6.97,7.04,2634817695.0,综合,2010-01,2010,0.03852692011600646
000532.SZ,华金资本,2010-01-04,11.88,11.9,4264042166.0,综合,2010-01,2010,0.06234982109483865
600603.SH,广汇物流,2010-01-04,3.85,3.82,1677813350.0,综合,2010-01,2010,0.02453337892321206
600770.SH,综艺股份,2010-01-04,7.58,7.6,7697008000.0,综合,2010-01,2010,0.11254744983343626
000609.SZ,中迪投资,2010-01-04,11.93,11.78,3535412891.0,综合,2010-01,2010,0.05169563354881616
000009.SZ,中国宝安,2010-01-04,4.79,4.72,11823735734.0,综合,2010-01,2010,0.17288942721199882
600200.SH,江苏吴中,2010-01-04,5.13,5.08,3218292000.0,综合,2010-01,2010,0.04705861776671523
600212.SH,*ST江泉,2010-01-04,5.38,5.3,2711995229.0,综合,2010-01,2010,0.03965542805521262
000571.SZ,*ST大洲,2010-01-04,6.74,6.74,5189251200.0,综合,2010-01,2010,0.07587844381935148
600673.SH,东阳光,2010-01-05,3.04,3.13,6992094359.0,综合,2010-01,2010,0.10170291064793929
600805.SH,悦达投资,2010-01-05,7.4,7.8,7243512097.0,综合,2010-01,2010,0.10535988585883704
000409.SZ,ST地矿,2010-01-05,7.82,7.64,1415550462.0,综合,2010-01,2010,0.020589768210025266
600624.SH,复旦复华,2010-01-05,5.84,5.87,3527484458.0,综合,2010-01,2010,0.05130872357038346
600620.SH,天宸股份,2010-01-05,3.7,3.66,2637544396.0,综合,2010-01,2010,0.038364176491852316
000833.SZ,粤桂股份,2010-01-05,10.91,10.77,3363331117.0,综合,2010-01,2010,0.04892104518460845
600455.SH,博通股份,2010-01-05,15.82,15.64,976843120.0,综合,2010-01,2010,0.014208588078125254
000551.SZ,创元科技,2010-01-05,6.98,7.04,2634817695.0,综合,2010-01,2010,0.03832451549560022
000532.SZ,华金资本,2010-01-05,11.89,11.87,4253700916.0,综合,2010-01,2010,0.06187184296592893
600603.SH,广汇物流,2010-01-05,3.8,3.8,1670027674.0,综合,2010-01,2010,0.02429124473839325
600770.SH,综艺股份,2010-01-05,7.59,7.67,7768112000.0,综合,2010-01,2010,0.11299040889261903
000609.SZ,中迪投资,2010-01-05,11.77,11.55,3463869966.0,综合,2010-01,2010,0.0503834244162806
000009.SZ,中国宝安,2010-01-05,4.74,4.6,11518325586.0,综合,2010-01,2010,0.16753881995013148
600200.SH,江苏吴中,2010-01-05,5.06,5.08,3218292000.0,综合,2010-01,2010,0.04681139110968594
600212.SH,*ST江泉,2010-01-05,5.32,5.35,2737580090.0,综合,2010-01,2010,0.03981923712549366
000571.SZ,*ST大洲,2010-01-05,6.83,6.92,5329103360.0,综合,2010-01,2010,0.07751401726409582
600673.SH,东阳光,2010-01-06,3.15,3.27,7306531738.0,综合,2010-01,2010,0.10622153377343711
600805.SH,悦达投资,2010-01-06,7.81,7.67,7118059703.0,综合,2010-01,2010,0.10348154860003651
000409.SZ,ST地矿,2010-01-06,7.61,7.66,1418977945.0,综合,2010-01,2010,0.02062894121497894
600624.SH,复旦复华,2010-01-06,5.92,5.83,3499872055.0,综合,2010-01,2010,0.05088074493119943
600620.SH,天宸股份,2010-01-06,3.66,3.65,2623458712.0,综合,2010-01,2010,0.03813954666488657
000833.SZ,粤桂股份,2010-01-06,10.76,10.7,3339645686.0,综合,2010-01,2010,0.04855139206222969
600455.SH,博通股份,2010-01-06,15.56,15.16,946863280.0,综合,2010-01,2010,0.01376539149926121
000551.SZ,创元科技,2010-01-06,6.97,6.83,2557465249.0,综合,2010-01,2010,0.037180141147981315
000532.SZ,华金资本,2010-01-06,11.83,11.87,4253700916.0,综合,2010-01,2010,0.061839823833390206
600603.SH,广汇物流,2010-01-06,3.8,3.86,1695331123.0,综合,2010-01,2010,0.02464653252682601
600770.SH,综艺股份,2010-01-06,7.64,7.72,7816996000.0,综合,2010-01,2010,0.11364260560210857
000609.SZ,中迪投资,2010-01-06,11.44,11.63,3487717607.0,综合,2010-01,2010,0.0507040449379571
000009.SZ,中国宝安,2010-01-06,4.6,4.59,11507418081.0,综合,2010-01,2010,0.16729354530533927
600200.SH,江苏吴中,2010-01-06,5.07,5.09,3224529000.0,综合,2010-01,2010,0.04687783867352133
600212.SH,*ST江泉,2010-01-06,5.35,5.4,2763164950.0,综合,2010-01,2010,0.04017058018533207
000571.SZ,*ST大洲,2010-01-06,6.96,6.79,5226054400.0,综合,2010-01,2010,0.07597578904151468
600673.SH,东阳光,2010-01-07,3.33,3.34,7472025096.0,综合,2010-01,2010,0.10972077446443927
600805.SH,悦达投资,2010-01-07,7.63,7.24,6725339168.0,综合,2010-01,2010,0.0987562826099196
000409.SZ,ST地矿,2010-01-07,7.72,7.47,1382989374.0,综合,2010-01,2010,0.020308104328049227
600624.SH,复旦复华,2010-01-07,5.8,5.77,3465356551.0,综合,2010-01,2010,0.05088601813913637
600620.SH,天宸股份,2010-01-07,3.63,3.6,2588244501.0,综合,2010-01,2010,0.03800632191466694
000833.SZ,粤桂股份,2010-01-07,10.72,10.29,3212336498.0,综合,2010-01,2010,0.04717061892493203
600455.SH,博通股份,2010-01-07,15.16,14.61,912511380.0,综合,2010-01,2010,0.01339950736712759
000551.SZ,创元科技,2010-01-07,6.97,6.97,2610645055.0,综合,2010-01,2010,0.038335256320231
000532.SZ,华金资本,2010-01-07,11.83,11.56,4143394247.0,综合,2010-01,2010,0.060842465041466745
600603.SH,广汇物流,2010-01-07,3.85,3.76,1652509901.0,综合,2010-01,2010,0.0242657999429013
600770.SH,综艺股份,2010-01-07,7.71,7.35,7439256000.0,综合,2010-01,2010,0.10923958622625411
000609.SZ,中迪投资,2010-01-07,11.54,11.48,3443003279.0,综合,2010-01,2010,0.05055777803231884
