代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year,weight
002928.SZ,华夏航空,2018-03-02,10.85,13.02,11902860000.0,航空运输业,2018-03,2018,0.015623973262915588
600221.SH,*ST海航,2018-03-02,3.23,3.23,54619891072.0,航空运输业,2018-03,2018,0.07169535033868245
200152.SZ,山航B,2018-03-02,14.99,14.84,5081336400.0,航空运输业,2018-03,2018,0.00666988136073849
600897.SH,厦门空港,2018-03-02,18.81,18.74,6358243500.0,航空运输业,2018-03,2018,0.008345979574917863
600004.SH,白云机场,2018-03-02,15.71,15.61,33502299122.0,航空运输业,2018-03,2018,0.043975903751562934
900945.SH,*ST海航B,2018-03-02,0.54,0.54,57583976431.0,航空运输业,2018-03,2018,0.07558607831481723
600115.SH,东方航空,2018-03-02,7.5,7.36,108651568472.0,航空运输业,2018-03,2018,0.1426185976127057
600009.SH,上海机场,2018-03-02,47.61,48.97,97022357857.0,航空运输业,2018-03,2018,0.12735382295202968
601111.SH,中国国航,2018-03-02,12.95,12.72,190420327075.0,航空运输业,2018-03,2018,0.24995018835266827
600029.SH,南方航空,2018-03-02,11.14,11.07,113996357974.0,航空运输业,2018-03,2018,0.1496342936954253
000099.SZ,中信海直,2018-03-02,8.16,8.11,4969777444.0,航空运输业,2018-03,2018,0.006523446458052684
603885.SH,吉祥航空,2018-03-02,15.05,15.73,28985827384.0,航空运输业,2018-03,2018,0.03804747699721768
601021.SH,春秋航空,2018-03-02,33.05,33.5,31183691219.0,航空运输业,2018-03,2018,0.040932444626305915
000089.SZ,深圳机场,2018-03-02,8.33,8.29,17554586997.0,航空运输业,2018-03,2018,0.02304256270196017
002928.SZ,华夏航空,2018-03-05,14.32,14.32,13092345000.0,航空运输业,2018-03,2018,0.017110194462849976
600221.SH,*ST海航,2018-03-05,3.23,3.23,54619891072.0,航空运输业,2018-03,2018,0.07138193790200328
200152.SZ,山航B,2018-03-05,14.76,14.77,5060380160.0,航空运输业,2018-03,2018,0.006613336922724529
600897.SH,厦门空港,2018-03-05,18.74,18.81,6382068300.0,航空运输业,2018-03,2018,0.008340631849236356
600004.SH,白云机场,2018-03-05,15.54,15.59,33460912711.0,航空运输业,2018-03,2018,0.043729578115277175
900945.SH,*ST海航B,2018-03-05,0.54,0.54,57672169909.0,航空运输业,2018-03,2018,0.075370916534625
600115.SH,东方航空,2018-03-05,7.43,7.4,109230271899.0,航空运输业,2018-03,2018,0.14275144700371606
600009.SH,上海机场,2018-03-05,48.62,48.84,96771853259.0,航空运输业,2018-03,2018,0.1264697216420643
601111.SH,中国国航,2018-03-05,12.76,12.77,191146567835.0,航空运输业,2018-03,2018,0.2498066577502498
600029.SH,南方航空,2018-03-05,11.16,11.15,114803411835.0,航空运输业,2018-03,2018,0.15003490218868373
000099.SZ,中信海直,2018-03-05,8.09,8.21,5030384486.0,航空运输业,2018-03,2018,0.006574136014469801
603885.SH,吉祥航空,2018-03-05,15.73,15.8,29111618327.0,航空运输业,2018-03,2018,0.038045548807584685
601021.SH,春秋航空,2018-03-05,33.32,33.26,30954466791.0,航空运输业,2018-03,2018,0.04045394054982829
000089.SZ,深圳机场,2018-03-05,8.31,8.43,17841694728.0,航空运输业,2018-03,2018,0.023317050256687035
002928.SZ,华夏航空,2018-03-06,15.75,15.75,14401980000.0,航空运输业,2018-03,2018,0.018626645451488386
600221.SH,*ST海航,2018-03-06,3.23,3.23,54619891072.0,航空运输业,2018-03,2018,0.07064204682946788
200152.SZ,山航B,2018-03-06,15.01,14.9,5102079360.0,航空运输业,2018-03,2018,0.00659871929443568
600897.SH,厦门空港,2018-03-06,18.8,18.99,6441630300.0,航空运输业,2018-03,2018,0.008331213050404511
600004.SH,白云机场,2018-03-06,15.72,15.73,33750617583.0,航空运输业,2018-03,2018,0.0436509971189594
900945.SH,*ST海航B,2018-03-06,0.54,0.54,57631255409.0,航空运输业,2018-03,2018,0.07453676240542031
600115.SH,东方航空,2018-03-06,7.42,7.51,110821706324.0,航空运输业,2018-03,2018,0.14333005822991812
600009.SH,上海机场,2018-03-06,48.62,47.81,94729277304.0,航空运输业,2018-03,2018,0.12251708877649696
601111.SH,中国国航,2018-03-06,12.86,13.13,196520749453.0,航空运输业,2018-03,2018,0.2541679910624658
600029.SH,南方航空,2018-03-06,11.17,11.3,116316637826.0,航空运输业,2018-03,2018,0.15043686860376732
000099.SZ,中信海直,2018-03-06,8.21,8.23,5042505894.0,航空运输业,2018-03,2018,0.006521670594916705
603885.SH,吉祥航空,2018-03-06,15.72,15.63,28788155902.0,航空运输业,2018-03,2018,0.037232850843337294
601021.SH,春秋航空,2018-03-06,33.38,33.59,31266212013.0,航空运输业,2018-03,2018,0.04043781797900136
000089.SZ,深圳机场,2018-03-06,8.42,8.39,17759663948.0,航空运输业,2018-03,2018,0.022969269759920266
002928.SZ,华夏航空,2018-03-07,17.33,17.33,15843780000.0,航空运输业,2018-03,2018,0.020832766382462658
600221.SH,*ST海航,2018-03-07,3.23,3.23,54619891072.0,航空运输业,2018-03,2018,0.07181893655040236
200152.SZ,山航B,2018-03-07,14.9,14.74,5038812720.0,航空运输业,2018-03,2018,0.006625464897943624
600897.SH,厦门空港,2018-03-07,19.01,18.9,6411849300.0,航空运输业,2018-03,2018,0.008430851636822572
600004.SH,白云机场,2018-03-07,15.74,15.4,33047048609.0,航空运输业,2018-03,2018,0.04345310546480603
900945.SH,*ST海航B,2018-03-07,0.54,0.54,57547607987.0,航空运输业,2018-03,2018,0.0756685508800749
600115.SH,东方航空,2018-03-07,7.5,7.39,109085596042.0,航空运输业,2018-03,2018,0.14343513593565924
600009.SH,上海机场,2018-03-07,47.95,47.87,94844894811.0,航空运输业,2018-03,2018,0.12471023557300139
601111.SH,中国国航,2018-03-07,13.0,12.61,188822597405.0,航空运输业,2018-03,2018,0.24828021213802293
600029.SH,南方航空,2018-03-07,11.24,11.0,113189304112.0,航空运输业,2018-03,2018,0.14883104471021535
000099.SZ,中信海直,2018-03-07,8.23,8.14,4987959557.0,航空运输业,2018-03,2018,0.006558598779846283
603885.SH,吉祥航空,2018-03-07,15.64,15.45,28464693476.0,航空运输业,2018-03,2018,0.03742783031157444
601021.SH,春秋航空,2018-03-07,33.49,33.2,30899452928.0,航空运输业,2018-03,2018,0.04062926171626504
000089.SZ,深圳机场,2018-03-07,8.39,8.37,17718648558.0,航空运输业,2018-03,2018,0.023298005022903176
002928.SZ,华夏航空,2018-03-08,19.06,19.06,17429760000.0,航空运输业,2018-03,2018,0.022921792250100693
600221.SH,*ST海航,2018-03-08,3.23,3.23,54619891072.0,航空运输业,2018-03,2018,0.07183035198852501
200152.SZ,山航B,2018-03-08,14.68,14.68,5014202160.0,航空运输业,2018-03,2018,0.006594152771554293
600897.SH,厦门空港,2018-03-08,18.85,18.95,6429717900.0,航空运输业,2018-03,2018,0.008455690607934573
600004.SH,白云机场,2018-03-08,15.45,15.57,33419526301.0,航空运输业,2018-03,2018,0.043949855819489084
900945.SH,*ST海航B,2018-03-08,0.54,0.54,57497601376.0,航空运输业,2018-03,2018,0.0756148147547514
600115.SH,东方航空,2018-03-08,7.38,7.4,109230271899.0,航空运输业,2018-03,2018,0.14364819710029797
600009.SH,上海机场,2018-03-08,48.14,48.27,95654217359.0,航空运输业,2018-03,2018,0.12579439407937765
601111.SH,中国国航,2018-03-08,12.38,12.45,186353378824.0,航空运输业,2018-03,2018,0.24507241835275081
600029.SH,南方航空,2018-03-08,11.04,10.95,112684895448.0,航空运输业,2018-03,2018,0.1481913556574143
000099.SZ,中信海直,2018-03-08,8.14,8.18,5012202373.0,航空运输业,2018-03,2018,0.0065915228614374325
603885.SH,吉祥航空,2018-03-08,15.49,15.31,28213111589.0,航空运输业,2018-03,2018,0.03710292525955414
601021.SH,春秋航空,2018-03-08,33.2,33.39,31082832471.0,航空运输业,2018-03,2018,0.040876881175928186
000089.SZ,深圳机场,2018-03-08,8.37,8.39,17759663948.0,航空运输业,2018-03,2018,0.023355647320884458
002928.SZ,华夏航空,2018-03-09,19.71,20.97,19171935000.0,航空运输业,2018-03,2018,0.0249887092027261
600221.SH,*ST海航,2018-03-09,3.23,3.23,54619891072.0,航空运输业,2018-03,2018,0.07119159201628754
200152.SZ,山航B,2018-03-09,14.66,14.88,5094912080.0,航空运输业,2018-03,2018,0.006640710829688103
600897.SH,厦门空港,2018-03-09,18.96,19.17,6504170400.0,航空运输业,2018-03,2018,0.008477538794627601
600004.SH,白云机场,2018-03-09,15.59,15.72,33729924378.0,航空运输业,2018-03,2018,0.043963599486008274
900945.SH,*ST海航B,2018-03-09,0.54,0.54,57690354131.0,航空运输业,2018-03,2018,0.07519363502858983
600115.SH,东方航空,2018-03-09,7.39,7.42,109519623613.0,航空运输业,2018-03,2018,0.14274792953644336
600009.SH,上海机场,2018-03-09,48.62,49.43,97947297912.0,航空运输业,2018-03,2018,0.12766455471060953
601111.SH,中国国航,2018-03-09,12.36,12.46,186498626975.0,航空运输业,2018-03,2018,0.2430823991519878
600029.SH,南方航空,2018-03-09,10.96,11.07,113996357974.0,航空运输业,2018-03,2018,0.14858290723300246
000099.SZ,中信海直,2018-03-09,8.18,8.27,5066748711.0,航空运输业,2018-03,2018,0.0066040026811308465
603885.SH,吉祥航空,2018-03-09,15.36,15.4,28374842802.0,航空运输业,2018-03,2018,0.036983783611421794
601021.SH,春秋航空,2018-03-09,33.38,33.46,31147015311.0,航空运输业,2018-03,2018,0.040597034578900695
000089.SZ,深圳机场,2018-03-09,8.41,8.44,17862202423.0,航空运输业,2018-03,2018,0.02328160313857608
002928.SZ,华夏航空,2018-03-12,20.94,20.59,18823500000.0,航空运输业,2018-03,2018,0.02412884863395101
600221.SH,*ST海航,2018-03-12,3.23,3.23,54619891072.0,航空运输业,2018-03,2018,0.07001434823912557
200152.SZ,山航B,2018-03-12,15.02,15.15,5177343600.0,航空运输业,2018-03,2018,0.0066365628098045
600897.SH,厦门空港,2018-03-12,19.17,19.2,6513104700.0,航空运输业,2018-03,2018,0.008348804284185985
600004.SH,白云机场,2018-03-12,15.71,15.91,34143788481.0,航空运输业,2018-03,2018,0.0437671157886519
900945.SH,*ST海航B,2018-03-12,0.54,0.54,57583067220.0,航空运输业,2018-03,2018,0.07381268695141743
600115.SH,东方航空,2018-03-12,7.48,7.54,111255733895.0,航空运输业,2018-03,2018,0.14261283835692554
600009.SH,上海机场,2018-03-12,49.6,48.71,96521348660.0,航空运输业,2018-03,2018,0.12372560957111856
601111.SH,中国国航,2018-03-12,12.42,12.88,192744297505.0,航空运输业,2018-03,2018,0.2470687162087479
600029.SH,南方航空,2018-03-12,11.07,11.59,119343089808.0,航空运输业,2018-03,2018,0.15297959197201655
000099.SZ,中信海直,2018-03-12,8.27,8.45,5181902091.0,航空运输业,2018-03,2018,0.006642406098211981
603885.SH,吉祥航空,2018-03-12,15.46,15.66,28860036441.0,航空运输业,2018-03,2018,0.0369941536300475
