代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year
002245.SZ,蔚蓝锂芯,2010-01-04,2.33,2.29,1920064000.0,装卸搬运及其他运输代理,2010-01,2010
002245.SZ,蔚蓝锂芯,2010-01-05,2.29,2.36,1976000000.0,装卸搬运及其他运输代理,2010-01,2010
002245.SZ,蔚蓝锂芯,2010-01-06,2.36,2.3,1921280000.0,装卸搬运及其他运输代理,2010-01,2010
002245.SZ,蔚蓝锂芯,2010-01-07,2.27,2.2,1842240000.0,装卸搬运及其他运输代理,2010-01,2010
002245.SZ,蔚蓝锂芯,2010-01-08,2.21,2.19,1830080000.0,装卸搬运及其他运输代理,2010-01,2010
002245.SZ,蔚蓝锂芯,2010-01-11,2.19,2.28,1909120000.0,装卸搬运及其他运输代理,2010-01,2010
002245.SZ,蔚蓝锂芯,2010-01-12,2.28,2.34,1956544000.0,装卸搬运及其他运输代理,2010-01,2010
002245.SZ,蔚蓝锂芯,2010-01-13,2.29,2.27,1898176000.0,装卸搬运及其他运输代理,2010-01,2010
002245.SZ,蔚蓝锂芯,2010-01-14,2.27,2.35,1966272000.0,装卸搬运及其他运输代理,2010-01,2010
002245.SZ,蔚蓝锂芯,2010-01-15,2.35,2.36,1978432000.0,装卸搬运及其他运输代理,2010-01,2010
002245.SZ,蔚蓝锂芯,2010-01-18,2.35,2.44,2040448000.0,装卸搬运及其他运输代理,2010-01,2010
002245.SZ,蔚蓝锂芯,2010-01-19,2.44,2.4,2008832000.0,装卸搬运及其他运输代理,2010-01,2010
002245.SZ,蔚蓝锂芯,2010-01-20,2.4,2.29,1912768000.0,装卸搬运及其他运输代理,2010-01,2010
002245.SZ,蔚蓝锂芯,2010-01-21,2.29,2.31,1932224000.0,装卸搬运及其他运输代理,2010-01,2010
002245.SZ,蔚蓝锂芯,2010-01-22,2.28,2.23,1868992000.0,装卸搬运及其他运输代理,2010-01,2010
002245.SZ,蔚蓝锂芯,2010-01-25,2.18,2.21,1848320000.0,装卸搬运及其他运输代理,2010-01,2010
002245.SZ,蔚蓝锂芯,2010-01-26,2.23,2.12,1770496000.0,装卸搬运及其他运输代理,2010-01,2010
002245.SZ,蔚蓝锂芯,2010-01-27,2.12,2.07,1727936000.0,装卸搬运及其他运输代理,2010-01,2010
002245.SZ,蔚蓝锂芯,2010-01-28,2.07,2.11,1769280000.0,装卸搬运及其他运输代理,2010-01,2010
002245.SZ,蔚蓝锂芯,2010-01-29,2.11,2.15,1800896000.0,装卸搬运及其他运输代理,2010-01,2010
002245.SZ,蔚蓝锂芯,2010-02-01,2.11,2.13,1783872000.0,装卸搬运及其他运输代理,2010-02,2010
002245.SZ,蔚蓝锂芯,2010-02-02,2.13,2.17,1811840000.0,装卸搬运及其他运输代理,2010-02,2010
002245.SZ,蔚蓝锂芯,2010-02-03,2.17,2.17,1811840000.0,装卸搬运及其他运输代理,2010-02,2010
