代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year,weight
600233.SH,圆通速递,2010-01-04,7.61,7.58,2760450000.0,邮政业,2010-01,2010,0.6218521613589274
002120.SZ,韵达股份,2010-01-04,3.97,3.99,1678627600.0,邮政业,2010-01,2010,0.37814783864107265
600233.SH,圆通速递,2010-01-05,7.61,7.54,2747250000.0,邮政业,2010-01,2010,0.6109739528610327
002120.SZ,韵达股份,2010-01-05,4.01,4.15,1749259200.0,邮政业,2010-01,2010,0.38902604713896727
600233.SH,圆通速递,2010-01-06,7.56,7.79,2836350000.0,邮政业,2010-01,2010,0.6284182643492326
002120.SZ,韵达股份,2010-01-06,4.17,3.98,1677124800.0,邮政业,2010-01,2010,0.37158173565076735
600233.SH,圆通速递,2010-01-07,7.74,7.45,2714250000.0,邮政业,2010-01,2010,0.6249301795792733
002120.SZ,韵达股份,2010-01-07,3.99,3.87,1629035200.0,邮政业,2010-01,2010,0.3750698204207267
600233.SH,圆通速递,2010-01-08,7.35,7.37,2684550000.0,邮政业,2010-01,2010,0.6176140191560998
002120.SZ,韵达股份,2010-01-08,3.82,3.95,1662096800.0,邮政业,2010-01,2010,0.3823859808439002
600233.SH,圆通速递,2010-01-11,7.51,7.33,2671350000.0,邮政业,2010-01,2010,0.6170912480528713
002120.SZ,韵达股份,2010-01-11,3.96,3.94,1657588400.0,邮政业,2010-01,2010,0.38290875194712864
600233.SH,圆通速递,2010-01-12,7.33,7.55,2748900000.0,邮政业,2010-01,2010,0.6181381693629775
002120.SZ,韵达股份,2010-01-12,3.92,4.03,1698164000.0,邮政业,2010-01,2010,0.38186183063702256
600233.SH,圆通速递,2010-01-13,7.41,7.56,2752200000.0,邮政业,2010-01,2010,0.6258177447367596
002120.SZ,韵达股份,2010-01-13,3.95,3.91,1645566000.0,邮政业,2010-01,2010,0.37418225526324045
600233.SH,圆通速递,2010-01-14,7.58,7.67,2793450000.0,邮政业,2010-01,2010,0.6215097713719755
002120.SZ,韵达股份,2010-01-14,3.91,4.04,1701169600.0,邮政业,2010-01,2010,0.3784902286280245
600233.SH,圆通速递,2010-01-15,7.7,8.43,3072300000.0,邮政业,2010-01,2010,0.6432148962063071
002120.SZ,韵达股份,2010-01-15,4.05,4.05,1704175200.0,邮政业,2010-01,2010,0.3567851037936929
600233.SH,圆通速递,2010-01-18,8.47,8.52,3102000000.0,邮政业,2010-01,2010,0.6404135378549639
002120.SZ,韵达股份,2010-01-18,4.05,4.14,1741745200.0,邮政业,2010-01,2010,0.35958646214503603
600233.SH,圆通速递,2010-01-19,8.52,8.67,3159750000.0,邮政业,2010-01,2010,0.649428991652944
002120.SZ,韵达股份,2010-01-19,4.14,4.05,1705678000.0,邮政业,2010-01,2010,0.350571008347056
600233.SH,圆通速递,2010-01-20,8.72,8.1,2950200000.0,邮政业,2010-01,2010,0.6476567916897612
002120.SZ,韵达股份,2010-01-20,4.04,3.81,1604990400.0,邮政业,2010-01,2010,0.3523432083102388
600233.SH,圆通速递,2010-01-21,8.07,7.97,2904000000.0,邮政业,2010-01,2010,0.6425475328077601
002120.SZ,韵达股份,2010-01-21,3.8,3.84,1615510000.0,邮政业,2010-01,2010,0.3574524671922399
600233.SH,圆通速递,2010-01-22,7.87,7.66,2791800000.0,邮政业,2010-01,2010,0.6336636791550933
002120.SZ,韵达股份,2010-01-22,3.81,3.83,1614007200.0,邮政业,2010-01,2010,0.3663363208449067
600233.SH,圆通速递,2010-01-25,7.53,7.61,2773650000.0,邮政业,2010-01,2010,0.632148290892005
002120.SZ,韵达股份,2010-01-25,3.83,3.83,1614007200.0,邮政业,2010-01,2010,0.36785170910799503
600233.SH,圆通速递,2010-01-26,7.63,7.09,2582250000.0,邮政业,2010-01,2010,0.6300360183704815
002120.SZ,韵达股份,2010-01-26,3.83,3.6,1516325200.0,邮政业,2010-01,2010,0.3699639816295185
600233.SH,圆通速递,2010-01-27,7.09,7.05,2569050000.0,邮政业,2010-01,2010,0.6281474612138106
002120.SZ,韵达股份,2010-01-27,3.6,3.61,1520833600.0,邮政业,2010-01,2010,0.3718525387861894
600233.SH,圆通速递,2010-01-28,7.02,7.08,2580600000.0,邮政业,2010-01,2010,0.6287338840346326
002120.SZ,韵达股份,2010-01-28,3.66,3.62,1523839200.0,邮政业,2010-01,2010,0.37126611596536746
600233.SH,圆通速递,2010-01-29,7.06,7.11,2588850000.0,邮政业,2010-01,2010,0.6233289050098612
002120.SZ,韵达股份,2010-01-29,3.62,3.71,1564414800.0,邮政业,2010-01,2010,0.37667109499013884
600233.SH,圆通速递,2010-02-01,7.1,6.93,2522850000.0,邮政业,2010-02,2010,0.6213588129730292
002120.SZ,韵达股份,2010-02-01,3.71,3.65,1537364400.0,邮政业,2010-02,2010,0.3786411870269708
600233.SH,圆通速递,2010-02-02,6.98,6.89,2511300000.0,邮政业,2010-02,2010,0.6186711417861324
002120.SZ,韵达股份,2010-02-02,3.68,3.68,1547884000.0,邮政业,2010-02,2010,0.38132885821386764
600233.SH,圆通速递,2010-02-03,6.91,7.08,2577300000.0,邮政业,2010-02,2010,0.6195807419506429
002120.SZ,韵达股份,2010-02-03,3.64,3.76,1582448400.0,邮政业,2010-02,2010,0.380419258049357
600233.SH,圆通速递,2010-02-04,7.08,7.16,2608650000.0,邮政业,2010-02,2010,0.6202024741814701
002120.SZ,韵达股份,2010-02-04,3.76,3.79,1597476400.0,邮政业,2010-02,2010,0.3797975258185298
600233.SH,圆通速递,2010-02-05,7.18,7.21,2626800000.0,邮政业,2010-02,2010,0.39300124172548456
002120.SZ,韵达股份,2010-02-05,3.71,3.68,1547884000.0,邮政业,2010-02,2010,0.23158228035899572
002352.SZ,顺丰控股,2010-02-05,9.49,9.28,2509264347.0,邮政业,2010-02,2010,0.37541647791551974
