代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year,weight
000927.SZ,中国铁物,2010-01-04,11.76,11.45,18599729073.0,铁路运输业,2010-01,2010,0.09341140295147339
601006.SH,大秦铁路,2010-01-04,5.82,5.73,132492690267.0,铁路运输业,2010-01,2010,0.6654036749718787
601333.SH,广深铁路,2010-01-04,3.74,3.68,33434294640.0,铁路运输业,2010-01,2010,0.1679134334031236
600125.SH,铁龙物流,2010-01-04,7.7,7.78,11227488112.0,铁路运输业,2010-01,2010,0.05638659638786606
000557.SZ,西部创业,2010-01-04,4.87,4.9,3362056580.0,铁路运输业,2010-01,2010,0.016884892285658322
000927.SZ,中国铁物,2010-01-05,11.39,11.43,18567825593.0,铁路运输业,2010-01,2010,0.09354538349674096
601006.SH,大秦铁路,2010-01-05,5.73,5.7,131843852410.0,铁路运输业,2010-01,2010,0.6642341438208469
601333.SH,广深铁路,2010-01-05,3.69,3.7,33646800750.0,铁路运输业,2010-01,2010,0.1695138110724057
600125.SH,铁龙物流,2010-01-05,7.78,7.69,11096935925.0,铁路运输业,2010-01,2010,0.05590676848743314
000557.SZ,西部创业,2010-01-05,4.89,4.86,3334611221.0,铁路运输业,2010-01,2010,0.016799893122573267
000927.SZ,中国铁物,2010-01-06,11.43,10.9,17706431622.0,铁路运输业,2010-01,2010,0.08972798936072113
601006.SH,大秦铁路,2010-01-06,5.7,5.71,131973619982.0,铁路运输业,2010-01,2010,0.6687811424933053
601333.SH,广深铁路,2010-01-06,3.7,3.69,33505130010.0,铁路运输业,2010-01,2010,0.16978847083629836
600125.SH,铁龙物流,2010-01-06,7.82,7.52,10855916502.0,铁路运输业,2010-01,2010,0.05501275362462374
000557.SZ,西部创业,2010-01-06,4.86,4.8,3293443181.0,铁路运输业,2010-01,2010,0.016689643685051447
000927.SZ,中国铁物,2010-01-07,10.95,10.68,17355493338.0,铁路运输业,2010-01,2010,0.09000529677410152
601006.SH,大秦铁路,2010-01-07,5.72,5.58,129118733414.0,铁路运输业,2010-01,2010,0.6696075815130003
601333.SH,广深铁路,2010-01-07,3.67,3.59,32655105570.0,铁路运输业,2010-01,2010,0.16934882868366583
600125.SH,铁龙物流,2010-01-07,7.51,7.29,10514472320.0,铁路运输业,2010-01,2010,0.05452787674508892
000557.SZ,西部创业,2010-01-07,4.78,4.64,3183661741.0,铁路运输业,2010-01,2010,0.016510416284143414
000927.SZ,中国铁物,2010-01-08,10.68,10.43,16940748092.0,铁路运输业,2010-01,2010,0.08785931809413704
601006.SH,大秦铁路,2010-01-08,5.59,5.58,128988965842.0,铁路运输业,2010-01,2010,0.6689717903247632
601333.SH,广深铁路,2010-01-08,3.58,3.64,33080117790.0,铁路运输业,2010-01,2010,0.1715624703064696
600125.SH,铁龙物流,2010-01-08,7.24,7.31,10554642223.0,铁路运输业,2010-01,2010,0.05473923957810816
000557.SZ,西部创业,2010-01-08,4.64,4.74,3252275141.0,铁路运输业,2010-01,2010,0.016867181696522057
000927.SZ,中国铁物,2010-01-11,10.43,10.11,16430292406.0,铁路运输业,2010-01,2010,0.08543482109106323
601006.SH,大秦铁路,2010-01-11,5.74,5.59,129248500985.0,铁路运输业,2010-01,2010,0.6720709701982638
601333.SH,广深铁路,2010-01-11,3.7,3.64,33080117790.0,铁路运输业,2010-01,2010,0.17201117759948575
600125.SH,铁龙物流,2010-01-11,7.4,7.17,10343750228.0,铁路运输业,2010-01,2010,0.0537858017558537
000557.SZ,西部创业,2010-01-11,4.75,4.68,3211107101.0,铁路运输业,2010-01,2010,0.016697229355333586
000927.SZ,中国铁物,2010-01-12,10.11,10.36,16829085911.0,铁路运输业,2010-01,2010,0.08426732965528733
601006.SH,大秦铁路,2010-01-12,5.61,5.81,134309436264.0,铁路运输业,2010-01,2010,0.6725200406800805
601333.SH,广深铁路,2010-01-12,3.65,3.75,34071812970.0,铁路运输业,2010-01,2010,0.170605861226225
600125.SH,铁龙物流,2010-01-12,7.15,7.78,11227488112.0,铁路运输业,2010-01,2010,0.05621876594713424
000557.SZ,西部创业,2010-01-12,4.66,4.77,3272859161.0,铁路运输业,2010-01,2010,0.016388002491272924
000927.SZ,中国铁物,2010-01-13,10.17,10.07,16350533705.0,铁路运输业,2010-01,2010,0.08349439817296912
601006.SH,大秦铁路,2010-01-13,5.71,5.64,130546176698.0,铁路运输业,2010-01,2010,0.6666372274960303
601333.SH,广深铁路,2010-01-13,3.7,3.79,34425989820.0,铁路运输业,2010-01,2010,0.17579715459995512
600125.SH,铁龙物流,2010-01-13,7.62,7.84,11307827920.0,铁路运输业,2010-01,2010,0.05774369839286523
000557.SZ,西部创业,2010-01-13,4.7,4.66,3197384421.0,铁路运输业,2010-01,2010,0.016327521338180218
000927.SZ,中国铁物,2010-01-14,10.08,10.51,17068362014.0,铁路运输业,2010-01,2010,0.08533156652444153
601006.SH,大秦铁路,2010-01-14,5.67,5.75,133011760552.0,铁路运输业,2010-01,2010,0.6649789760005307
601333.SH,广深铁路,2010-01-14,3.79,3.8,34567660560.0,铁路运输业,2010-01,2010,0.1728175570831289
600125.SH,铁龙物流,2010-01-14,7.97,8.42,12151395900.0,铁路运输业,2010-01,2010,0.06074968686246404
000557.SZ,西部创业,2010-01-14,4.63,4.7,3224829781.0,铁路运输业,2010-01,2010,0.016122213529434794
000927.SZ,中国铁物,2010-01-15,10.44,10.41,16908844612.0,铁路运输业,2010-01,2010,0.08375742431921668
601006.SH,大秦铁路,2010-01-15,5.72,5.84,135088041692.0,铁路运输业,2010-01,2010,0.6691543205985242
601333.SH,广深铁路,2010-01-15,3.8,3.79,34425989820.0,铁路运输业,2010-01,2010,0.17052804630521218
600125.SH,铁龙物流,2010-01-15,8.45,8.4,12121268472.0,铁路运输业,2010-01,2010,0.06004231808812882
