代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year
002306.SZ,ST云网,2010-01-04,8.02,7.83,6540000000.0,餐饮业,2010-01,2010
002306.SZ,ST云网,2010-01-05,7.72,7.69,6418000000.0,餐饮业,2010-01,2010
002306.SZ,ST云网,2010-01-06,7.67,7.76,6476000000.0,餐饮业,2010-01,2010
002306.SZ,ST云网,2010-01-07,7.75,7.43,6206000000.0,餐饮业,2010-01,2010
002306.SZ,ST云网,2010-01-08,7.33,7.5,6260000000.0,餐饮业,2010-01,2010
002306.SZ,ST云网,2010-01-11,7.61,7.33,6120000000.0,餐饮业,2010-01,2010
002306.SZ,ST云网,2010-01-12,7.36,7.68,6408000000.0,餐饮业,2010-01,2010
002306.SZ,ST云网,2010-01-13,7.55,7.46,6226000000.0,餐饮业,2010-01,2010
002306.SZ,ST云网,2010-01-14,7.51,7.7,6430000000.0,餐饮业,2010-01,2010
002306.SZ,ST云网,2010-01-15,7.73,7.76,6476000000.0,餐饮业,2010-01,2010
002306.SZ,ST云网,2010-01-18,7.74,8.05,6720000000.0,餐饮业,2010-01,2010
002306.SZ,ST云网,2010-01-19,8.04,7.92,6610000000.0,餐饮业,2010-01,2010
002306.SZ,ST云网,2010-01-20,7.87,7.44,6210000000.0,餐饮业,2010-01,2010
002306.SZ,ST云网,2010-01-21,7.49,7.52,6282000000.0,餐饮业,2010-01,2010
002306.SZ,ST云网,2010-01-22,7.38,7.16,5980000000.0,餐饮业,2010-01,2010
002306.SZ,ST云网,2010-01-25,7.16,7.24,6044000000.0,餐饮业,2010-01,2010
002306.SZ,ST云网,2010-01-26,7.24,7.13,5954000000.0,餐饮业,2010-01,2010
002306.SZ,ST云网,2010-01-27,7.19,7.18,5998000000.0,餐饮业,2010-01,2010
002306.SZ,ST云网,2010-01-28,7.19,7.21,6018000000.0,餐饮业,2010-01,2010
002306.SZ,ST云网,2010-01-29,7.21,6.97,5816000000.0,餐饮业,2010-01,2010
002306.SZ,ST云网,2010-02-01,6.92,6.48,5408000000.0,餐饮业,2010-02,2010
002306.SZ,ST云网,2010-02-02,6.44,6.33,5288000000.0,餐饮业,2010-02,2010
002306.SZ,ST云网,2010-02-03,6.34,6.46,5392000000.0,餐饮业,2010-02,2010
002306.SZ,ST云网,2010-02-04,6.42,6.31,5264000000.0,餐饮业,2010-02,2010
002306.SZ,ST云网,2010-02-05,6.03,6.01,5020000000.0,餐饮业,2010-02,2010
002306.SZ,ST云网,2010-02-08,6.02,6.16,5144000000.0,餐饮业,2010-02,2010
002306.SZ,ST云网,2010-02-09,6.1,6.04,5040000000.0,餐饮业,2010-02,2010
002306.SZ,ST云网,2010-02-10,6.06,6.13,5114000000.0,餐饮业,2010-02,2010
