代码,简称,日期,开盘价(元),收盘价(元),总市值(元),industry,month,year
000655.SZ,金岭矿业,2010-01-04,18.4,18.02,11091188485.0,黑色金属矿采选业,2010-01,2010
000655.SZ,金岭矿业,2010-01-05,18.02,18.45,11353138186.0,黑色金属矿采选业,2010-01,2010
000655.SZ,金岭矿业,2010-01-06,18.45,18.62,11460299428.0,黑色金属矿采选业,2010-01,2010
000655.SZ,金岭矿业,2010-01-07,18.66,18.57,11430532416.0,黑色金属矿采选业,2010-01,2010
000655.SZ,金岭矿业,2010-01-08,18.38,18.22,11216209933.0,黑色金属矿采选业,2010-01,2010
000655.SZ,金岭矿业,2010-01-11,18.38,18.0,11079281680.0,黑色金属矿采选业,2010-01,2010
000655.SZ,金岭矿业,2010-01-12,17.99,18.16,11180489519.0,黑色金属矿采选业,2010-01,2010
000655.SZ,金岭矿业,2010-01-13,17.8,17.42,10722077542.0,黑色金属矿采选业,2010-01,2010
000655.SZ,金岭矿业,2010-01-14,17.43,17.97,11061421473.0,黑色金属矿采选业,2010-01,2010
000655.SZ,金岭矿业,2010-01-15,17.9,17.83,10972120439.0,黑色金属矿采选业,2010-01,2010
000655.SZ,金岭矿业,2010-01-18,17.87,18.28,11251930347.0,黑色金属矿采选业,2010-01,2010
000655.SZ,金岭矿业,2010-01-19,18.41,18.94,11656761703.0,黑色金属矿采选业,2010-01,2010
000655.SZ,金岭矿业,2010-01-20,19.02,17.99,11073328278.0,黑色金属矿采选业,2010-01,2010
000655.SZ,金岭矿业,2010-01-21,17.98,17.95,11049514669.0,黑色金属矿采选业,2010-01,2010
000655.SZ,金岭矿业,2010-01-22,17.72,17.36,10686357128.0,黑色金属矿采选业,2010-01,2010
000655.SZ,金岭矿业,2010-01-25,17.41,17.12,10537522071.0,黑色金属矿采选业,2010-01,2010
000655.SZ,金岭矿业,2010-01-26,17.26,15.99,9840974002.0,黑色金属矿采选业,2010-01,2010
000655.SZ,金岭矿业,2010-01-27,16.02,16.08,9894554623.0,黑色金属矿采选业,2010-01,2010
000655.SZ,金岭矿业,2010-01-28,16.07,16.06,9882647818.0,黑色金属矿采选业,2010-01,2010
000655.SZ,金岭矿业,2010-01-29,16.01,16.07,9888601220.0,黑色金属矿采选业,2010-01,2010
000655.SZ,金岭矿业,2010-02-01,15.96,15.19,9346841611.0,黑色金属矿采选业,2010-02,2010
000655.SZ,金岭矿业,2010-02-02,15.48,15.36,9454002852.0,黑色金属矿采选业,2010-02,2010
