代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
002776.SZ,柏堡龙,2015-06-26,6.08,7.29,3517675200.0
002776.SZ,柏堡龙,2015-06-29,8.02,8.02,3869023200.0
002776.SZ,柏堡龙,2015-06-30,8.82,8.82,4256030400.0
002776.SZ,柏堡龙,2015-07-01,9.7,9.7,4681843200.0
002776.SZ,柏堡龙,2015-07-02,10.67,10.67,5149608000.0
002776.SZ,柏堡龙,2015-07-03,11.08,11.74,5664568800.0
002776.SZ,柏堡龙,2015-07-06,12.82,10.57,5098216800.0
002776.SZ,柏堡龙,2015-07-07,9.51,9.51,4588500000.0
002776.SZ,柏堡龙,2015-07-08,8.56,8.56,4130174400.0
002776.SZ,柏堡龙,2015-07-09,7.7,9.42,4543401600.0
002776.SZ,柏堡龙,2015-07-10,10.22,10.36,4997532000.0
002776.SZ,柏堡龙,2015-07-13,11.3,11.39,5497809600.0
002776.SZ,柏堡龙,2015-07-14,12.17,12.53,6047380800.0
002776.SZ,柏堡龙,2015-07-15,12.39,11.28,5442223200.0
002776.SZ,柏堡龙,2015-07-16,10.15,10.37,5004873600.0
002776.SZ,柏堡龙,2015-07-17,10.45,10.92,5268122400.0
002776.SZ,柏堡龙,2015-07-20,10.56,10.42,5030044800.0
002776.SZ,柏堡龙,2015-07-21,10.17,10.72,5170584000.0
002776.SZ,柏堡龙,2015-07-22,10.76,10.76,5193657600.0
002776.SZ,柏堡龙,2015-07-23,10.82,11.84,5712813600.0
002776.SZ,柏堡龙,2015-07-24,12.95,13.02,6284409600.0
002776.SZ,柏堡龙,2015-07-27,12.39,11.78,5682398400.0
002776.SZ,柏堡龙,2015-07-28,11.09,12.61,6083040000.0
002776.SZ,柏堡龙,2015-07-29,12.6,13.87,6691344000.0
002776.SZ,柏堡龙,2015-07-30,13.91,14.24,6869640000.0
002776.SZ,柏堡龙,2015-07-31,13.8,14.87,7173792000.0
002776.SZ,柏堡龙,2015-08-03,14.31,13.64,6581220000.0
002776.SZ,柏堡龙,2015-08-04,13.48,13.1,6320068800.0
002776.SZ,柏堡龙,2015-08-05,12.75,13.64,6581220000.0
002776.SZ,柏堡龙,2015-08-06,13.19,12.79,6173236800.0
002776.SZ,柏堡龙,2015-08-07,12.88,13.01,6279165600.0
