代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
600749.SH,西藏旅游,2010-01-04,9.69,9.59,1587300000.0
600749.SH,西藏旅游,2010-01-05,9.63,9.91,1640100000.0
600749.SH,西藏旅游,2010-01-06,9.86,10.0,1654950000.0
600749.SH,西藏旅游,2010-01-07,9.99,10.66,1763850000.0
600749.SH,西藏旅游,2010-01-08,10.44,10.85,1795200000.0
600749.SH,西藏旅游,2010-01-11,11.38,11.94,1975050000.0
600749.SH,西藏旅游,2010-01-12,12.07,11.91,1970100000.0
600749.SH,西藏旅游,2010-01-13,11.67,11.68,1932150000.0
600749.SH,西藏旅游,2010-01-14,11.59,12.38,2047650000.0
600749.SH,西藏旅游,2010-01-15,12.3,12.43,2055900000.0
600749.SH,西藏旅游,2010-01-18,12.47,12.8,2116950000.0
600749.SH,西藏旅游,2010-01-19,12.76,12.57,2079000000.0
600749.SH,西藏旅游,2010-01-20,12.55,12.35,2042700000.0
600749.SH,西藏旅游,2010-01-21,12.28,12.64,2090550000.0
600749.SH,西藏旅游,2010-01-22,12.34,11.88,1965150000.0
600749.SH,西藏旅游,2010-01-25,12.12,11.17,1848000000.0
600749.SH,西藏旅游,2010-01-26,10.96,10.46,1730850000.0
600749.SH,西藏旅游,2010-01-27,10.42,10.86,1796850000.0
600749.SH,西藏旅游,2010-01-28,10.77,11.14,1843050000.0
600749.SH,西藏旅游,2010-01-29,11.16,11.07,1831500000.0
600749.SH,西藏旅游,2010-02-01,10.97,10.75,1778700000.0
600749.SH,西藏旅游,2010-02-02,10.74,10.68,1767150000.0
600749.SH,西藏旅游,2010-02-03,10.97,11.75,1943700000.0
600749.SH,西藏旅游,2010-02-04,12.31,12.93,2138400000.0
600749.SH,西藏旅游,2010-02-05,13.84,13.5,2234100000.0
600749.SH,西藏旅游,2010-02-08,12.77,13.0,2149950000.0
600749.SH,西藏旅游,2010-02-09,12.62,12.43,2055900000.0
600749.SH,西藏旅游,2010-02-10,12.46,12.52,2070750000.0
600749.SH,西藏旅游,2010-02-11,12.47,12.05,1993200000.0
600749.SH,西藏旅游,2010-02-12,11.97,12.26,2027850000.0
600749.SH,西藏旅游,2010-02-22,12.32,12.93,2138400000.0
600749.SH,西藏旅游,2010-02-23,12.71,13.04,2156550000.0
600749.SH,西藏旅游,2010-02-24,12.78,12.85,2125200000.0
600749.SH,西藏旅游,2010-02-25,12.87,13.73,2272050000.0
600749.SH,西藏旅游,2010-02-26,13.48,13.55,2242350000.0
600749.SH,西藏旅游,2010-03-01,13.46,13.74,2273700000.0
600749.SH,西藏旅游,2010-03-02,13.7,13.2,2182950000.0
600749.SH,西藏旅游,2010-03-03,13.07,13.13,2171400000.0
600749.SH,西藏旅游,2010-03-04,12.98,12.6,2083950000.0
600749.SH,西藏旅游,2010-03-05,12.58,12.47,2062500000.0
600749.SH,西藏旅游,2010-03-08,12.52,12.92,2136750000.0
600749.SH,西藏旅游,2010-03-09,12.78,12.7,2100450000.0
600749.SH,西藏旅游,2010-03-10,12.74,12.62,2087250000.0
600749.SH,西藏旅游,2010-03-11,12.58,12.48,2064150000.0
600749.SH,西藏旅游,2010-03-12,12.47,12.47,2062500000.0
600749.SH,西藏旅游,2010-03-15,12.51,12.12,2004750000.0
600749.SH,西藏旅游,2010-03-16,12.14,12.31,2036100000.0
600749.SH,西藏旅游,2010-03-17,12.34,12.59,2082300000.0
600749.SH,西藏旅游,2010-03-18,12.57,12.7,2100450000.0
