代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
002731.SZ,萃华珠宝,2014-11-04,9.12,9.95,2585668800.0
002731.SZ,萃华珠宝,2014-11-05,10.94,10.94,2844838400.0
002731.SZ,萃华珠宝,2014-11-06,12.04,12.04,3129623600.0
002731.SZ,萃华珠宝,2014-11-07,13.25,13.25,3443038000.0
002731.SZ,萃华珠宝,2014-11-10,14.57,14.57,3788095200.0
002731.SZ,萃华珠宝,2014-11-11,16.03,16.03,4166302000.0
002731.SZ,萃华珠宝,2014-11-12,17.63,17.63,4583685600.0
002731.SZ,萃华珠宝,2014-11-13,19.4,19.4,5041752800.0
002731.SZ,萃华珠宝,2014-11-14,21.34,21.34,5546530800.0
002731.SZ,萃华珠宝,2014-11-17,23.47,23.47,6101033200.0
002731.SZ,萃华珠宝,2014-11-18,25.15,25.82,6711287200.0
002731.SZ,萃华珠宝,2014-11-19,24.63,24.81,6449104000.0
002731.SZ,萃华珠宝,2014-11-20,24.32,27.29,7094014400.0
002731.SZ,萃华珠宝,2014-11-21,27.69,26.13,6792654400.0
002731.SZ,萃华珠宝,2014-11-24,25.8,25.62,6658549200.0
002731.SZ,萃华珠宝,2014-11-25,25.33,24.35,6328560000.0
002731.SZ,萃华珠宝,2014-11-26,24.41,24.53,6376777600.0
002731.SZ,萃华珠宝,2014-11-27,24.71,24.17,6281849200.0
002731.SZ,萃华珠宝,2014-11-28,24.06,23.79,6183907200.0
002731.SZ,萃华珠宝,2014-12-01,23.7,24.46,6358696000.0
002731.SZ,萃华珠宝,2014-12-02,24.23,24.98,6492801200.0
002731.SZ,萃华珠宝,2014-12-03,24.9,24.28,6311985200.0
002731.SZ,萃华珠宝,2014-12-04,23.95,23.98,6232124800.0
002731.SZ,萃华珠宝,2014-12-05,23.78,22.21,5774057600.0
002731.SZ,萃华珠宝,2014-12-08,22.03,21.34,5546530800.0
002731.SZ,萃华珠宝,2014-12-09,21.45,20.38,5296402000.0
002731.SZ,萃华珠宝,2014-12-10,20.3,20.69,5377769200.0
002731.SZ,萃华珠宝,2014-12-11,20.6,21.45,5575160000.0
002731.SZ,萃华珠宝,2014-12-12,21.33,20.94,5442561600.0
002731.SZ,萃华珠宝,2014-12-15,20.87,21.0,5459136400.0
002731.SZ,萃华珠宝,2014-12-16,20.81,20.65,5367221600.0
002731.SZ,萃华珠宝,2014-12-17,20.58,19.55,5080929600.0
002731.SZ,萃华珠宝,2014-12-18,19.65,19.26,5005589600.0
002731.SZ,萃华珠宝,2014-12-19,19.13,17.83,4633410000.0
002731.SZ,萃华珠宝,2014-12-22,17.73,16.38,4256710000.0
002731.SZ,萃华珠宝,2014-12-23,16.4,16.97,4410403600.0
002731.SZ,萃华珠宝,2014-12-24,17.27,17.79,4624369200.0
002731.SZ,萃华珠宝,2014-12-25,17.79,17.45,4535468000.0
002731.SZ,萃华珠宝,2014-12-26,17.28,17.41,4524920400.0
002731.SZ,萃华珠宝,2014-12-29,17.5,16.88,4386294800.0
002731.SZ,萃华珠宝,2014-12-30,16.92,16.76,4356158800.0
002731.SZ,萃华珠宝,2014-12-31,16.87,17.08,4440539600.0
002731.SZ,萃华珠宝,2015-01-05,17.04,17.1,4445060000.0
002731.SZ,萃华珠宝,2015-01-06,17.02,17.59,4573138000.0
002731.SZ,萃华珠宝,2015-01-07,17.41,17.62,4579165200.0
002731.SZ,萃华珠宝,2015-01-08,17.4,17.57,4567110800.0
002731.SZ,萃华珠宝,2015-01-09,17.54,17.28,4490264000.0
002731.SZ,萃华珠宝,2015-01-12,17.1,16.32,4243148800.0
002731.SZ,萃华珠宝,2015-01-13,16.03,16.63,4323009200.0
002731.SZ,萃华珠宝,2015-01-14,16.64,16.41,4264244000.0
002731.SZ,萃华珠宝,2015-01-15,16.41,16.53,4295886800.0
002731.SZ,萃华珠宝,2015-01-16,16.7,17.1,4443553200.0
002731.SZ,萃华珠宝,2015-01-19,16.82,17.49,4546015600.0
002731.SZ,萃华珠宝,2015-01-20,17.55,19.24,5001069200.0
002731.SZ,萃华珠宝,2015-01-21,19.56,19.04,4949838000.0
002731.SZ,萃华珠宝,2015-01-22,18.81,19.67,5112572400.0
002731.SZ,萃华珠宝,2015-01-23,19.71,18.87,4904634000.0
002731.SZ,萃华珠宝,2015-01-26,18.88,18.79,4885045600.0
002731.SZ,萃华珠宝,2015-01-27,18.78,18.93,4921208800.0
002731.SZ,萃华珠宝,2015-01-28,18.84,18.81,4889566000.0
002731.SZ,萃华珠宝,2015-01-29,18.72,18.19,4728338400.0
002731.SZ,萃华珠宝,2015-01-30,17.91,17.47,4541495200.0
002731.SZ,萃华珠宝,2015-02-02,17.47,17.69,4598753600.0
002731.SZ,萃华珠宝,2015-02-03,17.72,18.04,4689161600.0
002731.SZ,萃华珠宝,2015-02-04,18.03,17.64,4585192400.0
002731.SZ,萃华珠宝,2015-02-05,17.74,17.5,4547522400.0
002731.SZ,萃华珠宝,2015-02-06,17.49,16.7,4341090800.0
002731.SZ,萃华珠宝,2015-02-09,16.75,16.63,4321502400.0
002731.SZ,萃华珠宝,2015-02-10,16.81,16.87,4384788000.0
002731.SZ,萃华珠宝,2015-02-11,16.96,17.13,4452594000.0
002731.SZ,萃华珠宝,2015-02-12,17.15,17.19,4467662000.0
002731.SZ,萃华珠宝,2015-02-13,17.33,17.34,4508345600.0
002731.SZ,萃华珠宝,2015-02-16,17.56,17.53,4556563200.0
002731.SZ,萃华珠宝,2015-02-17,17.59,17.48,4544508800.0
002731.SZ,萃华珠宝,2015-02-25,17.5,17.3,4496291200.0
002731.SZ,萃华珠宝,2015-02-26,17.35,17.43,4529440800.0
002731.SZ,萃华珠宝,2015-02-27,17.48,17.86,4642450800.0
002731.SZ,萃华珠宝,2015-03-02,17.92,18.19,4728338400.0
002731.SZ,萃华珠宝,2015-03-03,18.07,18.25,4744913200.0
002731.SZ,萃华珠宝,2015-03-04,18.03,18.52,4814226000.0
002731.SZ,萃华珠宝,2015-03-05,18.53,19.08,4958878800.0
002731.SZ,萃华珠宝,2015-03-06,18.92,18.15,4717790800.0
002731.SZ,萃华珠宝,2015-03-09,18.01,18.01,4681627600.0
002731.SZ,萃华珠宝,2015-03-10,18.02,17.94,4663546000.0
002731.SZ,萃华珠宝,2015-03-11,17.91,17.7,4600260400.0
002731.SZ,萃华珠宝,2015-03-12,17.63,17.5,4549029200.0
002731.SZ,萃华珠宝,2015-03-13,17.6,17.91,4656012000.0
002731.SZ,萃华珠宝,2015-03-16,18.02,18.43,4790117200.0
002731.SZ,萃华珠宝,2015-03-17,18.54,18.59,4832307600.0
002731.SZ,萃华珠宝,2015-03-18,18.6,19.02,4943810800.0
002731.SZ,萃华珠宝,2015-03-19,19.0,19.14,4973946800.0
002731.SZ,萃华珠宝,2015-03-20,19.32,19.08,4958878800.0
002731.SZ,萃华珠宝,2015-03-23,19.09,19.19,4989014800.0
002731.SZ,萃华珠宝,2015-03-24,19.33,19.17,4982987600.0
002731.SZ,萃华珠宝,2015-03-25,19.07,20.09,5221062000.0
002731.SZ,萃华珠宝,2015-03-26,19.79,19.26,5007096400.0
002731.SZ,萃华珠宝,2015-03-27,19.19,19.33,5025178000.0
002731.SZ,萃华珠宝,2015-03-30,19.48,19.33,5023671200.0
002731.SZ,萃华珠宝,2015-03-31,19.43,19.19,4989014800.0
002731.SZ,萃华珠宝,2015-04-01,19.14,19.42,5047780000.0
002731.SZ,萃华珠宝,2015-04-02,19.52,19.88,5168324000.0
002731.SZ,萃华珠宝,2015-04-03,19.7,20.2,5251198000.0
002731.SZ,萃华珠宝,2015-04-07,20.31,20.93,5439548000.0
002731.SZ,萃华珠宝,2015-04-08,21.04,20.57,5346126400.0
002731.SZ,萃华珠宝,2015-04-09,20.57,20.03,5205994000.0
002731.SZ,萃华珠宝,2015-04-10,19.99,22.03,5727346800.0
002731.SZ,萃华珠宝,2015-04-13,22.83,22.41,5823782000.0
002731.SZ,萃华珠宝,2015-04-14,22.25,22.26,5786112000.0
002731.SZ,萃华珠宝,2015-04-15,22.25,20.99,5454616000.0
002731.SZ,萃华珠宝,2015-04-16,20.84,21.19,5507354000.0
002731.SZ,萃华珠宝,2015-04-17,21.36,21.33,5545024000.0
002731.SZ,萃华珠宝,2015-04-20,21.26,20.52,5334072000.0
002731.SZ,萃华珠宝,2015-04-21,20.29,21.27,5528449200.0
002731.SZ,萃华珠宝,2015-04-22,21.5,21.8,5667074800.0
002731.SZ,萃华珠宝,2015-04-23,21.74,22.49,5844877200.0
002731.SZ,萃华珠宝,2015-04-24,21.85,21.92,5698717600.0
002731.SZ,萃华珠宝,2015-04-27,21.55,21.43,5570639600.0
002731.SZ,萃华珠宝,2015-04-28,21.43,20.57,5346126400.0
002731.SZ,萃华珠宝,2015-04-29,20.63,21.9,5691183600.0
002731.SZ,萃华珠宝,2015-04-30,21.85,21.13,5492286000.0
002731.SZ,萃华珠宝,2015-05-04,21.1,20.95,5445575200.0
002731.SZ,萃华珠宝,2015-05-05,20.95,20.01,5199966800.0
002731.SZ,萃华珠宝,2015-05-06,19.99,19.65,5108052000.0
002731.SZ,萃华珠宝,2015-05-07,19.65,19.7,5120106400.0
002731.SZ,萃华珠宝,2015-05-08,19.98,20.34,5287361200.0
002731.SZ,萃华珠宝,2015-05-11,20.55,21.43,5569132800.0
002731.SZ,萃华珠宝,2015-05-12,21.5,21.87,5685156400.0
002731.SZ,萃华珠宝,2015-05-13,21.66,22.3,5795152800.0
002731.SZ,萃华珠宝,2015-05-14,22.45,23.18,6024186400.0
002731.SZ,萃华珠宝,2015-05-15,22.84,22.6,5873506400.0
002731.SZ,萃华珠宝,2015-05-18,22.53,24.43,6351162000.0
002731.SZ,萃华珠宝,2015-05-19,24.67,24.04,6248699600.0
002731.SZ,萃华珠宝,2015-05-20,24.12,24.1,6265274400.0
002731.SZ,萃华珠宝,2015-05-21,24.21,24.48,6363216400.0
002731.SZ,萃华珠宝,2015-05-22,24.65,25.1,6524444000.0
002731.SZ,萃华珠宝,2015-05-25,25.16,26.94,7003606400.0
002731.SZ,萃华珠宝,2015-05-26,26.94,28.58,7428524000.0
002731.SZ,萃华珠宝,2015-05-27,28.7,31.44,8171376400.0
002731.SZ,萃华珠宝,2015-05-28,32.3,30.02,7803717200.0
002731.SZ,萃华珠宝,2015-05-29,28.23,28.59,7431537600.0
002731.SZ,萃华珠宝,2015-06-01,28.73,29.03,7544547600.0
002731.SZ,萃华珠宝,2015-06-02,28.96,29.38,7636462400.0
002731.SZ,萃华珠宝,2015-06-03,29.25,30.8,8005628400.0
002731.SZ,萃华珠宝,2015-06-04,30.61,28.01,7279350800.0
002731.SZ,萃华珠宝,2015-06-05,28.41,28.1,7304966400.0
002731.SZ,萃华珠宝,2015-06-08,27.83,26.73,6947854800.0
002731.SZ,萃华珠宝,2015-06-09,26.74,27.24,7080453200.0
002731.SZ,萃华珠宝,2015-06-10,26.74,27.9,7252228400.0
002731.SZ,萃华珠宝,2015-06-11,27.83,28.53,7414962800.0
002731.SZ,萃华珠宝,2015-06-12,28.59,28.21,7332088800.0
002731.SZ,萃华珠宝,2015-06-15,28.17,26.45,6874021600.0
002731.SZ,萃华珠宝,2015-06-16,26.19,25.27,6568141200.0
002731.SZ,萃华珠宝,2015-06-17,25.54,26.61,6916212000.0
002731.SZ,萃华珠宝,2015-06-18,26.6,25.04,6509376000.0
002731.SZ,萃华珠宝,2015-06-19,24.82,22.61,5876520000.0
002731.SZ,萃华珠宝,2015-06-23,22.67,23.34,6067883600.0
002731.SZ,萃华珠宝,2015-06-24,23.57,23.89,6200482000.0
