代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
601519.SH,大智慧,2011-01-28,8.56,8.72,17639100000.0
601519.SH,大智慧,2011-01-31,8.42,8.23,16645250000.0
601519.SH,大智慧,2011-02-01,8.21,8.27,16735600000.0
601519.SH,大智慧,2011-02-09,7.9,7.83,15832100000.0
601519.SH,大智慧,2011-02-10,7.81,8.12,16429800000.0
601519.SH,大智慧,2011-02-11,8.17,8.04,16256050000.0
601519.SH,大智慧,2011-02-14,8.04,8.84,17882350000.0
601519.SH,大智慧,2011-02-15,8.93,8.94,18076950000.0
601519.SH,大智慧,2011-02-16,8.83,8.96,18118650000.0
601519.SH,大智慧,2011-02-17,8.99,9.28,18765000000.0
601519.SH,大智慧,2011-02-18,9.28,8.85,17910150000.0
601519.SH,大智慧,2011-02-21,8.76,8.99,18181200000.0
601519.SH,大智慧,2011-02-22,8.89,8.64,17479250000.0
601519.SH,大智慧,2011-02-23,8.62,8.74,17687750000.0
601519.SH,大智慧,2011-02-24,8.76,8.88,17972700000.0
601519.SH,大智慧,2011-02-25,8.95,8.89,17986600000.0
601519.SH,大智慧,2011-02-28,8.83,8.71,17625200000.0
601519.SH,大智慧,2011-03-01,8.75,8.63,17458400000.0
601519.SH,大智慧,2011-03-02,8.59,8.72,17646050000.0
601519.SH,大智慧,2011-03-03,8.69,8.43,17048350000.0
601519.SH,大智慧,2011-03-04,8.44,8.44,17069200000.0
601519.SH,大智慧,2011-03-07,8.4,8.53,17256850000.0
601519.SH,大智慧,2011-03-08,8.54,8.41,17006650000.0
601519.SH,大智慧,2011-03-09,8.41,8.62,17430600000.0
601519.SH,大智慧,2011-03-10,8.62,8.57,17333300000.0
601519.SH,大智慧,2011-03-11,8.52,8.46,17124800000.0
601519.SH,大智慧,2011-03-14,8.45,8.35,16888500000.0
601519.SH,大智慧,2011-03-15,8.38,8.07,16332500000.0
601519.SH,大智慧,2011-03-16,8.09,8.17,16527100000.0
601519.SH,大智慧,2011-03-17,8.09,8.16,16506250000.0
601519.SH,大智慧,2011-03-18,8.09,8.13,16443700000.0
601519.SH,大智慧,2011-03-21,8.03,7.98,16137900000.0
601519.SH,大智慧,2011-03-22,8.0,7.97,16124000000.0
601519.SH,大智慧,2011-03-23,7.97,8.04,16269950000.0
601519.SH,大智慧,2011-03-24,8.07,7.93,16047550000.0
601519.SH,大智慧,2011-03-25,7.93,7.97,16117050000.0
601519.SH,大智慧,2011-03-28,7.97,7.96,16096200000.0
601519.SH,大智慧,2011-03-29,7.96,7.74,15665300000.0
601519.SH,大智慧,2011-03-30,7.68,7.56,15296950000.0
601519.SH,大智慧,2011-03-31,7.56,7.62,15415100000.0
601519.SH,大智慧,2011-04-01,7.66,7.64,15463750000.0
601519.SH,大智慧,2011-04-06,7.63,7.82,15811250000.0
601519.SH,大智慧,2011-04-07,7.76,7.73,15630550000.0
601519.SH,大智慧,2011-04-08,7.73,7.77,15720900000.0
601519.SH,大智慧,2011-04-11,7.77,7.63,15429000000.0
601519.SH,大智慧,2011-04-12,7.63,7.66,15498500000.0
