代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
000998.SZ,隆平高科,2010-01-04,5.97,6.00,5286204000
000998.SZ,隆平高科,2010-01-05,6.03,6.08,5363820000
000998.SZ,隆平高科,2010-01-06,6.06,5.94,5233536000
000998.SZ,隆平高科,2010-01-07,5.94,5.74,5056128000
000998.SZ,隆平高科,2010-01-08,5.68,5.78,5097708000
000998.SZ,隆平高科,2010-01-11,5.78,5.68,5006232000
000998.SZ,隆平高科,2010-01-12,5.68,5.91,5205816000
000998.SZ,隆平高科,2010-01-13,5.82,5.87,5175324000
000998.SZ,隆平高科,2010-01-14,5.87,5.99,5283432000
000998.SZ,隆平高科,2010-01-15,5.97,5.97,5266800000
000998.SZ,隆平高科,2010-01-18,6.03,6.12,5391540000
000998.SZ,隆平高科,2010-01-19,6.13,6.09,5372136000
000998.SZ,隆平高科,2010-01-20,6.09,5.79,5103252000
000998.SZ,隆平高科,2010-01-21,5.74,5.93,5230764000
000998.SZ,隆平高科,2010-01-22,5.85,6.19,5455296000
000998.SZ,隆平高科,2010-01-25,6.21,6.13,5399856000
000998.SZ,隆平高科,2010-01-26,6.10,5.79,5100480000
000998.SZ,隆平高科,2010-01-27,5.83,6.36,5610528000
000998.SZ,隆平高科,2010-01-28,6.45,6.59,5807340000
000998.SZ,隆平高科,2010-01-29,6.45,6.91,6095628000
000998.SZ,隆平高科,2010-02-01,6.98,6.79,5984748000
000998.SZ,隆平高科,2010-02-02,6.75,6.96,6137208000
000998.SZ,隆平高科,2010-02-03,6.88,6.86,6051276000
000998.SZ,隆平高科,2010-02-04,6.77,7.00,6167700000
000998.SZ,隆平高科,2010-02-05,6.73,6.63,5843376000
000998.SZ,隆平高科,2010-02-08,6.60,6.54,5762988000
000998.SZ,隆平高科,2010-02-09,6.54,6.54,5762988000
000998.SZ,隆平高科,2010-02-10,6.60,6.57,5790708000
000998.SZ,隆平高科,2010-02-11,6.59,6.40,5641020000
000998.SZ,隆平高科,2010-02-12,6.40,6.49,5724180000
000998.SZ,隆平高科,2010-02-22,6.55,6.82,6015240000
000998.SZ,隆平高科,2010-02-23,6.84,6.95,6128892000
000998.SZ,隆平高科,2010-02-24,6.92,6.98,6153840000
000998.SZ,隆平高科,2010-02-25,6.97,7.03,6200964000
000998.SZ,隆平高科,2010-02-26,7.00,7.06,6225912000
000998.SZ,隆平高科,2010-03-01,7.07,7.26,6400548000
000998.SZ,隆平高科,2010-03-02,7.26,7.22,6361740000
000998.SZ,隆平高科,2010-03-03,7.17,7.74,6819120000
000998.SZ,隆平高科,2010-03-04,7.67,7.11,6264720000
000998.SZ,隆平高科,2010-03-05,7.12,6.91,6092856000
000998.SZ,隆平高科,2010-03-08,6.98,7.02,6189876000
000998.SZ,隆平高科,2010-03-09,6.96,6.83,6023556000
