代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
000301.SZ,东方盛虹,2010-01-04,6.10,6.12,8588566937
000301.SZ,东方盛虹,2010-01-05,6.13,6.04,8478925657
000301.SZ,东方盛虹,2010-01-06,6.04,5.97,8381466742
000301.SZ,东方盛虹,2010-01-07,5.98,5.81,8150001817
000301.SZ,东方盛虹,2010-01-08,5.81,5.81,8150001817
000301.SZ,东方盛虹,2010-01-11,5.86,5.83,8174366546
000301.SZ,东方盛虹,2010-01-12,5.83,6.00,8418013835
000301.SZ,东方盛虹,2010-01-13,5.89,5.97,8381466742
000301.SZ,东方盛虹,2010-01-14,5.96,6.11,8576384573
000301.SZ,东方盛虹,2010-01-15,6.11,6.08,8527655115
000301.SZ,东方盛虹,2010-01-18,6.10,6.18,8673843488
000301.SZ,东方盛虹,2010-01-19,6.22,6.15,8625114031
000301.SZ,东方盛虹,2010-01-20,6.15,5.84,8186548910
000301.SZ,东方盛虹,2010-01-21,5.84,5.85,8210913639
000301.SZ,东方盛虹,2010-01-22,5.85,5.80,8137819453
000301.SZ,东方盛虹,2010-01-25,5.76,5.64,7918536892
000301.SZ,东方盛虹,2010-01-26,5.69,5.42,7601795417
000301.SZ,东方盛虹,2010-01-27,5.43,5.38,7553065959
000301.SZ,东方盛虹,2010-01-28,5.38,5.39,7565248323
000301.SZ,东方盛虹,2010-01-29,5.38,5.39,7565248323
000301.SZ,东方盛虹,2010-02-01,5.39,5.29,7419059950
000301.SZ,东方盛虹,2010-02-02,5.30,5.24,7345965763
000301.SZ,东方盛虹,2010-02-03,5.24,5.31,7455607043
000301.SZ,东方盛虹,2010-02-04,5.30,5.34,7492154137
000301.SZ,东方盛虹,2010-02-05,5.25,5.26,7382512857
000301.SZ,东方盛虹,2010-02-08,5.28,5.38,7540883595
000301.SZ,东方盛虹,2010-02-09,5.37,5.35,7504336501
000301.SZ,东方盛虹,2010-02-10,5.36,5.43,7613977781
000301.SZ,东方盛虹,2010-02-11,5.42,5.41,7589613052
000301.SZ,东方盛虹,2010-02-12,5.44,5.45,7650524875
000301.SZ,东方盛虹,2010-02-22,5.45,5.39,7565248323
000301.SZ,东方盛虹,2010-02-23,5.38,5.46,7662707239
000301.SZ,东方盛虹,2010-02-24,5.43,5.53,7760166155
000301.SZ,东方盛虹,2010-02-25,5.52,5.63,7894172164
000301.SZ,东方盛虹,2010-02-26,5.61,5.60,7857625070
000301.SZ,东方盛虹,2010-03-01,5.59,5.63,7894172164
000301.SZ,东方盛虹,2010-03-02,5.64,5.70,8003813444
000301.SZ,东方盛虹,2010-03-03,5.74,5.72,8028178173
