代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
000663.SZ,*ST永林,2010-01-04,9.36,9.40,1905946632
000663.SZ,*ST永林,2010-01-05,9.40,9.40,1905946632
000663.SZ,*ST永林,2010-01-06,9.33,9.35,1895808618
000663.SZ,*ST永林,2010-01-07,9.30,8.81,1786318067
000663.SZ,*ST永林,2010-01-08,8.83,8.74,1772124847
000663.SZ,*ST永林,2010-01-11,8.80,8.87,1798483684
000663.SZ,*ST永林,2010-01-12,8.81,9.05,1834980534
000663.SZ,*ST永林,2010-01-13,8.83,9.02,1828897726
000663.SZ,*ST永林,2010-01-14,9.02,9.29,1883643001
000663.SZ,*ST永林,2010-01-15,9.29,9.54,1934333071
000663.SZ,*ST永林,2010-01-18,9.49,9.61,1948526291
000663.SZ,*ST永林,2010-01-19,9.59,9.52,1930277866
000663.SZ,*ST永林,2010-01-20,9.52,9.39,1903919029
000663.SZ,*ST永林,2010-01-21,9.38,9.56,1938388277
000663.SZ,*ST永林,2010-01-22,9.35,8.97,1818759712
000663.SZ,*ST永林,2010-01-25,8.86,8.96,1816732109
000663.SZ,*ST永林,2010-01-26,8.88,8.43,1709269160
000663.SZ,*ST永林,2010-01-27,8.48,8.17,1656551488
000663.SZ,*ST永林,2010-01-28,8.18,8.23,1668717104
000663.SZ,*ST永林,2010-01-29,8.29,8.35,1693048338
000663.SZ,*ST永林,2010-02-01,8.47,8.43,1709269160
000663.SZ,*ST永林,2010-02-02,8.42,8.41,1705213955
000663.SZ,*ST永林,2010-02-03,8.40,8.63,1749821216
000663.SZ,*ST永林,2010-02-04,8.53,8.86,1796456081
000663.SZ,*ST永林,2010-02-05,8.65,9.07,1839035740
000663.SZ,*ST永林,2010-02-08,8.90,8.91,1806594095
000663.SZ,*ST永林,2010-02-09,8.81,8.70,1764014436
000663.SZ,*ST永林,2010-02-10,8.70,9.05,1834980534
000663.SZ,*ST永林,2010-02-11,8.90,9.04,1832952931
000663.SZ,*ST永林,2010-02-12,9.00,9.07,1839035740
000663.SZ,*ST永林,2010-02-22,9.15,9.43,1912029440
000663.SZ,*ST永林,2010-02-23,9.43,9.68,1962719510
000663.SZ,*ST永林,2010-02-24,9.61,9.58,1942443482
000663.SZ,*ST永林,2010-02-25,9.55,9.64,1954609099
000663.SZ,*ST永林,2010-02-26,9.60,9.93,2013409580
000663.SZ,*ST永林,2010-03-01,9.90,9.82,1991105950
000663.SZ,*ST永林,2010-03-02,9.78,10.05,2037740814
000663.SZ,*ST永林,2010-03-03,10.21,10.12,2051934034
000663.SZ,*ST永林,2010-03-04,10.03,9.53,1932305468
000663.SZ,*ST永林,2010-03-05,9.55,9.40,1905946632
000663.SZ,*ST永林,2010-03-08,9.42,9.64,1954609099
000663.SZ,*ST永林,2010-03-09,9.64,9.54,1934333071
000663.SZ,*ST永林,2010-03-10,9.55,9.71,1968802319
000663.SZ,*ST永林,2010-03-11,9.70,9.47,1920139852
000663.SZ,*ST永林,2010-03-12,9.50,9.08,1841063342
000663.SZ,*ST永林,2010-03-15,9.09,8.84,1792400875
000663.SZ,*ST永林,2010-03-16,8.84,8.98,1820787314
000663.SZ,*ST永林,2010-03-17,9.05,9.21,1867422179
