代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
002963.SZ,豪尔赛,2019-10-28,28.22,33.87,5122762815.0
002963.SZ,豪尔赛,2019-10-29,37.26,37.26,5635490176.0
002963.SZ,豪尔赛,2019-10-30,40.98,40.98,6199339914.0
002963.SZ,豪尔赛,2019-10-31,45.08,36.94,5587374999.0
002963.SZ,豪尔赛,2019-11-01,35.43,35.46,5363338703.0
002963.SZ,豪尔赛,2019-11-04,35.46,36.58,5533245424.0
002963.SZ,豪尔赛,2019-11-05,36.12,35.23,5328755919.0
002963.SZ,豪尔赛,2019-11-06,35.11,35.59,5382885494.0
002963.SZ,豪尔赛,2019-11-07,35.1,35.52,5372360299.0
002963.SZ,豪尔赛,2019-11-08,35.52,36.94,5587374999.0
002963.SZ,豪尔赛,2019-11-11,36.68,37.4,5658044166.0
002963.SZ,豪尔赛,2019-11-12,36.93,37.28,5638497375.0
002963.SZ,豪尔赛,2019-11-13,36.87,38.67,5849001277.0
002963.SZ,豪尔赛,2019-11-14,38.05,37.24,5632482978.0
002963.SZ,豪尔赛,2019-11-15,36.61,34.51,5220496770.0
002963.SZ,豪尔赛,2019-11-18,34.62,34.71,5250568756.0
002963.SZ,豪尔赛,2019-11-19,34.88,36.02,5449043863.0
002963.SZ,豪尔赛,2019-11-20,35.84,36.2,5476108651.0
002963.SZ,豪尔赛,2019-11-21,35.71,37.01,5597900194.0
002963.SZ,豪尔赛,2019-11-22,36.93,35.65,5391907090.0
002963.SZ,豪尔赛,2019-11-25,35.69,34.73,5253575954.0
002963.SZ,豪尔赛,2019-11-26,34.69,33.99,5140806007.0
002963.SZ,豪尔赛,2019-11-27,33.96,34.54,5225007568.0
002963.SZ,豪尔赛,2019-11-28,34.3,33.62,5085172833.0
002963.SZ,豪尔赛,2019-11-29,33.45,33.72,5100208826.0
002963.SZ,豪尔赛,2019-12-02,33.52,33.18,5019014463.0
002963.SZ,豪尔赛,2019-12-03,32.5,32.31,4886697725.0
002963.SZ,豪尔赛,2019-12-04,31.91,32.01,4841589746.0
002963.SZ,豪尔赛,2019-12-05,32.14,32.34,4891208523.0
002963.SZ,豪尔赛,2019-12-06,32.58,32.01,4841589746.0
002963.SZ,豪尔赛,2019-12-09,32.25,32.33,4889704924.0
002963.SZ,豪尔赛,2019-12-10,32.14,32.94,4982928080.0
002963.SZ,豪尔赛,2019-12-11,32.7,32.7,4946841697.0
002963.SZ,豪尔赛,2019-12-12,32.6,31.72,4797985366.0
002963.SZ,豪尔赛,2019-12-13,31.84,31.93,4829560952.0
002963.SZ,豪尔赛,2019-12-16,32.14,32.5,4916769711.0
002963.SZ,豪尔赛,2019-12-17,32.58,32.74,4952856094.0
002963.SZ,豪尔赛,2019-12-18,32.75,33.29,5035554056.0
002963.SZ,豪尔赛,2019-12-19,33.29,33.03,4996460474.0
002963.SZ,豪尔赛,2019-12-20,33.03,33.29,5035554056.0
002963.SZ,豪尔赛,2019-12-23,33.28,33.84,5118252017.0
002963.SZ,豪尔赛,2019-12-24,33.78,33.8,5112237620.0
002963.SZ,豪尔赛,2019-12-25,33.79,33.05,4999467672.0
002963.SZ,豪尔赛,2019-12-26,33.0,33.26,5031043258.0
002963.SZ,豪尔赛,2019-12-27,33.11,33.03,4996460474.0
002963.SZ,豪尔赛,2019-12-30,32.75,33.3,5037057655.0
002963.SZ,豪尔赛,2019-12-31,33.4,34.07,5154338400.0
002963.SZ,豪尔赛,2020-01-02,34.36,34.07,5154338400.0
002963.SZ,豪尔赛,2020-01-03,34.17,33.88,5124266414.0
002963.SZ,豪尔赛,2020-01-06,33.54,33.46,5061115244.0
002963.SZ,豪尔赛,2020-01-07,33.46,33.69,5095698028.0
002963.SZ,豪尔赛,2020-01-08,33.46,32.87,4972402885.0
002963.SZ,豪尔赛,2020-01-09,33.11,33.18,5019014463.0
002963.SZ,豪尔赛,2020-01-10,33.26,34.28,5185913986.0
002963.SZ,豪尔赛,2020-01-13,34.52,34.24,5179899588.0
002963.SZ,豪尔赛,2020-01-14,34.31,34.84,5270115546.0
002963.SZ,豪尔赛,2020-01-15,34.69,34.39,5202453578.0
002963.SZ,豪尔赛,2020-01-16,34.41,33.9,5127273613.0
002963.SZ,豪尔赛,2020-01-17,33.83,34.06,5152834801.0
002963.SZ,豪尔赛,2020-01-20,34.09,34.25,5181403188.0
002963.SZ,豪尔赛,2020-01-21,34.25,33.28,5034050456.0
002963.SZ,豪尔赛,2020-01-22,33.08,32.9,4976913683.0
002963.SZ,豪尔赛,2020-01-23,32.7,31.36,4743855792.0
002963.SZ,豪尔赛,2020-02-03,28.23,28.23,4270222012.0
002963.SZ,豪尔赛,2020-02-04,25.41,26.84,4059718110.0
002963.SZ,豪尔赛,2020-02-05,26.84,27.1,4098811692.0
002963.SZ,豪尔赛,2020-02-06,27.24,27.47,4155948465.0
002963.SZ,豪尔赛,2020-02-07,27.49,28.14,4256689618.0
002963.SZ,豪尔赛,2020-02-10,27.83,28.86,4364948768.0
