代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
300413.SZ,芒果超媒,2015-01-21,6.9,7.6,5233050000.0
300413.SZ,芒果超媒,2015-01-22,8.36,8.36,5758360000.0
300413.SZ,芒果超媒,2015-01-23,9.2,9.2,6335800000.0
300413.SZ,芒果超媒,2015-01-26,10.12,10.12,6969380000.0
300413.SZ,芒果超媒,2015-01-27,11.13,11.13,7667120000.0
300413.SZ,芒果超媒,2015-01-28,12.24,12.24,8433030000.0
300413.SZ,芒果超媒,2015-01-29,13.47,13.47,9275130000.0
300413.SZ,芒果超媒,2015-01-30,14.81,14.81,10201440000.0
300413.SZ,芒果超媒,2015-02-02,16.29,16.29,11219980000.0
300413.SZ,芒果超媒,2015-02-03,17.92,17.92,12342780000.0
300413.SZ,芒果超媒,2015-02-04,19.71,19.71,13577860000.0
300413.SZ,芒果超媒,2015-02-05,21.69,21.69,14937250000.0
300413.SZ,芒果超媒,2015-02-06,23.86,20.4,14055050000.0
300413.SZ,芒果超媒,2015-02-09,19.02,18.4,12671600000.0
300413.SZ,芒果超媒,2015-02-10,18.34,18.77,12928240000.0
300413.SZ,芒果超媒,2015-02-11,19.01,20.03,13794400000.0
300413.SZ,芒果超媒,2015-02-12,19.83,19.79,13634000000.0
300413.SZ,芒果超媒,2015-02-13,19.5,20.53,14143270000.0
300413.SZ,芒果超媒,2015-02-16,20.78,22.59,15558800000.0
300413.SZ,芒果超媒,2015-02-17,23.15,21.71,14957300000.0
300413.SZ,芒果超媒,2015-02-25,21.04,19.54,13461570000.0
300413.SZ,芒果超媒,2015-02-26,19.1,19.39,13353300000.0
300413.SZ,芒果超媒,2015-02-27,19.28,19.53,13453550000.0
300413.SZ,芒果超媒,2015-03-02,19.33,19.83,13658060000.0
300413.SZ,芒果超媒,2015-03-03,19.46,19.15,13192900000.0
300413.SZ,芒果超媒,2015-03-04,19.16,19.82,13654050000.0
300413.SZ,芒果超媒,2015-03-05,19.79,19.69,13561820000.0
300413.SZ,芒果超媒,2015-03-06,19.53,18.6,12811950000.0
300413.SZ,芒果超媒,2015-03-09,18.28,18.69,12872100000.0
300413.SZ,芒果超媒,2015-03-10,18.63,19.21,13233000000.0
300413.SZ,芒果超媒,2015-03-11,19.14,20.03,13794400000.0
300413.SZ,芒果超媒,2015-03-12,20.01,19.47,13413450000.0
300413.SZ,芒果超媒,2015-03-13,19.29,20.94,14423970000.0
300413.SZ,芒果超媒,2015-03-16,21.24,21.46,14780860000.0
300413.SZ,芒果超媒,2015-03-17,21.25,21.48,14792890000.0
300413.SZ,芒果超媒,2015-03-18,21.31,22.02,15169830000.0
300413.SZ,芒果超媒,2015-03-19,21.84,21.62,14893140000.0
300413.SZ,芒果超媒,2015-03-20,21.49,21.48,14796900000.0
300413.SZ,芒果超媒,2015-03-23,21.42,22.24,15318200000.0
300413.SZ,芒果超媒,2015-03-24,22.24,24.46,16850020000.0
300413.SZ,芒果超媒,2015-03-25,24.45,24.6,16942250000.0
300413.SZ,芒果超媒,2015-03-26,23.52,22.14,15250030000.0
300413.SZ,芒果超媒,2015-03-27,22.12,22.18,15278100000.0
300413.SZ,芒果超媒,2015-03-30,22.0,21.71,14957300000.0
300413.SZ,芒果超媒,2015-03-31,21.49,21.57,14861060000.0
300413.SZ,芒果超媒,2015-04-01,21.57,22.01,15157800000.0
300413.SZ,芒果超媒,2015-04-02,22.48,22.59,15562810000.0
300413.SZ,芒果超媒,2015-04-03,22.24,23.1,15911680000.0
300413.SZ,芒果超媒,2015-04-07,23.44,23.74,16352780000.0
300413.SZ,芒果超媒,2015-04-08,23.58,23.4,16120200000.0
300413.SZ,芒果超媒,2015-04-09,23.25,23.78,16380850000.0
300413.SZ,芒果超媒,2015-04-10,23.35,23.87,16441000000.0
300413.SZ,芒果超媒,2015-04-13,23.87,26.26,18085100000.0
300413.SZ,芒果超媒,2015-04-14,26.6,25.31,17435480000.0
300413.SZ,芒果超媒,2015-04-15,24.51,23.29,16040000000.0
300413.SZ,芒果超媒,2015-04-16,22.77,23.17,15959800000.0
300413.SZ,芒果超媒,2015-04-17,23.33,22.75,15671080000.0
