代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
002292.SZ,奥飞娱乐,2010-01-04,5.43,5.50,6964800000
002292.SZ,奥飞娱乐,2010-01-05,5.51,5.80,7344000000
002292.SZ,奥飞娱乐,2010-01-06,5.73,5.66,7171200000
002292.SZ,奥飞娱乐,2010-01-07,5.63,5.49,6944000000
002292.SZ,奥飞娱乐,2010-01-08,5.44,5.56,7036800000
002292.SZ,奥飞娱乐,2010-01-11,5.52,5.61,7102400000
002292.SZ,奥飞娱乐,2010-01-12,5.59,5.68,7188800000
002292.SZ,奥飞娱乐,2010-01-13,5.52,6.25,7907200000
002292.SZ,奥飞娱乐,2010-01-14,6.45,6.53,8264000000
002292.SZ,奥飞娱乐,2010-01-15,6.50,6.51,8240000000
002292.SZ,奥飞娱乐,2010-01-18,6.45,6.58,8336000000
002292.SZ,奥飞娱乐,2010-01-19,6.60,6.34,8027200000
002292.SZ,奥飞娱乐,2010-01-20,6.34,5.82,7363200000
002292.SZ,奥飞娱乐,2010-01-21,5.83,5.82,7366400000
002292.SZ,奥飞娱乐,2010-01-22,5.69,5.58,7059200000
002292.SZ,奥飞娱乐,2010-01-25,5.55,5.60,7088000000
002292.SZ,奥飞娱乐,2010-01-26,5.62,5.43,6880000000
002292.SZ,奥飞娱乐,2010-01-27,5.43,5.43,6870400000
002292.SZ,奥飞娱乐,2010-01-28,5.40,5.48,6937600000
002292.SZ,奥飞娱乐,2010-01-29,5.43,5.50,6960000000
002292.SZ,奥飞娱乐,2010-02-01,5.51,5.25,6651200000
002292.SZ,奥飞娱乐,2010-02-02,5.31,5.15,6520000000
002292.SZ,奥飞娱乐,2010-02-03,5.18,5.26,6657600000
002292.SZ,奥飞娱乐,2010-02-04,5.23,5.27,6668800000
002292.SZ,奥飞娱乐,2010-02-05,5.19,5.31,6728000000
002292.SZ,奥飞娱乐,2010-02-08,5.35,5.28,6681600000
002292.SZ,奥飞娱乐,2010-02-09,5.28,5.15,6521600000
002292.SZ,奥飞娱乐,2010-02-10,5.18,5.31,6720000000
002292.SZ,奥飞娱乐,2010-02-11,5.31,5.36,6784000000
002292.SZ,奥飞娱乐,2010-02-12,5.36,5.39,6820800000
002292.SZ,奥飞娱乐,2010-02-22,5.33,5.29,6700800000
002292.SZ,奥飞娱乐,2010-02-23,5.29,5.26,6659200000
002292.SZ,奥飞娱乐,2010-02-24,5.25,5.47,6929600000
002292.SZ,奥飞娱乐,2010-02-25,5.51,5.54,7008000000
002292.SZ,奥飞娱乐,2010-02-26,5.56,5.56,7033600000
002292.SZ,奥飞娱乐,2010-03-01,5.58,5.60,7088000000
002292.SZ,奥飞娱乐,2010-03-02,5.66,5.60,7088000000
002292.SZ,奥飞娱乐,2010-03-03,5.60,5.58,7070400000
002292.SZ,奥飞娱乐,2010-03-04,5.59,5.45,6904000000
002292.SZ,奥飞娱乐,2010-03-05,5.46,5.47,6928000000
002292.SZ,奥飞娱乐,2010-03-08,5.47,5.60,7089600000
002292.SZ,奥飞娱乐,2010-03-09,5.60,5.54,7016000000
002292.SZ,奥飞娱乐,2010-03-10,5.54,5.79,7334400000
002292.SZ,奥飞娱乐,2010-03-11,5.88,5.98,7569600000
002292.SZ,奥飞娱乐,2010-03-12,5.90,5.83,7384000000
002292.SZ,奥飞娱乐,2010-03-15,5.81,5.74,7272000000
002292.SZ,奥飞娱乐,2010-03-16,5.74,5.83,7374400000
002292.SZ,奥飞娱乐,2010-03-17,5.90,5.87,7428800000
002292.SZ,奥飞娱乐,2010-03-18,5.89,5.94,7520000000
002292.SZ,奥飞娱乐,2010-03-19,5.92,6.03,7640000000
002292.SZ,奥飞娱乐,2010-03-22,6.04,6.00,7595200000
002292.SZ,奥飞娱乐,2010-03-23,6.00,5.88,7443200000
002292.SZ,奥飞娱乐,2010-03-24,5.91,6.05,7664000000
002292.SZ,奥飞娱乐,2010-03-25,6.06,6.06,7668800000
002292.SZ,奥飞娱乐,2010-03-26,6.03,6.03,7635200000
