代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
000426.SZ,兴业矿业,2010-01-04,6.24,6.24,5843384551
000426.SZ,兴业矿业,2010-01-05,6.24,6.24,5843384551
000426.SZ,兴业矿业,2010-01-06,6.24,6.24,5843384551
000426.SZ,兴业矿业,2010-01-07,6.24,6.24,5843384551
000426.SZ,兴业矿业,2010-01-08,6.24,6.24,5843384551
000426.SZ,兴业矿业,2010-01-11,6.24,6.24,5843384551
000426.SZ,兴业矿业,2010-01-12,6.24,6.24,5843384551
000426.SZ,兴业矿业,2010-01-13,6.24,6.24,5843384551
000426.SZ,兴业矿业,2010-01-14,6.24,6.24,5843384551
000426.SZ,兴业矿业,2010-01-15,6.24,6.24,5843384551
000426.SZ,兴业矿业,2010-01-18,6.24,6.24,5843384551
000426.SZ,兴业矿业,2010-01-19,6.24,6.24,5843384551
000426.SZ,兴业矿业,2010-01-20,6.24,6.24,5843384551
000426.SZ,兴业矿业,2010-01-21,6.24,6.24,5843384551
000426.SZ,兴业矿业,2010-01-22,6.24,6.24,5843384551
000426.SZ,兴业矿业,2010-01-25,6.24,6.24,5843384551
000426.SZ,兴业矿业,2010-01-26,6.24,6.24,5843384551
000426.SZ,兴业矿业,2010-01-27,6.24,6.24,5843384551
000426.SZ,兴业矿业,2010-01-28,5.62,5.62,5260949479
000426.SZ,兴业矿业,2010-01-29,5.28,5.28,4944987969
000426.SZ,兴业矿业,2010-02-01,5.16,4.86,4549084390
000426.SZ,兴业矿业,2010-02-02,5.00,4.71,4408234078
000426.SZ,兴业矿业,2010-02-03,4.71,4.79,4488176147
000426.SZ,兴业矿业,2010-02-04,4.71,4.71,4412040844
000426.SZ,兴业矿业,2010-02-05,4.56,4.82,4518630269
000426.SZ,兴业矿业,2010-02-08,4.71,4.68,4385393487
000426.SZ,兴业矿业,2010-02-09,4.66,4.73,4427267904
000426.SZ,兴业矿业,2010-02-10,4.80,4.73,4427267904
000426.SZ,兴业矿业,2010-02-11,4.73,4.66,4366359661
000426.SZ,兴业矿业,2010-02-12,4.71,4.85,4545277625
000426.SZ,兴业矿业,2010-02-22,4.84,4.85,4541470860
000426.SZ,兴业矿业,2010-02-23,4.83,4.74,4434881435
000426.SZ,兴业矿业,2010-02-24,4.71,4.92,4606185868
000426.SZ,兴业矿业,2010-02-25,4.91,5.00,4686127937
000426.SZ,兴业矿业,2010-02-26,4.98,5.02,4705161762
000426.SZ,兴业矿业,2010-03-01,5.08,5.07,4750842945
000426.SZ,兴业矿业,2010-03-02,5.07,5.00,4682321171
000426.SZ,兴业矿业,2010-03-03,5.00,5.00,4682321171
