代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
000910.SZ,大亚圣象,2010-01-04,10.74,10.97,6182300000
000910.SZ,大亚圣象,2010-01-05,11.05,10.68,6018775000
000910.SZ,大亚圣象,2010-01-06,10.74,10.72,6039875000
000910.SZ,大亚圣象,2010-01-07,10.70,10.63,5987125000
000910.SZ,大亚圣象,2010-01-08,10.51,10.73,6045150000
000910.SZ,大亚圣象,2010-01-11,10.72,10.94,6161200000
000910.SZ,大亚圣象,2010-01-12,11.04,11.10,6250875000
000910.SZ,大亚圣象,2010-01-13,10.82,10.99,6192850000
000910.SZ,大亚圣象,2010-01-14,11.01,11.52,6488250000
000910.SZ,大亚圣象,2010-01-15,11.40,11.54,6498800000
000910.SZ,大亚圣象,2010-01-18,11.59,11.96,6736175000
000910.SZ,大亚圣象,2010-01-19,12.06,11.94,6725625000
000910.SZ,大亚圣象,2010-01-20,11.91,11.13,6271975000
000910.SZ,大亚圣象,2010-01-21,11.07,11.17,6293075000
000910.SZ,大亚圣象,2010-01-22,10.95,10.67,6008225000
000910.SZ,大亚圣象,2010-01-25,10.53,10.36,5834150000
000910.SZ,大亚圣象,2010-01-26,10.49,10.22,5755025000
000910.SZ,大亚圣象,2010-01-27,10.21,10.19,5739200000
000910.SZ,大亚圣象,2010-01-28,10.29,10.28,5791950000
000910.SZ,大亚圣象,2010-01-29,10.30,10.53,5934375000
000910.SZ,大亚圣象,2010-02-01,10.60,10.34,5823600000
000910.SZ,大亚圣象,2010-02-02,10.37,10.11,5697000000
000910.SZ,大亚圣象,2010-02-03,10.07,10.09,5686450000
000910.SZ,大亚圣象,2010-02-04,10.06,10.18,5733925000
000910.SZ,大亚圣象,2010-02-05,9.90,10.19,5739200000
000910.SZ,大亚圣象,2010-02-08,10.19,10.08,5675900000
000910.SZ,大亚圣象,2010-02-09,10.08,10.15,5718100000
000910.SZ,大亚圣象,2010-02-10,10.19,10.23,5765575000
000910.SZ,大亚圣象,2010-02-11,10.28,10.11,5697000000
000910.SZ,大亚圣象,2010-02-12,10.13,10.21,5749750000
000910.SZ,大亚圣象,2010-02-22,10.17,10.30,5802500000
000910.SZ,大亚圣象,2010-02-23,10.30,10.42,5871075000
000910.SZ,大亚圣象,2010-02-24,10.37,10.90,6140100000
000910.SZ,大亚圣象,2010-02-25,10.90,10.86,6119000000
000910.SZ,大亚圣象,2010-02-26,10.86,10.76,6060975000
000910.SZ,大亚圣象,2010-03-01,10.77,10.94,6161200000
000910.SZ,大亚圣象,2010-03-02,10.90,11.04,6219225000
000910.SZ,大亚圣象,2010-03-03,11.04,11.21,6314175000
000910.SZ,大亚圣象,2010-03-04,11.22,10.63,5987125000
000910.SZ,大亚圣象,2010-03-05,10.63,10.52,5923825000
000910.SZ,大亚圣象,2010-03-08,10.52,10.57,5955475000
000910.SZ,大亚圣象,2010-03-09,10.53,10.59,5966025000
000910.SZ,大亚圣象,2010-03-10,10.60,10.29,5797225000
