代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
600018.SH,上港集团,2010-01-04,4.21,4.19,121536732764.0
600018.SH,上港集团,2010-01-05,4.19,4.2,121746640766.0
600018.SH,上港集团,2010-01-06,4.19,4.15,120487192758.0
600018.SH,上港集团,2010-01-07,4.15,4.04,117128664737.0
600018.SH,上港集团,2010-01-08,4.04,4.05,117548480739.0
600018.SH,上港集团,2010-01-11,4.15,4.08,118388112744.0
600018.SH,上港集团,2010-01-12,4.08,4.29,124265536781.0
600018.SH,上港集团,2010-01-13,4.21,4.17,120907008760.0
600018.SH,上港集团,2010-01-14,4.18,4.3,124685352784.0
600018.SH,上港集团,2010-01-15,4.34,4.3,124685352784.0
600018.SH,上港集团,2010-01-18,4.33,4.34,125734892791.0
600018.SH,上港集团,2010-01-19,4.34,4.29,124265536781.0
600018.SH,上港集团,2010-01-20,4.34,4.35,126154708793.0
600018.SH,上港集团,2010-01-21,4.37,4.33,125524984789.0
600018.SH,上港集团,2010-01-22,4.28,4.21,122166456768.0
600018.SH,上港集团,2010-01-25,4.18,4.15,120487192758.0
600018.SH,上港集团,2010-01-26,4.15,4.02,116498940733.0
600018.SH,上港集团,2010-01-27,4.02,4.0,116079124730.0
600018.SH,上港集团,2010-01-28,4.01,4.02,116708848734.0
600018.SH,上港集团,2010-01-29,4.01,3.98,115449400726.0
600018.SH,上港集团,2010-02-01,3.98,3.88,112510688708.0
600018.SH,上港集团,2010-02-02,3.91,3.88,112510688708.0
600018.SH,上港集团,2010-02-03,3.89,3.99,115659308727.0
600018.SH,上港集团,2010-02-04,3.97,3.98,115449400726.0
600018.SH,上港集团,2010-02-05,3.91,3.92,113560228714.0
600018.SH,上港集团,2010-02-08,3.92,3.9,113140412711.0
600018.SH,上港集团,2010-02-09,3.91,3.95,114609768721.0
600018.SH,上港集团,2010-02-10,3.97,3.95,114609768721.0
600018.SH,上港集团,2010-02-11,3.97,3.94,114189952718.0
600018.SH,上港集团,2010-02-12,3.97,3.97,115029584723.0
600018.SH,上港集团,2010-02-22,3.97,3.98,115449400726.0
600018.SH,上港集团,2010-02-23,3.99,4.02,116498940733.0
600018.SH,上港集团,2010-02-24,4.01,4.05,117338572738.0
600018.SH,上港集团,2010-02-25,4.05,4.06,117758388741.0
600018.SH,上港集团,2010-02-26,4.05,4.02,116708848734.0
600018.SH,上港集团,2010-03-01,4.0,4.03,116918756735.0
600018.SH,上港集团,2010-03-02,4.03,4.02,116708848734.0
600018.SH,上港集团,2010-03-03,4.02,4.07,117968296742.0
600018.SH,上港集团,2010-03-04,4.08,4.09,118598020746.0
600018.SH,上港集团,2010-03-05,4.1,4.23,122586272771.0
600018.SH,上港集团,2010-03-08,4.22,4.19,121536732764.0
600018.SH,上港集团,2010-03-09,4.16,4.15,120277284756.0
600018.SH,上港集团,2010-03-10,4.15,4.08,118178204743.0
600018.SH,上港集团,2010-03-11,4.09,4.07,117968296742.0
600018.SH,上港集团,2010-03-12,4.07,3.99,115659308727.0
600018.SH,上港集团,2010-03-15,3.98,3.98,115449400726.0
600018.SH,上港集团,2010-03-16,3.98,4.0,116079124730.0
600018.SH,上港集团,2010-03-17,4.02,4.08,118178204743.0
600018.SH,上港集团,2010-03-18,4.08,4.07,117968296742.0
600018.SH,上港集团,2010-03-19,4.07,4.08,118388112744.0
600018.SH,上港集团,2010-03-22,4.1,4.08,118388112744.0
600018.SH,上港集团,2010-03-23,4.09,4.02,116708848734.0
600018.SH,上港集团,2010-03-24,4.03,4.01,116289032731.0
600018.SH,上港集团,2010-03-25,4.0,3.96,114819676722.0
600018.SH,上港集团,2010-03-26,3.98,4.03,116918756735.0
600018.SH,上港集团,2010-03-29,4.04,4.08,118388112744.0
600018.SH,上港集团,2010-03-30,4.08,4.08,118388112744.0
600018.SH,上港集团,2010-03-31,4.09,4.05,117338572738.0
600018.SH,上港集团,2010-04-01,4.05,4.06,117758388741.0
600018.SH,上港集团,2010-04-02,4.07,4.09,118598020746.0
600018.SH,上港集团,2010-04-06,4.11,4.09,118598020746.0
600018.SH,上港集团,2010-04-07,4.1,4.07,117968296742.0
600018.SH,上港集团,2010-04-08,4.06,4.02,116498940733.0
600018.SH,上港集团,2010-04-09,4.01,4.05,117338572738.0
600018.SH,上港集团,2010-04-12,4.05,4.0,116079124730.0
600018.SH,上港集团,2010-04-13,4.0,4.05,117338572738.0
600018.SH,上港集团,2010-04-14,4.05,4.02,116708848734.0
600018.SH,上港集团,2010-04-15,4.03,4.0,115869216729.0
600018.SH,上港集团,2010-04-16,4.0,4.0,115869216729.0
600018.SH,上港集团,2010-04-19,3.99,3.81,110621516696.0
600018.SH,上港集团,2010-04-20,3.81,3.78,109571976689.0
600018.SH,上港集团,2010-04-21,3.79,3.83,111041332698.0
600018.SH,上港集团,2010-04-22,3.82,3.76,109152160686.0
600018.SH,上港集团,2010-04-23,3.76,3.74,108522436682.0
600018.SH,上港集团,2010-04-26,3.73,3.72,107892712678.0
600018.SH,上港集团,2010-04-27,3.73,3.65,105793632665.0
600018.SH,上港集团,2010-04-28,3.63,3.6,104324276656.0
600018.SH,上港集团,2010-04-29,3.61,3.6,104534184657.0
600018.SH,上港集团,2010-04-30,3.6,3.66,106003540667.0
600018.SH,上港集团,2010-05-04,3.63,3.63,105163908661.0
600018.SH,上港集团,2010-05-05,3.6,3.65,105793632665.0
600018.SH,上港集团,2010-05-06,3.64,3.51,101805380640.0
600018.SH,上港集团,2010-05-07,3.5,3.4,98656760620.0
600018.SH,上港集团,2010-05-10,3.4,3.4,98656760620.0
600018.SH,上港集团,2010-05-11,3.49,3.37,97607220614.0
600018.SH,上港集团,2010-05-12,3.33,3.36,97397312612.0
600018.SH,上港集团,2010-05-13,3.35,3.41,98866668622.0
600018.SH,上港集团,2010-05-14,3.39,3.39,98236944618.0
600018.SH,上港集团,2010-05-17,3.37,3.2,92779336583.0
600018.SH,上港集团,2010-05-18,3.19,3.21,93199152586.0
600018.SH,上港集团,2010-05-19,3.21,3.21,92989244585.0
600018.SH,上港集团,2010-05-20,3.19,3.18,92149612579.0
600018.SH,上港集团,2010-05-21,3.13,3.13,90890164572.0
600018.SH,上港集团,2010-05-24,3.16,3.26,94458600594.0
600018.SH,上港集团,2010-05-25,3.29,3.29,95298232599.0
600018.SH,上港集团,2010-05-26,3.25,3.25,94248692593.0
600018.SH,上港集团,2010-05-27,3.24,3.27,94878416597.0
600018.SH,上港集团,2010-05-28,3.29,3.26,94458600594.0
600018.SH,上港集团,2010-05-31,3.24,3.19,92359520581.0
600018.SH,上港集团,2010-06-01,3.16,3.19,92569428582.0
600018.SH,上港集团,2010-06-02,3.19,3.19,92359520581.0
600018.SH,上港集团,2010-06-03,3.2,3.14,91100072573.0
600018.SH,上港集团,2010-06-04,3.13,3.13,90890164572.0
600018.SH,上港集团,2010-06-07,3.09,3.05,88581176557.0
600018.SH,上港集团,2010-06-08,3.05,3.0,87111820548.0
600018.SH,上港集团,2010-06-09,3.01,3.05,88581176557.0
600018.SH,上港集团,2010-06-10,3.04,3.05,88371268556.0
600018.SH,上港集团,2010-06-11,3.05,3.06,88791084558.0
600018.SH,上港集团,2010-06-17,3.08,3.06,88791084558.0
600018.SH,上港集团,2010-06-18,3.05,2.98,86272188543.0
600018.SH,上港集团,2010-06-21,2.99,3.05,88581176557.0
600018.SH,上港集团,2010-06-22,3.04,3.07,89000992560.0
600018.SH,上港集团,2010-06-23,3.05,3.01,87321728549.0
600018.SH,上港集团,2010-06-24,3.03,3.02,87531636550.0
600018.SH,上港集团,2010-06-25,3.02,3.05,88581176557.0
600018.SH,上港集团,2010-06-28,3.08,3.03,87951452553.0
600018.SH,上港集团,2010-06-29,3.04,2.93,85012740535.0
600018.SH,上港集团,2010-06-30,2.92,2.76,79974948503.0
600018.SH,上港集团,2010-07-01,2.77,2.81,81444304512.0
600018.SH,上港集团,2010-07-02,2.81,2.82,79974948503.0
600018.SH,上港集团,2010-07-05,2.82,2.76,78085776491.0
600018.SH,上港集团,2010-07-06,2.76,2.82,79765040502.0
