代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
000798.SZ,中水渔业,2010-01-04,7.82,7.86,2603558250
000798.SZ,中水渔业,2010-01-05,7.87,8.02,2657865600
000798.SZ,中水渔业,2010-01-06,7.96,7.90,2619531000
000798.SZ,中水渔业,2010-01-07,7.90,7.65,2536472700
000798.SZ,中水渔业,2010-01-08,7.62,7.64,2533278150
000798.SZ,中水渔业,2010-01-11,7.67,7.66,2539667250
000798.SZ,中水渔业,2010-01-12,7.66,7.93,2629114650
000798.SZ,中水渔业,2010-01-13,7.73,7.76,2571612750
000798.SZ,中水渔业,2010-01-14,7.75,8.02,2657865600
000798.SZ,中水渔业,2010-01-15,8.02,8.10,2683422000
000798.SZ,中水渔业,2010-01-18,8.01,8.15,2699394750
000798.SZ,中水渔业,2010-01-19,8.16,8.10,2683422000
000798.SZ,中水渔业,2010-01-20,8.15,7.90,2616336450
000798.SZ,中水渔业,2010-01-21,7.82,8.09,2680227450
000798.SZ,中水渔业,2010-01-22,8.00,7.94,2632309200
000798.SZ,中水渔业,2010-01-25,7.92,8.19,2715367500
000798.SZ,中水渔业,2010-01-26,8.25,7.71,2555640000
000798.SZ,中水渔业,2010-01-27,7.62,7.55,2501332650
000798.SZ,中水渔业,2010-01-28,7.58,7.59,2514110850
000798.SZ,中水渔业,2010-01-29,7.52,7.71,2555640000
000798.SZ,中水渔业,2010-02-01,7.78,7.63,2526889050
000798.SZ,中水渔业,2010-02-02,7.61,7.38,2447025300
000798.SZ,中水渔业,2010-02-03,7.42,7.43,2462998050
000798.SZ,中水渔业,2010-02-04,7.43,7.64,2530083600
000798.SZ,中水渔业,2010-02-05,7.44,7.77,2574807300
000798.SZ,中水渔业,2010-02-08,7.76,7.83,2593974600
000798.SZ,中水渔业,2010-02-09,7.79,7.67,2542861800
000798.SZ,中水渔业,2010-02-10,7.66,7.71,2555640000
000798.SZ,中水渔业,2010-02-11,7.70,7.54,2498138100
000798.SZ,中水渔业,2010-02-12,7.55,7.59,2514110850
000798.SZ,中水渔业,2010-02-22,7.57,7.78,2578001850
000798.SZ,中水渔业,2010-02-23,7.79,8.02,2657865600
000798.SZ,中水渔业,2010-02-24,8.01,8.08,2677032900
000798.SZ,中水渔业,2010-02-25,8.05,8.15,2699394750
000798.SZ,中水渔业,2010-02-26,8.16,8.24,2731340250
000798.SZ,中水渔业,2010-03-01,8.29,8.39,2779258500
000798.SZ,中水渔业,2010-03-02,8.39,8.48,2811204000
000798.SZ,中水渔业,2010-03-03,8.48,8.56,2836760400
000798.SZ,中水渔业,2010-03-04,8.53,8.13,2693005650
000798.SZ,中水渔业,2010-03-05,8.11,8.04,2664254700
000798.SZ,中水渔业,2010-03-08,8.06,8.10,2683422000
000798.SZ,中水渔业,2010-03-09,8.05,8.12,2689811100
000798.SZ,中水渔业,2010-03-10,8.10,8.00,2651476500
