代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
000421.SZ,南京公用,2010-01-04,6.0,5.99,2307047696.0
000421.SZ,南京公用,2010-01-05,5.98,6.08,2342216106.0
000421.SZ,南京公用,2010-01-06,6.07,6.07,2338699265.0
000421.SZ,南京公用,2010-01-07,6.08,5.85,2254295081.0
000421.SZ,南京公用,2010-01-08,5.83,5.93,2282429809.0
000421.SZ,南京公用,2010-01-11,5.96,5.98,2303530855.0
000421.SZ,南京公用,2010-01-12,5.94,6.14,2363317152.0
000421.SZ,南京公用,2010-01-13,6.03,6.14,2363317152.0
000421.SZ,南京公用,2010-01-14,6.15,6.25,2409036085.0
000421.SZ,南京公用,2010-01-15,6.25,6.16,2373867675.0
000421.SZ,南京公用,2010-01-18,6.16,6.33,2437170813.0
000421.SZ,南京公用,2010-01-19,6.31,6.5,2503990792.0
000421.SZ,南京公用,2010-01-20,6.48,6.14,2363317152.0
000421.SZ,南京公用,2010-01-21,6.12,6.22,2394968721.0
000421.SZ,南京公用,2010-01-22,6.15,6.03,2321115060.0
000421.SZ,南京公用,2010-01-25,5.97,5.96,2296497173.0
000421.SZ,南京公用,2010-01-26,5.97,5.82,2240227717.0
000421.SZ,南京公用,2010-01-27,5.83,5.7,2194508784.0
000421.SZ,南京公用,2010-01-28,5.73,5.77,2222643512.0
000421.SZ,南京公用,2010-01-29,5.73,5.75,2215609830.0
000421.SZ,南京公用,2010-02-01,5.79,5.66,2180441420.0
000421.SZ,南京公用,2010-02-02,5.7,5.62,2162857215.0
000421.SZ,南京公用,2010-02-03,5.62,5.75,2215609830.0
000421.SZ,南京公用,2010-02-04,5.73,5.83,2243744558.0
000421.SZ,南京公用,2010-02-05,5.64,5.83,2247261399.0
000421.SZ,南京公用,2010-02-08,5.83,5.83,2247261399.0
000421.SZ,南京公用,2010-02-09,5.84,5.91,2275396127.0
000421.SZ,南京公用,2010-02-10,5.96,5.91,2275396127.0
000421.SZ,南京公用,2010-02-11,5.95,5.91,2275396127.0
000421.SZ,南京公用,2010-02-12,5.94,5.94,2285946650.0
000421.SZ,南京公用,2010-02-22,5.91,5.94,2285946650.0
000421.SZ,南京公用,2010-02-23,5.92,6.01,2314081378.0
000421.SZ,南京公用,2010-02-24,5.95,6.12,2356283470.0
000421.SZ,南京公用,2010-02-25,6.13,6.17,2377384516.0
000421.SZ,南京公用,2010-02-26,6.14,6.2,2387935039.0
000421.SZ,南京公用,2010-03-01,6.21,6.31,2430137131.0
000421.SZ,南京公用,2010-03-02,6.31,6.25,2409036085.0
000421.SZ,南京公用,2010-03-03,6.25,6.34,2440687654.0
000421.SZ,南京公用,2010-03-04,6.32,6.05,2331665583.0
000421.SZ,南京公用,2010-03-05,6.06,6.12,2356283470.0
000421.SZ,南京公用,2010-03-08,6.15,6.36,2447721336.0
000421.SZ,南京公用,2010-03-09,6.28,6.4,2465305541.0
000421.SZ,南京公用,2010-03-10,6.39,6.35,2444204495.0
000421.SZ,南京公用,2010-03-11,6.35,6.26,2412552926.0
000421.SZ,南京公用,2010-03-12,6.26,6.21,2391451880.0
000421.SZ,南京公用,2010-03-15,6.16,6.12,2356283470.0
000421.SZ,南京公用,2010-03-16,6.11,6.19,2384418198.0
000421.SZ,南京公用,2010-03-17,6.19,6.47,2493440269.0
000421.SZ,南京公用,2010-03-18,6.47,6.45,2482889746.0
000421.SZ,南京公用,2010-03-19,6.42,6.59,2539159202.0
000421.SZ,南京公用,2010-03-22,6.58,6.67,2567293930.0
000421.SZ,南京公用,2010-03-23,6.66,6.53,2514541315.0
000421.SZ,南京公用,2010-03-24,6.54,6.73,2591911817.0
000421.SZ,南京公用,2010-03-25,6.7,6.68,2574327612.0
000421.SZ,南京公用,2010-03-26,6.68,6.87,2644664432.0
000421.SZ,南京公用,2010-03-29,6.91,6.9,2658731796.0
000421.SZ,南京公用,2010-03-30,6.88,6.84,2634113909.0
000421.SZ,南京公用,2010-03-31,6.83,6.88,2648181273.0
000421.SZ,南京公用,2010-04-01,6.88,6.89,2655214955.0
000421.SZ,南京公用,2010-04-02,6.88,6.94,2672799160.0
000421.SZ,南京公用,2010-04-06,6.97,6.86,2641147591.0
000421.SZ,南京公用,2010-04-07,6.8,6.77,2605979181.0
000421.SZ,南京公用,2010-04-08,6.7,6.67,2570810771.0
000421.SZ,南京公用,2010-04-09,6.67,6.84,2634113909.0
000421.SZ,南京公用,2010-04-12,6.84,6.75,2598945499.0
000421.SZ,南京公用,2010-04-13,6.76,6.52,2511024474.0
000421.SZ,南京公用,2010-04-14,6.48,6.69,2577844453.0
000421.SZ,南京公用,2010-04-15,6.73,6.72,2588394976.0
000421.SZ,南京公用,2010-04-16,6.74,7.11,2739619139.0
000421.SZ,南京公用,2010-04-19,6.96,7.19,2767753867.0
000421.SZ,南京公用,2010-04-20,7.16,7.44,2866225415.0
000421.SZ,南京公用,2010-04-21,7.46,7.55,2908427507.0
000421.SZ,南京公用,2010-04-22,7.51,7.43,2862708574.0
