代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
002494.SZ,华斯股份,2010-11-02,12.02,10.48,3212050000
002494.SZ,华斯股份,2010-11-03,10.25,10.89,3340305000
002494.SZ,华斯股份,2010-11-04,10.74,10.80,3311930000
002494.SZ,华斯股份,2010-11-05,10.81,10.96,3359600000
002494.SZ,华斯股份,2010-11-08,10.90,11.18,3427700000
002494.SZ,华斯股份,2010-11-09,11.21,11.83,3627460000
002494.SZ,华斯股份,2010-11-10,11.72,11.91,3652430000
002494.SZ,华斯股份,2010-11-11,11.85,11.98,3671725000
002494.SZ,华斯股份,2010-11-12,11.92,11.77,3609300000
002494.SZ,华斯股份,2010-11-15,11.59,12.75,3910075000
002494.SZ,华斯股份,2010-11-16,12.75,12.46,3819275000
002494.SZ,华斯股份,2010-11-17,12.26,11.27,3454940000
002494.SZ,华斯股份,2010-11-18,11.27,11.31,3467425000
002494.SZ,华斯股份,2010-11-19,11.29,11.63,3565035000
002494.SZ,华斯股份,2010-11-22,11.50,12.21,3743230000
002494.SZ,华斯股份,2010-11-23,12.14,12.29,3768200000
002494.SZ,华斯股份,2010-11-24,12.10,12.47,3823815000
002494.SZ,华斯股份,2010-11-25,12.55,12.14,3722800000
002494.SZ,华斯股份,2010-11-26,12.16,12.29,3768200000
002494.SZ,华斯股份,2010-11-29,12.40,12.01,3683075000
002494.SZ,华斯股份,2010-11-30,12.01,11.59,3554820000
002494.SZ,华斯股份,2010-12-01,11.48,11.62,3563900000
002494.SZ,华斯股份,2010-12-02,11.69,11.57,3546875000
002494.SZ,华斯股份,2010-12-03,11.51,11.28,3459480000
002494.SZ,华斯股份,2010-12-06,11.39,12.00,3680805000
002494.SZ,华斯股份,2010-12-07,11.84,12.02,3684210000
002494.SZ,华斯股份,2010-12-08,12.02,11.94,3661510000
002494.SZ,华斯股份,2010-12-09,11.74,11.41,3496935000
002494.SZ,华斯股份,2010-12-10,11.37,11.68,3580925000
002494.SZ,华斯股份,2010-12-13,11.72,12.00,3679670000
002494.SZ,华斯股份,2010-12-14,12.00,12.04,3692155000
002494.SZ,华斯股份,2010-12-15,12.19,12.20,3742095000
002494.SZ,华斯股份,2010-12-16,12.59,12.67,3885105000
002494.SZ,华斯股份,2010-12-17,12.50,12.52,3839705000
002494.SZ,华斯股份,2010-12-20,12.95,13.16,4034925000
002494.SZ,华斯股份,2010-12-21,13.16,12.90,3955475000
002494.SZ,华斯股份,2010-12-22,12.90,12.65,3877160000
002494.SZ,华斯股份,2010-12-23,12.70,12.30,3771605000
002494.SZ,华斯股份,2010-12-24,12.22,11.79,3614975000
002494.SZ,华斯股份,2010-12-27,11.77,11.48,3518500000
002494.SZ,华斯股份,2010-12-28,11.48,11.36,3484450000
002494.SZ,华斯股份,2010-12-29,11.37,11.54,3538930000
002494.SZ,华斯股份,2010-12-30,11.53,11.35,3479910000
002494.SZ,华斯股份,2010-12-31,11.33,11.58,3551415000
002494.SZ,华斯股份,2011-01-04,11.59,11.79,3614975000
002494.SZ,华斯股份,2011-01-05,11.63,11.44,3507150000
002494.SZ,华斯股份,2011-01-06,11.36,11.05,3389110000
002494.SZ,华斯股份,2011-01-07,11.06,11.14,3416350000
002494.SZ,华斯股份,2011-01-10,11.14,10.64,3260855000
002494.SZ,华斯股份,2011-01-11,10.64,10.47,3210915000
002494.SZ,华斯股份,2011-01-12,10.44,10.51,3223400000
002494.SZ,华斯股份,2011-01-13,10.51,10.61,3252910000
002494.SZ,华斯股份,2011-01-14,10.58,10.17,3118980000
002494.SZ,华斯股份,2011-01-17,10.09,9.73,2982780000
002494.SZ,华斯股份,2011-01-18,9.62,9.69,2970295000
002494.SZ,华斯股份,2011-01-19,9.72,9.88,3030450000
002494.SZ,华斯股份,2011-01-20,9.94,9.16,2809125000
002494.SZ,华斯股份,2011-01-21,9.16,9.16,2809125000
002494.SZ,华斯股份,2011-01-24,9.35,8.88,2724000000
002494.SZ,华斯股份,2011-01-25,8.88,9.03,2769400000
002494.SZ,华斯股份,2011-01-26,8.90,9.07,2779615000
002494.SZ,华斯股份,2011-01-27,9.07,9.15,2806855000
002494.SZ,华斯股份,2011-01-28,9.07,9.05,2773940000
002494.SZ,华斯股份,2011-01-31,9.04,9.16,2809125000
002494.SZ,华斯股份,2011-02-01,9.10,9.17,2810260000
002494.SZ,华斯股份,2011-02-09,8.92,8.66,2655900000
002494.SZ,华斯股份,2011-02-10,8.65,9.53,2921490000
002494.SZ,华斯股份,2011-02-11,9.50,9.62,2949865000
002494.SZ,华斯股份,2011-02-14,9.81,9.75,2989590000
002494.SZ,华斯股份,2011-02-15,9.70,9.68,2968025000
002494.SZ,华斯股份,2011-02-16,9.64,9.84,3017965000
002494.SZ,华斯股份,2011-02-17,9.81,9.99,3063365000
002494.SZ,华斯股份,2011-02-18,9.95,10.23,3136005000
002494.SZ,华斯股份,2011-02-21,10.07,10.20,3126925000
002494.SZ,华斯股份,2011-02-22,10.16,9.71,2977105000
002494.SZ,华斯股份,2011-02-23,9.67,9.71,2977105000
