代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
000968.SZ,蓝焰控股,2010-01-04,20.99,20.84,10989048330
000968.SZ,蓝焰控股,2010-01-05,21.12,21.67,11425733280
000968.SZ,蓝焰控股,2010-01-06,21.70,21.71,11451420630
000968.SZ,蓝焰控股,2010-01-07,21.71,21.71,11451420630
000968.SZ,蓝焰控股,2010-01-08,21.14,21.05,11102072670
000968.SZ,蓝焰控股,2010-01-11,21.41,20.69,10911986280
000968.SZ,蓝焰控股,2010-01-12,20.70,20.94,11045560500
000968.SZ,蓝焰控股,2010-01-13,20.28,19.91,10500988680
000968.SZ,蓝焰控股,2010-01-14,20.08,20.25,10680800130
000968.SZ,蓝焰控股,2010-01-15,20.25,20.26,10685937600
000968.SZ,蓝焰控股,2010-01-18,20.31,20.28,10696212540
000968.SZ,蓝焰控股,2010-01-19,20.27,20.45,10783549530
000968.SZ,蓝焰控股,2010-01-20,20.48,19.55,10310902290
000968.SZ,蓝焰控股,2010-01-21,19.60,19.43,10249252650
000968.SZ,蓝焰控股,2010-01-22,19.31,18.65,9833117580
000968.SZ,蓝焰控股,2010-01-25,18.61,18.25,9622481310
000968.SZ,蓝焰控股,2010-01-26,18.31,17.54,9252583470
000968.SZ,蓝焰控股,2010-01-27,17.56,17.56,9262858410
000968.SZ,蓝焰控股,2010-01-28,17.58,17.63,9298820700
000968.SZ,蓝焰控股,2010-01-29,17.61,17.45,9201208770
000968.SZ,蓝焰控股,2010-02-01,17.42,16.54,8723424060
000968.SZ,蓝焰控股,2010-02-02,16.77,16.66,8785073700
000968.SZ,蓝焰控股,2010-02-03,16.87,18.00,9494044560
000968.SZ,蓝焰控股,2010-02-04,17.73,17.55,9257720940
000968.SZ,蓝焰控股,2010-02-05,16.97,16.92,8923785390
000968.SZ,蓝焰控股,2010-02-08,16.97,17.41,9180658890
000968.SZ,蓝焰控股,2010-02-09,17.34,17.53,9247446000
000968.SZ,蓝焰控股,2010-02-10,17.79,17.73,9350195400
000968.SZ,蓝焰控股,2010-02-11,17.75,17.65,9309095640
000968.SZ,蓝焰控股,2010-02-12,17.74,17.89,9432394920
