代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
002003.SZ,伟星股份,2010-01-04,4.27,4.20,4297925100
002003.SZ,伟星股份,2010-01-05,4.21,4.16,4256992480
002003.SZ,伟星股份,2010-01-06,4.20,4.24,4332717827
002003.SZ,伟星股份,2010-01-07,4.22,4.08,4175127240
002003.SZ,伟星股份,2010-01-08,4.05,4.02,4113728310
002003.SZ,伟星股份,2010-01-11,4.02,4.16,4252899218
002003.SZ,伟星股份,2010-01-12,4.13,4.58,4678598466
002003.SZ,伟星股份,2010-01-13,4.54,4.67,4774790123
002003.SZ,伟星股份,2010-01-14,4.61,4.75,4860748625
002003.SZ,伟星股份,2010-01-15,4.72,5.07,5184116323
002003.SZ,伟星股份,2010-01-18,4.98,5.10,5218909050
002003.SZ,伟星股份,2010-01-19,5.10,5.03,5143183703
002003.SZ,伟星股份,2010-01-20,5.03,5.03,5143183703
002003.SZ,伟星股份,2010-01-21,4.80,4.90,5010152688
002003.SZ,伟星股份,2010-01-22,4.79,4.54,4643805739
002003.SZ,伟星股份,2010-01-25,4.48,4.52,4625386060
002003.SZ,伟星股份,2010-01-26,4.57,4.33,4426862853
002003.SZ,伟星股份,2010-01-27,4.34,4.58,4678598466
002003.SZ,伟星股份,2010-01-28,4.56,4.63,4729764241
002003.SZ,伟星股份,2010-01-29,4.57,4.61,4715437824
002003.SZ,伟星股份,2010-02-01,4.62,4.51,4615152905
002003.SZ,伟星股份,2010-02-02,4.52,4.42,4514867986
002003.SZ,伟星股份,2010-02-03,4.38,4.41,4512821355
002003.SZ,伟星股份,2010-02-04,4.39,4.40,4502588200
002003.SZ,伟星股份,2010-02-05,4.32,4.24,4336811089
002003.SZ,伟星股份,2010-02-08,4.28,4.28,4373650447
002003.SZ,伟星股份,2010-02-09,4.26,4.28,4377743709
002003.SZ,伟星股份,2010-02-10,4.31,4.44,4535334296
002003.SZ,伟星股份,2010-02-11,4.44,4.42,4523054510
002003.SZ,伟星股份,2010-02-12,4.46,4.48,4578313547
002003.SZ,伟星股份,2010-02-22,4.51,4.54,4639712477
002003.SZ,伟星股份,2010-02-23,4.49,4.53,4635619215
002003.SZ,伟星股份,2010-02-24,4.49,4.61,4715437824
002003.SZ,伟星股份,2010-02-25,4.63,4.64,4748183920
002003.SZ,伟星股份,2010-02-26,4.64,4.70,4805489588
002003.SZ,伟星股份,2010-03-01,4.71,4.71,4811629481
002003.SZ,伟星股份,2010-03-02,4.71,4.63,4731810872
002003.SZ,伟星股份,2010-03-03,4.62,4.60,4705204669
002003.SZ,伟星股份,2010-03-04,4.60,4.54,4641759108
002003.SZ,伟星股份,2010-03-05,4.53,4.44,4539427558
002003.SZ,伟星股份,2010-03-08,4.45,4.47,4566033761
002003.SZ,伟星股份,2010-03-09,4.44,4.45,4545567451
002003.SZ,伟星股份,2010-03-10,4.45,4.40,4498494938
002003.SZ,伟星股份,2010-03-11,4.37,4.38,4473935366
002003.SZ,伟星股份,2010-03-12,4.38,4.20,4295878469
002003.SZ,伟星股份,2010-03-15,4.23,4.14,4232432908
002003.SZ,伟星股份,2010-03-16,4.19,4.19,4283598683
002003.SZ,伟星股份,2010-03-17,4.19,4.33,4426862853
002003.SZ,伟星股份,2010-03-18,4.33,4.24,4338857720
002003.SZ,伟星股份,2010-03-19,4.25,4.19,4285645314
002003.SZ,伟星股份,2010-03-22,4.20,4.29,4381836971
002003.SZ,伟星股份,2010-03-23,4.28,4.26,4359324030
002003.SZ,伟星股份,2010-03-24,4.27,4.21,4304064993
002003.SZ,伟星股份,2010-03-25,4.19,4.23,4320438041
002003.SZ,伟星股份,2010-03-26,4.23,4.29,4385930233
002003.SZ,伟星股份,2010-03-29,4.29,4.32,4412536436
002003.SZ,伟星股份,2010-03-30,4.32,4.30,4400256650
002003.SZ,伟星股份,2010-03-31,4.33,4.37,4471888735
002003.SZ,伟星股份,2010-04-01,4.40,4.53,4631525953
002003.SZ,伟星股份,2010-04-02,4.52,4.54,4643805739
002003.SZ,伟星股份,2010-04-06,4.54,4.59,4697018145
002003.SZ,伟星股份,2010-04-07,4.58,4.56,4662225418
002003.SZ,伟星股份,2010-04-08,4.55,4.46,4555800606
002003.SZ,伟星股份,2010-04-09,4.45,4.51,4606966381
002003.SZ,伟星股份,2010-04-12,4.51,4.46,4555800606
002003.SZ,伟星股份,2010-04-13,4.46,4.54,4645852370
002003.SZ,伟星股份,2010-04-14,4.56,4.70,4807536219
002003.SZ,伟星股份,2010-04-15,4.71,4.52,4621292798
002003.SZ,伟星股份,2010-04-16,4.48,4.51,4609013012
002003.SZ,伟星股份,2010-04-19,4.49,4.45,4553753975
002003.SZ,伟星股份,2010-04-20,4.46,4.60,4705204669
002003.SZ,伟星股份,2010-04-21,4.61,4.78,4891448090
002003.SZ,伟星股份,2010-04-22,4.79,4.78,4887354828
002003.SZ,伟星股份,2010-04-23,4.78,4.71,4819816005
002003.SZ,伟星股份,2010-04-26,4.61,4.64,4739997396
002003.SZ,伟星股份,2010-04-27,4.63,4.50,4604919750
002003.SZ,伟星股份,2010-04-28,4.47,4.52,4619246167
002003.SZ,伟星股份,2010-04-29,4.46,4.49,4594686595
002003.SZ,伟星股份,2010-04-30,4.49,4.18,4275412159
002003.SZ,伟星股份,2010-05-04,4.10,4.13,4220153122
002003.SZ,伟星股份,2010-05-05,4.07,4.23,4324531303
002003.SZ,伟星股份,2010-05-06,4.22,4.12,4211966598
002003.SZ,伟星股份,2010-05-07,4.00,3.92,4007303498
002003.SZ,伟星股份,2010-05-10,3.90,3.82,3909065210
002003.SZ,伟星股份,2010-05-11,3.90,3.65,3735101575
002003.SZ,伟星股份,2010-05-12,3.57,3.59,3669609383
002003.SZ,伟星股份,2010-05-13,3.57,3.66,3745334730
002003.SZ,伟星股份,2010-05-14,3.66,3.66,3745334730
002003.SZ,伟星股份,2010-05-17,3.54,3.32,3393314198
002003.SZ,伟星股份,2010-05-18,3.37,3.39,3460853021
002003.SZ,伟星股份,2010-05-19,3.37,3.45,3530438475
002003.SZ,伟星股份,2010-05-20,3.40,3.45,3524298582
002003.SZ,伟星股份,2010-05-21,3.36,3.52,3597977298
002003.SZ,伟星股份,2010-05-24,3.52,3.71,3792407243
002003.SZ,伟星股份,2010-05-25,3.71,3.72,3806733660
002003.SZ,伟星股份,2010-05-26,3.76,3.68,3722821789
002003.SZ,伟星股份,2010-05-27,3.72,3.78,3827199970
002003.SZ,伟星股份,2010-05-28,3.79,3.71,3751474623
002003.SZ,伟星股份,2010-05-31,3.68,3.54,3579557619
002003.SZ,伟星股份,2010-06-01,3.54,3.39,3428106925
002003.SZ,伟星股份,2010-06-02,3.39,3.50,3540671630
