代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
002928.SZ,华夏航空,2018-03-02,10.85,13.02,11902860000.0
002928.SZ,华夏航空,2018-03-05,14.32,14.32,13092345000.0
002928.SZ,华夏航空,2018-03-06,15.75,15.75,14401980000.0
002928.SZ,华夏航空,2018-03-07,17.33,17.33,15843780000.0
002928.SZ,华夏航空,2018-03-08,19.06,19.06,17429760000.0
002928.SZ,华夏航空,2018-03-09,19.71,20.97,19171935000.0
002928.SZ,华夏航空,2018-03-12,20.94,20.59,18823500000.0
002928.SZ,华夏航空,2018-03-13,20.15,19.21,17561925000.0
002928.SZ,华夏航空,2018-03-14,19.27,20.19,18463050000.0
002928.SZ,华夏航空,2018-03-15,18.84,18.19,16628760000.0
002928.SZ,华夏航空,2018-03-16,18.18,17.76,16240275000.0
002928.SZ,华夏航空,2018-03-19,17.77,17.7,16180200000.0
002928.SZ,华夏航空,2018-03-20,17.25,17.89,16352415000.0
002928.SZ,华夏航空,2018-03-21,17.99,17.39,15899850000.0
002928.SZ,华夏航空,2018-03-22,17.03,17.94,16404480000.0
002928.SZ,华夏航空,2018-03-23,16.97,16.15,14762430000.0
002928.SZ,华夏航空,2018-03-26,15.77,16.29,14890590000.0
002928.SZ,华夏航空,2018-03-27,16.69,16.86,15419250000.0
002928.SZ,华夏航空,2018-03-28,16.29,16.3,14898600000.0
002928.SZ,华夏航空,2018-03-29,16.69,17.48,15979950000.0
002928.SZ,华夏航空,2018-03-30,17.08,17.18,15707610000.0
002928.SZ,华夏航空,2018-04-02,17.08,16.49,15078825000.0
002928.SZ,华夏航空,2018-04-03,15.9,16.01,14642280000.0
002928.SZ,华夏航空,2018-04-04,16.16,15.84,14478075000.0
002928.SZ,华夏航空,2018-04-09,15.71,16.32,14918625000.0
002928.SZ,华夏航空,2018-04-10,16.23,16.59,15170940000.0
002928.SZ,华夏航空,2018-04-11,16.68,16.63,15206985000.0
002928.SZ,华夏航空,2018-04-12,16.47,17.22,15739650000.0
002928.SZ,华夏航空,2018-04-13,17.25,17.61,16100100000.0
002928.SZ,华夏航空,2018-04-16,17.16,16.51,15098850000.0
002928.SZ,华夏航空,2018-04-17,16.51,16.02,14646285000.0
002928.SZ,华夏航空,2018-04-18,16.16,16.06,14682330000.0
002928.SZ,华夏航空,2018-04-19,15.94,15.98,14614245000.0
002928.SZ,华夏航空,2018-04-20,15.77,14.92,13645035000.0
002928.SZ,华夏航空,2018-04-23,15.03,14.79,13524885000.0
002928.SZ,华夏航空,2018-04-24,14.84,15.34,14029515000.0
002928.SZ,华夏航空,2018-04-25,15.18,15.43,14109615000.0
002928.SZ,华夏航空,2018-04-26,15.33,14.72,13456800000.0
002928.SZ,华夏航空,2018-04-27,14.81,14.85,13576950000.0
002928.SZ,华夏航空,2018-05-02,14.89,14.34,13112370000.0
002928.SZ,华夏航空,2018-05-03,14.41,14.59,13340655000.0
002928.SZ,华夏航空,2018-05-04,14.53,14.03,12828015000.0
002928.SZ,华夏航空,2018-05-07,14.05,14.25,13032270000.0
002928.SZ,华夏航空,2018-05-08,14.29,14.39,13160430000.0
002928.SZ,华夏航空,2018-05-09,14.33,14.53,13284585000.0
002928.SZ,华夏航空,2018-05-10,14.45,14.48,13236525000.0
002928.SZ,华夏航空,2018-05-11,14.57,14.87,13596975000.0
002928.SZ,华夏航空,2018-05-14,14.71,15.46,14133645000.0
002928.SZ,华夏航空,2018-05-15,15.48,15.27,13957425000.0
002928.SZ,华夏航空,2018-05-16,15.2,14.77,13504860000.0
002928.SZ,华夏航空,2018-05-17,14.72,14.94,13657050000.0
002928.SZ,华夏航空,2018-05-18,14.9,14.56,13312620000.0
002928.SZ,华夏航空,2018-05-21,14.57,15.11,13817250000.0
002928.SZ,华夏航空,2018-05-22,15.17,15.46,14133645000.0
002928.SZ,华夏航空,2018-05-23,15.46,15.15,13853295000.0
002928.SZ,华夏航空,2018-05-24,15.11,14.95,13665060000.0
002928.SZ,华夏航空,2018-05-25,14.89,15.55,14217750000.0
002928.SZ,华夏航空,2018-05-28,15.98,15.12,13821255000.0
002928.SZ,华夏航空,2018-05-29,14.98,14.68,13420755000.0
002928.SZ,华夏航空,2018-05-30,14.25,13.32,12175200000.0
002928.SZ,华夏航空,2018-05-31,13.43,13.55,12391470000.0
002928.SZ,华夏航空,2018-06-01,13.54,13.61,12443535000.0
002928.SZ,华夏航空,2018-06-04,13.73,13.63,12463560000.0
002928.SZ,华夏航空,2018-06-05,14.03,14.99,13709115000.0
002928.SZ,华夏航空,2018-06-06,15.0,15.11,13813245000.0
002928.SZ,华夏航空,2018-06-07,14.88,14.56,13316625000.0
002928.SZ,华夏航空,2018-06-08,14.4,14.27,13048290000.0
002928.SZ,华夏航空,2018-06-11,14.25,14.11,12900105000.0
002928.SZ,华夏航空,2018-06-12,14.19,15.32,14009490000.0
002928.SZ,华夏航空,2018-06-13,14.95,14.59,13336650000.0
002928.SZ,华夏航空,2018-06-14,14.28,14.37,13136400000.0
002928.SZ,华夏航空,2018-06-15,14.57,14.85,13576950000.0
002928.SZ,华夏航空,2018-06-19,14.24,13.36,12219255000.0
002928.SZ,华夏航空,2018-06-20,13.29,13.54,12379455000.0
002928.SZ,华夏航空,2018-06-21,13.62,12.86,11758680000.0
002928.SZ,华夏航空,2018-06-22,12.59,12.87,11770695000.0
002928.SZ,华夏航空,2018-06-25,13.02,12.4,11338155000.0
002928.SZ,华夏航空,2018-06-26,11.87,12.33,11270070000.0
002928.SZ,华夏航空,2018-06-27,12.27,12.24,11193975000.0
