代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
002936.SZ,郑州银行,2018-09-19,4.73,5.68,39143969859.0
002936.SZ,郑州银行,2018-09-20,6.25,6.25,43052444913.0
002936.SZ,郑州银行,2018-09-21,6.87,6.87,47375455200.0
002936.SZ,郑州银行,2018-09-25,6.89,6.43,44296050612.0
002936.SZ,郑州银行,2018-09-26,6.2,6.35,43763076741.0
002936.SZ,郑州银行,2018-09-27,6.22,5.94,40920549429.0
002936.SZ,郑州银行,2018-09-28,5.85,5.9,40683672153.0
002936.SZ,郑州银行,2018-10-08,5.8,5.46,37663486884.0
002936.SZ,郑州银行,2018-10-09,5.5,5.37,37012074375.0
002936.SZ,郑州银行,2018-10-10,5.38,5.31,36597539142.0
002936.SZ,郑州银行,2018-10-11,5.05,4.81,33162818640.0
002936.SZ,郑州银行,2018-10-12,4.77,4.97,34228766382.0
002936.SZ,郑州银行,2018-10-15,4.96,4.82,33222037959.0
002936.SZ,郑州银行,2018-10-16,4.81,4.73,32629844769.0
002936.SZ,郑州银行,2018-10-17,4.8,4.66,32096870898.0
002936.SZ,郑州银行,2018-10-18,4.6,4.45,30675607242.0
002936.SZ,郑州银行,2018-10-19,4.36,4.53,31208581113.0
002936.SZ,郑州银行,2018-10-22,4.52,4.91,33873450468.0
002936.SZ,郑州银行,2018-10-23,4.85,4.71,32452186812.0
002936.SZ,郑州银行,2018-10-24,4.66,4.87,33577353873.0
002936.SZ,郑州银行,2018-10-25,4.67,4.99,34406424339.0
002936.SZ,郑州银行,2018-10-26,4.97,4.91,33814231149.0
002936.SZ,郑州银行,2018-10-29,4.87,4.75,32748283407.0
002936.SZ,郑州银行,2018-10-30,4.77,4.89,33695792511.0
002936.SZ,郑州银行,2018-10-31,4.88,5.0,34465643658.0
002936.SZ,郑州银行,2018-11-01,4.96,4.92,33932669787.0
002936.SZ,郑州银行,2018-11-02,4.98,5.03,34702520934.0
002936.SZ,郑州银行,2018-11-05,5.01,5.0,34465643658.0
002936.SZ,郑州银行,2018-11-06,4.94,4.87,33577353873.0
002936.SZ,郑州银行,2018-11-07,4.85,4.82,33222037959.0
002936.SZ,郑州银行,2018-11-08,4.86,4.79,32985160683.0
002936.SZ,郑州银行,2018-11-09,4.77,4.68,32274528855.0
002936.SZ,郑州银行,2018-11-12,4.68,4.74,32689064088.0
002936.SZ,郑州银行,2018-11-13,4.7,4.82,33222037959.0
002936.SZ,郑州银行,2018-11-14,4.79,4.78,32925941364.0
002936.SZ,郑州银行,2018-11-15,4.77,4.85,33399695916.0
002936.SZ,郑州银行,2018-11-16,4.85,4.9,33755011830.0
002936.SZ,郑州银行,2018-11-19,4.89,5.03,34702520934.0
002936.SZ,郑州银行,2018-11-20,4.98,4.84,33340476597.0
002936.SZ,郑州银行,2018-11-21,4.77,4.82,33222037959.0
002936.SZ,郑州银行,2018-11-22,4.82,4.76,32807502726.0
002936.SZ,郑州银行,2018-11-23,4.77,4.61,31800774303.0
002936.SZ,郑州银行,2018-11-26,4.61,4.62,31859993622.0
002936.SZ,郑州银行,2018-11-27,4.64,4.6,31741554984.0
002936.SZ,郑州银行,2018-11-28,4.6,4.64,31978432260.0
002936.SZ,郑州银行,2018-11-29,4.66,4.53,31208581113.0
002936.SZ,郑州银行,2018-11-30,4.53,4.54,31327019751.0
002936.SZ,郑州银行,2018-12-03,4.63,4.63,31919212941.0
002936.SZ,郑州银行,2018-12-04,4.61,4.64,31978432260.0
002936.SZ,郑州银行,2018-12-05,4.57,4.58,31563897027.0
002936.SZ,郑州银行,2018-12-06,4.55,4.52,31149361794.0
002936.SZ,郑州银行,2018-12-07,4.52,4.52,31149361794.0
002936.SZ,郑州银行,2018-12-10,4.48,4.45,30675607242.0
002936.SZ,郑州银行,2018-12-11,4.45,4.5,31030923156.0
002936.SZ,郑州银行,2018-12-12,4.5,4.49,30971703837.0
002936.SZ,郑州银行,2018-12-13,4.49,4.55,31386239070.0
002936.SZ,郑州银行,2018-12-14,4.53,4.46,30734826561.0
002936.SZ,郑州银行,2018-12-17,4.45,4.47,30794045880.0
002936.SZ,郑州银行,2018-12-18,4.44,4.44,30616387923.0
002936.SZ,郑州银行,2018-12-19,4.45,4.42,30438729966.0
002936.SZ,郑州银行,2018-12-20,4.41,4.42,30438729966.0
002936.SZ,郑州银行,2018-12-21,4.4,4.41,30379510647.0
002936.SZ,郑州银行,2018-12-24,4.39,4.42,30438729966.0
002936.SZ,郑州银行,2018-12-25,4.38,4.36,30083414052.0
002936.SZ,郑州银行,2018-12-26,4.36,4.34,29905756095.0
002936.SZ,郑州银行,2018-12-27,4.42,4.32,29787317457.0
002936.SZ,郑州银行,2018-12-28,4.32,4.36,30024194733.0
002936.SZ,郑州银行,2019-01-02,4.36,4.33,29846536776.0
002936.SZ,郑州银行,2019-01-03,4.33,4.34,29905756095.0
002936.SZ,郑州银行,2019-01-04,4.3,4.49,30971703837.0
002936.SZ,郑州银行,2019-01-07,4.51,4.47,30794045880.0
002936.SZ,郑州银行,2019-01-08,4.45,4.43,30557168604.0
002936.SZ,郑州银行,2019-01-09,4.45,4.45,30675607242.0
002936.SZ,郑州银行,2019-01-10,4.44,4.4,30320291328.0
002936.SZ,郑州银行,2019-01-11,4.39,4.45,30675607242.0
002936.SZ,郑州银行,2019-01-14,4.46,4.4,30320291328.0
002936.SZ,郑州银行,2019-01-15,4.39,4.45,30675607242.0
002936.SZ,郑州银行,2019-01-16,4.44,4.42,30438729966.0
002936.SZ,郑州银行,2019-01-17,4.42,4.4,30320291328.0
002936.SZ,郑州银行,2019-01-18,4.4,4.45,30675607242.0
