代码,简称,日期,开盘价(元),收盘价(元),总市值(元)
000927.SZ,中国铁物,2010-01-04,11.76,11.45,18599729073.0
000927.SZ,中国铁物,2010-01-05,11.39,11.43,18567825593.0
000927.SZ,中国铁物,2010-01-06,11.43,10.9,17706431622.0
000927.SZ,中国铁物,2010-01-07,10.95,10.68,17355493338.0
000927.SZ,中国铁物,2010-01-08,10.68,10.43,16940748092.0
000927.SZ,中国铁物,2010-01-11,10.43,10.11,16430292406.0
000927.SZ,中国铁物,2010-01-12,10.11,10.36,16829085911.0
000927.SZ,中国铁物,2010-01-13,10.17,10.07,16350533705.0
000927.SZ,中国铁物,2010-01-14,10.08,10.51,17068362014.0
000927.SZ,中国铁物,2010-01-15,10.44,10.41,16908844612.0
000927.SZ,中国铁物,2010-01-18,10.54,10.49,17036458534.0
000927.SZ,中国铁物,2010-01-19,10.55,10.5,17052410274.0
000927.SZ,中国铁物,2010-01-20,10.41,9.96,16175064563.0
000927.SZ,中国铁物,2010-01-21,9.97,10.15,16494099367.0
000927.SZ,中国铁物,2010-01-22,10.02,9.96,16175064563.0
000927.SZ,中国铁物,2010-01-25,9.92,9.82,15951740200.0
000927.SZ,中国铁物,2010-01-26,9.82,9.92,16111257602.0
000927.SZ,中国铁物,2010-01-27,9.87,9.64,15664608876.0
000927.SZ,中国铁物,2010-01-28,9.7,9.66,15696512357.0
000927.SZ,中国铁物,2010-01-29,9.61,9.71,15776271058.0
000927.SZ,中国铁物,2010-02-01,9.79,9.7,15760319318.0
000927.SZ,中国铁物,2010-02-02,9.44,9.53,15473187994.0
000927.SZ,中国铁物,2010-02-03,9.53,9.53,15473187994.0
000927.SZ,中国铁物,2010-02-04,9.79,10.01,16254823264.0
000927.SZ,中国铁物,2010-02-05,9.92,9.83,15967691940.0
000927.SZ,中国铁物,2010-02-08,9.91,9.81,15935788460.0
000927.SZ,中国铁物,2010-02-09,9.83,9.63,15648657136.0
000927.SZ,中国铁物,2010-02-10,9.72,9.72,15792222798.0
000927.SZ,中国铁物,2010-02-11,9.72,9.67,15712464097.0
000927.SZ,中国铁物,2010-02-12,9.72,9.73,15808174538.0
000927.SZ,中国铁物,2010-02-22,9.82,9.99,16222919783.0
000927.SZ,中国铁物,2010-02-23,9.95,10.51,17068362014.0
000927.SZ,中国铁物,2010-02-24,10.61,10.49,17036458534.0
000927.SZ,中国铁物,2010-02-25,10.54,10.58,17180024195.0
000927.SZ,中国铁物,2010-02-26,10.58,10.82,17578817700.0
000927.SZ,中国铁物,2010-03-01,10.78,10.73,17435252039.0
000927.SZ,中国铁物,2010-03-02,10.71,10.45,16972651573.0
000927.SZ,中国铁物,2010-03-03,10.41,10.54,17116217235.0
000927.SZ,中国铁物,2010-03-04,10.54,10.18,16541954587.0
000927.SZ,中国铁物,2010-03-05,10.15,10.25,16653616769.0
000927.SZ,中国铁物,2010-03-08,10.34,10.23,16621713288.0
000927.SZ,中国铁物,2010-03-09,10.24,10.26,16669568509.0
000927.SZ,中国铁物,2010-03-10,10.2,9.87,16031498901.0
000927.SZ,中国铁物,2010-03-11,9.84,9.62,15632705396.0
000927.SZ,中国铁物,2010-03-12,9.62,9.5,15425332773.0
000927.SZ,中国铁物,2010-03-15,9.5,9.53,15473187994.0
000927.SZ,中国铁物,2010-03-16,9.53,9.45,15345574072.0
000927.SZ,中国铁物,2010-03-17,9.45,9.67,15712464097.0
000927.SZ,中国铁物,2010-03-18,9.62,9.54,15489139734.0
000927.SZ,中国铁物,2010-03-19,9.54,9.58,15568898435.0
000927.SZ,中国铁物,2010-03-22,9.6,9.57,15536994955.0
000927.SZ,中国铁物,2010-03-23,9.57,9.45,15345574072.0
000927.SZ,中国铁物,2010-03-24,9.47,9.46,15361525813.0
000927.SZ,中国铁物,2010-03-25,9.46,9.18,14914877087.0
000927.SZ,中国铁物,2010-03-26,9.23,9.26,15042491009.0
000927.SZ,中国铁物,2010-03-29,9.45,9.7,15760319318.0
000927.SZ,中国铁物,2010-03-30,9.62,9.71,15776271058.0
000927.SZ,中国铁物,2010-03-31,9.71,9.57,15552946695.0
000927.SZ,中国铁物,2010-04-01,9.56,9.63,15648657136.0
000927.SZ,中国铁物,2010-04-02,9.64,9.73,15808174538.0
000927.SZ,中国铁物,2010-04-06,9.73,9.64,15664608876.0
000927.SZ,中国铁物,2010-04-07,9.66,9.55,15505091474.0
000927.SZ,中国铁物,2010-04-08,9.55,9.38,15233911891.0
000927.SZ,中国铁物,2010-04-09,9.29,9.44,15329622332.0
000927.SZ,中国铁物,2010-04-12,9.45,9.23,14994635788.0
000927.SZ,中国铁物,2010-04-13,9.23,9.08,14755359685.0
000927.SZ,中国铁物,2010-04-14,9.09,9.23,14994635788.0
000927.SZ,中国铁物,2010-04-15,9.27,9.13,14835118386.0
000927.SZ,中国铁物,2010-04-16,9.09,9.05,14707504464.0
000927.SZ,中国铁物,2010-04-19,9.11,8.28,13447316989.0
000927.SZ,中国铁物,2010-04-20,8.35,7.86,12761392160.0
000927.SZ,中国铁物,2010-04-21,7.87,8.0,13000668263.0
000927.SZ,中国铁物,2010-04-22,7.98,7.82,12697585199.0
000927.SZ,中国铁物,2010-04-23,7.84,7.8,12665681719.0
000927.SZ,中国铁物,2010-04-26,7.76,7.86,12761392160.0
000927.SZ,中国铁物,2010-04-27,7.86,7.54,12250936474.0
000927.SZ,中国铁物,2010-04-28,7.45,7.55,12266888214.0
000927.SZ,中国铁物,2010-04-29,7.6,7.47,12139274292.0
000927.SZ,中国铁物,2010-04-30,7.51,7.48,12155226032.0
000927.SZ,中国铁物,2010-05-04,7.31,7.35,11931901670.0
000927.SZ,中国铁物,2010-05-05,7.25,7.27,11804287748.0
000927.SZ,中国铁物,2010-05-06,7.15,6.78,11006700738.0
000927.SZ,中国铁物,2010-05-07,6.65,6.36,10336727650.0
000927.SZ,中国铁物,2010-05-10,6.32,6.4,10400534610.0
000927.SZ,中国铁物,2010-05-11,6.54,6.26,10161258507.0
000927.SZ,中国铁物,2010-05-12,6.15,6.88,11182169880.0
000927.SZ,中国铁物,2010-05-13,6.78,7.57,12298791694.0
000927.SZ,中国铁物,2010-05-14,7.5,7.59,12330695175.0
000927.SZ,中国铁物,2010-05-17,7.47,7.76,12601874758.0
000927.SZ,中国铁物,2010-05-18,7.64,7.95,12920909562.0
000927.SZ,中国铁物,2010-05-19,7.76,8.06,13096378704.0
000927.SZ,中国铁物,2010-05-20,7.87,7.78,12633778238.0
000927.SZ,中国铁物,2010-05-21,7.53,8.27,13431365248.0
000927.SZ,中国铁物,2010-05-24,8.16,8.38,13606834391.0
000927.SZ,中国铁物,2010-05-25,8.25,8.2,13319703067.0
000927.SZ,中国铁物,2010-05-26,8.13,8.07,13112330444.0
000927.SZ,中国铁物,2010-05-27,8.02,8.13,13208040886.0
000927.SZ,中国铁物,2010-05-28,8.15,7.93,12873054341.0
000927.SZ,中国铁物,2010-05-31,7.85,7.83,12713536939.0
000927.SZ,中国铁物,2010-06-01,7.71,7.27,11804287748.0
000927.SZ,中国铁物,2010-06-02,7.28,7.44,12091419072.0
000927.SZ,中国铁物,2010-06-03,7.42,7.2,11692625567.0
000927.SZ,中国铁物,2010-06-04,7.14,7.21,11708577307.0
000927.SZ,中国铁物,2010-06-07,7.01,7.14,11596915125.0
000927.SZ,中国铁物,2010-06-08,7.11,7.86,12761392160.0
000927.SZ,中国铁物,2010-06-09,7.88,7.99,12984716523.0
000927.SZ,中国铁物,2010-06-10,7.95,7.81,12681633459.0
000927.SZ,中国铁物,2010-06-11,7.83,8.12,13192089145.0
000927.SZ,中国铁物,2010-06-17,8.12,8.02,13032571743.0
000927.SZ,中国铁物,2010-06-18,8.0,7.39,12011660371.0
000927.SZ,中国铁物,2010-06-21,7.39,7.65,12426405616.0
000927.SZ,中国铁物,2010-06-22,7.72,7.99,12984716523.0
000927.SZ,中国铁物,2010-06-23,7.91,8.1,13160185665.0
000927.SZ,中国铁物,2010-06-24,8.1,8.25,13399461768.0
000927.SZ,中国铁物,2010-06-25,8.2,8.14,13223992626.0
000927.SZ,中国铁物,2010-06-28,8.11,7.97,12952813042.0
000927.SZ,中国铁物,2010-06-29,7.97,7.97,12952813042.0
